Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
MYL6	4	-0.59503	-2.4607	0.15025	0.58759	0.013867	0.16894
CKM	4	0.12807	1.5788	0.31263	0.77786	0.11437	0.4735
POLR3G	4	0.079335	1.0994	0.47556	0.88246	0.27159	0.52815
PKN1	4	0.04646	0.44919	0.59375	0.93431	0.6533	0.78531
TPTE	4	0.13463	1.0204	0.29449	0.76399	0.30752	0.5562
C20orf144	4	-0.02785	-0.23345	0.86655	0.98767	0.81541	0.89385
DPT	4	0.098435	1.1565	0.41033	0.84743	0.24747	0.51146
MGAT1	4	0.10073	1.29	0.40412	0.8457	0.19706	0.48091
GAL3ST4	4	0.21899	1.4792	0.10655	0.50376	0.13909	0.4735
ULK2	4	-0.0085365	-0.11545	0.79466	0.97564	0.90809	0.94906
PLOD3	4	0.11713	1.498	0.34992	0.81036	0.13414	0.4735
ACVR1	4	0.029348	0.26899	0.6555	0.94904	0.78794	0.8762
RNF38	4	-0.20063	-1.8497	0.6552	0.94904	0.06435	0.44507
Non-Targeting_Control-N389	1	0.22193	0.6348	0.44504	0.86765	0.52556	0.7222
RHOF	4	-0.11865	-0.76759	0.84776	0.98362	0.44273	0.67297
GK5	4	-0.019486	-0.24827	0.83558	0.9813	0.80392	0.88638
UBE2M	4	-1.5324	-2.3943	0.0029334	0.052074	0.016654	0.19053
CXorf40A	4	0.11373	1.1218	0.36071	0.8195	0.26193	0.52141
EVI5L	4	-0.2208	-1.8331	0.61473	0.93938	0.066791	0.4538
KRT33A	4	0.027466	0.23043	0.66295	0.95141	0.81776	0.8955
TCTEX1D2	4	0.25081	1.5259	0.065579	0.39491	0.12704	0.4735
ZNF77	4	0.16656	1.2646	0.20802	0.66677	0.20601	0.48719
SIGLEC1	4	-0.25076	-1.9908	0.56004	0.92199	0.046498	0.3706
LCLAT1	4	0.12769	0.90335	0.31393	0.77941	0.36634	0.60918
SLC22A15	4	-0.017368	-0.59704	0.82728	0.9813	0.55048	0.72669
Non-Targeting_Control-N241	1	0.22073	0.63519	0.44752	0.86855	0.5253	0.7222
C16orf90	4	-0.1524	-0.99118	0.75976	0.97109	0.3216	0.56874
CD151	4	-0.75132	-2.3837	0.075424	0.42327	0.017139	0.19433
TMEM196	4	-0.1857	-1.3746	0.68707	0.95746	0.16925	0.47366
TBC1D12	4	0.041349	0.47839	0.61214	0.93907	0.63238	0.77205
TBC1D20	4	0.099085	0.63924	0.40869	0.84743	0.52267	0.72156
Non-Targeting_Control-N553	1	0.27571	0.61726	0.33411	0.79943	0.53706	0.72365
SOX13	4	0.48965	1.3909	0.00089494	0.022556	0.16427	0.4735
ADCK3	4	-0.026455	-0.27457	0.86123	0.98656	0.78364	0.87326
CCL25	4	-0.017436	-0.34867	0.82752	0.9813	0.72734	0.8363
VWA2	4	0.073865	1.0039	0.49545	0.89149	0.31542	0.56309
Non-Targeting_Control-N403	1	0.22903	0.63249	0.42918	0.8557	0.52707	0.72263
P2RX3	4	-0.07169	-0.43692	0.98817	0.9988	0.66217	0.79179
NBEAL1	4	0.31623	1.5511	0.020484	0.19865	0.12087	0.4735
TPD52L2	4	-0.04888	-0.62635	0.9387	0.99343	0.53108	0.72276
UBP1	4	0.0027381	0.06874	0.75469	0.97048	0.9452	0.96961
CLCN3	4	-0.2233	-1.8622	0.61045	0.93869	0.062569	0.44006
RNF44	4	0.23256	1.182	0.086064	0.45112	0.23722	0.50475
MROH8	4	-0.12988	-1.5672	0.81698	0.97926	0.11706	0.4735
GAS2L3	4	0.11428	0.73716	0.35917	0.81831	0.46103	0.68691
HPCAL4	4	-0.16392	-1.6739	0.7343	0.96825	0.094148	0.4735
C17orf89	4	-1.4493	-3.3512	0.0043753	0.068536	0.00080454	0.021998
ZNF160	4	0.27847	1.4882	0.041416	0.30636	0.13669	0.4735
C12orf4	4	-0.035082	-0.46075	0.89246	0.98919	0.64498	0.78015
TNS2	4	-0.024578	-0.58146	0.85402	0.98543	0.56093	0.72904
SIGLEC14	4	0.33395	1.3969	0.014816	0.1603	0.16243	0.4735
CHST11	4	0.087459	1.526	0.44742	0.86855	0.127	0.4735
NLK	4	-0.19026	-1.0378	0.67787	0.95546	0.29938	0.54991
PGC	4	-0.10515	-0.9802	0.88485	0.98919	0.32699	0.57384
C20orf195	4	-0.12153	-1.0961	0.83891	0.9813	0.27305	0.52943
BRE	4	-0.046271	-0.34571	0.93009	0.99343	0.72956	0.83801
RAI14	4	0.25285	1.4545	0.063143	0.38743	0.1458	0.4735
CCT8	4	-1.3651	-2.6337	0.0066624	0.093056	0.0084465	0.11847
PRR27	4	0.16795	1.198	0.20405	0.66119	0.23091	0.50124
MED14	4	-1.9636	-4.1373	0.00049719	0.014368	3.5139e-05	0.002638
MGC57346-CRHR1	4	-0.17178	-1.5096	0.7165	0.96324	0.13114	0.4735
SLC25A1	4	-0.62793	-2.2435	0.12818	0.54239	0.024868	0.25146
Non-Targeting_Control-N229	1	0.5995	0.51886	0.024362	0.22232	0.60386	0.75083
LILRA4	4	-0.0040132	-0.086531	0.77771	0.97279	0.93104	0.96244
LRP5L	4	-0.0079751	-0.10873	0.79312	0.97564	0.91342	0.95243
KRT27	4	0.13123	1.5882	0.30398	0.77041	0.11225	0.4735
S100A7L2	4	0.44846	1.3604	0.0017899	0.037422	0.17369	0.47441
PPP1R3C	4	-0.037723	-0.58639	0.90091	0.98919	0.55762	0.72828
STX1B	4	-0.14276	-0.84363	0.78308	0.97379	0.39888	0.63492
FNBP1L	4	0.14215	1.5826	0.27336	0.74705	0.11352	0.4735
EPM2A	4	0.19917	1.2692	0.13722	0.56212	0.20438	0.48596
AMBN	4	0.051845	0.79292	0.57465	0.92761	0.42782	0.6611
FLG	4	0.27555	1.5526	0.042858	0.30999	0.12053	0.4735
LAT	4	-0.37441	-2.0955	0.36673	0.82395	0.036129	0.31858
DVL2	4	0.025899	0.264	0.66882	0.95371	0.79178	0.87858
OR2L5	4	0.15835	0.79614	0.2307	0.6989	0.42595	0.65952
ARHGEF38	4	0.075415	0.50914	0.49043	0.89057	0.61065	0.75628
TBC1D31	4	-0.38135	-2.1266	0.35783	0.81701	0.033457	0.30601
TPX2	4	-1.4916	-3.4239	0.0038284	0.063636	0.00061729	0.018668
NME5	4	0.016359	0.31783	0.70333	0.96154	0.75061	0.85188
NXT2	4	0.27493	1.4563	0.043156	0.31067	0.14532	0.4735
TNNC1	4	-0.17377	-1.2826	0.71233	0.96154	0.19964	0.48203
CNKSR2	4	0.25902	1.4728	0.05658	0.36285	0.1408	0.4735
