sgRNA,Gene,Ts13.initial,Ts13.final
185689447,IGF2BP2,2161,1369
31828443,HSPA1B,581,632
81252627,SLC38A10,1149,1054
7519506,ZNF358,1723,1867
53077774,PODN,870,760
40408720,SMAP2,782,1326
12109955,ZNF705D,2460,3100
149861013,HIST2H4B,2474,1677
71761831,C10orf54,465,525
15516710,CC2D2A,2646,3162
201002335,KIF21B,1801,2403
108382414,SULT1C4,2549,2986
72000462,IL18BP,789,1312
130464160,ASS1,2391,2860
144354046,TMEM249,384,292
133256143,ABO,1570,1523
,Non-Targeting_Control-N999,1427,1635
151025455,GPX3,1387,2946
21580497,GYS2,1086,764
1228607,SDF4,592,704
105250056,BTBD6,1683,1745
38972543,STOML3,1643,1842
24440216,NIPAL3,1880,2568
32830590,PRRG4,1367,2171
156658216,RNF32,1336,1331
110413438,DDO,3210,3188
183444964,CDKN2AIP,1498,1288
82705363,SCD5,1547,1320
51010136,KCNG1,1346,1463
56642121,OR5AP2,1134,1346
107687080,PAPSS1,2006,2550
17874488,FGL1,1556,2427
37315576,GOLGA4,802,719
18171449,KDM1B,2233,2456
114404835,KCNN2,1931,2468
45468654,FOSB,747,469
169735838,KLHL23,1249,2135
94179746,PANX1,1337,1066
11784430,DNAH9,1418,2204
66032691,VSIG4,798,1083
87770601,RUNDC3B,2998,2966
124319726,OR8D2,907,1284
66025548,ERBB2IP,2292,4091
15442518,CTRC,575,921
2818702,PRSS21,1346,1929
141155859,DENND3,1436,839
3204677,OR1F1,1865,1749
77753232,SLAIN1,505,704
67395479,PLEK2,1533,1786
46053824,PRR34,859,767
6199828,OR52W1,2164,2551
29174067,OR2J2,2746,3726
100141789,FBXO43,1483,1805
45713548,SPERT,949,1143
135523298,LCN1,528,567
113483113,RGS3,2169,2819
64942650,GPX2,1786,1944
3160239,PITRM1,1105,439
171114164,FMO3,2736,2863
103433041,LOC101928436,1336,1416
41071213,OARD1,840,1066
72012236,DHODH,1084,1134
88586035,EIF2AK3,2421,4701
122263596,KIAA1109,1395,1592
64707018,ZNF107,1523,2113
43512861,YIPF3,596,832
103630093,TCEAL1,1276,1298
179445136,AXDND1,2973,3250
214414665,PTPN14,947,1140
90069171,CALB1,2222,3059
148335639,SPINK9,2928,3598
209707049,HSD11B1,2109,2205
101651385,MYBPC1,1108,1349
31524864,DSG2,2849,3312
45965378,PHF21A,1100,2194
18804527,PSD3,2603,2019
41939340,TMEM33,2153,3345
37171019,PIM1,2102,2161
90231483,CIB1,1362,1991
171468956,DCAF17,798,787
11974036,DEFB136,2519,3261
96209901,BLNK,764,839
128947178,DOLK,983,76
83110190,DOPEY1,1130,1300
677294,TMEM18,776,639
49936172,SPRYD7,2804,3186
48918809,ARIH2OS,796,909
36122147,SLC39A6,2138,3053
102160650,NOLC1,462,136
38555401,DMC1,1648,1988
2073460,MYOM2,432,461
41071609,OARD1,1535,2078
7051351,MBD3L2,874,92
247921130,OR2T8,2287,3122
26158240,PSMA8,1989,2138
2529997,HES5,651,672
288130,PPAP2C,1587,1803
162093881,GABRG2,2143,2068
19253837,KCNH8,716,813
70598790,PRF1,804,1066
23702949,NKX2-6,1860,2506
95840477,PDHA2,2441,2562
67806307,RANBP10,1135,1248
6319450,PRKCDBP,638,954
13600344,PRPF18,802,295
9468020,ZNF560,2278,3647
152404484,NMUR2,905,1253
39180881,PNN,2318,3140
41363482,B9D2,1839,2632
52827176,ITIH4,1884,1848
35792791,NPR2,2233,2661
35805747,LHFPL5,2095,2147
32741981,KLHL14,1125,1121
33175049,SUSD5,849,605
11267838,PRB3,1994,2575
102209256,WDR20,2165,3044
8015359,ERRFI1,2065,2330
19936212,OR4K1,700,531
71458472,NADSYN1,1793,2328
84906058,TMSB10,2441,1889
59185490,PRR11,2580,2366
48646708,GTF2A1L,911,646
63719145,RTN3,2082,2098
159262576,IQCJ,908,950
24321415,C1QTNF9,1901,2962
56408079,AMFR,2597,3238
91987740,C12orf79,528,484
64591398,EYS,693,717
75016716,SCAMP5,800,909
25692930,HS3ST4,699,813
76337949,ISL2,1878,1965
128814781,SLC15A4,1153,832
77343803,TMED8,1880,2799
78826086,BMP2K,2871,3732
20006528,ZNF682,2778,3248
224431761,WDR26,2144,1757
4862754,MSX1,1176,1595
1593938,FBXL14,2077,1702
26489390,CCKAR,1689,2353
88108208,ADAM22,1154,1775
132404858,PWWP2B,280,530
30489849,HLA-E,1915,2930
103656240,TACR3,1132,1329
22221141,ANO5,2582,3952
145680429,C4orf51,2946,3165
74591240,ARID3B,3152,3240
25686479,MAN1C1,1173,1315
6843683,GNB3,2450,2932
