Gene	sgRNA	DLD1-Ts5.15|beta	DLD1-Ts5.15|z	DLD1-Ts5.15|p-value	DLD1-Ts5.15|fdr	DLD1-Ts5.15|wald-p-value	DLD1-Ts5.15|wald-fdr
BMP2K	6	0.044922	0.43201	0.49716	0.78988	0.66573	0.78945
BMPR1A	6	-0.50327	-2.2209	0.093288	0.40467	0.026359	0.17619
BMPR1B	6	-0.10356	-1.0508	0.8649	0.96698	0.29335	0.49635
BMPR2	6	-0.73594	-2.841	0.025597	0.20045	0.0044975	0.052362
BRAF	6	-0.050276	-0.39066	0.92406	0.98634	0.69605	0.81333
BRSK1	6	0.31369	1.7758	0.0065415	0.069486	0.07577	0.27864
BRSK2	6	-0.42115	-2.0578	0.15472	0.50511	0.03961	0.22592
BTK	6	0.017307	0.10105	0.62144	0.87156	0.91951	0.95624
BUB1	6	-0.83593	-2.9163	0.01479	0.13506	0.0035416	0.043388
BUB1B	6	-1.3828	-3.4459	0.00085324	0.013216	0.00056924	0.0097631
CAMK1	6	-0.045385	-0.54912	0.90387	0.98086	0.58292	0.72091
CAMK1D	6	0.2047	1.6798	0.073094	0.36045	0.092995	0.28613
CAMK1G	6	0.020119	0.36029	0.60978	0.86591	0.71863	0.82698
CAMK2A	6	0.075443	1.2351	0.37799	0.71444	0.21681	0.4184
CAMK2B	6	-0.016257	-0.18429	0.78072	0.93782	0.85379	0.92042
CAMK2D	6	0.32416	1.6993	0.004835	0.055195	0.089262	0.28535
CAMK2G	6	-0.21808	-1.5268	0.50512	0.79499	0.1268	0.32028
CAMK4	6	-0.05846	-0.67204	0.95592	0.99029	0.50156	0.68024
CAMKK1	6	0.11241	1.3998	0.25569	0.62	0.16158	0.36141
CAMKK2	6	0.027127	0.27031	0.57821	0.84113	0.78692	0.87474
CAMKV	6	-0.0667	-0.89282	0.98976	0.99542	0.37195	0.5659
CASK	6	-0.1199	-1.4251	0.8066	0.94439	0.15414	0.35371
CDC42BPA	6	0.12249	1.3026	0.23038	0.6	0.1927	0.39483
CDC42BPB	6	0.076655	0.61938	0.37287	0.70865	0.53567	0.69295
CDC42BPG	6	0.03368	0.25882	0.54807	0.82423	0.79578	0.87958
CDC7	6	-2.4145	-4.6311	0	0	3.6367e-06	0.00014051
CDK1	8	-2.9256	-6.5236	0	0	6.8651e-11	1.0495e-08
CDK10	6	-0.13274	-1.1363	0.76337	0.93135	0.25582	0.4608
CDK11A	6	-0.22964	-0.7444	0.47298	0.77638	0.45664	0.64583
CDK11B	6	-0.76459	-2.1869	0.022469	0.18119	0.028748	0.18649
CDK12	6	-1.1564	-2.5844	0.0017065	0.024194	0.0097537	0.09221
CDK13	6	-0.25558	-1.9002	0.41325	0.73982	0.057406	0.26191
CDK14	6	0.15717	1.6835	0.14562	0.48902	0.09228	0.28578
CDK15	6	0.045542	0.50109	0.49374	0.7873	0.6163	0.74773
CDK16	6	0.12934	1.874	0.21075	0.57833	0.060929	0.26775
CDK17	6	0.24994	1.5057	0.032423	0.23701	0.13215	0.32481
CDK18	6	-0.27431	-2.0325	0.37116	0.70824	0.042101	0.23459
CDK2	6	-0.74012	-2.5335	0.025028	0.19731	0.011293	0.10313
CDK20	6	0.043415	0.31777	0.50484	0.79499	0.75066	0.8514
CDK3	6	-0.14892	-1.5275	0.71246	0.91104	0.12664	0.32024
CDK4	6	-1.0552	-3.5401	0.0039818	0.04947	0.00040001	0.0072125
CDK5	6	0.12272	1.7644	0.22924	0.59837	0.077665	0.27864
CDK6	6	0.010168	0.20914	0.65501	0.88645	0.83434	0.90681
CDK7	6	-2.417	-4.9793	0	0	6.3812e-07	2.9138e-05
CDK9	11	-2.1832	-5.974	0	0	2.3153e-09	2.4668e-07
CDKL1	6	0.24333	1.5755	0.036689	0.25646	0.11514	0.30881
CDKL2	6	-0.096787	-0.90748	0.89078	0.97328	0.36415	0.55911
CDKL3	6	0.15746	1.332	0.14477	0.48755	0.18285	0.38154
CDKL4	6	-0.17061	-1.509	0.6405	0.88106	0.13131	0.32481
CDKL5	6	0.078128	0.93018	0.36832	0.70804	0.35228	0.54806
CHEK1	6	-3.4687	-6.4266	0	0	1.3052e-10	1.912e-08
CHEK2	6	0.056859	0.80339	0.45421	0.76423	0.42175	0.61174
CHUK	6	0.0090283	0.089642	0.6624	0.88995	0.92857	0.96206
CIT	6	-0.13561	-0.99339	0.75398	0.9304	0.32052	0.52265
CLK1	6	0.011125	0.095108	0.64989	0.88429	0.92423	0.95943
CLK2	6	-0.044257	-0.3466	0.90046	0.97928	0.72889	0.83495
CLK3	6	0.095373	1.1256	0.31598	0.67341	0.26035	0.46487
CLK4	6	0.065716	0.65067	0.42122	0.74534	0.51526	0.68732
CSF1R	6	0.072771	0.5345	0.38879	0.72175	0.59299	0.72939
CSK	6	-0.1691	-2.1484	0.64619	0.88238	0.031678	0.19756
CSNK1A1	6	-0.9612	-2.9621	0.0059727	0.064417	0.0030553	0.038921
CSNK1D	6	0.056406	0.43371	0.45506	0.76482	0.6645	0.78852
CSNK1E	6	-0.093596	-1.0361	0.90216	0.97962	0.30017	0.50407
CSNK1G1	6	0.0030196	0.064738	0.69312	0.90427	0.94838	0.9733
CSNK1G2	6	0.095168	1.167	0.31712	0.67341	0.2432	0.4478
CSNK1G3	6	-0.13804	-0.96996	0.74488	0.93039	0.33207	0.53198
CSNK2A1	5	-0.66592	-2.2527	0.060296	0.32565	0.024279	0.16512
CSNK2A2	6	-0.14814	-1.2204	0.71359	0.91104	0.22231	0.4248
DAPK1	6	0.21134	1.5111	0.065131	0.33976	0.13076	0.32432
DAPK2	6	0.0040876	0.043434	0.68885	0.90279	0.96536	0.98183
DAPK3	6	0.0083766	0.08468	0.66553	0.89109	0.93252	0.9632
DCLK1	6	-0.03617	-0.25702	0.86889	0.96713	0.79716	0.88028
DCLK2	6	0.15729	1.2973	0.14562	0.48902	0.19454	0.3969
DCLK3	6	-0.036368	-0.23366	0.86917	0.96713	0.81525	0.89465
DDR1	6	0.063745	0.55612	0.42975	0.75212	0.57813	0.71675
DDR2	6	0.071381	0.30714	0.39761	0.72879	0.75873	0.85625
DMPK	6	-0.24952	-1.6032	0.42264	0.74598	0.10889	0.30311
DSTYK	6	-0.090229	-0.91701	0.91439	0.98228	0.35914	0.55385
DYRK1A	6	-1.0481	-3.771	0.0042662	0.049505	0.0001626	0.003403
DYRK1B	6	-0.21908	-2.2528	0.50313	0.7947	0.024274	0.16512
DYRK2	6	0.096486	0.8689	0.31257	0.67217	0.3849	0.57983
DYRK3	6	0.10056	0.89782	0.29693	0.65543	0.36928	0.56309
DYRK4	6	0.029654	0.42529	0.56542	0.83635	0.67062	0.79391
EEF2K	6	0.1285	1.506	0.21303	0.58005	0.13207	0.32481
EGFR	6	-0.89387	-3.2921	0.0085324	0.086455	0.00099436	0.015678
EIF2AK1	6	0.089796	0.48783	0.32736	0.67564	0.62567	0.75492
EIF2AK2	6	-0.1554	-1.3955	0.68885	0.90279	0.16285	0.36194
EIF2AK3	6	0.50677	1.7852	0	0	0.074232	0.27864
EIF2AK4	12	-0.62218	-3.4024	0.0068259	0.071856	0.00066809	0.011348
EPHA1	6	-0.0083466	-0.049683	0.74801	0.93039	0.96038	0.97913
EPHA10	6	-0.0037666	-0.13624	0.7281	0.92252	0.89163	0.94096
EPHA2	6	0.086753	0.81897	0.33817	0.6857	0.4128	0.60576
EPHA3	6	-0.091635	-0.96804	0.91041	0.981	0.33302	0.53253
EPHA4	6	0.12352	1.4478	0.22611	0.59581	0.14767	0.34521
EPHA5	6	0.028112	0.35007	0.57338	0.83977	0.72628	0.83315
EPHA6	6	0.07797	0.94859	0.36889	0.70824	0.34283	0.54102
EPHA7	6	0.16564	1.4078	0.12884	0.4599	0.1592	0.3588
EPHA8	6	-0.13259	-0.93301	0.76394	0.93135	0.35082	0.54651
EPHB1	6	0.066257	0.67695	0.4198	0.74433	0.49844	0.679
EPHB2	6	-0.062414	-0.96957	0.97071	0.99388	0.33226	0.53198
EPHB3	6	0.28574	1.8775	0.015643	0.14103	0.060449	0.26634
EPHB4	6	-0.31517	-2.1081	0.29778	0.65543	0.035022	0.21276
EPHB6	6	-0.056502	-0.70315	0.94625	0.98989	0.48196	0.66538
ERBB2	6	-0.20264	-1.5421	0.55063	0.82488	0.12305	0.31755
ERBB3	6	-0.026169	-0.38641	0.8248	0.95144	0.69919	0.81503
ERBB4	6	0.042844	0.65926	0.50597	0.79562	0.50973	0.68693
ERN1	6	0.11275	1.1178	0.25512	0.6199	0.26366	0.46698
FASTK	6	-0.11712	-0.42826	0.8157	0.94659	0.66846	0.79215
FER	6	0.21943	1.701	0.054892	0.3104	0.08895	0.28535
FES	6	6.1518e-05	0.001182	0.7099	0.91104	0.99906	1
FGFR1	6	-0.045993	-0.4583	0.90643	0.98099	0.64673	0.77378
FGFR2	6	0.31997	1.6919	0.0056883	0.062112	0.090667	0.28535
FGFR3	6	0.10657	1.6379	0.27531	0.63601	0.10145	0.29484
FGFR4	6	-0.16571	-0.57794	0.65927	0.88846	0.5633	0.70558
FGR	6	0.14093	0.8947	0.18146	0.5453	0.37095	0.56507
FLT1	6	0.068248	1.3771	0.41268	0.73982	0.16847	0.36678
FLT3	6	0.031667	0.39681	0.55575	0.82797	0.69151	0.81034
FLT4	6	0.10292	0.60608	0.28754	0.64683	0.54446	0.69727
FRK	6	0.19137	1.468	0.091866	0.40467	0.1421	0.33782
FYN	6	-0.097561	-1.1885	0.89022	0.97328	0.23464	0.43976
GAK	6	-0.36727	-1.3864	0.21416	0.58147	0.16564	0.36338
GCK	6	-0.16626	-1.1816	0.65757	0.88786	0.23737	0.4418
GRK4	6	-0.06244	-0.64224	0.97071	0.99388	0.52072	0.68961
GRK5	6	0.13068	1.3072	0.20734	0.57356	0.19113	0.3923
GRK6	6	0.22439	1.6299	0.049772	0.29215	0.10312	0.29526
GSG2	6	-0.33801	-2.1151	0.25853	0.62193	0.034422	0.21085
GSK3A	6	-0.13407	-1.5755	0.75882	0.93091	0.11514	0.30881
GSK3B	6	0.4342	1.813	0	0	0.069829	0.27277
GUCY2D	6	0.10021	0.5565	0.29863	0.65543	0.57787	0.71668
GUCY2F	6	0.18219	0.98296	0.1058	0.43256	0.32563	0.52586
HCK	6	0.15178	1.6957	0.15671	0.50971	0.089934	0.28535
HIPK1	6	-0.32838	-2.079	0.27247	0.6357	0.037618	0.21971
HIPK2	6	-0.18728	-1.5663	0.59613	0.85726	0.11727	0.31189
HIPK3	6	0.17472	1.5457	0.11462	0.4453	0.12218	0.31657
HIPK4	6	0.01725	0.18317	0.62258	0.87187	0.85466	0.92042
HUNK	6	0.15586	1.3367	0.14903	0.49668	0.18134	0.38132
ICK	6	0.10012	1.3663	0.29892	0.65565	0.17185	0.37204
IGF1R	6	-0.87248	-2.8495	0.010523	0.10082	0.0043786	0.051489
IKBKB	6	0.088598	0.7159	0.33077	0.67893	0.47405	0.65932
IKBKE	6	0.22565	1.6834	0.048635	0.28836	0.092305	0.28578
ILK	6	-0.58266	-2.3249	0.05802	0.31925	0.02008	0.14527
INSR	6	-0.026693	-0.13318	0.82878	0.95311	0.89405	0.94208
INSRR	6	-0.04945	-0.65331	0.92008	0.98478	0.51355	0.68732
IRAK1	6	0.042252	1.1897	0.51109	0.79867	0.23416	0.43939
IRAK2	6	0.06229	0.52575	0.43544	0.75592	0.59906	0.73339
IRAK3	6	0.12665	1.3999	0.21928	0.59067	0.16153	0.36141
IRAK4	6	0.16873	1.1027	0.12344	0.45369	0.27016	0.47117
ITK	6	0.20204	1.4373	0.076792	0.37037	0.15064	0.35038
JAK1	12	0.043213	0.77881	0.31712	0.67341	0.43609	0.62507
JAK2	12	0.15072	2.368	0.035552	0.25151	0.017887	0.13701
JAK3	12	-0.14873	-2.2911	0.64619	0.88238	0.021958	0.1538
KALRN	5	-0.30899	-1.4511	0.33874	0.68599	0.14677	0.34402
KDR	6	0.069472	0.67274	0.407	0.73649	0.50111	0.68024
KIAA1804	6	0.033314	0.52918	0.54835	0.82423	0.59668	0.73124
KIT	6	-0.052126	-0.52007	0.93089	0.98763	0.60301	0.73712
KSR1	6	-0.11598	-1.2988	0.82053	0.94995	0.19403	0.3964
KSR2	6	0.018402	0.15941	0.61775	0.87089	0.87334	0.93116
LATS1	6	0.5831	1.6919	0	0	0.090667	0.28535
LATS2	6	0.15853	1.7197	0.14249	0.485	0.085493	0.28349
LCK	6	-0.16899	-1.3195	0.64647	0.88238	0.18701	0.38731
LIMK1	6	0.00096297	0.0076648	0.70421	0.90996	0.99388	1
LIMK2	6	-0.085998	-0.86139	0.93032	0.98762	0.38902	0.58386
LMTK2	6	-0.046975	-0.41622	0.90899	0.98099	0.67725	0.799
LMTK3	6	-0.12794	-0.80887	0.77873	0.93639	0.41859	0.6098
LRRK1	6	0.057403	0.93693	0.4525	0.76417	0.34879	0.54533
LRRK2	6	0.074018	1.4765	0.38311	0.71878	0.13981	0.33509
LTK	6	0.2035	1.0286	0.07537	0.36806	0.30368	0.50651
LYN	6	0.15985	1.4544	0.14135	0.48441	0.14583	0.34251
MAK	6	0.32199	1.4295	0.0051195	0.057692	0.15286	0.35225
MAP2K1	6	-0.099314	-0.93314	0.88168	0.9712	0.35075	0.54651
MAP2K2	6	-0.63311	-2.0251	0.045222	0.27895	0.042862	0.23673
MAP2K3	6	-0.34873	-2.0014	0.24147	0.60799	0.045345	0.24254
MAP2K4	6	0.2055	1.1597	0.072241	0.35775	0.24618	0.44942
MAP2K5	6	-0.035162	-0.41839	0.86405	0.96659	0.67566	0.79826
MAP2K6	6	0.061447	0.58996	0.43743	0.75732	0.55521	0.69993
MAP2K7	6	0.06099	0.50248	0.43885	0.75732	0.61533	0.74697
MAP3K1	17	0.19834	2.6597	0.0025597	0.033962	0.0078212	0.078123
MAP3K10	6	0.10957	1.1731	0.26621	0.62735	0.24074	0.44596
MAP3K11	6	-0.062943	-0.46196	0.97241	0.99447	0.64411	0.77162
MAP3K12	6	-0.083506	-0.63229	0.94369	0.98989	0.5272	0.69121
MAP3K13	6	0.015896	0.11295	0.62941	0.87658	0.91007	0.95
MAP3K14	6	0.060739	0.4576	0.43999	0.75732	0.64724	0.77378
MAP3K2	6	-0.34855	-1.533	0.24204	0.60799	0.12528	0.31906
MAP3K3	6	-0.33743	-2.2911	0.25939	0.62193	0.021956	0.1538
MAP3K4	6	-0.073	-0.67376	0.98379	0.99512	0.50046	0.68024
MAP3K5	6	-0.026811	-0.22572	0.82935	0.95311	0.82142	0.89768
MAP3K6	6	-0.19121	-1.7022	0.5839	0.84625	0.088718	0.28535
MAP3K7	6	-0.04031	-0.28741	0.88282	0.97126	0.7738	0.86429
MAP3K8	6	0.14983	1.1739	0.16183	0.51963	0.24043	0.44562
MAP3K9	6	-0.0034777	-0.067118	0.72668	0.92138	0.94649	0.97319
MAP4K1	6	-0.13106	-1.3419	0.76906	0.93338	0.17963	0.37932
MAP4K3	6	0.10384	1.6507	0.28328	0.64341	0.098791	0.29269
MAP4K4	6	0.15056	1.7498	0.15956	0.51515	0.08015	0.27929
MAP4K5	6	0.17808	1.7806	0.11092	0.43968	0.074975	0.27864
MAPK1	6	-0.071694	-0.96363	0.98777	0.99513	0.33523	0.53455
MAPK10	6	0.21149	1.928	0.065131	0.33976	0.053857	0.25766
MAPK11	6	0.0092738	0.078706	0.66069	0.88902	0.93727	0.9664
MAPK12	6	-0.07288	-0.53279	0.98379	0.99512	0.59418	0.72992
MAPK13	6	-0.020383	-0.14258	0.79721	0.94035	0.88662	0.93776
MAPK14	6	-0.32608	-2.5276	0.27645	0.63738	0.011483	0.10387
MAPK15	6	-0.37452	-2.2708	0.20307	0.56983	0.023158	0.16029
MAPK3	6	-0.2678	-1.0088	0.38623	0.71973	0.31308	0.51499
MAPK6	6	-0.1785	-1.6347	0.61945	0.8713	0.10211	0.29486
MAPK7	6	-0.38706	-2.4176	0.19113	0.55851	0.015624	0.12835
MAPK8	6	0.039708	0.50312	0.52048	0.80795	0.61488	0.74677
MAPK9	6	-0.16899	-1.5607	0.64647	0.88238	0.11859	0.31291
MAPKAPK2	6	0.079505	1.2288	0.3632	0.70242	0.21916	0.42159
MAPKAPK3	6	-0.11319	-1.1799	0.83077	0.95311	0.23804	0.44189
MAPKAPK5	6	0.11627	1.4089	0.24431	0.60799	0.15887	0.35854
MARK1	6	0.40315	1.6219	0.0014221	0.020747	0.10483	0.29771
MARK2	6	0.23374	1.3331	0.041524	0.27138	0.18249	0.38154
MARK3	6	0.011503	0.17736	0.64733	0.88251	0.85923	0.92246
MARK4	6	0.0016797	0.021184	0.69994	0.90879	0.9831	0.99458
MAST1	6	-0.57208	-2.4314	0.063424	0.33784	0.015039	0.12442
MAST2	6	-0.27788	-2.0546	0.3632	0.70242	0.039922	0.22639
MAST3	6	0.049522	0.85414	0.48123	0.78128	0.39303	0.58719
MAST4	6	0.23673	1.6139	0.040102	0.26705	0.10655	0.30165
MASTL	12	-1.1764	-3.7338	0	0	0.00018862	0.0038558
MATK	6	-0.2057	-1.3988	0.5401	0.82137	0.16187	0.36158
MELK	6	0.029823	0.35811	0.56513	0.83635	0.72026	0.82807
MERTK	6	-0.13815	-1.0343	0.74431	0.93039	0.301	0.50432
MET	6	0.3481	1.4103	0.0042662	0.049505	0.15845	0.35854
MINK1	6	-0.017226	-0.60188	0.78555	0.93884	0.54726	0.69851
MKNK1	6	-0.23582	-1.1789	0.45848	0.76822	0.23843	0.44239
MKNK2	6	0.23015	1.9437	0.044369	0.27739	0.051935	0.25575
MLKL	6	-0.17488	-2.2465	0.62941	0.87658	0.024672	0.16682
MOK	6	0.0013369	0.012483	0.70108	0.90892	0.99004	0.99885
MOS	6	-0.11255	-1.2112	0.83248	0.95311	0.2258	0.42944
MST1R	6	0.24316	1.2588	0.036974	0.25692	0.20811	0.41005
MTOR	6	-1.9068	-4.1651	0	0	3.1123e-05	0.00082277
MUSK	6	-0.024461	-0.18844	0.81655	0.94659	0.85054	0.91925
MYLK2	6	-0.31887	-1.6597	0.2901	0.64927	0.096976	0.29103
MYLK3	6	-0.082999	-0.77219	0.94425	0.98989	0.44	0.62816
MYLK4	6	0.34079	1.6261	0.0042662	0.049505	0.10392	0.29658
MYO3A	6	-0.19478	-1.3658	0.57395	0.83977	0.17201	0.37204
MYO3B	6	0.04767	0.82501	0.48635	0.78128	0.40936	0.60248
NEK1	6	-0.07417	-0.71728	0.97867	0.99512	0.4732	0.65932
NEK10	6	0.10873	1.1644	0.26906	0.63109	0.24426	0.44894
NEK11	6	0.26748	1.4671	0.021615	0.17593	0.14236	0.33789
NEK2	6	-0.37464	-1.7799	0.20307	0.56983	0.075096	0.27864
NEK3	6	0.10454	1.0699	0.28015	0.64086	0.28466	0.48614
NEK4	6	0.099391	0.67156	0.30006	0.6565	0.50186	0.68024
NEK5	6	0.053712	0.65861	0.46359	0.76822	0.51015	0.68704
NEK6	6	0.10689	0.77746	0.27389	0.63601	0.43689	0.6257
NEK7	6	0.009378	0.092283	0.65984	0.88889	0.92647	0.96091
NEK8	6	-0.33468	-1.2413	0.26251	0.62432	0.21451	0.41582
NEK9	6	0.1827	1.4735	0.1058	0.43256	0.14063	0.33572
NIM1K	6	0.24918	1.7623	0.032992	0.23868	0.078021	0.27864
NLK	6	-0.17626	-1.9329	0.62656	0.87594	0.053249	0.25766
NPR1	6	-0.072805	-1.0459	0.98464	0.99512	0.29559	0.4987
NPR2	6	0.18547	1.1186	0.1021	0.42285	0.26331	0.46698
NRBP1	6	-1.1784	-3.3399	0.0017065	0.024194	0.00083811	0.0139
NRBP2	6	-0.28283	-2.3855	0.35552	0.69677	0.017058	0.13358
NRK	6	0.30682	1.9865	0.0091013	0.090395	0.046979	0.24635
NTRK1	6	-0.10203	-0.84585	0.87002	0.96713	0.39764	0.59166
NTRK2	6	0.060419	0.60303	0.44113	0.75732	0.54649	0.69851
NTRK3	6	0.076111	1.0463	0.37486	0.7109	0.29543	0.4987
NUAK1	6	0.18003	1.2101	0.10922	0.43786	0.22624	0.42944
NUAK2	6	-0.0070676	-0.12576	0.74346	0.93039	0.89992	0.94452
OBSCN	12	-0.0183	-0.11095	0.62998	0.87658	0.91165	0.95089
OXSR1	6	-0.15241	-1.6028	0.69966	0.90879	0.10898	0.30311
PAK1	6	0.022706	0.26716	0.59784	0.85796	0.78934	0.87633
PAK2	6	0.23173	1.9075	0.043515	0.27739	0.056455	0.26166
PAK3	6	0.20714	1.5772	0.069966	0.35345	0.11474	0.30881
PAK4	6	-0.031896	-0.23164	0.84869	0.95827	0.81682	0.89601
PAK6	6	0.13054	1.0157	0.20791	0.57412	0.30978	0.51263
PAK7	6	-0.020257	-0.16714	0.79721	0.94035	0.86726	0.9274
PASK	6	-0.11086	-0.72627	0.8376	0.95525	0.46767	0.65544
PBK	6	-0.13263	-1.523	0.76394	0.93135	0.12775	0.32129
PDGFRA	6	-0.087692	-0.83812	0.92605	0.98727	0.40196	0.59532
PDGFRB	6	-0.0028003	-0.067897	0.7227	0.91902	0.94587	0.97299
PDIK1L	6	0.011566	0.19863	0.64733	0.88251	0.84255	0.91348
PDK1	5	-0.02294	-0.23556	0.84044	0.95606	0.81377	0.89413
PDK2	6	-0.029516	-0.30866	0.83902	0.95593	0.75758	0.85625
PDK3	6	-0.092053	-0.98475	0.90927	0.98099	0.32475	0.52498
PDK4	6	0.16008	1.3273	0.14078	0.48293	0.1844	0.3841
PDPK1	5	-0.35725	-1.924	0.27105	0.63389	0.054357	0.25862
PHKG1	6	-0.084313	-0.91499	0.93857	0.98921	0.3602	0.55425
PHKG2	6	0.033166	0.22975	0.5492	0.82423	0.81828	0.8962
PIK3R4	6	-1.7056	-3.4565	0.00028441	0.0051282	0.00054721	0.0094451
PIM1	6	-0.33084	-1.342	0.2682	0.62993	0.1796	0.37932
PIM2	6	-0.060608	-1.0354	0.96303	0.9918	0.3005	0.50407
PIM3	6	-0.034671	-0.19935	0.86291	0.96593	0.84199	0.91332
PINK1	6	-0.15638	-2.092	0.68601	0.90202	0.036435	0.21639
PKMYT1	6	-0.98278	-3.1864	0.0054039	0.059937	0.0014403	0.021278
PKN1	6	-0.15176	-1.3217	0.70137	0.90896	0.18628	0.38709
PKN2	6	-0.49854	-2.8003	0.095848	0.40871	0.0051047	0.057526
PKN3	6	-0.1309	-1.3411	0.76991	0.93388	0.17987	0.37939
PLK1	6	-2.8429	-5.3541	0	0	8.5966e-08	5.2113e-06
PLK2	6	-0.068696	-0.52623	0.99915	0.99972	0.59873	0.73324
PLK3	6	-0.0044568	-0.060974	0.73151	0.92288	0.95138	0.97429
PLK4	6	-1.3339	-2.4233	0.00085324	0.013216	0.015381	0.12665
PNCK	6	-0.037246	-0.32231	0.87258	0.96843	0.74722	0.84998
POMK	4	0.10829	1.015	0.39164	0.7255	0.31012	0.51263
PRKAA1	6	0.057837	1.0879	0.45051	0.76372	0.27663	0.47908
PRKAA2	6	-0.10815	-1.3946	0.84528	0.95655	0.16314	0.36194
PRKACA	6	0.018801	0.30856	0.61604	0.86883	0.75766	0.85625
PRKACB	6	-0.086983	-0.83997	0.92861	0.9876	0.40093	0.59455
PRKACG	6	0.042802	0.8145	0.50683	0.79589	0.41536	0.60777
PRKCA	6	0.045112	0.4159	0.4963	0.78924	0.67748	0.799
PRKCB	6	0.089832	1.036	0.32679	0.67564	0.3002	0.50407
PRKCD	6	0.036262	0.29592	0.53641	0.82	0.76729	0.86054
PRKCE	6	0.089862	0.74877	0.32679	0.67564	0.45399	0.64235
PRKCG	6	0.074615	0.85138	0.38111	0.71673	0.39456	0.58832
PRKCH	6	0.090738	0.80961	0.32509	0.67564	0.41816	0.60956
PRKCI	6	-0.12119	-1.0699	0.80205	0.9422	0.28469	0.48614
PRKCQ	6	-0.023284	-0.28575	0.81058	0.94622	0.77507	0.86513
PRKCZ	6	-0.16345	-1.289	0.66638	0.89134	0.19741	0.40002
PRKD1	6	-0.093657	-0.84471	0.90216	0.97962	0.39827	0.59176
PRKD2	6	0.11361	1.518	0.25171	0.614	0.12901	0.32331
PRKD3	6	-0.24011	-1.5057	0.44966	0.76266	0.13214	0.32481
PRKDC	6	-0.8997	-3.3199	0.008248	0.084795	0.00090039	0.0146
PRKG1	6	0.2067	1.8827	0.070535	0.35378	0.05974	0.26488
PRKG2	6	-0.03012	-0.26398	0.8413	0.95606	0.7918	0.87771
PRKX	6	0.088029	0.4552	0.33276	0.68102	0.64897	0.7746
PRKY	5	0.13258	1.1981	0.24744	0.60839	0.23089	0.43529
PRPF4B	6	-2.0538	-4.0985	0	0	4.1587e-05	0.0010225
PSKH1	6	-0.038416	-0.62641	0.87628	0.96887	0.53105	0.69237
PSKH2	6	0.14548	1.4287	0.17065	0.52957	0.15308	0.35225
PTK2	6	-0.63331	-2.3995	0.045222	0.27895	0.016417	0.13149
PTK2B	6	0.17198	1.9033	0.11803	0.4482	0.057007	0.26191
PTK6	6	-0.048706	-0.39427	0.91724	0.98355	0.69339	0.8113
