sgRNA,Gene,DLD1-Cont2_P10.13.initial,DLD1-Cont2_P10.13.final
PDK1_PKc_E2_142.3,PDK1,2896,2326
NEDD4_3960.104,NEDD4,2268,1721
SMARCA4_HELIC_e25.1,SMARCA4,18072,10794
BRPF1_ePhd_E3_363.44,BRPF1,972,568
RSPRY1_1731.64,RSPRY1,1078,557
neg8,neg8,27524,18537
RHOBTB1_BTB476581_E1_2091.176,RHOBTB1,916,583
ALG13_51.4,ALG13,2082,1465
SIRT4_e4_158.10,SIRT4,1756,1246
RNF133_1131.13,RNF133,3036,2203
PAX5_E2_166.9,PAX5,2082,1285
HOXB9_E2_177.12,HOXB9,3374,1500
neg46,neg46,14430,9112
TFDP2_E9_108.0,TFDP2,12708,8131
PHF14_ePhd_E8_39.0,PHF14,3794,1523
ZNF581_E2_246.42,ZNF581,5190,4698
ZNF527_E5_831.41,ZNF527,10140,6230
STAT6_E13_207.12,STAT6,2430,1408
MTF2_tudor4595_E1_1782.11,MTF2,1638,1135
ZBTB18_E2_69.0,ZBTB18,2844,2205
CTSH_1008.87,CTSH,5342,3668
GZF1_BTB21133_E1_2136.3,GZF1,2490,1782
RFPL3_954.120,RFPL3,3834,3021
FOXO6_E1_153.2,FOXO6,3352,2636
NEDD4_3960.299,NEDD4,3382,1780
PRKX_PKc_E1_52.2,PRKX,960,937
TRIM69_1503.154,TRIM69,3232,2770
ASB13_837.31,ASB13,4322,2960
TRIM24_BD_e19_86.2,TRIM24,3820,1727
SIX3_E1_147.5,SIX3,1676,1007
ZNF71_E3_1110.131,ZNF71,3252,2382
ZXDA_E1_384.9,ZXDA,1928,916
TAOK1_PKc_E2_129.8,TAOK1,2520,567
NFX1_E10_98.3,NFX1,6266,5031
NFX1_3366.289,NFX1,6266,5031
HES4_E2_75.7,HES4,3438,2631
DSTYK_PKc_E11_115.6,DSTYK,2134,1861
DPF1_Phd2_E11_82.6,DPF1,2146,1531
PAK4_PKc_E8_126.5,PAK4,1814,1549
MAZ_E2_78.0,MAZ,2786,2026
HMGB1_E2_135.8,HMGB1,1338,623
ZBTB33_E3_657.35,ZBTB33,3822,2161
KDM3A_e21_131.0,KDM3A,4284,3810
PSMB5_792.92,PSMB5,986,613
ARID2_E3_98.2,ARID2,1778,1401
MAP3K9_PKc_E5_68.2,MAP3K9,990,749
SH3RF1_2667.442,SH3RF1,2314,2083
IMMP2L_528.62,IMMP2L,2858,1638
MMP27_1542.151,MMP27,4008,2995
UBE2F_558.52,UBE2F,1982,1014
IRX6_E4_180.0,IRX6,3674,2977
ABHD17B_882.53,ABHD17B,2846,2263
ZSCAN31_E4_492.10,ZSCAN31,3200,2464
ALK_PKc_E22_65.1,ALK,1226,760
FOXP3_E11_102.1,FOXP3,12456,9778
WHSC1L1_PWWP9581051_E1_4314.148,WHSC1L1,2110,1410
FBXO48_468.6,FBXO48,1244,882
ARNTL2__158.7,ARNTL2,7566,8047
ZNF75D_E7_405.21,ZNF75D,4244,3086
RNF180_1779.95,RNF180,2352,1165
IPP_BTB28134_E1_1755.152,IPP,2332,1557
CRAMP1_SANT_E2_48.2,CRAMP1,862,497
TYK2_PKc_E18_135.4,TYK2,782,609
SOCS2_597.39,SOCS2,3198,2244
USP17L2_1593.179,USP17L2,6024,4702
ZFP2_E5_1059.49,ZFP2,11086,7194
NFIL3_E2_156.5,NFIL3,3954,2193
MMP26_786.44,MMP26,4620,3463
ADAMTS13_4284.886,ADAMTS13,2882,2352
RFX6_E4_62.7,RFX6,3286,2301
KDM4B_tudor9751030_E1_3291.35,KDM4B,546,521
PRKCB_PKc_E5_55.3,PRKCB,2398,2041
UBE4A_3201.25,UBE4A,2454,1443
BRWD3_BD_e32_126.5,BRWD3,2724,1873
VPS11_2825.164,VPS11,2840,2229
PRSS1_744.88,PRSS1,3034,2019
PIAS4_E9_132.3,PIAS4,1360,1311
TOX4_E5_144.1,TOX4,5092,3119
TRIM38_1398.156,TRIM38,2624,1863
USP38_3129.204,USP38,1716,692
PIAS2_E9_129.8,PIAS2,7856,6543
PIAS2_1866.123,PIAS2,7856,6543
FBXO34_3,FBXO34,2432,1545
MIER3_E10_81.1,MIER3,4702,3338
MIER3_SANT_E10_87.1,MIER3,4702,3338
ARID4A_E13_95.1,ARID4A,2344,1454
ANAPC7_1800.61,ANAPC7,1688,786
KMT2C_e58_117.5,KMT2C,11538,10679
KMT2C_14736.745,KMT2C,11538,10679
CDK9_e4.2,CDK9,7056,4543
STKLD1_PKc_E3_45,STKLD1,1472,878
T_E3_265.10,T,3488,3107
RXRG_E4_180.16,RXRG,6828,6077
ASB7_957.59,ASB7,1806,944
SNAPC4_SANT4_E14_68.5,SNAPC4,1242,927
TDRD15_Tudor_E4_336.8,TDRD15,1898,1269
ZNF844_E4_318.18,ZNF844,4266,1651
NCOR2_E19_95.0,NCOR2,2598,2357
NCOR2_SANT2_E19_101.0,NCOR2,2598,2357
USP2_1818.109,USP2,1520,768
STK32B_PKc_E8_117.15,STK32B,986,828
ADNP_E6_126.3,ADNP,4794,3599
ZNF660_E3_825.44,ZNF660,6502,4108
PRMT5_e12_106.3,PRMT5,2268,1565
PSMA2_705.42,PSMA2,1174,558
GGT7_1989.233,GGT7,1374,779
FBXO40_5,FBXO40,1454,1206
SH3RF2_2190.404,SH3RF2,1628,1051
SETDB1_E13_186.3,SETDB1,1620,1041
neg69,neg69,3904,2228
ADAM18_39.0,ADAM18,2472,1145
UBE2E2_606.51,UBE2E2,934,433
HMGB2_E2_126.14,HMGB2,5012,3677
CREB3_E6_67.3,CREB3,2590,1549
PMS1_E9_143.2,PMS1,4836,3692
SPZ1_E1_66.1,SPZ1,8776,6607
ZNF449_E5_573.1,ZNF449,1086,498
UNCX_E2_135.0,UNCX,6004,5286
L3MBTL3_MBT345439_E1_2343.211,L3MBTL3,2826,1816
TET2_e7_86.2,TET2,4490,2318
TRIM9_2133.369,TRIM9,2108,1526
ZNF417_E3_567.7,ZNF417,5810,4456
KCNG1_BTB65164_E1_1542.261,KCNG1,870,614
MTA2_SANT_E10_57.3,MTA2,2906,2215
ZNF222_E4_483.16,ZNF222,2648,1583
CAMK2G_PKc_E3_60.2,CAMK2G,242,129
BATF3_E2_90.3,BATF3,3300,1850
ZNF222_E4_483.30,ZNF222,2694,1627
PSMA2_705.64,PSMA2,2118,968
TSNARE1_SANT_E4_234.9,TSNARE1,1002,757
SPOPL_BTB190297_E1_1179.31,SPOPL,2012,1066
HM13_1281.161,HM13,1660,1240
CBLC_1425.103,CBLC,1996,1378
PRSS12_2628.222,PRSS12,3572,3000
SOX6_E14_107.4,SOX6,2078,861
PRSS8_1032.139,PRSS8,2246,1967
POU5F1B_E1_174.17,POU5F1B,2492,1645
CELA3A_813.87,CELA3A,4122,3240
BRD8_BD_e19_178.3,BRD8,1484,1333
PRSS41_957.126,PRSS41,5106,3453
DNPEP_1458.256,DNPEP,1960,1389
CDK20_PKc_E3_189.5,CDK20,826,835
KLKB1_1917.7,KLKB1,2122,1347
ZNF524_E2_243.13,ZNF524,3196,2701
RPL23A_e2.1,RPL23A,12146,6471
FBXO11_2784.130,FBXO11,6132,3673
TPSG1_966.6,TPSG1,2628,1752
ZNF79_E5_834.56,ZNF79,2464,1468
CDKL5_PKc_E5_137.5,CDKL5,2538,1503
ATF6_E8_162.8,ATF6,3248,1422
BARD1_2277.15,BARD1,1342,986
ZNF880_E4_1221.59,ZNF880,5114,4051
DCLK3_PKc_E2_390.28,DCLK3,2390,2367
TET3_e10_79.1,TET3,2668,2052
MEF2A_E3_51.1,MEF2A,6712,4682
ZNF189_E3_1161.3,ZNF189,3538,2419
ZNF676_E3_1410.86,ZNF676,3666,3433
UBTFL1_E1_558.21,UBTFL1,6396,3761
RNF222_663.159,RNF222,2378,1438
ASB10_1404.42,ASB10,1026,731
VPS41_2565.110,VPS41,1948,825
TERF1_SANT_E10_144.8,TERF1,650,243
ZNF470_E6_1338.89,ZNF470,1778,879
CSDE1_E11_213.15,CSDE1,1502,946
KLHL38_BTB24131_E1_1746.268,KLHL38,902,636
STAT4_E10_89.6,STAT4,4212,2652
TRERF1_E7_69.3,TRERF1,1764,1300
MARCH3_762.21,MARCH3,1108,587
KMT2C_e59_74.2,KMT2C,2918,2246
EIF2AK4_PKc_E9_536.1,EIF2AK4,3098,1243
HOXB3_E4_177.17,HOXB3,2570,2143
MYOG_E1_177.9,MYOG,2506,1925
CDK1_e7.1,CDK1,4398,2664
ZNF625_E4_396.14,ZNF625,6432,6251
ZNF587_E3_567.30,ZNF587,10962,7816
MAK_PKc_E3_55.1,MAK,2642,962
TRIB1_PKc_E3_361.38,TRIB1,2248,1037
PRSS53_1662.27,PRSS53,2234,1668
KCTD3_BTB20112_E1_2448.8,KCTD3,2064,1453
TFDP1_E6_144.6,TFDP1,2370,1517
ZNF582_E5_663.50,ZNF582,5460,3182
BMPR2_PKc_E10_137.6,BMPR2,2158,1955
USP4_150.10,USP4,1380,803
KLF5_E4_78.9,KLF5,2032,1439
RCOR2_SANT2_E10_58.0,RCOR2,2744,1718
PARK2_1398.149,PARK2,2234,1107
PSMB10_822.132,PSMB10,2868,2239
SRC_PKc_E9_82.15,SRC,1930,1845
PRKRIR_E1_80.0,PRKRIR,2752,1632
TLL1_3042.279,TLL1,4522,3737
EZH2_e16_96.8,EZH2,1832,1180
ADAMTS18_3666.74,ADAMTS18,3212,1721
USP1_2358.7,USP1,2636,1603
TRPS1_E6_102.4,TRPS1,7364,4606
FBXO22_1212.72,FBXO22,3674,1761
ZNF585B_E5_1839.141,ZNF585B,6202,4504
FMR1_Agenet59117_E1_1899.173,FMR1,4138,3305
ABHD12B_858.58,ABHD12B,4122,2903
SHPRH_H_e27_179.9,SHPRH,3520,2462
ASH1L_BD_e18_55.0,ASH1L,4052,2179
ZNF554_E5_498.59,ZNF554,3366,2981
TDRD3_tudor652700_E1_2235.103,TDRD3,2986,2289
WDSUB1_1431.53,WDSUB1,2896,1546
ZNF526_E3_963.98,ZNF526,2928,2115
TESK1_PKc_E5_83,TESK1,1880,1548
ZNF417_E3_567.28,ZNF417,3600,2605
SUV39H2_e4_147.1,SUV39H2,8296,5610
BRWD1_BD1_e32_126.1,BRWD1,1656,957
CLOCK_E7_149.4,CLOCK,3050,1704
ASB15_1767.136,ASB15,3556,3426
NAALADL2_2388.136,NAALADL2,1594,963
TFEB_E8_76.6,TFEB,3062,2357
PROX1_E4_195.9,PROX1,2148,1283
MBTPS2_1560.129,MBTPS2,3062,1607
ZNF234_E6_1245.128,ZNF234,7948,5279
ZNF773_E4_663.19,ZNF773,2180,1185
UBE2C_240.27,UBE2C,1800,1083
FBXO38_2,FBXO38,2564,1736
NIM1K_PKc_E4_414.1,NIM1K,2022,1418
KLK9_753.142,KLK9,6560,4756
BTBD9_BTB33137_E1_1839.2,BTBD9,2794,1813
MIB2_3213.414,MIB2,3404,2641
ATOH1_E1_177.0,ATOH1,2540,1810
KLHL20_BTB59165_E1_1830.206,KLHL20,2856,2042
ADAMTS4_2514.456,ADAMTS4,1458,1026
CIC_E6_171.6,CIC,2350,1929
UTY_e25_115.4,UTY,8142,5384
HDAC8_e3_131.7,HDAC8,4254,2873
SUB1_E5_47.1,SUB1,1184,1175
SMN1_Tudor_E5_201.4,SMN1,2282,1255
FBXW9_15,FBXW9,2056,1578
ZNF582_E5_663.39,ZNF582,3018,1890
ANAPC10_2,ANAPC10,2252,1593
RNF112_1896.385,RNF112,2908,2129
ASB10_1404.247,ASB10,1822,1770
UBE2J2_828.128,UBE2J2,1422,577
CUL9_7554.837,CUL9,984,428
ZNF304_E4_1068.94,ZNF304,2522,1595
PHF7_1146.110,PHF7,1400,936
TRIM13_1224.106,TRIM13,2012,1073
SPPL2B_1779.345,SPPL2B,2114,1421
ZNF740_E6_119.3,ZNF740,10408,9008
BTBD1_BTB62175_E1_1449.42,BTBD1,2302,2168
PRKCZ_PKc_E10_98.3,PRKCZ,2192,1639
ZBTB43_E3_216.3,ZBTB43,3916,2088
FBXL18_2157.376,FBXL18,2560,1523
STAT6_E12_93.8,STAT6,6054,5511
DCAF17_1362.103,DCAF17,3412,2943
KCTD8_BTB46143_E1_1422.35,KCTD8,1332,659
XIAP_3,XIAP,1840,1010
JUNB_E1_162.21,JUNB,1128,1263
TRIM6-TRIM34_2529.17,TRIM6-TRIM34,4286,2883
TRIM6_1551.17,TRIM6,4286,2883
CBL_2721.248,CBL,5134,3676
CUL4A_2280.31,CUL4A,3170,1786
PhIP_BD1_e32_126.5,PhIP,3544,2077
STAT5A_E12_93.9,STAT5A,3926,2966
ZNF556_E4_492.21,ZNF556,4488,3535
HELLS_D_e9_190.7,HELLS,3854,2564
CAMK2B_PKc_E6_73.6,CAMK2B,2514,1838
ZNF302_E6_495.26,ZNF302,2516,1833
MID1_2004.236,MID1,2718,1772
RXRG_E4_180.4,RXRG,1558,798
ZNF225_E5_1635.25,ZNF225,5384,5023
DAPK1_PKc_E2_44.1,DAPK1,1920,1303
ATF6_E8_162.9,ATF6,3976,2278
ZNF782_E6_1062.1,ZNF782,4794,3348
C1R_2118.175,C1R,1132,878
ZNF74_E5_915.57,ZNF74,1302,741
KCND1_BTB42131_E1_1944.35,KCND1,2658,1229
NTRK3_PKc_E15_123,NTRK3,2122,1698
TRIM36_2187.183,TRIM36,5122,2875
DNMT3B_PWWP223309_E1_2562.342,DNMT3B,950,688
AGA_1041.86,AGA,3398,1701
SIAH1_942.79,SIAH1,4198,2028
PhIP_BD1_e30_86.1,PhIP,4148,1970
PHIP_5466.190,PHIP,4148,1970
CHD1L_H_e11_74.2,CHD1L,2592,1883
neg49,neg49,10466,5691
RNF34_1122.64,RNF34,1046,712
SETMAR_e2_380.5,SETMAR,2956,1685
DTX3L_2223.99,DTX3L,724,584
ERCC6_H_e13_105.0,ERCC6,3072,2046
IKZF5_E5_187.11,IKZF5,2326,1234
ECT2L_2715.251,ECT2L,1456,594
BAZ1B_Phd_E15_113.2,BAZ1B,1586,1180
NRF1_E5_141.8,NRF1,2398,1234
BRD3_BD2_e7_129.3,BRD3,3912,2496
USP17L15_1680.151,USP17L15,3432,2007
HOXB3_E4_177.12,HOXB3,2052,1786
FGR_PKc_E10_77.7,FGR,2718,2038
DDB1_3423.475,DDB1,974,740
KCNA10_BTB88179_E1_1536.29,KCNA10,832,531
ANAPC5_2268.82,ANAPC5,1648,1384
KDM4A_ePhd_E16_53.4,KDM4A,2036,1127
PRSS53_1662.325,PRSS53,2354,1921
PRSS53_825.103,PRSS53,2354,1921
ZNF460_E3_999.105,ZNF460,2878,1686
KMT2A_BD_e17_111.4,KMT2A,2610,1827
PRMT1_e4_73.7,PRMT1,1122,597
TRIM40_777.108,TRIM40,1250,596
KDM7A_e6_187.7,KDM7A,2600,1544
AKTIP_8,AKTIP,3654,3211
USP18_1119.135,USP18,2842,2362
ZNF251_E5_1287.112,ZNF251,5028,4662
MAP2K7_PKc_E5_114.12,MAP2K7,2112,1573
ZNF276_E2_231.25,ZNF276,1960,1507
HSF4_E4_109.8,HSF4,1864,1249
CUL4B_2742.48,CUL4B,2666,1707
GATAD2B_E8_203.16,GATAD2B,2576,1749
KDM5D_e15_118.1,KDM5D,5546,4236
KLK8_134.1,KLK8,3382,2395
KDM5A_e12_163.5,KDM5A,5678,5343
ANAPC5_2268.41,ANAPC5,3660,2200
KDM5A_Phd3_E28_204.0,KDM5A,986,622
ZNF155_E5_750.59,ZNF155,2428,1546
IVNS1ABP_BTB22126_E1_1929.1,IVNS1ABP,1442,876
UBE2V1_513.26,UBE2V1,2384,1857
CTRB1_792.75,CTRB1,2034,1369
PRKRIR_E1_80.9,PRKRIR,2318,1408
TGFBR2_PKc_E8_102.12,TGFBR2,2282,2080
HLTF_3030.169,HLTF,2596,1519
MMP21_1710.74,MMP21,1308,1285
ZNF200_E5_240.12,ZNF200,2000,1175
ZNF677_E5_903.12,ZNF677,5168,3240
ZNF534_E4_1170.83,ZNF534,1262,645
MARCH7_2001.91,MARCH7,3230,1853
ZNF530_E3_1005.13,ZNF530,4910,3179
PTK7_PKc_E18_152.17,PTK7,442,182
PHF19_Phd1_E5_86.9,PHF19,2542,2770
FOS_E3_75.1,FOS,1592,1213
KDM1B_e13_75.2,KDM1B,6082,4542
ZNF816_E5_999.43,ZNF816,8672,5995
KDM4A_tudor9601004_E1_3195.227,KDM4A,2380,1921
UBE2E3_624.10,UBE2E3,4766,3490
LTA4H_1836.192,LTA4H,2556,1416
HMX2_E2_174.21,HMX2,5326,3091
ZIC1_E1_157.1,ZIC1,4840,5298
PRMT5_e12_106.10,PRMT5,3594,3233
HM13_1281.181,HM13,1704,2092
JARID2_E17_108.3,JARID2,2578,1554
RAG1_3132.353,RAG1,2842,1802
PLK2_PKc_E4_130.5,PLK2,688,386
MAP3K9_PKc_E2_412.14,MAP3K9,1236,1048
MAFA_E1_273.9,MAFA,3572,2290
MMP24_1938.66,MMP24,2930,1893
DOT1L_e7_63.4,DOT1L,3566,1597
FBXW5_1701.238,FBXW5,510,402
IKZF2_E5_168.5,IKZF2,3300,1919
KMT2C_14736.787,KMT2C,2202,1571
TADA2B_E2_73.0,TADA2B,1694,1181
MST1_2178.186,MST1,2278,1231
TRIM24_Phd_E15_104.1,TRIM24,5284,3641
TRIM24_3153.132,TRIM24,5284,3641
ZNF217_E3_47.0,ZNF217,4146,1898
RNF217_1629.147,RNF217,2092,1444
MAPK13_PKc_E5_30,MAPK13,1298,695
ZPR1_E9_71.1,ZPR1,2222,1208
PHF11_Phd_E3_84.0,PHF11,4102,2103
ZNF705G_E5_162.6,ZNF705G,3156,1983
STK17B_PKc_E2_53.1,STK17B,1060,807
KCNG4_BTB61160_E1_1560.19,KCNG4,3530,2273
ZNF90_E4_996.22,ZNF90,2650,1389
RNF125_699.53,RNF125,2196,1196
ARID5A_E6_34.3,ARID5A,1726,1399
HNF1B_E3_116.0,HNF1B,2438,1584
FOXD4L6_E1_234.5,FOXD4L6,5098,2957
CSF1R_PKc_E17_98.1,CSF1R,1528,1196
TULP4_E13_120.16,TULP4,3124,1606
TULP4_4632.365,TULP4,3124,1606
L3MBTL2_MBT511604_E1_2118.165,L3MBTL2,2488,1830
ZNF80_E1_411.42,ZNF80,3612,3493
KLHL20_BTB59165_E1_1830.16,KLHL20,1746,1558
SCYL1_PKc_E3_123.21,SCYL1,1108,1062
ZNF341_E3_81.7,ZNF341,1000,693
ASPRV1_1032.66,ASPRV1,3080,2285
HOXA3_E3_177.16,HOXA3,1926,1075
ZNF584_E4_495.49,ZNF584,2192,1252
Nr1h4_E3_153.14,Nr1h4,1668,922
MAPKAPK2_PKc_E6_76.6,MAPKAPK2,2780,1219
TRIM48_675.13,TRIM48,2946,2374
CDK3_PKc_E6_102,CDK3,1168,666
ZNF160_E7_1665.108,ZNF160,4830,3922
MTF1_E3_215.12,MTF1,2844,2265
HIVEP2_E5_4578.36,HIVEP2,3866,2850
ZIC5_E1_118.8,ZIC5,1158,893
KMT2C_Phd5_E19_134.10,KMT2C,1412,1022
ZNF263_E6_231.13,ZNF263,4388,4209
CLPP_834.119,CLPP,4084,3157
PRDM9_E11_915.125,PRDM9,2056,2298
SFMBT1_MBT23120_E1_2601.33,SFMBT1,2070,1259
XIAP_1494.25,XIAP,2466,2161
UBE4A_3201.57,UBE4A,2944,2191
TRIM33_3384.382,TRIM33,832,539
PRSS58_726.36,PRSS58,5114,4199
RSF1_Phd_E8_99.5,RSF1,8416,7106
HSFY2_E2_126.3,HSFY2,7750,3804
KCNB1_BTB33132_E1_2577.14,KCNB1,1274,739
TFAP2C_E5_119.7,TFAP2C,2284,1136
KLHL26_BTB56157_E1_1848.32,KLHL26,4250,3479
ELF2_E7_188.12,ELF2,2930,1800
FBXO45_861.128,FBXO45,1230,958
ZNF695_E4_1104.30,ZNF695,3150,2752
TERF2_E10_144.12,TERF2,4450,3348
PITRM1_3117.19,PITRM1,4002,2780
ZNF19_E6_648.22,ZNF19,3972,2017
USP51_2136.182,USP51,2324,1587
PSMA4_786.23,PSMA4,2428,1227
BRDT_BD1_e2_121.3,BRDT,5850,4676
KCNS3_BTB17116_E1_1476.14,KCNS3,3398,3087
ZNRF3_2811.553,ZNRF3,1200,1028
MOZ_e12_162.1,MOZ,1268,713
IRAK1_PKc_E5_81.5,IRAK1,306,221
ZNF223_E5_498.39,ZNF223,3044,2361
ZNF655_E4_582.26,ZNF655,2366,1505
AHRR_E3_126.4,AHRR,906,577
MEX3A_1563.71,MEX3A,644,519
ZFP2_E5_1059.45,ZFP2,3184,1349
ZNF664_E5_735.39,ZNF664,3654,2541
BRD2_BD2_e6_145.7,BRD2,2416,2011
PAPPA_4884.697,PAPPA,3794,3377
TSC22D2_E4_168.3,TSC22D2,1250,1050
ASB8_867.58,ASB8,3852,2305
BAZ1A_BD_e25_118.1,BAZ1A,4386,3615
FBXL19_Phd_E4_63.2,FBXL19,1444,757
FBXL19_2085.469,FBXL19,1444,757
AIRE_Phd1_E8_113.6,AIRE,1836,1764
UBE2A_459.19,UBE2A,1964,1492
ZRANB1_121.0,ZRANB1,4848,2836
USP17L11_885.50,USP17L11,16994,14346
USP17L18_885.50,USP17L18,16994,14346
USP17L19_885.50,USP17L19,16994,14346
USP17L20_885.50,USP17L20,16994,14346
USP17L22_885.50,USP17L22,16994,14346
USP17L24_885.49,USP17L24,16994,14346
USP17L25_885.49,USP17L25,16994,14346
USP17L26_885.49,USP17L26,16994,14346
ZNF300_E7_1077.56,ZNF300,1298,735
ZNF610_E6_735.29,ZNF610,1830,1167
STEAP1_1020.54,STEAP1,5776,5132
KMT2B_e36_130.3,KMT2B,4062,3912
TRIM26_1620.228,TRIM26,1696,997
ZNF225_E5_1635.24,ZNF225,3382,2139
DPYSL5_1695.29,DPYSL5,2898,1497
TULP4_4632.49,TULP4,3074,1880
F7_1401.21,F7,1892,1381
CDC27_2493.112,CDC27,1132,446
ZNF20_E4_1233.57,ZNF20,3444,1678
LRRK2_PKc_E40_191.4,LRRK2,1010,569
KCNS3_BTB17116_E1_1476.183,KCNS3,1368,735
MID1_2004.0,MID1,2354,1300
PHOX2A_E3_42.2,PHOX2A,1664,883
BTRC_1818.138,BTRC,3734,3030
USP24_99.1,USP24,6916,4587
TRIM9_2133.287,TRIM9,3950,3951
TBX3_E2_268.13,TBX3,2214,1347
HTRA2_1377.21,HTRA2,1488,878
ZNF556_E4_492.44,ZNF556,2674,2459
FOXO4_E2_90.1,FOXO4,5768,3582
TLL1_3042.52,TLL1,3296,2025
TLX3_E2_167.13,TLX3,1670,1139
UBE2J1_957.86,UBE2J1,3420,3390
ZNF239_E2_816.82,ZNF239,3608,3075
PLAGL1_E7_67.4,PLAGL1,2552,1412
SP2_E7_80.4,SP2,4100,1855
KMT2D_e51_74.0,KMT2D,2440,2497
ANAPC1_10,ANAPC1,542,218
RNF186_684.112,RNF186,3774,2580
ZNF468_E4_750.15,ZNF468,2796,1357
BRD2_BD1_e3_138.3,BRD2,4680,2536
FBXL7_1476.30,FBXL7,2884,2332
