sgRNA,Gene,HCT116-Ts3.initial,HCT116-Ts3.final
ZNF484_E4_1164.90,ZNF484,3023,2438
PCSK2_1917.108,PCSK2,2482,2290
RPL23A_e3.1,RPL23A,9581,663
CAD_6678.595,CAD,902,218
SCAF11_4392.373,SCAF11,1632,1777
SIAH2_975.135,SIAH2,568,555
TSC22D2_E4_168.4,TSC22D2,1817,1586
DPP6_2598.216,DPP6,1258,1730
STAT4_E10_89.5,STAT4,1529,2028
ZNF626_E4_915.70,ZNF626,1406,1784
PEX12_1080.16,PEX12,1120,1053
ABHD12_1215.47,ABHD12,2811,3617
ZNF32_E3_561.62,ZNF32,1085,1490
PIAS1_Ex_220.13,PIAS1,2848,2039
PIAS1_1956.136,PIAS1,2848,2039
UBR7_Phd_E5_54.3,UBR7,808,556
ZNF98_E4_1155.61,ZNF98,1207,1510
OLIG1_E1_189.0,OLIG1,1157,1426
CAPN11_2220.9,CAPN11,869,825
GAN_BTB20125_E1_1794,GAN,913,582
ZNF491_E3_1176.92,ZNF491,1566,860
PHF7_Phd_E10_103.7,PHF7,832,753
DTX3_1053.58,DTX3,843,815
SOHLH2_E7_130.1,SOHLH2,1888,2602
ASB9_885.74,ASB9,1291,1951
HERC3_2799.51,HERC3,1457,1691
ZNF407_E1_4129.115,ZNF407,1346,420
SOX8_E1_122.15,SOX8,1887,1407
MUL1_1059.70,MUL1,891,1286
TULP1_E13_99.12,TULP1,1693,980
ABHD12B_858.58,ABHD12B,1799,1794
HOXD4_E2_177.20,HOXD4,641,760
ZNF641_E7_477.30,ZNF641,1869,2160
ZNF619_E6_732.63,ZNF619,1320,1883
ZBTB2_BTB1484_E1_1545.203,ZBTB2,906,529
KCTD21_BTB593_E1_783.112,KCTD21,1418,1213
MYLIP_1338.102,MYLIP,1808,2087
RORA_E4_142.1,RORA,2276,2598
HSFX2_E2_72.4,HSFX2,1572,1724
ARID3B_E4_73.4,ARID3B,1563,1444
IDE_3060.254,IDE,2742,3499
HTRA2_1377.163,HTRA2,1479,1641
TRAF6_1569.156,TRAF6,1424,1816
CDK12_PKc_E7_57,CDK12,2425,3424
SPSB2_792.92,SPSB2,740,409
ASB16_1362.138,ASB16,699,446
PRMT9_e4_168.5,PRMT9,3062,2891
USP47_3864.51,USP47,1360,1390
CYLD_2871.134,CYLD,943,1165
AMBRA1_3906.53,AMBRA1,895,1802
FOXO3_E2_90.1,FOXO3,1816,1431
PIAS3_1887.273,PIAS3,915,649
SMAD5_E4_372.17,SMAD5,438,747
RIPK1_PKc_E5_150.8,RIPK1,666,573
ZNF28_E4_1494.60,ZNF28,1613,1495
BCL6B_E6_31.0,BCL6B,2515,1984
ZBTB17_E13_131.14,ZBTB17,1048,167
FOXQ1_E1_237.1,FOXQ1,1116,1041
SOHLH2_E7_130.3,SOHLH2,4133,4783
DPF1_Phd1_E9_94.12,DPF1,1332,1150
APEH_2199.194,APEH,920,730
ZNF75D_E7_405.13,ZNF75D,2235,2306
MAP3K11_PKc_E2_181.2,MAP3K11,1132,1129
UBE2NL_462.49,UBE2NL,591,779
EPHA4_PKc_E16_150.16,EPHA4,956,1234
VRK3_PKc_E8_85.5,VRK3,968,811
SMAD1_E2_372.47,SMAD1,1787,2132
HDAC4_e19_56.3,HDAC4,1408,1204
KDM8_e4_133.0,KDM8,592,69
ZNF716_E4_825.43,ZNF716,1638,2610
SOCS4_1323.70,SOCS4,1129,1936
IRX4_E6_180.28,IRX4,305,192
BAZ2B_BD_e36_144.1,BAZ2B,1375,1610
ADAM33_2442.13,ADAM33,1553,1552
MMP17_1812.336,MMP17,729,612
TMPRSS4_1314.55,TMPRSS4,1619,1716
RNPEP_1953.123,RNPEP,1957,2442
SETD1A_e18_138.16,SETD1A,1308,91
PARP9_Macro317453_E1_2565.64,PARP9,1328,1243
RAPSN_1239.124,RAPSN,135,130
FOXP2_E14_102.4,FOXP2,2416,1734
ZNF32_E3_561.53,ZNF32,2553,2341
FBXW2_1365.136,FBXW2,1183,866
ZNF708_E4_1233.22,ZNF708,3019,4872
PSKH2_PKc_E2_667.2,PSKH2,252,144
BAP1_2190.17,BAP1,371,105
CREBL2_E2_141.2,CREBL2,1377,1866
MIER3_E11_54.0,MIER3,3019,5309
MIER3_SANT_E11_57.0,MIER3,3019,5309
ASB2_1908.188,ASB2,1052,1089
ZNF749_E3_1185.42,ZNF749,748,713
SPPL2B_1779.17,SPPL2B,1602,1151
PHF7_Phd_E9_59.4,PHF7,1617,2438
PHF7_1146.101,PHF7,1617,2438
CCIN_BTB18128_E1_1767.244,CCIN,590,404
HMX2_E2_174.21,HMX2,2051,3281
ZNF331_E7_993.6,ZNF331,991,967
MTF2_Phd1_E5_86.3,MTF2,1358,994
VSX1_E4_42.3,VSX1,800,957
GZMM_774.151,GZMM,1131,760
PHKG1_PKc_E2_38.1,PHKG1,1008,860
INSM2_E1_852.161,INSM2,1203,896
ASB5_990.54,ASB5,1260,1408
neg7,neg7,10672,14782
NR0B1_E2_220.5,NR0B1,2193,2287
NCOR2_E15_42.0,NCOR2,2408,1234
UBE2E1_582.44,UBE2E1,1010,1230
RXRG_E4_180.16,RXRG,2786,2841
SMARCC1_Chromo_E7_70.3,SMARCC1,993,1305
TMPRSS11D_1257.72,TMPRSS11D,1834,832
IVNS1ABP_BTB22126_E1_1929.161,IVNS1ABP,666,745
KLHL2_BTB50157_E1_1794.164,KLHL2,807,947
ZNF501_E3_582.27,ZNF501,1703,1474
TFE3_E8_76.2,TFE3,1418,1271
DCAF6_2856.143,DCAF6,1081,1205
NEURL2_858.75,NEURL2,915,1594
USP11_2892.225,USP11,929,749
TDRD9_tudor949996_E1_4149.337,TDRD9,705,836
STK17B_PKc_E6_49.2,STK17B,448,333
CDYL2_Chromo_E2_144.10,CDYL2,712,422
ZNF34_E6_1071.12,ZNF34,2327,3054
LAP3_1560.54,LAP3,1482,1684
FBXO39_1,FBXO39,1005,919
ZNF184_E6_1131.58,ZNF184,1402,1626
PLAT_1689.165,PLAT,871,1099
ZBTB16_BTB25125_E1_2022.333,ZBTB16,654,464
PRSS27_873.169,PRSS27,1036,965
SEC11A_558.52,SEC11A,1756,1740
SEC11A_150.9,SEC11A,1756,1740
ASH1L_Phd_E21_66.2,ASH1L,1513,1140
ZNF490_E5_918.59,ZNF490,1444,1086
ARNTL2__158.7,ARNTL2,3529,2555
MACROD1_Macro153319_E1_978.103,MACROD1,401,297
LHX2_E5_39.0,LHX2,584,608
BTRC_1818.18,BTRC,1186,819
ZNF19_E6_648.6,ZNF19,2753,3470
DDR2_PKc_E15_128.5,DDR2,405,528
NFXL1_E13_121.8,NFXL1,3863,3652
NFXL1_2736.184,NFXL1,3863,3652
NUAK1_PKc_E6_133.7,NUAK1,837,901
ZBTB12_BTB23127_E1_1380.276,ZBTB12,995,545
FBXO18_3285.348,FBXO18,1548,2577
TRAF3_1707.170,TRAF3,1234,1152
MGRN1_1731.205,MGRN1,1313,1246
HOXC6_E2_177.14,HOXC6,407,235
ZNF99_E4_1773.49,ZNF99,745,1195
SOX21_E1_216.14,SOX21,2349,2511
SMAD4_E3_165.3,SMAD4,1700,1073
TDRD6_tudor314360_E1_6291.553,TDRD6,446,209
PHIP_5466.435,PHIP,1333,1292
ZNF585B_E5_1839.124,ZNF585B,2750,4310
KDM4B_e8_104.12,KDM4B,1101,1530
DYRK1A_PKc_E4_75.3,DYRK1A,602,661
ZBTB45_E3_212.23,ZBTB45,1653,569
DPYSL3_2055.258,DPYSL3,1081,1096
ZNF285_E5_1002.0,ZNF285,281,171
ZNF575_E4_504.119,ZNF575,996,822
RNF103_2058.134,RNF103,741,823
SPEG_PKc1_E23_58,SPEG,756,791
KDM8_e7_159.11,KDM8,1220,212
RBCK1_1533.22,RBCK1,721,793
STAT1_E14_94.9,STAT1,1910,1323
CHD1_Chromo_E8_101.2,CHD1,810,543
NCOA1_e18_175.22,NCOA1,2543,2352
TRIM45_1689.261,TRIM45,465,518
RPL9_e3.1,RPL9,6799,938
SEC11A_558.51,SEC11A,2986,2494
SEC11A_150.8,SEC11A,2986,2494
ZNF417_E3_567.24,ZNF417,1304,1432
RNF223_750.149,RNF223,1098,1104
USP15_150.3,USP15,1635,1151
SUB1_E4_109.1,SUB1,838,996
HOXD8_E2_177.4,HOXD8,857,997
USP30_1554.95,USP30,358,245
PRSS3_915.133,PRSS3,608,504
THAP11_E1_234.14,THAP11,595,103
ZNF473_E5_1962.71,ZNF473,1745,2126
PCSK2_1917.242,PCSK2,1287,1147
ZNF224_E6_1320.28,ZNF224,1875,1501
NR0B1_E1_386.20,NR0B1,583,533
PHRF1_Phd_E6_68.0,PHRF1,1445,1323
PHRF1_4950.60,PHRF1,1445,1323
CDK13_PKc_E9_78.2,CDK13,557,535
ZNF37A_E8_1242.35,ZNF37A,1481,1531
MTA3_E10_84.4,MTA3,2542,3825
MTA3_SANT_E10_87.4,MTA3,2542,3825
CUL2_2295.35,CUL2,1504,1910
ZBTB38_E8_2331.86,ZBTB38,908,477
ABHD12_1215.39,ABHD12,1756,1748
PRMT9_e4_168.4,PRMT9,1252,1182
ZNF195_E6_1215.93,ZNF195,1162,1249
THAP3_E2_190.12,THAP3,1536,1452
PBRM1_BD2_e7_69.2,PBRM1,2179,1614
ZXDA_E1_384.16,ZXDA,687,1075
USP26_2742.199,USP26,1234,1697
ZNF536_E4_38.0,ZNF536,3263,2802
ENPEP_2874.296,ENPEP,1204,1602
ZNF354C_E5_834.4,ZNF354C,916,791
ZNF699_E5_1254.99,ZNF699,803,413
ACVR1_PKc_E10_131,ACVR1,654,782
RNF17_4860.367,RNF17,1133,879
ZNF92_E4_831.57,ZNF92,1303,1701
DCAF15_1803.57,DCAF15,379,310
ARID5B_E8_98.2,ARID5B,302,232
RNF149_1203.86,RNF149,1697,1323
ZNF281_E2_246.1,ZNF281,1194,1725
UBE2T_594.25,UBE2T,1428,719
ZFP30_E6_1074.18,ZFP30,1340,1962
CASP12_1026.56,CASP12,1028,1401
GZMK_795.69,GZMK,2053,1991
