Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
PUS1	4	-0.98462	-2.7256	0.010442	0.13752	0.0064182	0.18355
ABTB1	4	-0.13205	-1.2078	0.73066	0.95758	0.22712	0.51067
WNT10A	4	0.17116	1.1113	0.17074	0.62391	0.26643	0.53652
ULBP2	4	-0.32769	-2.0258	0.31563	0.77095	0.042783	0.44473
ULBP1	4	0.04117	0.57482	0.61918	0.92072	0.56542	0.73378
DNAJC5	4	-0.22336	-1.271	0.49771	0.87515	0.20372	0.49941
ADAM33	4	-0.19045	-1.4035	0.57329	0.90198	0.16047	0.49029
KCNIP4	4	0.2774	1.1244	0.029385	0.26511	0.26086	0.53227
WDR82	4	-1.4207	-2.4006	0.0011436	0.035168	0.016368	0.29199
PABPC1L	4	-0.094604	-0.55867	0.84835	0.98238	0.57639	0.73696
PNPLA3	4	0.0081024	0.134	0.76163	0.96348	0.89341	0.94037
BPIFB2	4	0.1226	0.79766	0.30395	0.76308	0.42507	0.66343
TRAF3IP3	4	0.039697	0.52044	0.62639	0.92334	0.60276	0.75161
SEL1L2	4	0.2517	1.5594	0.047932	0.34911	0.11891	0.49029
DCAF11	4	-0.053236	-0.91432	0.99025	0.99905	0.36055	0.61286
ZSCAN16	4	-0.021406	-0.65595	0.88703	0.98683	0.51186	0.72844
REEP4	4	-0.15223	-1.1483	0.67104	0.93762	0.25083	0.52417
COASY	4	-0.95792	-2.6605	0.011685	0.14817	0.0078029	0.20159
WDR61	4	-0.49908	-1.8932	0.13514	0.57161	0.058327	0.49029
TNKS2	4	0.12623	1.1673	0.29261	0.75418	0.24309	0.51989
RNF39	4	0.00045457	0.0047824	0.79584	0.97183	0.99618	0.99757
PDCD1LG2	4	0.097123	1.2654	0.3928	0.81916	0.20572	0.50016
CD276	4	-0.012131	-0.10924	0.84845	0.98238	0.91301	0.95147
UBXN6	4	-0.34466	-2.087	0.29311	0.75418	0.036891	0.42228
SLC19A3	4	-0.18351	-1.3425	0.59034	0.90949	0.17942	0.49252
TSGA10	4	-0.012434	-0.30774	0.84999	0.98261	0.75828	0.85595
AKNA	4	-0.17089	-1.6378	0.62092	0.92139	0.10147	0.49029
ESX1	4	-0.061449	-0.878	0.96097	0.99665	0.37994	0.62839
PBX4	4	0.17319	1.3558	0.16667	0.61909	0.17516	0.49252
SLC35G2	4	0.15419	1.1577	0.21152	0.67527	0.247	0.52121
ACAD10	4	0.073298	1.1248	0.48583	0.87016	0.26068	0.53227
SRCIN1	4	0.074674	1.5139	0.48111	0.86722	0.13004	0.49029
KIAA1683	4	-0.073651	-0.50088	0.91945	0.99047	0.61645	0.76086
TTYH3	4	0.025739	0.42793	0.68631	0.94531	0.6687	0.79585
THSD7B	4	0.18668	1.4808	0.13808	0.57683	0.13865	0.49029
SLC44A4	4	0.085028	0.92101	0.43839	0.8463	0.35704	0.61031
VWA7	4	0.07253	0.91931	0.48886	0.87149	0.35793	0.61068
C6orf25	4	0.0074318	0.074169	0.76417	0.96364	0.94088	0.96713
LY6G6C	4	-0.062194	-0.7612	0.95888	0.99665	0.44654	0.6804
LY6G5C	4	0.073639	0.43237	0.48429	0.86871	0.66548	0.79383
PRR3	4	-0.089497	-0.61562	0.8661	0.98438	0.53815	0.73324
THUMPD2	4	-0.0573	-1.0016	0.97464	0.99761	0.31652	0.5773
TSEN2	4	-0.75671	-2.6014	0.035302	0.29645	0.0092834	0.22043
AARSD1	4	0.12282	0.93415	0.3033	0.76231	0.35023	0.60485
TMEM121	4	-0.20937	-1.9694	0.52909	0.88948	0.048906	0.46771
PRR7	4	-0.28321	-2.0677	0.38291	0.81223	0.038666	0.42844
KHDC1	4	-0.0050652	-0.047222	0.81961	0.9788	0.96234	0.9779
ITIH5	4	0.19188	1.4718	0.12739	0.55802	0.14109	0.49029
NDFIP1	4	-0.13777	-0.86592	0.71301	0.95232	0.38654	0.63316
SPX	4	-0.022256	-0.30365	0.89007	0.98716	0.76139	0.85798
THAP7	4	-0.19269	-0.8977	0.56767	0.90003	0.36934	0.61943
STARD5	4	0.064082	0.90011	0.52133	0.88526	0.36806	0.61837
CPTP	4	-0.11939	-0.9471	0.76845	0.96468	0.34359	0.59995
LIMD2	4	-0.38884	-1.8208	0.23956	0.70889	0.068645	0.49029
TMEM177	4	0.0037154	0.051206	0.78152	0.96903	0.95916	0.97625
B9D2	4	-0.051251	-0.63858	0.99756	0.9995	0.5231	0.73297
CYB5B	4	-0.57161	-1.7745	0.090941	0.48068	0.075978	0.49029
ZNF34	4	0.077691	0.8497	0.46788	0.86197	0.39549	0.6411
COL18A1	4	0.082797	1.4191	0.4464	0.84972	0.15588	0.49029
INTS5	4	-0.72664	-2.3815	0.041468	0.32276	0.017243	0.29974
CMIP	4	-0.013654	-0.43435	0.85526	0.98261	0.66404	0.79273
ASXL3	4	0.092268	1.273	0.40985	0.82736	0.20302	0.49941
CEP44	4	0.1429	0.76762	0.24398	0.71281	0.44271	0.67714
ZNF436	4	-0.24812	-1.2047	0.4461	0.84972	0.22831	0.51093
EEPD1	4	0.11604	1.2416	0.32513	0.7762	0.21438	0.50452
DDHD1	4	-0.21904	-1.3729	0.50676	0.87854	0.16979	0.49112
BHLHB9	4	0.22274	1.3203	0.079952	0.45398	0.18672	0.49422
DUSP16	4	0.19122	1.3845	0.12833	0.55951	0.16621	0.4907
ZFP91	4	-0.10509	-1.5208	0.81573	0.97878	0.12831	0.49029
APOL6	4	0.14546	1.0711	0.23608	0.70485	0.2841	0.55032
APOL5	4	0.16932	1.4242	0.17452	0.62869	0.15438	0.49029
APOL4	4	0.35626	1.4837	0.0054196	0.092217	0.13789	0.49029
APOL3	4	0.16907	1.2129	0.17537	0.62982	0.22516	0.50959
TAS1R2	4	0.092349	1.3025	0.40966	0.82723	0.19274	0.49622
TAS1R1	4	-0.012623	-0.17914	0.85064	0.98261	0.85783	0.91863
SH3BP5L	4	-0.44778	-2.2269	0.1779	0.63372	0.025951	0.3632
GRIP2	4	-0.16948	-1.7549	0.62505	0.92312	0.079269	0.49029
KDM7A	4	0.097795	0.84973	0.38987	0.81744	0.39547	0.6411
SETD7	4	0.045396	0.37147	0.59929	0.91297	0.71029	0.82371
KIAA1715	4	0.056962	0.55337	0.55151	0.89437	0.58001	0.73892
PRRT1	4	0.050695	0.48934	0.57757	0.90473	0.6246	0.7662
EGFL8	4	0.17438	1.1905	0.16403	0.61641	0.23384	0.51498
ILKAP	4	-0.14683	-1.4759	0.68755	0.94545	0.13997	0.49029
NPL	4	-0.10427	-0.60266	0.81852	0.9788	0.54674	0.73324
TMPRSS5	4	0.1036	1.2114	0.36963	0.80741	0.22576	0.50983
GJA9	4	0.11161	1.6551	0.34139	0.78832	0.097912	0.49029
TUBB1	4	0.081779	0.67225	0.45068	0.85253	0.50142	0.72276
WNT5B	4	0.059017	0.76908	0.54226	0.89097	0.44185	0.67647
ZBP1	4	0.1447	1.5766	0.23822	0.70747	0.11488	0.49029
SLC2A10	4	0.086606	0.9636	0.43193	0.84168	0.33525	0.5932
KCNH6	4	-0.15164	-1.567	0.67273	0.93867	0.11712	0.49029
SLC25A32	4	-0.0067732	-0.055976	0.82652	0.97973	0.95536	0.9742
COLEC12	4	0.053901	0.45056	0.56335	0.89868	0.65231	0.78455
CLPTM1L	4	0.12043	1.0599	0.31116	0.76872	0.2892	0.55426
OR5AC2	4	0.024667	0.18613	0.69073	0.9455	0.85234	0.91543
OR11H1	4	-0.12539	-0.67227	0.75055	0.96086	0.50141	0.72276
OR4F17	4	-1.6817	-3.6536	0.00019889	0.0095465	0.00025858	0.032301
OR4K15	4	0.20756	1.3996	0.10019	0.49975	0.16162	0.49029
OR8J3	4	0.21368	1.3854	0.091687	0.48222	0.16592	0.4907
OR51G2	4	0.26893	1.3932	0.034905	0.29521	0.16355	0.49029
OR51E2	4	0.10583	0.84972	0.36153	0.80236	0.39548	0.6411
OR4P4	4	0.23228	1.4048	0.06792	0.42044	0.16008	0.49029
OR4C15	4	0.35756	1.5089	0.0052208	0.090361	0.13132	0.49029
OR4A5	4	0.22815	1.277	0.072544	0.43371	0.20161	0.49916
OR4A16	4	0.10383	1.2143	0.36864	0.80716	0.22463	0.50957
OR4A15	4	0.22794	1.3415	0.072892	0.4345	0.17977	0.49252
OR10W1	4	0.1199	0.99212	0.31265	0.76904	0.32114	0.58114
OR2AE1	4	0.22013	1.3255	0.083632	0.46362	0.185	0.4935
OR4F16	4	-1.0166	-1.9863	0.008751	0.12308	0.046997	0.4604
OR6N2	4	0.10021	1.2177	0.38102	0.81169	0.22333	0.50913
OR6K2	4	0.096447	1.0861	0.39519	0.8201	0.27742	0.54505
OR2L5	4	0.077919	0.36506	0.46713	0.86197	0.71506	0.82718
OR2G3	4	-0.014611	-0.10306	0.85829	0.98297	0.91791	0.9544
OR2G2	4	0.040099	0.39114	0.6246	0.92286	0.69569	0.81423
OR2C3	4	0.031773	0.30684	0.65956	0.93364	0.75897	0.85659
POLR2M	4	-0.049464	-0.40185	0.99557	0.99905	0.68779	0.80832
PTDSS2	4	-0.30296	-1.4041	0.35183	0.79604	0.16027	0.49029
GPR63	4	0.10183	1.1164	0.37565	0.81051	0.26427	0.53558
RSPH6A	4	-0.2052	-1.2531	0.53789	0.89053	0.21016	0.5024
SYNC	4	-0.074032	-0.59866	0.91821	0.99046	0.5494	0.73324
CFHR5	4	-0.17842	-1.8868	0.60312	0.91402	0.059194	0.49029
DCSTAMP	4	0.14752	0.98873	0.22902	0.69409	0.32279	0.58281
HM13	4	-0.015783	-0.12431	0.86332	0.98377	0.90107	0.94504
MOB2	4	-0.11295	-0.8744	0.79062	0.97123	0.3819	0.62963
ITFG1	4	0.00079765	0.0088879	0.79445	0.97167	0.99291	0.99583
SGPP1	4	0.11043	0.90754	0.34522	0.79032	0.36412	0.61569
SLC38A1	4	0.10298	1.5313	0.37172	0.80778	0.1257	0.49029
TMX1	4	-0.054977	-0.37094	0.98394	0.99905	0.71069	0.82387
LRRC3	4	-0.16109	-0.91379	0.64713	0.92971	0.36083	0.61302
GDPD5	4	0.017512	0.30915	0.72255	0.95554	0.75721	0.85513
FBXO38	4	-0.00095088	-0.016901	0.80251	0.97434	0.98652	0.99246
