"","sgRNA","Gene","mergeD0","Vaco.Cont1.final"
"65840",7642516,"STXBP2",12082.4088210348,778
"65841",76425258,"ZP3",1105.05089058524,523
"65843",76429258,"MAGEE1",2539.84308736217,1805
"65846",76429682,"MAGEE1",2133.65648854962,2
"65849",76439580,"ESRRB",5646.82188295165,1523
"65850",76439700,"ESRRB",3502.21543681086,362
"65851",76441388,"ZNF516",374.373197625106,354
"65854",76458265,"C11orf30",334.921967769296,1214
"65855",76462595,"ESRRB",7509.49024597116,2878
"65856",76468820,"AANAT",3396.72858354538,2242
"65858",76468895,"AANAT",4008.33333333333,377
"65859",76469257,"AANAT",5645.22307039864,1867
"65861",76474093,"RHBDF2",2571.71925360475,697
"65862",76476023,"CNTNAP4",1965.67599660729,535
"65867",76482622,"DTX2",4194.96352841391,1749
"65868",76482869,"DTX2",3189.57506361323,2565
"65869",76483037,"DTX2",5030.55810008482,1379
"65870",76494922,"CNTNAP4",618.119592875318,3
"65871",76495774,"C18orf65",3957.28498727735,2
"65872",76496311,"C18orf65",2630.30449533503,784
"65873",76496390,"C18orf65",5026.22561492791,1997
"65874",76496452,"C18orf65",5922.89143341815,643
"65875",76502640,"GCNT1",1990.03986429177,4270
"65877",76502854,"GCNT1",4694.35708227311,3234
"65879",7651588,"ATP1B2",1818.95165394402,1189
"65880",76516159,"C11orf30",2624.07294317218,2354
"65883",765231,"SLC52A3",3030.03986429177,1305
"65884",7652497,"APOBEC1",7497.85835453774,3043
"65886",7652699,"APOBEC1",7430,701
"65889",76531522,"CYGB",424.373197625106,236
"65890",76531670,"CYGB",5794.40542832909,3257
"65891",7653399,"ATP1B2",638.575911789652,921
"65897",76540516,"PRCD",669.668363019508,1498
"65898",7654098,"ATP1B2",2886.33757421544,604
"65899",7654208,"ATP1B2",8087.55301102629,1029
"65901",765566,"SLC52A3",2876.23918575064,672
"65903",76572672,"ST6GALNAC2",353.239185750636,657
"65904",76573289,"ST6GALNAC2",6708.56827820187,1380
"65905",76574489,"ST6GALNAC2",4211.46819338422,660
"65906",76600934,"IQGAP2",1582.01611535199,1804
"65907",76611103,"IQGAP2",2653.75487701442,630
"65908",76618058,"F2RL2",3580.33333333333,1170
"65909",76618121,"F2RL2",5607.53180661578,616
"65911",76618224,"POMZP3",1887.05428329092,1340
"65918",76629210,"ST6GALNAC1",1686.26378286684,2062
"65922",76658663,"IQGAP2",3872.67090754877,4136
"65923",76660384,"LRRC32",4164.91009329941,1437
"65924",76660487,"LRRC32",7258.8235793045,1369
"65925",76661218,"LRRC32",8377.8973706531,2162
"65926",76661430,"LRRC32",6021.26547921968,615
"65927",76671831,"IQGAP2",8472.85920271416,1545
"65928",7668517,"CYB5R2",2118.08736217133,1470
"65929",76688135,"MXRA7",1536.42408821035,1831
"65930",7669230,"CYB5R2",2531.62086513995,1362
"65931",7669300,"CYB5R2",4625.56997455471,2231
"65932",7669414,"RETN",4917.71162001696,1827
"65933",7669821,"RETN",4492.20441051739,1882
"65936",76702934,"SCAPER",3133.30195080577,1334
"65938",76706345,"PRUNE2",139.692960135708,2082
"65939",76706388,"ZFHX4",6227.95674300254,2714
"65943",76710716,"MXRA7",1101.83121289228,1776
"65945",76710895,"MXRA7",616.70737913486,1186
"65946",76723878,"JMJD6",2181.93723494487,860
"65947",7672479,"CYB5R2",154.798134011874,1341
"65950",76725852,"JMJD6",615.050042408821,1509
"65952",76730851,"SHROOM3",1793.5657336726,1376
"65956",76732665,"F2R",5606.32994062765,2481
"65959",76733211,"METTL23",2502.70398642918,1650
"65963",76739046,"SHROOM3",3289.99660729432,966
"65964",76739534,"SHROOM3",3675.64715860899,1546
"65965",76740701,"SHROOM3",6131.69889737065,558
"65966",76741022,"MFSD11",745.866836301951,820
"65971",76754067,"MFSD11",1664.68108566582,680
"65972",7676145,"SORCS2",2658.16878710772,700
"65973",7676227,"TP53",5806.47243426633,1058
"65975",76763060,"VASH1",1885.66497031383,1440
"65977",76769971,"VASH1",2438.57421543681,2451
"65978",76771242,"VASH1",8618.88719253605,2769
"65979",7677150,"MCEMP1",2962.95419847328,176
"65982",7677722,"MCEMP1",2871.37913486005,693
"65983",7678151,"MCEMP1",4360.42663273961,3717
"65985",76795748,"TSKU",1311.87955894826,1762
"65986",76795851,"TSKU",4827.71246819338,861
"65987",76796098,"TSKU",1805.90839694656,1526
"65991",76807469,"ANGEL1",6459.71501272265,5227
"65993",76809237,"ANGEL1",2101.9465648855,2
"65994",76815186,"ZDHHC17",1810.37319762511,276
"65998",76831345,"LRRC74A",2008.12892281595,2279
"65999",76832888,"F2RL1",3859.18320610687,1941
"66000",76832997,"F2RL1",6505.20441051739,6691
"66001",76833117,"F2RL1",9741.50466497031,2779
"66006",76852878,"ZFHX4",8401.30279898219,2040
"66007",76853286,"LRRC74A",3021.83460559796,1319
"66008",76853723,"ZFHX4",2672.00508905852,1130
"66009",76860401,"CSRP2",3762.68532654792,2026
"66013",76866221,"CSRP2",2435.04580152672,1070
"66015",76875421,"S100Z",3963.49448685327,1433
"66016",76875450,"S100Z",9402.15691263783,456
"66017",76875496,"S100Z",3205.83375742154,4345
"66019",76885517,"KCTD12",2956.51738761662,902
"66021",76885977,"KCTD12",2136.64037319763,103
"66022",76886046,"KCTD12",5199.491942324,1055
"66026",76896303,"SOWAHB",5058.13486005089,2286
"66028",76897063,"SOWAHB",3724.73027989822,603
"66029",76897391,"SOWAHB",1632.07548770144,1521
"66030",7690306,"GDF3",1912.43087362171,634
"66031",76904338,"MGAT5B",6313.23918575064,2582
"66038",76910097,"ZNF236",2110.20610687023,834
"66041",76924981,"MGAT5B",3938.47073791349,2345
"66042",76926647,"MGAT5B",1664.62849872774,828
"66043",76931963,"RCN2",1638.91603053435,485
"66045",76932747,"MGAT5B",3458.58778625954,658
"66048",76952616,"IRG1",3510.38761662426,621
"66050",76953660,"IRG1",7889.42493638677,2845
"66051",76953687,"CRHBP",1833.71077184054,2
"66052",7695490,"GDF3",1513.78117048346,1318
"66057",7696849,"FCER2",392.361323155216,707
"66058",7697293,"FCER2",1108.36132315522,1345
"66059",76983664,"PEX2",3788.60050890585,1801
"66061",76983956,"PEX2",4031.28922815946,1870
"66062",76984097,"PEX2",6466.97201017812,1553
"66066",76990570,"ACER3",3492.29686174724,1030
"66067",76992050,"CLN5",1449.6352841391,626
"66072",7700353,"OVCH2",2932.29177268872,2204
"66073",7700449,"OVCH2",786.078880407125,3108
"66074",77007644,"FBXL3",754.037319762511,788
"66075",77007779,"FBXL3",4498.76081424936,1257
"66076",77011866,"SEPT11",4458.44953350297,126
"66077",7701463,"OVCH2",3861.14418999152,3985
"66079",77015016,"ACER3",1151.76759966073,1113
"66080",77015478,"FBXL3",3276.83799830365,236
"66081",77016917,"MBP",4611.10347752332,1774
"66083",77018176,"PSTPIP1",5492.98982188295,4013
"66084",77019226,"SEPT11",3935.95335029686,1932
"66086",77020013,"FOXB2",6395.60814249364,849
"66087",77020177,"FOXB2",2125.05513146735,2554
"66088",77020445,"FOXB2",973.581849024597,691
"66089",77021757,"FBXL3",12265.5021204411,5379
"66090",7702425,"WRAP53",520.068702290076,488
"66091",77025301,"PSTPIP1",5726.31297709924,1135
"66092",77025578,"PSTPIP1",3903.69635284139,3400
"66093",77026588,"IRF2BPL",1921.85835453774,452
"66095",77027281,"IRF2BPL",3167.57675996607,1892
"66099",77034511,"AGGF1",2934.49787955895,3113
"66101",7703723,"OVCH2",4356.75572519084,7826
"66103",77039664,"B3GNT6",551.373197625106,752
"66104",77039759,"B3GNT6",60.0474978795589,548
"66105",77040016,"B3GNT6",2236.43681085666,1465
"66106",77040246,"B3GNT6",1780.60390161154,1398
"66107",7704233,"SORCS2",3129.34605597964,2
"66108",77043181,"E2F7",3972.98727735369,625
"66110",77044471,"ST6GALNAC5",1643.1967769296,1353
"66111",77044550,"ST6GALNAC5",376.373197625106,438
"66112",77046039,"E2F7",6896.88379983036,2584
"66114",77048637,"CCNI",4016.94571670908,2055
"66116",7705176,"ITIH2",4351.05258693808,1684
"66118",77054200,"TSPAN3",6152.48091603053,1012
"66119",77055290,"CCNI",2033.38422391858,830
"66121",77055987,"E2F7",6943.81849024597,1385
"66122",77056080,"TSPAN3",8763.47667514843,2016
"66123",77056158,"TSPAN3",5012.38676844784,1712
"66124",77066273,"CCNI",4978.12977099237,2642
"66125",77077588,"ZBED3",12728.9117896522,571
"66127",77077700,"ZBED3",4182.68956743002,381
"66128",77077754,"ZBED3",4544.41645462256,737
"66129",7708001,"EFNB3",2378.87192536047,611
"66131",7708493,"EFNB3",1979.52247667515,752
"66132",77085019,"CAPN5",2421.40373197625,2149
"66134",7709291,"ADCY2",1920.46904156064,1305
"66137",77102987,"OMP",3321.0491942324,409
"66138",77103051,"OMP",517.373197625106,711
"66140",77108500,"KCNMA1",6479.7786259542,2078
"66144",77113867,"CIPC",518.921967769296,10
"66145",77114335,"CAPN5",3112.58524173028,3
"66147",7711604,"DPPA3",2952.20949957591,1233
"66148",77118301,"CAPN5",2747.74130619169,1435
"66149",77139260,"ZDHHC22",12366.2595419847,2785
"66150",77139318,"ZDHHC22",4028.78965224767,447
"66152",77139627,"ZDHHC22",4181.47328244275,2503
"66154",77144527,"MYCBP2",10272.5377438507,680
"66155",7715267,"DPPA3",54.4495335029686,2863
"66158",77158293,"MYO7A",2628.06530958439,1068
"66159",77158666,"CCNG2",3599.38761662426,864
"66160",77159468,"CCNG2",3123.07124681934,1426
"66162",77161599,"PIGK",292.373197625106,475
"66164",77162984,"MYO7A",2545.67854113656,1568
"66165",77163883,"PIGK",4694.49533502969,4433
"66168",77179004,"PEAK1",8363.90839694656,3978
"66169",77180079,"PEAK1",12717.5411365564,2266
"66171",77181265,"PEAK1",1241.62595419847,206
"66173",77184867,"KCNMA1",2856.96352841391,2918
"66174",77185247,"MYCBP2",2360.31128074639,549
"66176",77193547,"MON1B",4945.20356234097,2037
"66177",77193712,"MON1B",1589.42324003393,2040
"66178",77194372,"MON1B",3483.55555555556,1296
"66179",77194743,"SEC14L1",5235.11111111111,1937
"66180",77194858,"MON1B",5065.89652247668,5
"66182",77199186,"FGL2",5308.81170483461,2113
"66186",77200636,"SEC14L1",1556.12044105174,632
"66189",77208522,"SYCE1L",6624.17387616624,3717
"66190",7720879,"ITIH2",2271.87955894826,1017
"66191",77209121,"SYCE1L",4299.62340966921,3525
"66193",77211267,"SYCE1L",3710.81594571671,691
"66194",77219311,"PIGK",980.016963528414,719
"66195",77220023,"TMEM63C",9570.17472434266,1288
"66197",77242412,"TMEM63C",3696.14588634436,12437
"66198",77246022,"TMEM63C",10310.7913486005,3272
"66199",77247261,"VPS13A",1847.86344359627,1202
"66202",77250832,"GALR1",1995.42578456319,1392
"66204",77251150,"GALR1",1085.23918575064,5456
"66205",77258423,"GDPD4",3290.77268871925,1983
"66206",77262266,"CCDC146",4084.25275657337,2114
"66207",77268515,"NGB",5729.21374045802,1837
"66208",77268555,"NGB",11867.7659033079,1453
"66210",77269005,"GDPD4",4386.01865988126,3645
