Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
ASPRV1	4	0.11761	0.95916	0.38191	0.80295	0.33748	0.60097
WDSUB1	4	-0.12452	-0.99354	0.75532	0.95028	0.32044	0.59008
UPP2	4	0.33216	1.3286	0.028192	0.27578	0.18398	0.50807
GPR155	4	0.1872	1.5738	0.19521	0.65292	0.11553	0.50807
TTC14	4	-0.50802	-2.2708	0.11854	0.5539	0.023156	0.36964
DTX3L	4	0.22234	1.3828	0.13126	0.57466	0.16674	0.50807
FAM19A4	4	-0.055577	-0.516	0.98662	0.99794	0.60585	0.75901
PP2D1	4	0.15606	1.4983	0.26969	0.72715	0.13407	0.50807
EFHB	4	0.19191	1.3263	0.18477	0.6397	0.18475	0.50824
PPM1L	4	0.11832	1.1886	0.37967	0.80126	0.23459	0.52852
WDR49	4	0.19248	1.4013	0.18397	0.6397	0.16111	0.50807
LRRC34	4	0.2413	1.4895	0.10362	0.52322	0.13635	0.50807
CPNE9	4	-0.013777	-0.12281	0.86028	0.97535	0.90226	0.94642
DPPA2	4	0.060826	0.81455	0.57513	0.89514	0.41533	0.65937
CCDC80	4	0.031289	0.27323	0.68899	0.93393	0.78468	0.87801
BTLA	4	0.086715	0.89623	0.48474	0.85736	0.37013	0.62502
CCDC12	4	-0.52856	-1.4499	0.10506	0.52693	0.14708	0.50807
MB21D2	4	0.02214	0.23239	0.72434	0.94377	0.81624	0.89875
PPP4R2	4	-0.25204	-0.77661	0.43352	0.83078	0.43739	0.67699
XXYLT1	4	0.0027501	0.033884	0.79679	0.95924	0.97297	0.98517
RNF38	4	-0.15031	-0.47592	0.67557	0.92992	0.63413	0.77866
GLIPR2	4	-0.051899	-0.35346	0.9994	0.9999	0.72374	0.83796
ROPN1B	4	-0.12464	-0.55343	0.75482	0.95024	0.57997	0.74896
C3orf22	4	0.14404	1.4706	0.304	0.75305	0.1414	0.50807
PQLC2L	4	0.24311	1.496	0.10113	0.51729	0.13464	0.50807
ZCWPW2	4	-0.1144	-0.70559	0.78724	0.95781	0.48044	0.71082
CMC1	4	-0.079222	-0.65364	0.90374	0.98175	0.51335	0.73218
NEK10	4	0.11395	1.7365	0.39434	0.81183	0.082477	0.50807
C3orf79	4	0.24185	1.285	0.10292	0.52166	0.19878	0.51084
CCDC50	4	0.055199	0.49025	0.59681	0.90439	0.62396	0.77189
PYDC2	4	-0.0044195	-0.064463	0.82548	0.9663	0.9486	0.97264
SPICE1	4	-1.019	-2.7096	0.0069113	0.1214	0.0067374	0.22426
CMTM8	4	0.15628	1.2466	0.26904	0.7268	0.21255	0.51594
CCDC13	4	-0.038919	-0.71749	0.95301	0.99054	0.47307	0.70496
FGD5	4	0.24411	0.90481	0.099791	0.51435	0.36557	0.62117
CNTN4	4	0.22845	1.2187	0.12236	0.56212	0.22295	0.52042
IGSF11	4	0.24926	1.5469	0.093775	0.50387	0.12188	0.50807
C3orf30	4	0.1357	0.98325	0.32657	0.76738	0.32548	0.59273
ZNF827	4	-0.25965	-1.7966	0.41746	0.8231	0.072407	0.50807
SH3D19	4	0.14968	1.1326	0.28814	0.74124	0.25739	0.54306
NFXL1	4	0.021837	0.13469	0.72529	0.94439	0.89286	0.94207
NIPAL1	4	0.24374	1.5432	0.10019	0.51481	0.12279	0.50807
PAQR3	4	-0.12743	-0.72739	0.74528	0.94817	0.46699	0.70095
SHISA3	4	0.1102	1.0236	0.40598	0.8172	0.30604	0.57947
SCFD2	4	0.08204	0.54182	0.50149	0.86486	0.58794	0.75092
MGAT4D	4	0.26631	1.1947	0.075129	0.45856	0.23222	0.52665
ZNF595	4	-0.11363	-0.5679	0.78963	0.95781	0.5701	0.74643
FAM218A	4	-0.21201	-0.91044	0.51974	0.87255	0.36259	0.6189
JAKMIP1	4	0.14442	1.6989	0.30295	0.75256	0.089334	0.50807
THAP6	4	0.35232	1.5117	0.019491	0.2221	0.13062	0.50807
C4orf26	4	-0.024687	-0.66985	0.89986	0.98175	0.50295	0.72621
KLB	4	0.17367	1.4973	0.22559	0.68524	0.13432	0.50807
FAM53A	4	0.0027188	0.034127	0.79684	0.95924	0.97278	0.98517
PPM1K	4	0.24596	1.5566	0.097504	0.51068	0.11957	0.50807
C4orf45	4	0.21523	0.90018	0.14255	0.59322	0.36803	0.62325
TRMT44	4	-0.049415	-0.66914	0.99195	0.998	0.50341	0.72659
RASGEF1B	4	0.37869	1.5167	0.012629	0.17267	0.12934	0.50807
DAB2IP	4	0.25894	1.5654	0.082538	0.47742	0.11749	0.50807
