Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
TMEM143	4	-0.66689	-1.857	0.17587	0.75869	0.063311	0.5642
FRMD4B	4	-1.1945	-2.8392	0.022424	0.35097	0.004523	0.17694
GTF3C6	4	-0.97098	-1.8819	0.056384	0.51452	0.059852	0.55041
SCN4A	4	-0.037732	-0.12293	0.94779	0.99536	0.90216	0.95536
AKAP8L	4	0.080856	0.29736	0.70311	0.96457	0.76619	0.88806
LDLRAD3	4	-0.21648	-0.58932	0.70286	0.96457	0.55565	0.79579
TARP	4	-0.16723	-0.53929	0.79177	0.97475	0.58969	0.80736
PPP1R16A	4	0.32057	1.1911	0.29251	0.83794	0.23361	0.69021
SSFA2	4	-0.053332	-0.34898	0.97937	0.99763	0.7271	0.86665
LCMT1	4	-1.473	-3.0012	0.0066627	0.19619	0.0026896	0.1366
RFPL2	4	-0.10549	-0.36537	0.91199	0.99123	0.71484	0.86042
AP1AR	4	0.36825	1.0585	0.23175	0.79942	0.28982	0.69235
BCOR	4	-0.13602	-0.89312	0.85392	0.98502	0.37179	0.71848
MAL	4	-0.057907	-0.49988	0.98807	0.99814	0.61716	0.81654
XRCC6BP1	4	0.036591	0.11974	0.79107	0.97475	0.90469	0.95633
XPOT	4	0.049683	0.24872	0.76402	0.97236	0.80358	0.90562
TMEM254	4	0.37677	0.67789	0.22171	0.79646	0.49784	0.77422
KRTAP5-3	4	-0.14067	-0.47027	0.84432	0.98367	0.63816	0.82369
IL17A	4	0.33542	1.4391	0.27193	0.82303	0.15011	0.69021
TMEM60	4	-0.58248	-1.97	0.23439	0.80116	0.048837	0.5089
SLC44A2	4	-0.28128	-0.83097	0.59144	0.94084	0.40599	0.73284
RPS27A	4	-2.5117	-3.9046	4.9722e-05	0.011494	9.4396e-05	0.020414
APCDD1	4	0.54255	1.3497	0.081643	0.58938	0.17712	0.69021
DCBLD1	4	0.24052	1.497	0.40767	0.88647	0.1344	0.69021
TMPRSS11A	4	-0.28084	-0.85416	0.59233	0.94111	0.39302	0.72662
ATP6V1G1	4	-1.4644	-2.9336	0.0069113	0.19943	0.0033506	0.15075
AVPR2	4	-0.0596	-0.44197	0.99239	0.99925	0.65851	0.83155
CCR8	4	-0.092062	-0.78277	0.93964	0.99402	0.43376	0.74594
SYNM	4	-0.22135	-0.58925	0.69357	0.96287	0.55569	0.79579
WDR59	4	-0.33669	-1.1641	0.50582	0.92392	0.24439	0.69021
ADAMTS15	4	0.4137	1.2736	0.18496	0.76721	0.2028	0.69021
LHCGR	4	-0.21585	-0.85266	0.70371	0.96457	0.39385	0.72688
MDM4	4	-1.0098	-2.1168	0.047932	0.48491	0.034278	0.43605
OR6C2	4	0.11036	0.84875	0.64504	0.95165	0.39602	0.72785
TTC39C	4	0.015893	0.087661	0.83423	0.9821	0.93015	0.96793
SLC4A4	4	0.23208	0.92705	0.42253	0.89641	0.3539	0.70914
CCDC125	4	-0.35781	-1.1711	0.47449	0.91472	0.24156	0.69021
CA14	4	0.43536	1.0428	0.16289	0.74726	0.29706	0.69283
