Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
C7orf62	4	0.10889	1.5514	0.29061	0.74835	0.1208	0.43501
MS4A5	4	-0.11155	-1.594	0.83798	0.98442	0.11094	0.43501
SLC35F1	4	0.078832	1.2174	0.40748	0.85258	0.22345	0.46701
ABTB1	4	0.034916	0.45566	0.58839	0.93043	0.64863	0.78611
ASTN2	4	0.21523	1.4716	0.055402	0.3298	0.14112	0.43501
LETM2	4	0.1792	1.6471	0.10547	0.47336	0.099535	0.43501
GORASP1	4	0.087914	1.0997	0.3706	0.82583	0.27148	0.50235
TXNRD3	4	0.031594	0.57073	0.6033	0.93634	0.56818	0.73002
CTDNEP1	4	-0.52812	-2.1975	0.11133	0.4854	0.027986	0.25559
CA11	4	-0.022599	-0.4354	0.83835	0.98442	0.66327	0.79632
C4orf22	4	0.014252	0.62612	0.67936	0.95795	0.53124	0.70445
DNAJC1	4	0.051132	0.70074	0.51949	0.90771	0.48347	0.67066
ZNF48	4	0.10766	1.2282	0.29438	0.7498	0.21936	0.46425
ADTRP	4	0.2524	1.6081	0.025059	0.19639	0.10782	0.43501
WNT1	4	-0.033006	-0.40331	0.8813	0.98839	0.68672	0.81268
ARCN1	4	-1.0917	-2.7256	0.0030343	0.039563	0.0064189	0.091855
PRKD2	4	-0.1806	-1.8567	0.64792	0.9489	0.063348	0.41131
RNF2	4	0.16407	1.5845	0.13581	0.53747	0.11308	0.43501
RBBP9	4	0.098104	1.623	0.3311	0.78886	0.1046	0.43501
FAM86B1	4	-0.26554	-0.95111	0.46032	0.88097	0.34155	0.55793
PQLC2	4	0.043174	0.3849	0.55407	0.918	0.70031	0.82161
CORO2B	4	0.14317	0.64764	0.18739	0.62622	0.51722	0.69425
TAS2R10	4	0.0073719	0.13317	0.7118	0.96861	0.89406	0.94288
ZFP92	4	0.17558	1.646	0.11216	0.48794	0.099771	0.43501
SACS	4	0.039253	0.49008	0.56961	0.92383	0.62408	0.76898
MAGEA11	4	0.01389	0.19234	0.68119	0.95905	0.84747	0.91589
LILRB3	4	-0.015856	-0.080107	0.80999	0.98331	0.93615	0.96618
ANK3	4	0.00016359	0.0023187	0.74282	0.97515	0.99815	0.99914
HS1BP3	4	0.12186	1.5204	0.24959	0.70956	0.12842	0.43501
ZDBF2	4	0.20258	1.5376	0.069997	0.37765	0.12414	0.43501
TRIM50	4	-0.15733	-1.3842	0.70871	0.96842	0.16629	0.43526
CD38	4	-0.022185	-0.27615	0.83678	0.98442	0.78244	0.87531
MYPOP	4	-0.061974	-0.57154	0.99236	0.99853	0.56763	0.72984
GSTM1	4	0.18751	1.1616	0.091185	0.43863	0.2454	0.48217
MOV10	4	-0.057315	-0.58294	0.97641	0.9976	0.55993	0.72444
PATE3	4	0.044603	0.66645	0.54816	0.91728	0.50512	0.68556
KMO	4	0.039651	0.67857	0.56772	0.92316	0.49741	0.68015
MYO19	4	-0.028445	-0.39674	0.8632	0.98764	0.69156	0.81595
EHMT2	4	0.067262	1.0385	0.45357	0.87673	0.29902	0.52433
TP53INP1	4	0.13994	1.3214	0.19597	0.63786	0.18638	0.44199
NLRP2	4	-0.15242	-1.4078	0.72137	0.97119	0.15919	0.43526
LRTM1	4	0.13996	1.2533	0.19592	0.63786	0.21011	0.45686
ZNF140	4	0.060982	1.2911	0.47931	0.889	0.19666	0.44844
HLA-DQA2	4	0.10386	1.466	0.30887	0.76526	0.14265	0.43501
FAM20B	4	-0.15434	-1.0881	0.71666	0.97025	0.27654	0.50643
DEFB134	4	0.25253	1.416	0.025007	0.19638	0.15676	0.43521
ALOX5	4	0.10389	1.0847	0.30882	0.76526	0.27807	0.50727
TBC1D2	4	0.049852	0.54177	0.52529	0.90935	0.58798	0.74486
GCH1	4	-0.2687	-2.0253	0.45326	0.87666	0.042835	0.3342
STK32C	4	-0.042223	-0.31757	0.91839	0.99331	0.75081	0.85407
KLF11	4	-0.036086	-0.19452	0.89354	0.98998	0.84577	0.91487
MAPRE2	4	0.23833	1.5688	0.035365	0.2513	0.11668	0.43501
RAP2B	4	0.15543	1.4149	0.15543	0.57333	0.15711	0.43526
CENPQ	4	-0.48304	-1.8826	0.14261	0.5496	0.059756	0.39994
RBL1	4	-0.11159	-1.6365	0.83793	0.98442	0.10173	0.43501
ABCB9	4	0.01913	0.36964	0.6576	0.9515	0.71165	0.82886
ACP5	4	-0.042027	-0.75881	0.91745	0.99331	0.44796	0.64308
SETD2	4	-0.0202	-0.33263	0.82867	0.98429	0.73942	0.84669
GFPT2	4	-0.013286	-0.1062	0.79906	0.982	0.91543	0.9551
ABT1	4	-1.422	-3.059	0.00010463	0.0025445	0.0022206	0.045301
MTCL1	4	0.12871	1.5901	0.22888	0.68263	0.11182	0.43501
CCL3L3	4	-0.057632	-0.47438	0.9774	0.9976	0.63523	0.77675
STOX1	4	-0.022493	-0.40442	0.83803	0.98442	0.6859	0.81208
RANBP1	4	-0.35839	-1.9733	0.28616	0.74452	0.048464	0.35782
G2E3	4	0.10248	0.84094	0.31431	0.77075	0.40038	0.60433
OR4A15	4	0.14428	1.2321	0.18431	0.62112	0.2179	0.46321
GADD45GIP1	4	-1.4226	-3.1134	0.00010463	0.0025445	0.0018493	0.040762
VAT1L	4	0.12624	1.2345	0.23625	0.6936	0.21703	0.46287
ODAM	4	0.13464	1.3944	0.21052	0.65644	0.16321	0.43526
FOXH1	4	0.085674	0.57421	0.37991	0.83238	0.56583	0.72883
FGF16	4	0.13735	1.5248	0.20251	0.64641	0.12731	0.43501
TIMP4	4	0.080273	0.77515	0.40105	0.84734	0.43825	0.6357
C15orf39	4	0.14983	1.3502	0.16882	0.59815	0.17695	0.43722
SYT14	4	0.03217	0.49295	0.60058	0.9347	0.62205	0.76747
ACADM	4	0.0198	0.2106	0.65451	0.95069	0.8332	0.90757
PDIA2	4	0.054126	0.63903	0.50902	0.90429	0.52281	0.69796
EHD2	4	-0.04878	-0.39285	0.9434	0.9946	0.69443	0.81777
TXNIP	4	0.11455	1.2405	0.27335	0.73313	0.21479	0.46063
MYBBP1A	4	-1.1788	-3.1775	0.0015694	0.024116	0.0014853	0.036015
GLG1	4	0.13311	1.1251	0.21449	0.6615	0.26054	0.49354
ANKRD33	4	0.10731	1.659	0.29553	0.7505	0.097115	0.43501
ZMYM1	4	-0.2947	-1.4572	0.40136	0.84736	0.14506	0.43501
COX7A2L	4	0.071064	1.0915	0.43777	0.86724	0.27505	0.50559
FAM175B	4	0.045874	0.73121	0.54198	0.91439	0.46465	0.65577
SEMG1	4	0.041606	0.6769	0.55961	0.92009	0.49847	0.68056
TMTC1	4	-0.12829	-0.80829	0.78833	0.9808	0.41892	0.61931
RRAD	4	-0.40228	-2.1102	0.22726	0.67992	0.034838	0.29414
FOXL2	4	0.026793	0.8903	0.62323	0.9398	0.3733	0.58331
TEAD2	4	0.13234	1.4922	0.21669	0.6641	0.13565	0.43501
PRRT3	4	-0.054064	-0.4477	0.96464	0.9973	0.65437	0.79036
ARHGEF37	4	0.0073365	0.08436	0.71195	0.96861	0.93277	0.96468
C11orf70	4	0.031635	0.33123	0.60319	0.93626	0.74047	0.84743
MST1	4	-0.34292	-1.8195	0.31227	0.7695	0.068829	0.42978
SIRT4	4	-0.16741	-1.7823	0.6824	0.95968	0.074703	0.43501
FAM92A1	4	0.12183	1.3521	0.2497	0.70956	0.17634	0.43722
CMBL	4	0.13607	1.4295	0.20581	0.65074	0.15285	0.43501
PTPN13	4	0.18537	1.4774	0.094585	0.44841	0.13957	0.43501
LRRC55	4	0.11772	1.4254	0.26225	0.72101	0.15405	0.43501
FAM81A	4	-0.015284	-0.32368	0.80785	0.98321	0.74618	0.85065
ATAD1	4	-0.079466	-1.6736	0.94251	0.99443	0.094217	0.43501
DMTF1	4	0.41949	1.443	0.00031389	0.006689	0.14901	0.43501
HCAR1	4	0.00887	0.33167	0.70473	0.96774	0.74014	0.84722
HHIPL1	4	0.10703	1.6177	0.29657	0.75162	0.10573	0.43501
TSPAN3	4	0.090828	1.154	0.35972	0.81684	0.2485	0.48406
REPIN1	4	0.060547	0.42621	0.48125	0.89011	0.66996	0.80062
C20orf96	4	0.10411	0.98265	0.30787	0.76409	0.32578	0.54548
LILRB2	4	0.10454	1.6201	0.30641	0.76256	0.1052	0.43501
IGFBP2	4	0.048879	0.6879	0.52958	0.9101	0.49152	0.67621
JAKMIP3	4	-0.093966	-1.5197	0.89281	0.98998	0.12858	0.43501
DNAJB1	4	-0.17719	-1.002	0.65739	0.9515	0.31636	0.53769
ZFPL1	4	0.14089	1.3601	0.19341	0.63452	0.17379	0.43714
DEFB1	4	0.058786	1.2419	0.48883	0.89365	0.21428	0.46016
TRIB1	4	0.053226	0.41446	0.51242	0.9048	0.67854	0.80671
EVI2A	4	0.13494	1.6787	0.20952	0.6549	0.093202	0.43501
ASH1L	4	0.3597	1.5518	0.0014125	0.022259	0.12072	0.43501
SREBF2	4	-0.77322	-2.676	0.026053	0.20219	0.0074513	0.10172
MFSD9	4	0.093602	1.1053	0.3481	0.80557	0.26902	0.50096
CLPS	4	-0.1114	-0.70135	0.83829	0.98442	0.48309	0.67049
DNAH7	4	0.098732	1.273	0.32854	0.78618	0.20303	0.45237
WDR35	4	0.15315	1.1655	0.16103	0.58351	0.24382	0.48146
CDRT4	4	0.093032	0.75889	0.35072	0.8083	0.44792	0.64308
ZNF691	4	0.050139	0.76876	0.52414	0.90935	0.44203	0.63871
HAMP	4	0.026532	0.20202	0.62406	0.93981	0.8399	0.91132
SAMD9	4	-0.048146	-0.50883	0.94141	0.99425	0.61087	0.75943
PAM	4	-0.0029798	-0.050166	0.75579	0.97641	0.95999	0.97988
PARP10	4	-0.10769	-1.4411	0.85075	0.98764	0.14955	0.43501
F12	4	-0.012997	-0.29878	0.79833	0.982	0.7651	0.8638
COMMD4	4	-0.37124	-1.8746	0.26864	0.72859	0.060845	0.40301
TMEM176A	4	0.14848	1.0489	0.17264	0.60465	0.29422	0.52003
SLC44A2	4	-0.0046332	-0.040699	0.76327	0.97785	0.96754	0.98354
ARMC6	4	-0.40505	-2.1662	0.22386	0.67601	0.030297	0.26816
ZYG11B	4	-0.069383	-1.1707	0.98007	0.99794	0.24171	0.48045
MMP24	4	-0.13693	-1.2681	0.76354	0.97785	0.20477	0.45325
ACER2	4	0.28856	1.4546	0.0097829	0.096891	0.14579	0.43501
RPRM	4	-0.18652	-0.94252	0.63123	0.94236	0.34593	0.56185
ASPHD2	4	-0.13346	-1.2503	0.77306	0.97886	0.21121	0.45794
SLC26A6	4	-0.03387	-0.39989	0.88459	0.98849	0.68924	0.81431
KDM6A	4	0.12869	1.003	0.22888	0.68263	0.31586	0.53726
