Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
AK1	4	-0.04358	-0.66257	0.95759	0.99611	0.50761	0.74702
TAS2R43	4	0.21943	1.0551	0.075626	0.55511	0.29139	0.62791
WHSC1L1	4	0.28562	0.9223	0.022474	0.30874	0.35637	0.67167
NUP160	4	-0.70663	-2.2557	0.015314	0.25267	0.024087	0.58307
ALDH8A1	4	0.032542	0.69839	0.67482	0.96889	0.48493	0.74669
BBS4	4	-0.042554	-0.24654	0.96211	0.99611	0.80526	0.90245
CXCL1	4	0.06727	0.48302	0.50994	0.94442	0.62908	0.79598
ADM	4	0.11146	0.79632	0.33259	0.8799	0.42585	0.71409
LPPR5	4	-0.09755	-1.6559	0.72902	0.98055	0.097741	0.58307
URB2	4	-0.33127	-1.1752	0.18566	0.76461	0.23993	0.60084
KIAA0895L	4	0.32644	1.2752	0.0096957	0.19578	0.20225	0.58558
GLOD4	4	0.090503	0.72763	0.41249	0.91279	0.46684	0.73849
RRP1B	4	0.079448	1.3222	0.45799	0.92937	0.18609	0.58382
FXYD7	4	0.13609	0.73547	0.25174	0.82607	0.46205	0.73653
CAAP1	4	0.13819	1.5092	0.24567	0.82116	0.13126	0.58307
PRPH	4	0.0068429	0.3701	0.80186	0.98347	0.71131	0.84785
NDUFAF2	4	0.025326	0.47142	0.70938	0.97673	0.63734	0.80033
PASD1	4	-0.029593	-0.20871	0.97787	0.99792	0.83468	0.91617
KIF22	4	-0.14958	-1.0624	0.54724	0.95489	0.28806	0.62651
ADGRL4	4	0.33133	1.1429	0.0087013	0.18154	0.25306	0.60555
FAM122C	4	0.17017	0.94706	0.16319	0.74378	0.34361	0.66245
GDAP2	4	-0.028238	-0.40384	0.97161	0.99704	0.68633	0.83215
MPP1	4	0.30274	1.5249	0.01601	0.25968	0.12728	0.58307
TBC1D30	4	0.029016	0.36843	0.69123	0.97224	0.71256	0.84869
ITPRIPL1	4	0.072034	0.51189	0.48896	0.93735	0.60872	0.78236
POTEB3	4	-0.37917	-1.9114	0.13828	0.70476	0.055949	0.58307
ZNF540	4	0.081921	0.80407	0.44769	0.92805	0.42135	0.711
ARFGAP2	4	-0.085604	-1.2991	0.77521	0.98347	0.1939	0.58512
HMOX2	4	-0.11743	-1.1873	0.65354	0.9664	0.23512	0.5985
PTPRR	4	0.042847	0.80029	0.62316	0.96356	0.42354	0.71236
OLIG2	4	0.017807	0.29337	0.74856	0.98173	0.76924	0.88173
