Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
SLC7A3	4	0.21972	1.2096	0.075278	0.55458	0.22643	0.59459
RET	4	-0.0044489	-0.080797	0.8577	0.98974	0.9356	0.96869
TNXB	4	-0.14083	-1.1035	0.57384	0.95944	0.26981	0.61493
TSC22D3	4	0.062635	0.88667	0.53147	0.94997	0.37525	0.68349
FBXO27	4	-0.05243	-1.1082	0.91672	0.99285	0.26779	0.61379
FBXL3	4	0.080859	0.88666	0.45182	0.92805	0.37526	0.68349
PRPF18	4	-0.13753	-0.53499	0.58453	0.96086	0.59266	0.77315
TAS2R5	4	0.10959	0.62789	0.33905	0.88291	0.53008	0.74787
C5AR1	4	0.049935	1.6687	0.59054	0.96163	0.095187	0.58307
OR56B4	4	-0.035759	-0.22124	0.99324	0.9989	0.8249	0.91134
TBX6	4	0.26831	1.5541	0.031573	0.36854	0.12016	0.58307
YJEFN3	4	0.14838	1.1608	0.21619	0.80162	0.24571	0.60198
UQCRC1	4	-0.54864	-2.0083	0.046937	0.45017	0.044615	0.58307
MED18	4	-0.67653	-1.7647	0.019391	0.2891	0.077615	0.58307
GAB2	4	0.12368	1.5058	0.29192	0.85694	0.13212	0.58307
LMO3	4	0.038116	0.30715	0.64603	0.96559	0.75873	0.87518
OR4C46	4	0.099408	1.7427	0.37883	0.89861	0.081384	0.58307
NCAN	4	0.02882	0.24598	0.69232	0.97251	0.80569	0.90269
CTXN3	4	-0.13344	-1.7251	0.59855	0.96289	0.084509	0.58307
AEBP1	4	-0.044492	-0.34523	0.95311	0.9959	0.72992	0.8585
RB1	4	0.11024	1.002	0.33731	0.88271	0.31634	0.64259
ALDH3A2	4	0.30452	1.4018	0.015314	0.25267	0.16098	0.58307
HMGN1	4	-0.32754	-0.88371	0.19009	0.77015	0.37685	0.68433
WDR44	4	-0.12626	-0.55109	0.62246	0.96355	0.58157	0.76648
PTGES3	4	-0.41788	-1.9219	0.10944	0.65361	0.054613	0.58307
C3	4	-0.17057	-1.7963	0.48503	0.93537	0.072452	0.58307
ATP9A	4	-0.20163	-1.4889	0.40493	0.90994	0.1365	0.58307
RTL1	4	0.13038	1.6646	0.26989	0.84233	0.095994	0.58307
IKBIP	4	0.037396	0.71411	0.64986	0.966	0.47516	0.74259
VAT1L	4	0.11662	1.2618	0.31434	0.86702	0.20702	0.58595
MRPL14	4	-0.15094	-1.0507	0.54286	0.95304	0.29338	0.62824
44994	4	-0.18705	-1.224	0.44391	0.9271	0.22097	0.59152
MICALL2	4	-0.14617	-1.2976	0.55683	0.95665	0.19441	0.58524
FAM183A	4	-0.22333	-1.7161	0.35829	0.88766	0.086136	0.58307
HIST1H3A	4	-0.28866	-1.357	0.24199	0.82019	0.17479	0.58307
RPS6	4	-1.4273	-3.0585	4.9722e-05	0.0063291	0.0022247	0.36927
SULT1A1	4	0.10326	1.7557	0.36361	0.89076	0.079137	0.58307
HIST1H2BE	4	-0.28941	-1.3982	0.2408	0.81966	0.16204	0.58307
LOC441155	4	-0.20212	-1.4549	0.40354	0.90854	0.1457	0.58307
BIRC6	4	-0.063989	-0.60481	0.86605	0.99062	0.5453	0.75087
ADAM20	4	-0.015339	-0.2296	0.90712	0.99158	0.8184	0.90974
CCDC110	4	-0.0054785	-0.043459	0.86153	0.99006	0.96534	0.98266
SKIL	4	-0.02024	-0.30709	0.93198	0.99381	0.75877	0.87518
ANKK1	4	0.10097	1.0353	0.37296	0.89641	0.30055	0.63146
ACAP3	4	-0.15678	-1.2018	0.52501	0.94893	0.22944	0.59674
TNRC6A	4	-0.09903	-0.69733	0.72216	0.97844	0.4856	0.74672
TXNL1	4	-0.11108	-1.3218	0.67761	0.96999	0.18624	0.58382
MAGEA5	4	0.11351	1.3654	0.32533	0.8762	0.17214	0.58307
LYSMD2	4	0.19489	1.6219	0.11302	0.65922	0.10482	0.58307
DYSF	4	-0.13883	-1.9223	0.5804	0.96003	0.054562	0.58307
BCL2L2-PABPN1	4	-0.90591	-2.3545	0.0034805	0.10249	0.018546	0.58307
WRAP73	4	0.055556	0.49197	0.56414	0.95665	0.62274	0.79147
ASH2L	4	-0.78499	-2.1642	0.0085521	0.17954	0.030445	0.58307
ZNF316	4	0.058603	0.55781	0.55067	0.956	0.57697	0.76447
EVI5L	4	-0.21936	-1.1318	0.36675	0.89312	0.25773	0.60781
PPP5D1	4	-0.28205	-1.8141	0.25144	0.82563	0.069659	0.58307
AGAP5	4	-0.39845	-1.5631	0.12381	0.68547	0.11804	0.58307
PLAU	4	-0.041236	-1.1486	0.96783	0.99611	0.2507	0.6045
POLR3C	4	-1.3887	-2.408	9.9443e-05	0.010363	0.016041	0.58307
LRRC1	4	0.12205	0.76319	0.29659	0.85733	0.44535	0.72722
MARK1	4	0.080073	0.91879	0.45505	0.92891	0.35821	0.67305
INSR	4	0.070016	1.0744	0.49836	0.94082	0.28265	0.62249
BCLAF1	4	-0.69707	-1.4568	0.016706	0.26519	0.14518	0.58307
MSANTD3	4	0.028248	0.2792	0.69476	0.97285	0.78009	0.88825
CHMP3	4	-0.73555	-2.2021	0.012778	0.2325	0.027655	0.58307
CKLF	4	-0.10406	-1.4957	0.70271	0.97591	0.13473	0.58307
POMGNT1	4	-0.087105	-0.93991	0.76919	0.9827	0.34726	0.66535
FAM47B	4	0.11449	0.95955	0.32165	0.87266	0.33728	0.6571
NCOA4	4	-0.041919	-0.5013	0.96485	0.99611	0.61616	0.78775
FRZB	4	-0.035979	-1.3989	0.99264	0.9989	0.16184	0.58307
CCT2	4	-0.98262	-2.4471	0.0018894	0.066901	0.014402	0.56931
MOB2	4	0.14634	1.2613	0.22211	0.80603	0.2072	0.58595
SDPR	4	0.10453	1.2418	0.35874	0.88822	0.2143	0.58768
HRASLS2	4	0.18872	1.3653	0.1252	0.68823	0.17214	0.58307
ELOVL1	4	0.02596	0.28653	0.70674	0.97624	0.77447	0.88456
PANK3	4	-0.21009	-1.9686	0.38614	0.90281	0.049003	0.58307
CDK19	4	0.10074	1.15	0.37351	0.89642	0.25013	0.60412
PLEKHF2	4	-0.071722	-0.40675	0.83184	0.98644	0.68419	0.83075
ECD	4	-0.81394	-2.5319	0.006613	0.14877	0.011343	0.52717
TGIF2LY	4	0.16627	0.94232	0.17189	0.75201	0.34603	0.66441
PPP1R1B	4	0.096042	1.2436	0.39086	0.90409	0.21365	0.58701
TRIM21	4	0.16643	1.075	0.17134	0.75071	0.28238	0.62244
PCBP1	4	-1.2901	-3.1648	0.00024861	0.021008	0.0015521	0.36927
HIST1H2AB	4	0.061496	0.89071	0.53625	0.95068	0.37308	0.68269
VSIG1	4	0.2761	1.4491	0.027148	0.3434	0.1473	0.58307
HPCAL1	4	0.11434	1.3578	0.3222	0.87273	0.17452	0.58307
SLAMF6	4	0.062572	0.83331	0.53162	0.94997	0.40467	0.70162
CCDC78	4	-0.10678	-0.66614	0.69292	0.97251	0.50532	0.74698
TNPO2	4	-0.098871	-0.95635	0.72285	0.97853	0.3389	0.65835
CYSTM1	4	0.24613	1.4707	0.048429	0.45728	0.14136	0.58307
C2CD4B	4	0.35508	1.4899	0.004823	0.12201	0.13625	0.58307
C1orf101	4	0.026654	0.207	0.70306	0.97591	0.83601	0.91695
SPATC1	4	0.019248	0.22217	0.74135	0.98072	0.82418	0.91134
ZNF670	4	0.18161	1.2387	0.13882	0.70477	0.21546	0.58879
GSX1	4	0.13575	1.2975	0.25283	0.82648	0.19447	0.58524
SYVN1	4	-0.20139	-1.1061	0.40548	0.91026	0.26869	0.61445
RNF26	4	0.01673	0.76176	0.75308	0.98228	0.44621	0.72771
XPR1	4	-0.6186	-2.4389	0.029137	0.35451	0.014732	0.572
GNAL	4	-0.10073	-0.92161	0.71589	0.97784	0.35673	0.67216
TRPA1	4	0.044596	0.88365	0.61481	0.96355	0.37688	0.68433
SERF1A	4	-0.44773	-1.9228	0.090891	0.6043	0.054504	0.58307
NHSL1	4	-0.077491	-1.0961	0.80708	0.98434	0.27304	0.61705
LRP4	4	-0.33006	-1.8948	0.18725	0.76642	0.058118	0.58307
MCF2	4	0.086469	0.83674	0.42785	0.91684	0.40274	0.70027
FASTKD1	4	-0.036415	-0.41734	0.99065	0.9989	0.67643	0.82571
CCDC47	4	0.078012	0.70599	0.4645	0.93231	0.4802	0.74553
SCD	4	-0.95063	-2.8335	0.0023369	0.076672	0.0046036	0.41816
CD79B	4	-0.023011	-0.18095	0.94536	0.99461	0.85641	0.92813
CT45A1	2	0.15342	0.78978	0.3749	0.8973	0.42966	0.71654
RIPPLY3	4	0.030927	0.45603	0.68298	0.97092	0.64837	0.80758
ACVR2B	4	-0.10657	-0.8652	0.69391	0.97285	0.38693	0.6902
DNASE1L1	4	-0.15488	-1.6062	0.53013	0.94942	0.10823	0.58307
ACTB	4	-0.57312	-2.3307	0.039926	0.41307	0.019769	0.58307
LRWD1	4	-0.043111	-0.34474	0.95982	0.99611	0.73029	0.85857
ATPAF1	4	-0.16325	-1.5753	0.50582	0.94357	0.1152	0.58307
BNIP2	4	0.25314	1.554	0.042959	0.43287	0.12019	0.58307
OLFML1	4	0.12919	1.0211	0.27347	0.84476	0.30721	0.63614
ANKRD36B	4	-0.059542	-0.6479	0.8847	0.99062	0.51705	0.74753
GIPC1	4	-0.53349	-1.9126	0.052357	0.47712	0.055794	0.58307
RPL36A	4	-0.022384	-0.48317	0.94207	0.9945	0.62897	0.79589
MBD3L2	4	-0.41742	-1.4893	0.10998	0.6556	0.1364	0.58307
TPRG1L	4	-0.11355	-1.0647	0.66871	0.9688	0.28699	0.62569
NPHP3	4	-0.14491	-1.1007	0.56086	0.95665	0.27102	0.61579
UBE2U	4	0.11618	0.96713	0.31568	0.86806	0.33348	0.65363
NIT1	4	0.06788	1.4502	0.50751	0.94361	0.147	0.58307
ZNF774	4	0.16822	0.66464	0.16721	0.74816	0.50628	0.74698
MMP28	4	0.36186	1.5413	0.0038286	0.10754	0.12325	0.58307
GJB2	4	-0.061547	-0.88613	0.87629	0.99062	0.37555	0.68365
LOC100505549	4	0.063261	1.1713	0.52854	0.94902	0.24149	0.60125
SDSL	4	-0.11235	-0.9233	0.67303	0.9688	0.35585	0.67163
DAD1	4	-2.1541	-3.2825	0	0	0.0010287	0.34261
OR10W1	4	-0.17652	-1.8556	0.46922	0.93242	0.06351	0.58307
MXD1	4	0.073053	1.1424	0.48439	0.93516	0.25328	0.60585
PLAC8L1	4	-0.13653	-1.422	0.58756	0.96091	0.15503	0.58307
SMC3	4	-0.73049	-1.8694	0.012878	0.2325	0.061564	0.58307
ATP1A1	4	-0.90895	-2.2768	0.0034308	0.10249	0.022798	0.58307
HOXB13	4	-0.15261	-1.5778	0.53729	0.95106	0.1146	0.58307
ZFP92	4	0.095071	1.2777	0.39479	0.90543	0.20135	0.58558
NPM1	4	-0.56685	-1.9845	0.042114	0.4293	0.047202	0.58307
INSL5	4	0.026461	0.26424	0.70421	0.97591	0.7916	0.89499
ITGA10	4	-0.004124	-0.10571	0.85635	0.98974	0.91582	0.95847
DSCR4	4	-0.0031099	-0.022785	0.85193	0.98939	0.98182	0.99094
BYSL	4	-0.11692	-0.60211	0.65543	0.96713	0.5471	0.75163
C6orf201	4	0.35157	1.3376	0.0052208	0.13011	0.18101	0.58382
EDN3	4	0.094799	0.98633	0.39608	0.90543	0.32397	0.64738
PDK1	4	-0.057398	-0.66851	0.89375	0.99062	0.50381	0.74686
ANO1	4	0.20191	1.021	0.10148	0.63503	0.30725	0.63614
SYCP2L	4	-0.22426	-1.2608	0.3563	0.88748	0.20738	0.58595
ACSL6	4	0.05057	1.0901	0.58721	0.96091	0.27569	0.61832
FBXO16	4	0.11624	1.1832	0.31553	0.86801	0.23673	0.59915
RUVBL1	4	-1.9786	-4.1472	0	0	3.3659e-05	0.15672
BCAP31	4	0.14115	1.1012	0.23643	0.8175	0.27081	0.61579
SVOP	4	-0.11527	-0.72273	0.66274	0.96842	0.46984	0.74004
SRP72	4	-0.62298	-2.2048	0.027993	0.34689	0.02747	0.58307
NCDN	4	-0.084136	-0.80573	0.78172	0.98347	0.4204	0.71075
GLTSCR1	4	-0.027787	-0.15692	0.96823	0.99611	0.87531	0.93863
ZNF347	4	0.036342	0.56432	0.65598	0.96723	0.57254	0.76262
PPP2R1B	4	0.089513	1.3521	0.41687	0.91452	0.17635	0.58307
HSD17B3	4	0.35275	1.5463	0.0050219	0.12562	0.12204	0.58307
GMPR	4	0.0052673	0.10054	0.80887	0.98434	0.91991	0.96111
ANKRD26	4	0.095009	1.4719	0.39524	0.90543	0.14106	0.58307
CHEK2	4	0.069215	0.69624	0.50199	0.94258	0.48628	0.74686
FBXL8	4	-0.023094	-0.16238	0.94585	0.99487	0.871	0.93574
DNAH2	4	-0.23307	-1.5982	0.33801	0.88271	0.10999	0.58307
CASZ1	4	0.020397	0.36499	0.73498	0.98072	0.71512	0.85073
NEDD8-MDP1	4	-0.3408	-1.4413	0.17552	0.75735	0.14951	0.58307
PYGO1	4	0.14094	0.6556	0.23692	0.8175	0.51208	0.74753
PLRG1	4	-0.83761	-2.3056	0.0058174	0.14046	0.021133	0.58307
SLC25A33	4	-0.18437	-1.0746	0.45038	0.92805	0.28256	0.62249
TCERG1	4	-0.38737	-1.3839	0.13176	0.69572	0.16638	0.58307
FXYD3	4	0.021303	0.61376	0.72981	0.98063	0.53937	0.7494
C4orf29	4	0.10378	0.93588	0.36158	0.88995	0.34933	0.66689
NAE1	4	-0.46706	-1.9778	0.08035	0.56797	0.047957	0.58307
SRP14	4	-1.1639	-2.7025	0.00054694	0.033133	0.0068821	0.46444
DPYSL3	4	-0.097277	-0.55056	0.73006	0.9807	0.58194	0.76661
ZMPSTE24	4	-0.09074	-1.1572	0.75472	0.98228	0.24719	0.6026
GUCA2B	4	0.16029	1.2859	0.18526	0.76461	0.19849	0.58558
CLEC7A	4	-0.026828	-0.10523	0.964	0.99611	0.91619	0.95868
B4GALT5	4	-0.036398	-0.31681	0.99065	0.9989	0.75139	0.87115
HIST1H2BA	4	0.3337	1.2626	0.0084029	0.17789	0.20674	0.58595
SPAM1	4	0.065571	0.98751	0.5184	0.94845	0.32339	0.64687
TFAM	4	-0.71356	-2.0596	0.01437	0.24512	0.03944	0.58307
STAMBP	4	-0.045358	-0.25129	0.94968	0.99568	0.80159	0.901
IFIT1	4	0.0090645	0.10369	0.79137	0.98347	0.91742	0.95955
RPL17-C18orf32	4	-1.6543	-2.8142	4.9722e-05	0.0063291	0.0048903	0.42031
PRL	4	-0.40249	-1.483	0.12033	0.67825	0.13808	0.58307
HLA-DRB5	4	-0.049501	-0.89028	0.93069	0.99381	0.37331	0.6828
C11orf96	4	0.056535	0.76677	0.56041	0.95665	0.44322	0.72561
MAZ	4	-0.058132	-0.72107	0.89071	0.99062	0.47087	0.74044
ACTN1	4	0.1398	0.85939	0.24035	0.81966	0.39013	0.69227
C15orf52	4	0.077687	1.0971	0.46604	0.93231	0.27258	0.61677
EDA2R	4	-0.13125	-1.6315	0.60675	0.96315	0.10279	0.58307
NAA10	4	-0.80427	-2.4591	0.0071599	0.15721	0.013929	0.56166
PKN2	4	-0.35042	-1.2554	0.16468	0.74494	0.20932	0.58595
GOLGA6L9	4	-0.18128	-0.75462	0.45764	0.92916	0.45048	0.73011
SAE1	4	-0.99818	-2.2604	0.0014916	0.056075	0.023797	0.58307
CCDC121	4	-0.0016465	-0.028471	0.84492	0.98923	0.97729	0.98866
SEMA3F	4	-0.29856	-2.0698	0.22688	0.81004	0.038474	0.58307
COL6A1	4	0.19808	1.1522	0.10795	0.65154	0.24923	0.60355
TMSB4X	4	0.059308	0.55289	0.54704	0.95489	0.58034	0.76591
ALDOA	4	-1.589	-3.3655	4.9722e-05	0.0063291	0.00076395	0.33562
HSP90AA1	4	-0.82966	-1.7935	0.0061655	0.14486	0.0729	0.58307
DCAF8L1	4	0.041592	0.21096	0.62913	0.96393	0.83291	0.91529
POLR2L	4	-2.2409	-3.6989	0	0	0.00021649	0.25818
TRPC6	4	0.12093	1.5122	0.30082	0.86053	0.13047	0.58307
CUL5	4	0.11156	1.1678	0.33229	0.8799	0.24288	0.60126
STX10	4	-0.34307	-2.1104	0.17298	0.754	0.034825	0.58307
PPP1R16B	4	-0.095368	-1.1019	0.73732	0.98072	0.27048	0.61543
KPNA7	4	-0.14027	-1.5928	0.57563	0.95988	0.11121	0.58307
RSPO3	4	0.0032876	0.054533	0.81946	0.98477	0.95651	0.97814
OR2A4	4	-0.19665	-0.91412	0.41836	0.91452	0.36066	0.67419
ACTL10	4	0.1399	1.2719	0.24011	0.81966	0.2034	0.58558
CAPS2	4	0.033269	0.50869	0.67094	0.9688	0.61097	0.78407
PDCL3	4	-0.10386	-0.83741	0.70346	0.97591	0.40236	0.70008
DNAJA2	4	-0.14873	-1.2823	0.54972	0.956	0.19972	0.58558
ATG13	4	-0.091639	-1.1766	0.75094	0.98186	0.23936	0.60084
ZNF324	4	-0.081847	-1.2755	0.79013	0.98347	0.20214	0.58558
ZNF681	4	0.23707	1.3601	0.055937	0.48765	0.1738	0.58307
C9orf89	4	0.076237	0.52639	0.47161	0.93315	0.59862	0.77668
SLC16A8	4	-0.14627	-1.4532	0.55663	0.95665	0.14616	0.58307
THOC2	4	-0.76521	-2.3164	0.010392	0.2047	0.020534	0.58307
SIRT4	4	-0.21322	-1.1541	0.37977	0.8988	0.24847	0.60326
IRGM	4	0.014731	0.36911	0.76462	0.9827	0.71204	0.8483
DOK5	4	0.28924	0.741	0.020933	0.29901	0.4587	0.73496
ABCC12	4	0.20085	1.6921	0.10292	0.63782	0.090621	0.58307
EPB41	4	-0.33688	-1.5464	0.179	0.75901	0.12202	0.58307
DHX16	4	-0.19731	-1.1215	0.41652	0.91452	0.26209	0.60943
NPTXR	4	-0.23849	-1.8458	0.32632	0.8764	0.064922	0.58307
FOXP3	4	0.090857	0.92169	0.4111	0.91222	0.35669	0.67214
GCM2	4	0.011224	0.19143	0.78098	0.98347	0.84819	0.92414
NGLY1	4	-0.060856	-1.1576	0.87893	0.99062	0.24701	0.6026
ACSM3	4	-0.20541	-1.3282	0.39608	0.90543	0.1841	0.58382
LPIN1	4	-0.10339	-0.68032	0.70535	0.97593	0.4963	0.74686
KIAA1024L	4	-0.027953	-0.99367	0.96932	0.99647	0.32038	0.64505
CCDC12	4	-0.11473	-0.86201	0.66463	0.9688	0.38868	0.69136
ATP6V1B1	4	0.061685	0.56695	0.5356	0.95034	0.57075	0.76171
HNRNPH1	4	-0.39512	-2.0196	0.12644	0.68972	0.04342	0.58307
RCHY1	4	0.011127	0.20437	0.78142	0.98347	0.83806	0.91778
SIDT1	4	-0.024035	-0.29	0.95092	0.99568	0.77181	0.88278
ADRB3	4	-0.030328	-0.42882	0.9814	0.99818	0.66805	0.81926
MYO9B	4	-0.15798	-1.6552	0.52143	0.94893	0.097888	0.58307
PIP5K1C	4	-0.023977	-0.18603	0.95053	0.99568	0.85242	0.92652
MC2R	4	0.018542	0.23754	0.74488	0.98153	0.81224	0.90611
ZDHHC22	4	-0.075077	-0.90719	0.81688	0.98472	0.36431	0.67635
RNF175	4	0.1921	1.5755	0.11844	0.6745	0.11514	0.58307
IDH3G	4	-0.049472	-0.38837	0.93074	0.99381	0.69774	0.83912
CALCRL	4	-0.08354	-0.97857	0.78366	0.98347	0.32779	0.64992
DUSP5	4	0.047625	0.82118	0.60103	0.96295	0.41154	0.70586
TMEM144	4	0.090822	0.79253	0.41125	0.91222	0.42805	0.71569
IGFL1	4	-0.039412	-0.55213	0.97698	0.99792	0.58086	0.766
TYK2	4	0.013382	0.12495	0.77063	0.9827	0.90056	0.95047
PIP	4	0.16831	1.5057	0.16716	0.74816	0.13215	0.58307
ACOT2	4	0.097332	1.4678	0.38703	0.90281	0.14215	0.58307
OR8B4	4	0.17418	1.5183	0.15453	0.73144	0.12893	0.58307
GALNT11	4	-0.16235	-1.6533	0.50875	0.94442	0.098274	0.58307
SLAIN2	4	-0.039264	-0.3929	0.97753	0.99792	0.69439	0.83727
C10orf91	4	0.054101	0.98697	0.5712	0.9579	0.32366	0.64699
KRT1	4	-0.0026308	-0.030461	0.85009	0.98924	0.9757	0.98788
LYZ	4	0.12361	0.56621	0.29211	0.85694	0.57125	0.76192
ZSCAN21	4	-0.028986	-0.41162	0.97524	0.99781	0.68062	0.8289
OGFOD2	4	0.016548	0.13827	0.75393	0.98228	0.89003	0.94581
GREM1	4	-0.10177	-0.92551	0.71171	0.97707	0.3547	0.67038
PSPC1	4	-0.058555	-0.54316	0.88902	0.99062	0.58702	0.76993
PCDHB10	4	-0.013979	-0.69156	0.90105	0.99113	0.48921	0.74686
DHX32	4	0.078429	0.83874	0.46221	0.93159	0.40162	0.6997
RFPL1	4	0.26571	1.3991	0.033413	0.37753	0.16177	0.58307
NCAPG2	4	-0.98283	-2.6088	0.0018894	0.066901	0.0090851	0.5038
ITIH3	4	-0.089058	-0.866	0.76109	0.98248	0.38649	0.68995
SNIP1	4	-0.46526	-1.812	0.081146	0.56963	0.069994	0.58307
P2RY14	4	0.17931	1.4674	0.14355	0.71088	0.14227	0.58307
CIB1	4	0.10914	0.82464	0.34114	0.88449	0.40958	0.70456
FUNDC1	4	-0.014899	-0.12922	0.90523	0.99113	0.89718	0.94934
TRIM50	4	-0.23842	-1.6916	0.32642	0.8764	0.090713	0.58307
TARBP1	4	-0.0032365	-0.11586	0.85243	0.98939	0.90776	0.95446
GGTLC2	4	-0.26444	-0.6734	0.27904	0.8481	0.5007	0.74686
TMEM151B	4	0.06045	0.50559	0.54137	0.95234	0.61314	0.78565
COASY	4	-1.2056	-2.9794	0.00049722	0.032362	0.0028879	0.36927
PRDM16	4	-0.191	-1.6152	0.43248	0.9194	0.10627	0.58307
ZNF585A	4	-0.013619	-0.46033	0.89916	0.99107	0.64528	0.80565
C19orf71	4	-0.080961	-1.0109	0.79281	0.98347	0.31207	0.63964
CUX1	4	0.026848	0.9364	0.70197	0.97591	0.34907	0.66673
OR9Q1	4	-0.050649	-1.1252	0.92587	0.99381	0.26049	0.60923
DIO1	4	0.028502	0.36982	0.69381	0.97285	0.71152	0.848
PID1	4	0.14762	1.3002	0.21873	0.80363	0.19354	0.58512
PENK	4	0.17763	1.1748	0.14732	0.71865	0.24007	0.60098
RIN2	4	-0.0095052	-0.20694	0.88017	0.99062	0.83606	0.91695
C7orf31	4	-0.035129	-0.31627	0.99657	0.9989	0.7518	0.87146
TMEM120B	4	-0.05659	-0.38956	0.89718	0.99062	0.69686	0.83864
ZSCAN25	4	0.021903	0.37185	0.72673	0.97989	0.71	0.84715
SYBU	4	0.043336	0.45338	0.62157	0.96355	0.65028	0.8083
ODF2	4	0.047427	0.41702	0.60218	0.96295	0.67666	0.82588
CAPS	4	-0.28948	-1.5294	0.24075	0.81966	0.12617	0.58307
C17orf75	4	-0.16754	-1.0766	0.49463	0.93877	0.28166	0.6216
ARHGEF4	4	0.069063	0.42907	0.50249	0.94281	0.66788	0.81917
ZNF695	4	0.27371	1.1867	0.028242	0.34911	0.23535	0.59853
KLHL22	4	0.0019435	0.024484	0.82707	0.98514	0.98047	0.99054
DLL4	4	0.10194	0.94026	0.36943	0.89445	0.34708	0.66526
TSPAN17	4	0.13281	1.4391	0.26144	0.83368	0.15013	0.58307
KCNK10	4	0.12253	0.94375	0.29515	0.85694	0.3453	0.66399
KCNH2	4	0.13595	1.0063	0.25259	0.82648	0.31426	0.64113
PHYHIPL	4	0.05733	0.8991	0.55668	0.95665	0.3686	0.67981
GLIPR2	4	0.017758	0.12869	0.74881	0.98173	0.8976	0.94949
NME6	4	-0.0092418	-0.28882	0.87952	0.99062	0.77272	0.88335
RPS16	4	-1.5746	-2.9797	4.9722e-05	0.0063291	0.0028857	0.36927
PCYT2	4	-0.082862	-1.5716	0.786	0.98347	0.11604	0.58307
TMEM236	4	0.11846	0.61424	0.30842	0.86477	0.53906	0.74929
STAT5A	4	-0.15583	-1.6214	0.52794	0.94893	0.10492	0.58307
MANSC1	4	0.036686	0.3622	0.65409	0.96671	0.7172	0.85199
ADM5	4	-0.063435	-0.29601	0.86864	0.99062	0.76722	0.88043
YPEL3	4	-0.28696	-1.6852	0.24408	0.82116	0.09195	0.58307
EXOC2	4	-0.080299	-0.52042	0.79545	0.98347	0.60277	0.77934
ZMYND12	4	-0.18412	-1.1736	0.45083	0.92805	0.24055	0.60107
NKX2-6	4	0.13477	1.4193	0.25552	0.82954	0.15581	0.58307
APLP2	4	0.20815	1.4379	0.091289	0.60534	0.15046	0.58307
UPB1	4	-0.10302	-0.55738	0.70659	0.97624	0.57727	0.76449
CD3E	4	0.079569	1.1818	0.45734	0.92916	0.2373	0.59936
SPRED1	4	0.0016303	0.013396	0.82821	0.98516	0.98931	0.9944
KLHL15	4	0.14713	0.87325	0.21992	0.80363	0.38252	0.68758
MTMR2	4	0.099683	1.0308	0.37764	0.89818	0.30264	0.63277
KIRREL2	4	0.087242	1.6146	0.42542	0.91661	0.1064	0.58307
MGST3	4	0.14487	1.6065	0.22598	0.80958	0.10816	0.58307
FAM53C	4	0.035861	0.26335	0.65861	0.96804	0.79228	0.89534
GDAP1	4	-0.027907	-0.19713	0.96897	0.99642	0.84372	0.92163
ZRSR2	4	-0.99739	-2.7975	0.0014916	0.056075	0.0051504	0.43341
CNTNAP3	4	-0.207	-1.4106	0.3926	0.90409	0.15836	0.58307
LPPR4	4	-0.089438	-0.93384	0.76004	0.98228	0.35039	0.66745
TM9SF3	4	-0.087402	-0.92114	0.7679	0.9827	0.35697	0.67229
KLF3	4	0.11706	0.80379	0.3131	0.86702	0.42152	0.71115
ENTPD3	4	-0.12727	-1.0349	0.61908	0.96355	0.3007	0.63161
TTC36	4	-0.024757	-0.39013	0.9549	0.99611	0.69644	0.8384
C9orf62	4	0.19625	1.5155	0.11113	0.65735	0.12965	0.58307
RNF4	4	-0.26451	-2.0196	0.27889	0.8481	0.04342	0.58307
CLDN18	4	0.12264	1.6742	0.2948	0.85694	0.094093	0.58307
SLC6A20	4	-0.0041267	-0.052894	0.85635	0.98974	0.95782	0.97879
TMEM184A	4	-0.1292	-0.93781	0.61302	0.96355	0.34834	0.66627
SULT1C3	4	0.07691	0.90102	0.46907	0.93231	0.36758	0.67904
RBM3	4	0.18047	1.0572	0.14121	0.70823	0.29042	0.62766
DUSP1	4	0.073712	1.1699	0.48185	0.93509	0.24206	0.60126
SERGEF	4	-0.17571	-1.3913	0.47101	0.93315	0.16415	0.58307
TACC1	4	0.056716	0.7848	0.55967	0.95665	0.43257	0.71918
ZNF443	4	0.29855	0.99951	0.017552	0.27259	0.31755	0.64343
PRKAG2	4	0.042751	0.45495	0.62371	0.96368	0.64914	0.80794
HENMT1	4	-0.27279	-1.8148	0.26591	0.83719	0.06955	0.58307
PKN3	4	0.12888	1.4082	0.27416	0.84532	0.15906	0.58307
NARF	4	0.19227	1.3228	0.11819	0.67413	0.1859	0.58382
ARID5B	4	-0.32775	-1.8993	0.18969	0.76931	0.057527	0.58307
POMP	4	-0.098831	-0.70365	0.723	0.97853	0.48165	0.74553
RING1	4	-0.18609	-0.62021	0.4459	0.92805	0.53512	0.7481
TNNI2	4	-0.25368	-1.3685	0.29768	0.85825	0.17114	0.58307
SYS1	4	-0.50608	-1.7947	0.062699	0.51448	0.072706	0.58307
IGSF9	4	0.091096	0.87913	0.41035	0.91222	0.37933	0.68582
PCBD1	4	0.092081	0.75781	0.40618	0.91044	0.44857	0.72879
ZFYVE9	4	-0.19835	-1.0184	0.41388	0.91322	0.30849	0.63671
PPIH	4	-0.39076	-1.3255	0.12952	0.69271	0.18499	0.58382
HIST1H2BF	4	0.08364	0.66899	0.44053	0.926	0.5035	0.74686
