Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
MLYCD	4	-0.14466	-1.2675	0.7898	0.98245	0.20497	0.4637
HIST1H2BM	4	-0.49633	-1.0052	0.22877	0.69938	0.31479	0.53583
LRFN3	4	-0.12862	-1.0009	0.8327	0.9885	0.31685	0.53756
LRCH4	4	0.14857	1.3198	0.24316	0.71945	0.18691	0.45581
SAMD8	4	-0.034622	-0.20874	0.87685	0.99298	0.83465	0.91027
GATM	4	0.1848	1.5573	0.1604	0.60942	0.11939	0.4508
CALCRL	4	0.012187	0.17009	0.70819	0.97245	0.86494	0.92861
SPRR2B	4	-0.47522	-2.2606	0.24881	0.72427	0.023787	0.23034
ACTL7B	4	0.063267	0.82668	0.51781	0.91251	0.40842	0.61462
PRSS12	4	0.21522	1.506	0.10416	0.49173	0.13207	0.4508
OCRL	4	0.14878	1.3151	0.24285	0.71945	0.18849	0.4559
POF1B	4	0.26655	1.5155	0.047397	0.32028	0.12966	0.4508
CYYR1	4	0.25186	1.228	0.061679	0.37536	0.21946	0.47146
LPGAT1	4	-0.14858	-1.5749	0.77954	0.98124	0.11527	0.4508
SSBP4	4	-0.4	-1.5833	0.33304	0.80308	0.11335	0.4508
GYPC	4	0.2121	1.5417	0.10918	0.50277	0.12315	0.4508
MARCH10	4	0.15577	1.5857	0.22569	0.69672	0.11282	0.4508
GAS7	4	0.20623	1.6639	0.11865	0.52042	0.096124	0.4508
VAMP8	4	0.060036	0.48913	0.52943	0.91881	0.62475	0.77591
TSNARE1	4	-0.17909	-1.7224	0.70756	0.97245	0.084996	0.4508
CDC42EP4	4	-0.079395	-0.70466	0.97515	0.99727	0.48102	0.67046
SMG9	4	-1.0636	-2.9693	0.023489	0.20787	0.0029848	0.052392
SLC6A9	4	-0.12113	-1.6912	0.8532	0.99041	0.090792	0.4508
MUC1	4	-0.25482	-2.0113	0.55281	0.92929	0.044297	0.34076
F2RL1	4	0.62612	1.3005	5.2315e-05	0.0034602	0.19342	0.45761
DPP8	4	0.26043	1.5887	0.0531	0.34256	0.11214	0.4508
KIAA2022	4	0.22176	1.6093	0.09537	0.47009	0.10756	0.4508
RLN2	4	0.21551	1.1567	0.10364	0.4901	0.24741	0.48884
RPS6KB2	4	-0.14075	-1.7671	0.80115	0.98558	0.077216	0.4508
SCLY	4	0.2756	1.4894	0.040649	0.29222	0.13638	0.4508
RASSF10	4	0.076258	0.99918	0.47115	0.8907	0.31771	0.53848
BTK	4	0.02493	0.65078	0.65953	0.95995	0.51519	0.69488
DMRTB1	4	0.13722	1.0482	0.27355	0.74943	0.29456	0.52028
GSX1	4	0.031108	0.30656	0.63735	0.9576	0.75918	0.86451
C11orf85	4	0.16078	1.2505	0.21256	0.6783	0.2111	0.46698
MARCH11	4	0.079097	0.84409	0.4611	0.8862	0.39862	0.60704
TTC31	4	-0.19028	-1.5692	0.68245	0.96595	0.11661	0.4508
SPATA2	4	-0.11049	-1.2199	0.88281	0.99298	0.2225	0.47327
P2RX7	4	-0.045839	-0.34955	0.91729	0.99478	0.72668	0.84335
POLG	4	-1.4666	-3.1246	0.0045514	0.069323	0.0017807	0.035981
MLPH	4	0.073021	0.96769	0.48349	0.89702	0.3332	0.55187
TBC1D4	4	0.10398	0.84584	0.37473	0.83011	0.39764	0.60608
CAMK1D	4	0.3203	1.3927	0.017682	0.17314	0.1637	0.4508
PPP1R14A	4	0.12163	0.94826	0.31834	0.78908	0.34299	0.56042
CNTD1	4	0.16267	1.6888	0.20842	0.67206	0.091252	0.4508
FER1L5	4	-0.13482	-1.0192	0.81716	0.98699	0.30809	0.53019
TMEM30B	4	-0.066278	-0.39873	0.98321	0.99846	0.6901	0.8206
TBC1D21	4	0.040619	1.3594	0.60183	0.94668	0.17403	0.45119
ACOT11	4	0.1836	1.5674	0.16296	0.61334	0.11701	0.4508
OTP	4	0.18858	1.2715	0.1525	0.59506	0.20354	0.46325
CUL4B	4	0.14856	1.3857	0.24316	0.71945	0.16585	0.4508
WDR60	4	0.3233	1.4877	0.016636	0.16588	0.13684	0.4508
SLC7A13	4	0.062135	0.82287	0.52226	0.91472	0.41058	0.6164
LOC388813	4	0.34399	1.4967	0.011143	0.12566	0.13446	0.4508
GPR75	4	-0.29831	-1.85	0.47988	0.89405	0.064317	0.4186
ERAP1	4	0.10637	1.1866	0.36673	0.82555	0.23537	0.48157
OBP2A	4	-0.65137	-2.0924	0.12074	0.5255	0.036401	0.30282
PIP5K1A	4	0.18234	1.2219	0.16558	0.61616	0.22174	0.47279
UBXN8	3	0.15501	0.84449	0.30071	0.77227	0.3984	0.6069
CCPG1	4	0.18013	1.5019	0.16987	0.62287	0.13311	0.4508
ZNF260	4	0.25727	0.49562	0.056657	0.35778	0.62016	0.77323
ZNF544	4	0.052699	0.90355	0.55804	0.93228	0.36623	0.58035
RIMS2	4	0.18069	1.1532	0.16872	0.62134	0.24884	0.48973
C15orf40	4	0.093023	1.1721	0.4124	0.85462	0.24114	0.48508
ASB2	4	0.036781	0.29143	0.61632	0.95108	0.77073	0.87177
BAG5	4	-0.062484	-1.4549	0.97091	0.99699	0.1457	0.4508
GUCY1A2	4	0.15917	1.5796	0.21695	0.68444	0.1142	0.4508
EYA4	4	0.13546	1.1085	0.27894	0.75513	0.26763	0.50239
UTS2B	4	0.16703	1.2943	0.19833	0.66081	0.19557	0.45912
OTUD7B	4	0.082707	0.75422	0.4475	0.87656	0.45072	0.64825
SMPD2	4	0.051055	0.97041	0.56327	0.93415	0.33184	0.55077
NTF4	4	-0.25251	-1.273	0.55668	0.932	0.203	0.46318
C10orf67	4	0.05672	0.42845	0.54224	0.92423	0.66832	0.80635
KRTAP20-1	4	0.13496	1.3672	0.28041	0.75642	0.17157	0.4508
RAD23A	4	-0.28823	-1.9125	0.49652	0.90083	0.055807	0.38775
GPSM3	4	0.096251	1.1124	0.39979	0.84676	0.26598	0.50156
GATA1	4	-0.081713	-0.28957	0.96866	0.99699	0.77215	0.87257
ANXA8L1	4	0.0551	0.42708	0.54889	0.9273	0.66932	0.80699
SAA2-SAA4	4	0.083088	1.1456	0.44635	0.87646	0.25198	0.49152
ZNF471	4	0.36005	1.4852	0.0084227	0.10641	0.13749	0.4508
GPRC5D	4	-0.022332	-0.47856	0.83421	0.9885	0.63225	0.78158
C11orf44	4	0.037887	1.1837	0.61203	0.94936	0.23654	0.48165
NFIL3	4	0.081673	1.1631	0.45184	0.88007	0.2448	0.48753
CLLU1OS	4	0.16893	1.6607	0.1943	0.65537	0.096783	0.4508
MCFD2	4	-0.10689	-0.8342	0.8927	0.99298	0.40417	0.61082
THEGL	4	0.0068306	0.099378	0.72765	0.97498	0.92084	0.95886
OR5A1	4	0.0090701	0.24422	0.71943	0.97346	0.80706	0.89322
FAM178B	4	-0.016318	-0.26501	0.81203	0.98699	0.791	0.88403
LOC102723859	4	-0.26418	-0.97999	0.53675	0.92226	0.32709	0.547
HIAT1	4	0.10176	0.89227	0.382	0.83574	0.37225	0.5854
MOS	4	0.025683	0.17916	0.65676	0.95989	0.85781	0.9243
ARMC1	4	0.17041	1.2755	0.19137	0.65124	0.20215	0.46242
ZNF331	4	0.17605	1.1727	0.17928	0.63748	0.24091	0.48495
KRTAP19-7	4	-0.032777	-0.36077	0.87083	0.99261	0.71827	0.83918
GBA2	4	-0.056454	-0.39062	0.95203	0.99668	0.69608	0.82379
BGLAP	4	-0.10044	-1.1812	0.9107	0.99395	0.23754	0.48237
OR5R1	4	0.10627	1.1443	0.36715	0.82555	0.2525	0.49152
SRP19	4	-1.4062	-3.1085	0.0062778	0.086768	0.0018805	0.037443
KRT74	4	0.20113	1.6183	0.1277	0.54016	0.1056	0.4508
FKBP15	4	-0.10454	-0.89629	0.89971	0.99298	0.3701	0.58365
