Gene	sgRNA	Cont|beta	Cont|z	Cont|p-value	Cont|fdr	Cont|wald-p-value	Cont|wald-fdr
Non-Targeting Control 508	1	0.08451	0.68113	0.61411	0.91146	0.49579	0.71937
Non-Targeting Control 509	1	0.23923	0.62913	0.093477	0.60411	0.52926	0.71937
Non-Targeting Control 510	1	0.11836	0.66951	0.46042	0.8582	0.50317	0.71937
Non-Targeting Control 511	1	0.34603	0.59516	0.015662	0.36165	0.55174	0.72978
Non-Targeting Control 512	1	0.17198	0.65137	0.25288	0.74104	0.51481	0.71937
Non-Targeting Control 513	1	0.11651	0.67013	0.46823	0.86307	0.50277	0.71937
Non-Targeting Control 514	1	0.11833	0.6695	0.46072	0.85852	0.50318	0.71937
Non-Targeting Control 515	1	0.075809	0.6841	0.65339	0.92172	0.49391	0.71937
Non-Targeting Control 516	1	0.079512	0.68282	0.63753	0.91657	0.49472	0.71937
Non-Targeting Control 517	1	0.17343	0.65088	0.24836	0.73934	0.51512	0.71937
Non-Targeting Control 518	1	0.1142	0.6709	0.47867	0.86668	0.50228	0.71937
Non-Targeting Control 519	1	-0.31236	-0.82803	0.21912	0.71953	0.40766	0.67325
Non-Targeting Control 520	1	0.10938	0.67258	0.49836	0.87258	0.50121	0.71937
Non-Targeting Control 521	1	-0.44263	-0.88222	0.12311	0.63669	0.37766	0.64956
Non-Targeting Control 522	1	0.21221	0.63802	0.14544	0.66076	0.52346	0.71937
Non-Targeting Control 523	1	0.090851	0.67893	0.58269	0.90181	0.49718	0.71937
Non-Targeting Control 524	1	0.14675	0.65986	0.34208	0.80282	0.50934	0.71937
Non-Targeting Control 525	1	0.17512	0.65035	0.24383	0.73505	0.51547	0.71937
Non-Targeting Control 526	1	0.16312	0.65435	0.28157	0.7625	0.51289	0.71937
Non-Targeting Control 527	1	0.10108	0.67544	0.53535	0.88457	0.49939	0.71937
Non-Targeting Control 528	1	0.19984	0.64211	0.17298	0.68402	0.5208	0.71937
Non-Targeting Control 529	1	0.21297	0.63779	0.14355	0.659	0.52361	0.71937
Non-Targeting Control 530	1	0.21633	0.63666	0.13649	0.65226	0.52434	0.71937
Non-Targeting Control 531	1	0.21221	0.63802	0.14544	0.66076	0.52346	0.71937
Non-Targeting Control 532	1	0.21893	0.6358	0.13027	0.64659	0.52491	0.71937
Non-Targeting Control 533	1	0.1419	0.66149	0.36187	0.8113	0.5083	0.71937
Non-Targeting Control 534	1	0.10221	0.67502	0.53083	0.88348	0.49966	0.71937
Non-Targeting Control 535	1	0.14983	0.65881	0.3303	0.79366	0.51001	0.71937
Non-Targeting Control 536	1	0.13938	0.66234	0.37107	0.81625	0.50775	0.71937
Non-Targeting Control 537	1	0.13327	0.66442	0.39782	0.82861	0.50642	0.71937
Non-Targeting Control 538	1	0.13665	0.66327	0.38261	0.82291	0.50716	0.71937
Non-Targeting Control 539	1	0.21697	0.63646	0.13519	0.65157	0.52447	0.71937
Non-Targeting Control 540	1	0.18262	0.64787	0.22061	0.72109	0.51707	0.71937
Non-Targeting Control 541	1	0.12388	0.6676	0.43556	0.8497	0.50439	0.71937
Non-Targeting Control 542	1	0.25296	0.6247	0.073986	0.58164	0.53217	0.71963
Non-Targeting Control 543	1	0.069881	0.68618	0.6792	0.92786	0.4926	0.71937
Non-Targeting Control 544	1	0.1499	0.6588	0.33	0.79342	0.51003	0.71937
Non-Targeting Control 545	1	0.16151	0.65487	0.28794	0.76553	0.51255	0.71937
Non-Targeting Control 546	1	0.20622	0.64008	0.15841	0.66987	0.52212	0.71937
Non-Targeting Control 547	1	0.087782	0.67996	0.59805	0.9075	0.49653	0.71937
Non-Targeting Control 548	1	0.21798	0.63612	0.13276	0.64841	0.5247	0.71937
Non-Targeting Control 549	1	0.10168	0.67518	0.53316	0.88388	0.49956	0.71937
Non-Targeting Control 550	1	0.23102	0.63182	0.10725	0.62341	0.5275	0.71937
Non-Targeting Control 551	1	0.2302	0.6321	0.10914	0.62571	0.52732	0.71937
Non-Targeting Control 552	1	0.10185	0.6753	0.53262	0.88388	0.49949	0.71937
Non-Targeting Control 553	1	0.028417	0.70041	0.87604	0.97742	0.48367	0.71937
Non-Targeting Control 554	1	0.090403	0.67907	0.58517	0.90271	0.49709	0.71937
Non-Targeting Control 555	1	-0.29041	-0.8189	0.24349	0.73505	0.41284	0.67659
Non-Targeting Control 556	1	0.1887	0.64583	0.20073	0.70317	0.51839	0.71937
Non-Targeting Control 557	1	0.14065	0.66191	0.36595	0.8138	0.50803	0.71937
Non-Targeting Control 558	1	0.23772	0.62964	0.095714	0.60802	0.52893	0.71937
Non-Targeting Control 559	1	0.15858	0.65591	0.29808	0.77501	0.51188	0.71937
Non-Targeting Control 560	1	0.16213	0.65469	0.28525	0.76412	0.51267	0.71937
Non-Targeting Control 561	1	0.14575	0.6602	0.34571	0.80427	0.50913	0.71937
Non-Targeting Control 562	1	0.18354	0.64751	0.21743	0.71936	0.5173	0.71937
Non-Targeting Control 563	1	0.1199	0.66897	0.45276	0.85579	0.50352	0.71937
Non-Targeting Control 564	1	0.13391	0.6642	0.39514	0.8285	0.50656	0.71937
Non-Targeting Control 565	1	0.1623	0.65461	0.28485	0.76376	0.51272	0.71937
Non-Targeting Control 566	1	0.10855	0.67285	0.50179	0.87335	0.50104	0.71937
Non-Targeting Control 567	1	0.17321	0.65095	0.24911	0.73978	0.51508	0.71937
Non-Targeting Control 568	1	0.20995	0.63876	0.14981	0.66263	0.52298	0.71937
Non-Targeting Control 569	1	0.24393	0.62761	0.086018	0.60069	0.53026	0.71937
Non-Targeting Control 570	1	0.24027	0.62878	0.091388	0.60411	0.52949	0.71937
Non-Targeting Control 571	1	0.055583	0.69112	0.7493	0.94619	0.48949	0.71937
Non-Targeting Control 572	1	0.16883	0.65244	0.26293	0.75171	0.51412	0.71937
Non-Targeting Control 573	1	0.036324	0.69781	0.84064	0.96934	0.4853	0.71937
Non-Targeting Control 574	1	0.04965	0.69316	0.7771	0.95339	0.48821	0.71937
Non-Targeting Control 575	1	0.24812	0.62626	0.081195	0.59612	0.53114	0.71954
Non-Targeting Control 576	1	0.27769	0.61671	0.048031	0.51908	0.53742	0.72178
Non-Targeting Control 577	1	0.20453	0.64056	0.16309	0.67358	0.52181	0.71937
Non-Targeting Control 578	1	0.14622	0.66005	0.34373	0.80337	0.50922	0.71937
Non-Targeting Control 579	1	0.11261	0.67147	0.48533	0.8683	0.50192	0.71937
Non-Targeting Control 580	1	0.11675	0.67003	0.46694	0.86267	0.50284	0.71937
Non-Targeting Control 581	1	0.077768	0.68342	0.64504	0.91899	0.49434	0.71937
Non-Targeting Control 582	1	0.17278	0.6511	0.25055	0.73997	0.51498	0.71937
Non-Targeting Control 583	1	0.093338	0.67816	0.5719	0.89761	0.49767	0.71937
Non-Targeting Control 584	1	0.090498	0.67904	0.58468	0.90259	0.49711	0.71937
Non-Targeting Control 585	1	0.15836	0.65594	0.29888	0.77541	0.51186	0.71937
Non-Targeting Control 586	1	0.2491	0.62592	0.079753	0.59338	0.53137	0.71956
Non-Targeting Control 587	1	0.022231	0.70245	0.90379	0.98303	0.4824	0.71937
Non-Targeting Control 588	1	0.11716	0.66991	0.46534	0.86163	0.50291	0.71937
Non-Targeting Control 589	1	0.014031	0.70479	0.93874	0.99129	0.48094	0.71937
Non-Targeting Control 590	1	0.076278	0.68397	0.65135	0.92152	0.49399	0.71937
Non-Targeting Control 591	1	0.18652	0.64654	0.20779	0.70903	0.51793	0.71937
Non-Targeting Control 592	1	0.26066	0.6222	0.064041	0.55613	0.53381	0.72025
Non-Targeting Control 593	1	0.075469	0.68433	0.65448	0.92198	0.49377	0.71937
Non-Targeting Control 594	1	0.23855	0.62938	0.09457	0.60721	0.5291	0.71937
Non-Targeting Control 595	1	0.11922	0.6692	0.45615	0.85738	0.50337	0.71937
Non-Targeting Control 596	1	0.13011	0.66549	0.40971	0.83435	0.50574	0.71937
Non-Targeting Control 597	1	0.17829	0.64925	0.23474	0.73069	0.51617	0.71937
Non-Targeting Control 598	1	0.098578	0.67626	0.54599	0.88829	0.49887	0.71937
Non-Targeting Control 599	1	0.047068	0.69403	0.78988	0.95588	0.48766	0.71937
Non-Targeting Control 600	1	0.072646	0.68521	0.66751	0.92655	0.49321	0.71937
Non-Targeting Control 601	1	0.2373	0.62976	0.096609	0.60928	0.52885	0.71937
Non-Targeting Control 602	1	0.1338	0.66423	0.39568	0.82861	0.50655	0.71937
Non-Targeting Control 603	1	0.24347	0.62777	0.087311	0.60235	0.53015	0.71937
Non-Targeting Control 604	1	0.1725	0.6512	0.25124	0.73997	0.51492	0.71937
Non-Targeting Control 605	1	0.24385	0.62764	0.086516	0.60179	0.53024	0.71937
Non-Targeting Control 606	1	0.21038	0.63868	0.14907	0.6616	0.52303	0.71937
Non-Targeting Control 607	1	0.13904	0.66248	0.37276	0.81704	0.50766	0.71937
Non-Targeting Control 608	1	0.10967	0.6725	0.49732	0.87255	0.50126	0.71937
Non-Targeting Control 609	1	0.24697	0.62664	0.082637	0.59628	0.5309	0.71952
Non-Targeting Control 610	1	0.13606	0.66348	0.38569	0.82402	0.50702	0.71937
Non-Targeting Control 611	1	0.063689	0.68833	0.70893	0.93744	0.49124	0.71937
Non-Targeting Control 612	1	0.1959	0.64341	0.18332	0.69162	0.51996	0.71937
Non-Targeting Control 613	1	0.11844	0.66947	0.46012	0.8582	0.50319	0.71937
Non-Targeting Control 614	1	0.22356	0.63427	0.12152	0.63481	0.52591	0.71937
Non-Targeting Control 615	1	0.28587	0.614	0.041418	0.49583	0.53921	0.72224
Non-Targeting Control 616	1	0.16612	0.65334	0.27148	0.75672	0.51354	0.71937
Non-Targeting Control 617	1	0.22558	0.63361	0.11804	0.63252	0.52633	0.71937
Non-Targeting Control 618	1	0.1551	0.65704	0.31071	0.78428	0.51115	0.71937
Non-Targeting Control 619	1	-0.030878	-0.72155	0.8653	0.9756	0.47057	0.71926
Non-Targeting Control 620	1	0.16807	0.65268	0.26536	0.75257	0.51396	0.71937
Non-Targeting Control 621	1	0.13259	0.66465	0.40026	0.82867	0.50628	0.71937
Non-Targeting Control 622	1	0.17271	0.65114	0.2508	0.73997	0.51495	0.71937
Non-Targeting Control 623	1	0.14451	0.66065	0.35089	0.80559	0.50884	0.71937
Non-Targeting Control 624	1	0.10408	0.67442	0.52257	0.8802	0.50005	0.71937
Non-Targeting Control 625	1	0.097624	0.67661	0.54977	0.8898	0.49865	0.71937
Non-Targeting Control 626	1	0.058663	0.69003	0.73483	0.94284	0.49017	0.71937
Non-Targeting Control 627	1	0.098657	0.67623	0.54569	0.88816	0.49889	0.71937
Non-Targeting Control 628	1	0.15149	0.65825	0.32364	0.79012	0.51038	0.71937
Non-Targeting Control 629	1	0.11135	0.67189	0.4904	0.86983	0.50165	0.71937
Non-Targeting Control 630	1	0.1539	0.65743	0.31593	0.78662	0.5109	0.71937
Non-Targeting Control 631	1	0.118	0.66961	0.46161	0.85907	0.50311	0.71937
Non-Targeting Control 632	1	0.12305	0.66797	0.43964	0.85095	0.50415	0.71937
Non-Targeting Control 633	1	0.22732	0.63306	0.11535	0.62981	0.52669	0.71937
Non-Targeting Control 634	1	0.20522	0.64032	0.16075	0.67061	0.52197	0.71937
Non-Targeting Control 635	1	0.11709	0.66998	0.46564	0.86193	0.50287	0.71937
Non-Targeting Control 636	1	0.17386	0.65076	0.24736	0.73813	0.5152	0.71937
Non-Targeting Control 637	1	0.253	0.62468	0.073936	0.58164	0.53218	0.71963
Non-Targeting Control 638	1	0.19391	0.64411	0.18755	0.69443	0.5195	0.71937
Non-Targeting Control 639	1	0.17205	0.65137	0.25259	0.74096	0.51481	0.71937
Non-Targeting Control 640	1	0.13959	0.66228	0.37028	0.81575	0.50779	0.71937
Non-Targeting Control 641	1	0.18605	0.64674	0.20958	0.71163	0.5178	0.71937
Non-Targeting Control 642	1	0.30498	0.60789	0.030827	0.45255	0.54326	0.72383
Non-Targeting Control 643	1	0.1344	0.66403	0.39305	0.82799	0.50667	0.71937
Non-Targeting Control 644	1	0.12833	0.66611	0.41662	0.84025	0.50534	0.71937
Non-Targeting Control 645	1	0.052085	0.69246	0.76566	0.95127	0.48865	0.71937
Non-Targeting Control 646	1	0.15964	0.65552	0.2944	0.77227	0.51213	0.71937
Non-Targeting Control 647	1	0.2215	0.63497	0.12525	0.63669	0.52545	0.71937
Non-Targeting Control 648	1	0.16028	0.65528	0.29231	0.7705	0.51228	0.71937
Non-Targeting Control 649	1	0.19752	0.64287	0.179	0.68795	0.52031	0.71937
Non-Targeting Control 650	1	0.14917	0.65903	0.33323	0.79599	0.50988	0.71937
Non-Targeting Control 651	1	0.22681	0.63323	0.1161	0.63049	0.52658	0.71937
Non-Targeting Control 652	1	0.2123	0.63801	0.14509	0.66003	0.52347	0.71937
Non-Targeting Control 653	1	0.050849	0.69274	0.77198	0.95233	0.48847	0.71937
Non-Targeting Control 654	1	0.13563	0.66361	0.38773	0.82533	0.50694	0.71937
Non-Targeting Control 655	1	0.19061	0.6452	0.19486	0.69857	0.5188	0.71937
Non-Targeting Control 656	1	0.14388	0.66084	0.35412	0.80787	0.50872	0.71937
Non-Targeting Control 657	1	0.07134	0.68565	0.67313	0.92716	0.49293	0.71937
Non-Targeting Control 658	1	0.15231	0.65799	0.32085	0.78853	0.51055	0.71937
Non-Targeting Control 659	1	0.050578	0.69284	0.77347	0.95233	0.48841	0.71937
Non-Targeting Control 660	1	0.08488	0.68101	0.61252	0.91123	0.49587	0.71937
Non-Targeting Control 661	1	0.23148	0.63167	0.10635	0.6218	0.5276	0.71937
Non-Targeting Control 662	1	0.095447	0.67733	0.55991	0.89408	0.4982	0.71937
Non-Targeting Control 663	1	0.18942	0.64558	0.19854	0.70126	0.51855	0.71937
Non-Targeting Control 664	1	0.065226	0.68777	0.70132	0.93411	0.4916	0.71937
Non-Targeting Control 665	1	0.083887	0.6813	0.61699	0.91223	0.49568	0.71937
Non-Targeting Control 666	1	0.16199	0.65473	0.28605	0.76424	0.51264	0.71937
Non-Targeting Control 667	1	0.067638	0.68695	0.68939	0.93073	0.49211	0.71937
Non-Targeting Control 668	1	0.10455	0.67422	0.52098	0.8802	0.50017	0.71937
Non-Targeting Control 669	1	0.18116	0.64831	0.22564	0.72376	0.51678	0.71937
Non-Targeting Control 670	1	0.232	0.63158	0.10556	0.62084	0.52766	0.71937
Non-Targeting Control 671	1	0.14934	0.65899	0.33269	0.79589	0.5099	0.71937
Non-Targeting Control 672	1	0.1449	0.66055	0.3486	0.8048	0.5089	0.71937
Non-Targeting Control 673	1	0.089393	0.67944	0.59094	0.90512	0.49686	0.71937
Non-Targeting Control 674	1	0.10819	0.67297	0.50328	0.87349	0.50097	0.71937
Non-Targeting Control 675	1	0.18113	0.64837	0.22593	0.72449	0.51674	0.71937
Non-Targeting Control 676	1	0.23611	0.63019	0.098797	0.61327	0.52857	0.71937
Non-Targeting Control 677	1	0.089056	0.67955	0.59263	0.90527	0.49679	0.71937
Non-Targeting Control 678	1	0.064043	0.68816	0.70674	0.93612	0.49135	0.71937
Non-Targeting Control 679	1	0.22866	0.63262	0.11302	0.62899	0.52698	0.71937
Non-Targeting Control 680	1	0.082492	0.68179	0.62435	0.91359	0.49537	0.71937
Non-Targeting Control 681	1	0.27663	0.617	0.049125	0.52027	0.53724	0.7217
Non-Targeting Control 682	1	0.18596	0.64769	0.20978	0.71207	0.51719	0.71937
Non-Targeting Control 683	1	0.10381	0.6745	0.52387	0.8802	0.49999	0.71937
Non-Targeting Control 684	1	0.23137	0.63174	0.1065	0.62231	0.52755	0.71937
Non-Targeting Control 685	1	0.11762	0.66978	0.4634	0.8597	0.503	0.71937
Non-Targeting Control 686	1	0.15235	0.65797	0.3207	0.78853	0.51056	0.71937
Non-Targeting Control 687	1	0.25702	0.62338	0.068317	0.56506	0.53303	0.71965
Non-Targeting Control 688	1	0.27951	0.61608	0.046291	0.51407	0.53784	0.72185
Non-Targeting Control 689	1	0.16014	0.65533	0.29281	0.7707	0.51226	0.71937
Non-Targeting Control 690	1	0.007403	0.70439	0.96902	0.99708	0.48119	0.71937
Non-Targeting Control 691	1	0.038617	0.69695	0.83025	0.9666	0.48583	0.71937
Non-Targeting Control 692	1	0.25667	0.62347	0.068665	0.56506	0.53298	0.71965
Non-Targeting Control 693	1	0.17175	0.65145	0.25378	0.74218	0.51476	0.71937
Non-Targeting Control 694	1	0.16966	0.65216	0.26079	0.7495	0.5143	0.71937
Non-Targeting Control 695	1	0.17504	0.65035	0.24423	0.73505	0.51547	0.71937
Non-Targeting Control 696	1	0.13876	0.66256	0.37391	0.81792	0.50761	0.71937
Non-Targeting Control 697	1	0.10888	0.67273	0.5007	0.87329	0.50112	0.71937
Non-Targeting Control 698	1	0.20607	0.64005	0.15921	0.66987	0.52214	0.71937
Non-Targeting Control 699	1	0.083281	0.68154	0.61953	0.91303	0.49553	0.71937
Non-Targeting Control 700	1	0.17857	0.64921	0.23384	0.72916	0.5162	0.71937
Non-Targeting Control 701	1	0.084955	0.68097	0.61212	0.91119	0.49589	0.71937
Non-Targeting Control 702	1	0.10931	0.67259	0.49861	0.87258	0.50121	0.71937
Non-Targeting Control 703	1	0.13821	0.66277	0.37649	0.8193	0.50748	0.71937
Non-Targeting Control 704	1	0.15086	0.65848	0.32622	0.79142	0.51023	0.71937
Non-Targeting Control 705	1	0.0052451	0.70106	0.97847	0.99809	0.48326	0.71937
Non-Targeting Control 706	1	0.073301	0.68497	0.66493	0.92489	0.49336	0.71937
Non-Targeting Control 707	1	-0.0087805	-0.71087	0.95575	0.9938	0.47717	0.71937
Non-Targeting Control 708	1	0.15967	0.65549	0.29425	0.77198	0.51215	0.71937
Non-Targeting Control 709	1	0.099391	0.67597	0.54246	0.88667	0.49906	0.71937
Non-Targeting Control 710	1	0.092383	0.67838	0.57627	0.89922	0.49753	0.71937
Non-Targeting Control 711	1	0.20603	0.64006	0.15931	0.66987	0.52214	0.71937
Non-Targeting Control 712	1	0.21079	0.63848	0.14832	0.66076	0.52316	0.71937
Non-Targeting Control 713	1	0.10033	0.67565	0.53839	0.88594	0.49926	0.71937
Non-Targeting Control 714	1	0.049843	0.69308	0.776	0.95322	0.48826	0.71937
Non-Targeting Control 715	1	0.1449	0.66048	0.34865	0.8048	0.50895	0.71937
Non-Targeting Control 716	1	0.25145	0.62516	0.075925	0.58416	0.53186	0.71963
Non-Targeting Control 717	1	0.23711	0.62987	0.096957	0.60988	0.52878	0.71937
Non-Targeting Control 718	1	0.13894	0.66252	0.37331	0.81742	0.50764	0.71937
Non-Targeting Control 719	1	0.14779	0.65953	0.3387	0.80047	0.50955	0.71937
Non-Targeting Control 720	1	0.14391	0.66083	0.35402	0.80787	0.50872	0.71937
Non-Targeting Control 721	1	0.1573	0.65631	0.3028	0.77847	0.51162	0.71937
Non-Targeting Control 722	1	0.081551	0.68214	0.62928	0.91388	0.49515	0.71937
Non-Targeting Control 723	1	0.076939	0.68371	0.64812	0.92055	0.49416	0.71937
Non-Targeting Control 724	1	0.20617	0.64002	0.15866	0.66987	0.52216	0.71937
Non-Targeting Control 725	1	0.19201	0.64471	0.19153	0.69682	0.51911	0.71937
Non-Targeting Control 726	1	0.22542	0.63366	0.11819	0.63252	0.5263	0.71937
Non-Targeting Control 727	1	0.12875	0.66598	0.41493	0.83869	0.50542	0.71937
Non-Targeting Control 728	1	0.20721	0.63968	0.15632	0.66766	0.52238	0.71937
Non-Targeting Control 729	1	0.14155	0.66165	0.36267	0.81162	0.5082	0.71937
Non-Targeting Control 730	1	0.12654	0.66669	0.42442	0.84396	0.50497	0.71937
Non-Targeting Control 731	1	0.19652	0.64321	0.18143	0.68992	0.52009	0.71937
Non-Targeting Control 732	1	0.12788	0.66625	0.41885	0.84167	0.50525	0.71937
Non-Targeting Control 733	1	0.1682	0.65263	0.26507	0.75257	0.51399	0.71937
Non-Targeting Control 734	1	0.17469	0.65047	0.24498	0.73541	0.51539	0.71937
Non-Targeting Control 735	1	0.097358	0.67669	0.55106	0.8902	0.4986	0.71937
Non-Targeting Control 736	1	0.15904	0.65571	0.29639	0.77345	0.51201	0.71937
Non-Targeting Control 737	1	0.095083	0.67746	0.5624	0.89468	0.49811	0.71937
Non-Targeting Control 738	1	0.16797	0.65271	0.26581	0.75317	0.51394	0.71937
Non-Targeting Control 739	1	0.2278	0.63293	0.11436	0.62899	0.52678	0.71937
Non-Targeting Control 740	1	0.2495	0.62578	0.079206	0.59338	0.53146	0.71963
Non-Targeting Control 741	1	0.19067	0.64516	0.19461	0.69843	0.51882	0.71937
Non-Targeting Control 742	1	0.143	0.66112	0.358	0.80997	0.50853	0.71937
Non-Targeting Control 743	1	0.16955	0.65218	0.26114	0.74975	0.51429	0.71937
Non-Targeting Control 744	1	0.17358	0.65085	0.24811	0.73916	0.51514	0.71937
Non-Targeting Control 745	1	0.21939	0.63563	0.12903	0.64424	0.52501	0.71937
Non-Targeting Control 746	1	0.071696	0.6855	0.67159	0.92716	0.49303	0.71937
Non-Targeting Control 747	1	0.19412	0.64402	0.187	0.69401	0.51956	0.71937
Non-Targeting Control 748	1	0.071639	0.68557	0.67184	0.92716	0.49298	0.71937
Non-Targeting Control 749	1	0.09383	0.67789	0.56986	0.89735	0.49784	0.71937
Non-Targeting Control 750	1	0.14403	0.66077	0.35322	0.80766	0.50876	0.71937
Non-Targeting Control 751	1	0.18173	0.64818	0.22375	0.72327	0.51687	0.71937
Non-Targeting Control 752	1	0.19961	0.64221	0.17333	0.6842	0.52074	0.71937
Non-Targeting Control 753	1	0.23573	0.63029	0.099493	0.61366	0.52851	0.71937
Non-Targeting Control 754	1	0.045241	0.69467	0.79917	0.95829	0.48726	0.71937
Non-Targeting Control 755	1	0.18241	0.6479	0.22151	0.72193	0.51705	0.71937
Non-Targeting Control 756	1	0.12424	0.66748	0.43397	0.84886	0.50447	0.71937
Non-Targeting Control 757	1	0.21963	0.63557	0.12843	0.64286	0.52505	0.71937
Non-Targeting Control 758	1	0.29158	0.61218	0.038286	0.48458	0.54042	0.72276
Non-Targeting Control 759	1	0.23707	0.62984	0.097007	0.60988	0.5288	0.71937
Non-Targeting Control 760	1	0.10178	0.67515	0.53292	0.88388	0.49958	0.71937
Non-Targeting Control 761	1	0.1545	0.65724	0.31315	0.78509	0.51103	0.71937
Non-Targeting Control 762	1	0.16026	0.65529	0.29241	0.7705	0.51228	0.71937
Non-Targeting Control 763	1	0.13226	0.66476	0.40165	0.83005	0.5062	0.71937
Non-Targeting Control 764	1	0.24535	0.62727	0.084278	0.59726	0.53048	0.71952
Non-Targeting Control 765	1	0.12549	0.66706	0.429	0.84646	0.50473	0.71937
Non-Targeting Control 766	1	0.12494	0.66729	0.43119	0.84714	0.50459	0.71937
Non-Targeting Control 767	1	0.22962	0.63233	0.11058	0.62843	0.52717	0.71937
Non-Targeting Control 768	1	0.10541	0.67392	0.51616	0.87919	0.50036	0.71937
Non-Targeting Control 769	1	0.16277	0.65446	0.28282	0.7625	0.51281	0.71937
Non-Targeting Control 770	1	0.15422	0.65734	0.31474	0.78643	0.51096	0.71937
Non-Targeting Control 771	1	0.15264	0.65787	0.31971	0.7879	0.51062	0.71937
Non-Targeting Control 772	1	0.21096	0.63844	0.14772	0.66076	0.52319	0.71937
Non-Targeting Control 773	1	0.23753	0.62969	0.095963	0.60883	0.5289	0.71937
Non-Targeting Control 774	1	0.19995	0.64208	0.17258	0.68327	0.52082	0.71937
Non-Targeting Control 775	1	0.20004	0.64204	0.17224	0.68308	0.52085	0.71937
Non-Targeting Control 776	1	0.1344	0.66403	0.393	0.82799	0.50667	0.71937
Non-Targeting Control 777	1	0.14839	0.65932	0.33612	0.79917	0.50969	0.71937
Non-Targeting Control 778	1	0.17274	0.65111	0.2506	0.73997	0.51497	0.71937
Non-Targeting Control 779	1	0.18901	0.64574	0.20008	0.70317	0.51845	0.71937
Non-Targeting Control 780	1	0.23002	0.63218	0.10959	0.62614	0.52727	0.71937
Non-Targeting Control 781	1	0.13421	0.66414	0.39365	0.82799	0.5066	0.71937
Non-Targeting Control 782	1	0.16293	0.65442	0.28242	0.7625	0.51284	0.71937
Non-Targeting Control 783	1	0.12637	0.66683	0.42492	0.84396	0.50488	0.71937
Non-Targeting Control 784	1	0.24785	0.62633	0.081543	0.59612	0.5311	0.71953
Non-Targeting Control 785	1	0.27363	0.61804	0.051114	0.52691	0.53655	0.72161
Non-Targeting Control 786	1	0.25554	0.62384	0.070058	0.56804	0.53273	0.71965
Non-Targeting Control 787	1	0.27502	0.61751	0.050268	0.52401	0.5369	0.72161
Non-Targeting Control 788	1	0.21967	0.63556	0.12843	0.64286	0.52506	0.71937
Non-Targeting Control 789	1	0.22015	0.63541	0.12783	0.64245	0.52516	0.71937
Non-Targeting Control 790	1	0.19495	0.64374	0.18526	0.69302	0.51975	0.71937
Non-Targeting Control 791	1	0.20038	0.64192	0.17179	0.68306	0.52092	0.71937
Non-Targeting Control 792	1	0.16792	0.65272	0.26611	0.75348	0.51394	0.71937
Non-Targeting Control 793	1	0.16988	0.65208	0.26029	0.74921	0.51435	0.71937
Non-Targeting Control 794	1	0.16015	0.65535	0.29281	0.7707	0.51224	0.71937
Non-Targeting Control 795	1	0.078493	0.68318	0.64171	0.91754	0.4945	0.71937
Non-Targeting Control 796	1	0.13045	0.6654	0.40841	0.8334	0.5058	0.71937
Non-Targeting Control 797	1	0.10207	0.67506	0.53157	0.88348	0.49964	0.71937
Non-Targeting Control 798	1	0.18532	0.64691	0.21241	0.71443	0.51769	0.71937
Non-Targeting Control 799	1	0.12185	0.66831	0.44491	0.85317	0.50394	0.71937
Non-Targeting Control 800	1	0.083024	0.68161	0.62117	0.91303	0.49549	0.71937
Non-Targeting Control 801	1	0.048702	0.69347	0.78182	0.95454	0.48801	0.71937
Non-Targeting Control 802	1	0.24731	0.62654	0.08214	0.59612	0.53096	0.71952
Non-Targeting Control 803	1	0.2484	0.62615	0.080698	0.59516	0.53122	0.71956
Non-Targeting Control 804	1	0.2038	0.6408	0.16423	0.67574	0.52165	0.71937
Non-Targeting Control 805	1	0.21652	0.63663	0.13589	0.65182	0.52436	0.71937
Non-Targeting Control 806	1	0.19179	0.64478	0.19193	0.69751	0.51907	0.71937
Non-Targeting Control 807	1	0.27163	0.6186	0.052953	0.53176	0.53618	0.7215
Non-Targeting Control 808	1	0.1937	0.64414	0.18815	0.69455	0.51948	0.71937
Non-Targeting Control 809	1	0.19212	0.64468	0.19133	0.6966	0.51914	0.71937
Non-Targeting Control 810	1	0.12617	0.66682	0.42606	0.8444	0.50489	0.71937
Non-Targeting Control 811	1	0.18767	0.64617	0.20416	0.70562	0.51817	0.71937
Non-Targeting Control 812	1	0.092987	0.67818	0.57369	0.89762	0.49766	0.71937
Non-Targeting Control 813	1	0.16681	0.65311	0.26919	0.7548	0.51368	0.71937
Non-Targeting Control 814	1	0.19	0.64539	0.19655	0.70019	0.51868	0.71937
Non-Targeting Control 815	1	0.1027	0.67485	0.52859	0.88254	0.49977	0.71937
Non-Targeting Control 816	1	0.2395	0.62906	0.093079	0.60411	0.52931	0.71937
Non-Targeting Control 817	1	0.083031	0.68161	0.62112	0.91303	0.49549	0.71937
Non-Targeting Control 818	1	0.23582	0.63025	0.099294	0.61366	0.52853	0.71937
Non-Targeting Control 819	1	0.30431	0.6081	0.031026	0.45382	0.54312	0.72383
Non-Targeting Control 820	1	0.20087	0.64177	0.17059	0.68197	0.52102	0.71937
Non-Targeting Control 821	1	0.14189	0.66148	0.36187	0.8113	0.5083	0.71937
Non-Targeting Control 822	1	0.18522	0.64693	0.21286	0.71443	0.51767	0.71937
Non-Targeting Control 823	1	0.24028	0.62881	0.091339	0.60411	0.52947	0.71937
