Gene	sgRNA	Cont|beta	Cont|z	Cont|p-value	Cont|fdr	Cont|wald-p-value	Cont|wald-fdr
ACTR6	4	0.18123	1.5383	0.013325	0.34198	0.12399	0.52186
ACTR8	4	0.079609	1.1003	0.24413	0.73505	0.27119	0.56596
ACTRT1	4	0.032557	0.56212	0.54261	0.88667	0.57403	0.74455
ACTRT2	4	-0.087257	-0.92455	0.60949	0.91072	0.3552	0.63273
ACTRT3	4	-0.10982	-0.71733	0.49533	0.87151	0.47317	0.71937
ACVR1	4	0.073202	1.3246	0.27859	0.7611	0.18529	0.52551
ACVR1B	4	0.13212	1.4585	0.068467	0.56506	0.14469	0.52186
ACVR1C	4	0.01672	0.16616	0.65976	0.92342	0.86803	0.92984
ACVR2A	4	-0.10207	-1.155	0.53157	0.88348	0.24809	0.55376
ACVR2B	4	-0.030585	-0.53355	0.9813	0.99809	0.59365	0.75802
ACVRL1	4	-0.19283	-1.1251	0.21798	0.71953	0.26054	0.56016
ACY1	4	-0.27671	-1.9334	0.092482	0.60411	0.053184	0.52186
ACY3	4	-0.054476	-0.46722	0.81255	0.96192	0.64034	0.78831
ACYP1	4	0.049967	1.1663	0.42079	0.84281	0.24349	0.55172
ACYP2	4	-0.091524	-1.3917	0.58627	0.90311	0.16402	0.52186
ADA	4	0.029864	0.80628	0.56354	0.89468	0.42008	0.68206
ADAD1	4	-0.07199	-0.96639	0.69918	0.933	0.33385	0.61479
ADAD2	4	0.030003	0.72551	0.5628	0.89468	0.46814	0.7174
ADAL	4	0.091237	0.88141	0.19267	0.69832	0.3781	0.64982
ADAM10	4	0.035324	0.37181	0.52242	0.8802	0.71004	0.83296
ADAM11	4	-0.095713	-1.3281	0.56439	0.89512	0.18416	0.525
ADAM12	4	-0.025389	-0.53809	0.98319	0.99809	0.59052	0.75565
ADAM15	4	0.076197	0.90202	0.26243	0.7511	0.36705	0.6422
ADAM17	4	0.071939	1.7458	0.2858	0.76424	0.080845	0.52186
ADAM18	4	0.13548	1.2242	0.062053	0.55013	0.22086	0.54083
ADAM19	4	0.072634	1.3683	0.28217	0.7625	0.17123	0.52186
ADAM2	4	0.071989	0.85681	0.28545	0.76417	0.39155	0.66036
ADAM20	4	0.084847	1.6901	0.21947	0.72003	0.091004	0.52186
ADAM21	4	0.13162	1.7075	0.06961	0.56804	0.08772	0.52186
ADAM22	4	0.0080687	0.10371	0.72524	0.94007	0.9174	0.95679
ADAM23	4	-0.14576	-1.8249	0.3481	0.8046	0.068019	0.52186
ADAM28	4	-0.045014	-0.77285	0.87734	0.97763	0.43961	0.69705
ADAM29	4	0.048831	0.83959	0.42766	0.8458	0.40114	0.6678
ADAM30	4	-0.0033851	-0.12129	0.81454	0.96224	0.90346	0.94938
ADAM32	4	0.13827	1.2884	0.056683	0.53799	0.19761	0.52868
ADAM33	4	0.086588	1.082	0.21196	0.71443	0.27924	0.57205
ADAM7	4	0.024351	0.32057	0.60367	0.90917	0.74854	0.85797
ADAM8	4	0.075153	1.2963	0.2683	0.75451	0.19488	0.52694
ADAM9	4	0.19732	1.6311	0.0065632	0.23117	0.10287	0.52186
ADAMDEC1	4	0.019719	0.28468	0.63708	0.91656	0.77589	0.87441
ADAMTS1	4	0.032379	1.2062	0.5441	0.88729	0.22772	0.54389
ADAMTS10	4	-0.26594	-1.9437	0.10342	0.61885	0.051935	0.52186
ADAMTS12	4	-0.040994	-0.86822	0.90498	0.98331	0.38527	0.65499
ADAMTS13	4	-0.04636	-0.66564	0.86789	0.9756	0.50564	0.71937
ADAMTS14	4	-0.081926	-1.7785	0.63887	0.91678	0.075319	0.52186
ADAMTS15	4	0.073392	1.6362	0.27765	0.76045	0.1018	0.52186
ADAMTS16	4	-0.07256	-0.91424	0.6957	0.93168	0.36059	0.63655
ADAMTS17	4	-0.0047874	-0.10468	0.82622	0.96581	0.91663	0.95648
ADAMTS18	4	0.12029	1.5054	0.095465	0.60759	0.13221	0.52186
ADAMTS19	4	0.061137	0.76234	0.34795	0.80455	0.44586	0.70181
ADAMTS2	4	0.039937	0.69677	0.48931	0.86975	0.48595	0.71937
ADAMTS20	4	0.1208	1.1388	0.094421	0.6069	0.25477	0.55717
ADAMTS3	4	0.030986	0.6604	0.55519	0.89257	0.509	0.71937
ADAMTS4	4	-0.042959	-0.55329	0.89136	0.98006	0.58006	0.74899
ADAMTS5	4	0.025037	1.5059	0.59855	0.90753	0.1321	0.52186
ADAMTS6	4	-0.020801	-0.29984	0.94814	0.99272	0.7643	0.86732
ADAMTS7	4	-0.003257	-0.047883	0.8133	0.96206	0.96181	0.98062
ADAMTS8	4	0.013847	1.411	0.68163	0.92862	0.15824	0.52186
ADAMTS9	4	0.023866	0.88213	0.60645	0.90984	0.37771	0.64956
ADAMTSL1	4	-0.030481	-0.89658	0.98185	0.99809	0.36994	0.64413
ADAMTSL2	4	0.1093	1.3547	0.12684	0.64112	0.1755	0.52207
ADAMTSL3	4	-0.035878	-0.59615	0.94441	0.99212	0.55108	0.72926
ADAMTSL4	4	0.080592	0.71669	0.23976	0.734	0.47357	0.71937
ADAMTSL5	4	-0.038132	-0.62533	0.92845	0.98914	0.53175	0.71963
ADAP1	4	-0.23116	-1.9841	0.14648	0.66076	0.04725	0.52186
ADAP2	4	-0.12623	-1.1234	0.42263	0.84317	0.26129	0.5605
ADAR	4	-0.10186	-1.2271	0.53262	0.88388	0.2198	0.53975
ADARB1	4	0.12697	1.6644	0.080002	0.59338	0.09603	0.52186
ADARB2	4	0.058553	1.2703	0.36391	0.81196	0.20399	0.53095
ADAT1	4	0.025951	0.56699	0.59174	0.90518	0.57072	0.74226
ADAT2	4	-0.25057	-1.5435	0.12023	0.63275	0.1227	0.52186
ADAT3	4	-0.036192	-0.40993	0.94193	0.99158	0.68186	0.81701
ADCK1	4	0.051537	1.3517	0.41015	0.83483	0.17647	0.52214
ADCK2	4	-0.027548	-0.40361	0.99801	0.99985	0.6865	0.81979
ADCK3	4	0.069632	1.1655	0.29868	0.77538	0.24382	0.55189
ADCK4	4	-0.039675	-1.0758	0.91567	0.98545	0.28203	0.57428
ADCK5	4	0.1232	1.5653	0.089051	0.60235	0.11751	0.52186
ADCY1	4	-0.070893	-1.833	0.70674	0.93612	0.0668	0.52186
ADCY10	4	0.10041	1.2833	0.15598	0.66695	0.19939	0.52889
ADCY2	4	0.039962	0.48899	0.48921	0.86975	0.62485	0.77775
ADCY3	4	-0.079637	-0.47206	0.65289	0.92172	0.63689	0.78571
ADCY4	4	-0.37549	-1.6132	0.035402	0.4731	0.1067	0.52186
ADCY5	4	-0.097557	-1.0699	0.55435	0.89212	0.28468	0.57606
ADCY6	4	0.11074	1.3774	0.12167	0.63492	0.1684	0.52186
ADCY7	4	-0.025917	-0.38078	0.98618	0.99809	0.70336	0.8294
ADCY8	4	-0.031705	-0.40856	0.97375	0.99809	0.68286	0.81773
ADCY9	4	-0.0022675	-0.044061	0.80539	0.96017	0.96486	0.98223
ADCYAP1	4	-0.083486	-1.1577	0.62992	0.91413	0.24698	0.55338
ADCYAP1R1	4	-0.079587	-0.68462	0.65334	0.92172	0.49358	0.71937
ADD1	4	0.11574	1.6675	0.1067	0.6225	0.095418	0.52186
ADD2	4	-0.077677	-0.71393	0.66403	0.92456	0.47527	0.71937
ADD3	4	0.038579	0.96838	0.49915	0.87258	0.33285	0.61453
ADGB	4	0.0093024	0.17048	0.71539	0.93844	0.86463	0.92818
ADGRA1	4	0.0053228	0.064742	0.74702	0.94586	0.94838	0.9742
ADGRA2	4	-0.12599	-1.6199	0.42358	0.84381	0.10526	0.52186
ADGRA3	4	0.039415	0.51892	0.49274	0.87097	0.60382	0.76464
ADGRB1	4	-0.12956	-1.613	0.40866	0.8334	0.10674	0.52186
ADGRB2	4	0.00047433	0.011074	0.7849	0.95454	0.99116	0.99612
ADGRB3	4	0.061203	1.4792	0.34745	0.80453	0.13908	0.52186
ADGRD1	4	-0.15333	-1.0983	0.32294	0.7899	0.27209	0.56673
ADGRE1	4	-0.03168	-0.43951	0.9739	0.99809	0.66029	0.80154
ADGRE2	4	-0.10372	-1.1079	0.52372	0.8802	0.26792	0.56338
ADGRE3	4	0.0241	0.8104	0.60506	0.9092	0.41771	0.68041
ADGRE5	4	-0.052116	-0.64531	0.82816	0.96602	0.51873	0.71937
