Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
SIRT4	4	-0.16412	-1.771	0.68021	0.95458	0.076562	0.45658
FAM92A1	4	0.12512	1.3646	0.24884	0.70219	0.17237	0.4583
CMBL	4	0.13936	1.4383	0.20673	0.64928	0.15034	0.45658
PTPN13	4	0.18866	1.4815	0.096505	0.46174	0.13847	0.45658
LRRC55	4	0.12101	1.4368	0.26346	0.71866	0.15077	0.45658
FAM81A	4	-0.011992	-0.25519	0.80923	0.98068	0.79858	0.88127
ATAD1	4	-0.076174	-1.6516	0.94526	0.99378	0.098612	0.45658
DMTF1	4	0.42278	1.4414	0.00019888	0.005988	0.14946	0.45658
HCAR1	4	0.012162	0.44845	0.7077	0.96315	0.65383	0.77993
HHIPL1	4	0.11032	1.6237	0.30015	0.7539	0.10445	0.45658
TSPAN3	4	0.094121	1.1765	0.35932	0.80758	0.23939	0.50144
REPIN1	4	0.063839	0.44741	0.47914	0.87825	0.65458	0.78037
C20orf96	4	0.1074	1.0029	0.30975	0.76161	0.31593	0.56223
LILRB2	4	0.10783	1.6261	0.30816	0.76017	0.10392	0.45658
IGFBP2	4	0.052172	0.72626	0.52871	0.90019	0.46768	0.68752
JAKMIP3	4	-0.090674	-1.4954	0.89529	0.98847	0.13481	0.45658
Non-Targeting_Control-N93	1	0.40124	0.57767	0.073833	0.40113	0.56349	0.7207
DNAJB1	4	-0.17389	-0.98681	0.65699	0.94955	0.32374	0.56926
ZFPL1	4	0.14418	1.3704	0.19395	0.63215	0.17057	0.45797
DEFB1	4	0.062079	1.2759	0.48685	0.88169	0.20198	0.47379
TRIB1	4	0.056519	0.43829	0.51121	0.89511	0.66117	0.78552
EVI2A	4	0.13823	1.6794	0.20962	0.65062	0.09308	0.45658
ASH1L	4	0.36299	1.5492	0.0014916	0.023659	0.12132	0.45658
SREBF2	4	-0.76993	-2.672	0.026799	0.21795	0.0075395	0.10839
MFSD9	4	0.096894	1.1274	0.34808	0.79747	0.25959	0.51685
CLPS	4	-0.10811	-0.68268	0.84115	0.98254	0.49481	0.70276
DNAH7	4	0.10202	1.2914	0.32959	0.78163	0.19656	0.46874
WDR35	4	0.15644	1.1775	0.16288	0.58847	0.23898	0.50136
CDRT4	4	0.096324	0.77975	0.35062	0.8	0.43554	0.66253
ZNF691	4	0.053431	0.80873	0.52354	0.89938	0.41867	0.6492
HAMP	4	0.029824	0.22654	0.63059	0.94039	0.82078	0.89632
SAMD9	4	-0.044854	-0.47564	0.93855	0.99295	0.63433	0.767
PAM	4	0.00031242	0.0052568	0.75682	0.9721	0.99581	0.99774
PARP10	4	-0.1044	-1.4184	0.85164	0.9845	0.15608	0.45658
F12	4	-0.0097043	-0.22413	0.79889	0.97833	0.82266	0.8975
COMMD4	4	-0.36794	-1.8671	0.26858	0.72445	0.061881	0.43132
Non-Targeting_Control-N258	1	0.27861	0.61634	0.22468	0.66928	0.53767	0.71275
TMEM176A	4	0.15177	1.0619	0.17491	0.60865	0.28826	0.53953
SLC44A2	4	-0.0013411	-0.01177	0.76364	0.97283	0.99061	0.99511
ARMC6	4	-0.40176	-2.1612	0.2212	0.66587	0.030677	0.28578
ZYG11B	4	-0.06609	-1.1329	0.9823	0.99673	0.25725	0.51442
MMP24	4	-0.13364	-1.2478	0.76359	0.97283	0.21209	0.48113
ACER2	4	0.29185	1.4552	0.011386	0.11696	0.14561	0.45658
RPRM	4	-0.18323	-0.92869	0.63392	0.94188	0.35305	0.5939
ASPHD2	4	-0.13017	-1.2298	0.77249	0.97382	0.21878	0.4847
SLC26A6	4	-0.030578	-0.36202	0.88336	0.98722	0.71734	0.82454
KDM6A	4	0.13198	1.0187	0.22637	0.67064	0.30837	0.5567
PLAC1	4	0.13596	1.4639	0.21648	0.6605	0.14323	0.45658
OR7D4	4	0.072983	0.82164	0.44245	0.86044	0.41128	0.64319
KIAA0040	4	0.15736	1.2415	0.16089	0.58461	0.21441	0.48182
ZNF462	4	0.12389	0.78437	0.25317	0.70687	0.43283	0.66045
ZNF142	4	0.1064	1.4806	0.31417	0.76687	0.13872	0.45658
C5orf38	4	0.082771	0.81816	0.40317	0.83892	0.41326	0.64509
OR7G3	4	-0.080344	-1.2382	0.93139	0.99278	0.21563	0.48235
HK3	4	0.15382	1.1802	0.16929	0.60021	0.23793	0.50058
OR4F5	4	-0.9448	-2.0485	0.0079551	0.088692	0.040507	0.34304
Non-Targeting_Control-N120	1	0.33806	0.59737	0.13588	0.54139	0.55026	0.71565
DBP	4	-0.28108	-1.5978	0.42202	0.85025	0.11009	0.45658
TRMT10B	4	0.090616	1.2111	0.37304	0.81991	0.22584	0.4907
VPS53	4	-0.34811	-1.9592	0.29956	0.75275	0.050091	0.38558
POTEE	4	-0.4562	-1.3604	0.16576	0.59387	0.17371	0.45861
MT3	4	-0.0063103	-0.10027	0.78422	0.97581	0.92013	0.95548
RNF5	4	0.069284	0.50149	0.45752	0.86902	0.61603	0.75389
EIF4B	4	-0.52993	-2.3871	0.11092	0.49239	0.016982	0.19221
UBE2C	4	-0.23161	-1.3245	0.52295	0.89938	0.18535	0.46258
C10orf82	4	0.097254	1.1676	0.34689	0.79626	0.24295	0.5032
DCC	4	0.16199	1.159	0.14871	0.56317	0.24644	0.50598
LMOD1	4	0.13258	1.6642	0.22488	0.66968	0.096063	0.45658
RNF220	4	0.19473	1.4382	0.086959	0.4366	0.15037	0.45658
INPP5J	4	0.19805	1.3765	0.082434	0.42535	0.16868	0.45726
LCP1	4	-0.1182	-0.95891	0.80868	0.98068	0.3376	0.58076
TEKT2	4	0.076385	0.65862	0.42913	0.85312	0.51014	0.70763
CAMK4	4	0.034308	0.79295	0.6102	0.93621	0.42781	0.65709
GOLGA6L10	4	-1.2429	-3.2321	0.00064635	0.011861	0.0012286	0.035119
PNLDC1	4	0.062438	0.91385	0.48471	0.88054	0.36079	0.60053
UPF3A	4	-0.089243	-1.4028	0.90046	0.98935	0.16066	0.45658
SLC9A9	4	0.035973	0.49662	0.60135	0.93047	0.61945	0.7561
POTEF	4	-0.74018	-2.1703	0.033312	0.25534	0.029982	0.28201
BVES	4	0.0035979	0.053696	0.74216	0.96952	0.95718	0.97653
AGAP5	4	-0.561	-1.7663	0.094019	0.45511	0.077338	0.45658
FAM46C	4	0.18444	1.045	0.10376	0.4779	0.29603	0.5461
FAM53B	4	0.23898	1.4655	0.039079	0.28162	0.14278	0.45658
IGFALS	4	0.030149	0.61519	0.62905	0.94019	0.53843	0.71275
GATA4	4	0.021275	0.86078	0.66852	0.95297	0.38936	0.62455
ZNF627	4	-0.058436	-1.1856	0.98842	0.99724	0.23579	0.49889
MPZL2	4	-0.30189	-1.9682	0.38149	0.82325	0.049044	0.38145
C4orf27	4	0.08903	1.3732	0.37881	0.82231	0.1697	0.45757
SPACA1	4	-0.014689	-0.25861	0.82061	0.98115	0.79594	0.87936
NEU4	4	-0.022784	-0.39403	0.85164	0.9845	0.69356	0.80755
HIST1H4E	4	0.018791	0.087579	0.67802	0.95406	0.93021	0.9605
PRRT2	4	0.11615	0.95192	0.27932	0.73339	0.34114	0.58414
POU3F4	4	0.10857	1.6582	0.30602	0.75903	0.09728	0.45658
NSRP1	4	-0.8704	-2.2113	0.013225	0.13168	0.027017	0.26438
SULT2A1	4	0.13733	1.6633	0.21315	0.65671	0.096246	0.45658
HLA-B	4	0.029055	0.63713	0.63377	0.94188	0.52404	0.70983
CCR7	4	-0.057495	-1.242	0.98474	0.99673	0.21422	0.48182
PAQR5	4	-0.06971	-0.50173	0.96962	0.99619	0.61585	0.75375
GCSAML	4	0.18108	1.1708	0.10993	0.49112	0.24168	0.50271
NUFIP1	4	-0.59736	-1.9709	0.077462	0.4125	0.048735	0.37993
TRAF5	4	0.27582	1.4659	0.016954	0.15794	0.14267	0.45658
KRTAP1-3	4	-0.10336	-0.43924	0.85497	0.9845	0.66049	0.7849
TMEM150C	4	-0.033663	-0.49746	0.89509	0.98847	0.61886	0.75568
TCP10L	4	-0.25395	-1.8901	0.47626	0.87716	0.058747	0.42182
IL3RA	4	-0.014372	-0.14146	0.81892	0.98115	0.88751	0.93605
TFDP3	4	-0.03313	-0.33926	0.893	0.98812	0.73441	0.83654
COG1	4	-0.20486	-1.7565	0.58281	0.92357	0.079005	0.45658
C16orf62	4	-0.48105	-1.8845	0.14508	0.55676	0.059498	0.42481
AURKB	4	-1.2772	-2.9362	0.00054691	0.010486	0.0033222	0.061134
Non-Targeting_Control-N41	1	0.23826	0.62944	0.30905	0.7607	0.52906	0.71043
BSX	4	0.17093	1.4825	0.12932	0.53077	0.13822	0.45658
