Gene	sgRNA	Cont2|beta	Cont2|z	Cont2|p-value	Cont2|fdr	Cont2|wald-p-value	Cont2|wald-fdr
CAPN6	6	-0.15101	-1.6714	0.67719	0.94471	0.09465	0.47443
CAPN7	6	-0.070884	-0.57733	0.91297	0.98455	0.56372	0.78934
CAPN8	6	0.07508	0.43304	0.60381	0.92151	0.66499	0.84247
CAPN9	6	-0.0050565	-0.050745	0.87002	0.98362	0.95953	0.98718
CASP1	6	0.43508	1.646	0.033561	0.31332	0.099759	0.47632
CASP12	6	0.36058	1.697	0.067691	0.44821	0.089691	0.47326
CASP14	6	-0.04122	-0.37847	0.98635	0.99885	0.70509	0.8605
CASP2	6	0.2112	1.1981	0.25512	0.74564	0.23087	0.57235
CASP3	6	0.1331	1.3211	0.44454	0.86593	0.18647	0.53874
CASP4	6	0.21377	1.5633	0.24716	0.73401	0.11798	0.48646
CASP5	6	-0.21272	-1.3202	0.51621	0.89601	0.18678	0.53874
CASP6	6	0.076235	0.80998	0.60125	0.92151	0.41795	0.70199
CASP7	6	0.10941	0.8336	0.50796	0.89211	0.4045	0.69562
CASP9	6	-0.091589	-0.9765	0.84926	0.98033	0.32882	0.63663
CFLAR	6	0.21626	1.5305	0.24204	0.72985	0.12588	0.48816
CTSB	6	-0.037817	-0.22686	0.97298	0.99563	0.82053	0.92646
CTSF	6	-0.078114	-0.54394	0.89192	0.98437	0.58648	0.7961
CTSH	6	0.27148	1.6061	0.15501	0.61991	0.10825	0.48177
CTSK	6	-0.33992	-1.4137	0.27218	0.7599	0.15744	0.51408
CTSL1	6	0.10031	0.93812	0.53441	0.90057	0.34818	0.65083
CTSL2	6	0.24112	1.4401	0.20137	0.68538	0.14984	0.50974
CTSS	6	0.14945	0.90228	0.39704	0.83894	0.36691	0.66763
CTSW	6	0.061276	0.34094	0.64391	0.93924	0.73315	0.87573
