sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final,test2,test3,DLD1-Ts4.final_recalculate
ETV3_E3_185.2,ETV3,1101,1887,786,786,786
KMT2A_Phd3_E15_62.0,KMT2A,1219,1563,344,344,344
BRD4_BD1_e2_121.1,BRD4,1494,1715,221,221,221
RAD54L2_H_e13_119.0,RAD54L2,1779,2049,270,270,270
PHF7_ePhd_E6_125.13,PHF7,2177,4398,2221,2221,2221
PHF7_1146.127,PHF7,2177,4398,2221,2221,2221
HOMEZ_E2_1053.156,HOMEZ,1262,2383,1121,1121,1121
USP51_2136.132,USP51,1734,3574,1840,1840,1840
FBXL4_2,FBXL4,1013,3087,2074,2074,2074
ZNF85_E5_1080.11,ZNF85,4773,15650,10877,10877,10877
KCNS3_BTB17116_E1_1476.22,KCNS3,1093,2343,1250,1250,1250
NFATC1_E4_203.5,NFATC1,3389,8870,5481,5481,5481
ADAM28_2328.45,ADAM28,1767,3936,2169,2169,2169
PRSS23_1395.174,PRSS23,1204,1981,777,777,777
ZBTB49_E8_101.7,ZBTB49,738,1370,632,632,632
TAL2_E1_168.8,TAL2,1617,2968,1351,1351,1351
LCORL_E7_876.4,LCORL,783,1796,1013,1013,1013
PHF14_Phd1_E5_86.0,PHF14,1192,1892,700,700,700
C1S_2067.19,C1S,1438,3400,1962,1962,1962
PRKCA_PKc_E12_63,PRKCA,1737,3152,1415,1415,1415
ANAPC13_225.11,ANAPC13,551,1359,808,808,808
DPP7_1479.299,DPP7,1030,2754,1724,1724,1724
SFMBT2_MBT276372_E1_2685.66,SFMBT2,537,1036,499,499,499
MEF2C_E2_51.1,MEF2C,1472,3311,1839,1839,1839
TRIM55_1647.207,TRIM55,1621,3575,1954,1954,1954
BIRC3_1815.98,BIRC3,1443,2638,1195,1195,1195
ZBTB7B_BTB58178_E1_1722.18,ZBTB7B,698,1058,360,360,360
UNCX_E2_135.6,UNCX,1242,2357,1115,1115,1115
ZNF480_E5_1050.1,ZNF480,1344,2669,1325,1325,1325
ADAM22_2721.242,ADAM22,1099,1578,479,479,479
NR2F1_E1_208.21,NR2F1,1465,2159,694,694,694
SMAD2_E4_190.12,SMAD2,1937,3981,2044,2044,2044
JADE3_Phd_E7_66.2,JADE3,975,2497,1522,1522,1522
COMMD3_588.13,COMMD3,879,1417,538,538,538
DCAF17_1362.20,DCAF17,1120,1656,536,536,536
FOXF1_E1_234.39,FOXF1,1928,5509,3581,3581,3581
CECR2_BD_e13_127.9,CECR2,2337,5079,2742,2742,2742
CPA1_1260.65,CPA1,1926,4241,2315,2315,2315
SGK2_PKc_E8_87,SGK2,853,1706,853,853,853
BATF3_E2_90.2,BATF3,964,1853,889,889,889
TDRD1_tudor766813_E1_3570.183,TDRD1,1232,3274,2042,2042,2042
RPS6KB2_PKc_E7_101,RPS6KB2,776,1407,631,631,631
FBXO42_2154.15,FBXO42,205,494,289,289,289
MEX3C_1980.233,MEX3C,1371,2519,1148,1148,1148
KMT2D_ePhd1_E6_141.13,KMT2D,1510,3386,1876,1876,1876
KMT2D_16614.3470,KMT2D,1510,3386,1876,1876,1876
ZNRF4_1290.0,ZNRF4,665,1221,556,556,556
HECTD3_2586.184,HECTD3,446,445,-1,1,1
HMGB2_E2_126.13,HMGB2,1427,3972,2545,2545,2545
TRIM7_1536.129,TRIM7,312,530,218,218,218
BAZ2B_BD_e36_144.2,BAZ2B,711,1359,648,648,648
KDM4A_ePhd_E18_168.6,KDM4A,2541,6900,4359,4359,4359
PSMB4_795.71,PSMB4,2245,3257,1012,1012,1012
KLHL8_BTB57163_E1_1863.162,KLHL8,1204,2307,1103,1103,1103
CPA6_1314.4,CPA6,1222,2354,1132,1132,1132
CUL9_7554.900,CUL9,1252,2305,1053,1053,1053
PAX7_E6_39.0,PAX7,1329,1651,322,322,322
ZNF641_E7_477.12,ZNF641,977,1594,617,617,617
CTCFL_E5_134.8,CTCFL,3389,6521,3132,3132,3132
PSMB1_726.9,PSMB1,1061,1259,198,198,198
RFPL4B_792.1,RFPL4B,1057,2011,954,954,954
MTA2_Bah3168_E1_2007.3,MTA2,1247,1926,679,679,679
YME1L1_2322.125,YME1L1,1902,2965,1063,1063,1063
ZNF2_E5_666.65,ZNF2,3332,8226,4894,4894,4894
FASTK_PKc_E8_41.2,FASTK,429,545,116,116,116
POLR2A_e27.2,POLR2A,2073,2270,197,197,197
BRPF1_ePhd_E3_363.24,BRPF1,568,1152,584,584,584
WWP1_2769.93,WWP1,1553,3051,1498,1498,1498
ZNF530_E3_1005.58,ZNF530,2532,5809,3277,3277,3277
Nr1h4_E2_76.7,Nr1h4,2387,5639,3252,3252,3252
PRPF4B_PKc_E9_119.4,PRPF4B,1592,2198,606,606,606
GCM2_E2_241.14,GCM2,1048,1691,643,643,643
USP9Y_142.2,USP9Y,1062,2037,975,975,975
KLF6_E3_65.7,KLF6,735,1582,847,847,847
RAF1_PKc_E11_85.12,RAF1,868,1224,356,356,356
SH3RF1_2667.86,SH3RF1,1056,2389,1333,1333,1333
ADAM15_2592.77,ADAM15,2724,5069,2345,2345,2345
MGA_E20_126.11,MGA,934,1419,485,485,485
IRX2_E2_177.1,IRX2,2159,5140,2981,2981,2981
ADAMTS12_4785.81,ADAMTS12,3163,6298,3135,3135,3135
OTUD4_438.2,OTUD4,1108,2083,975,975,975
ELF3_E8_188.4,ELF3,1126,2138,1012,1012,1012
GLI3_E11_75.3,GLI3,2971,6443,3472,3472,3472
DBX1_E3_123.0,DBX1,1069,2243,1174,1174,1174
DYRK4_PKc_E6_141.7,DYRK4,1455,2688,1233,1233,1233
STK35_PKc_E2_292.47,STK35,789,1821,1032,1032,1032
RNF41_954.113,RNF41,1263,2641,1378,1378,1378
FOXS1_E1_234.21,FOXS1,997,1484,487,487,487
KDM7A_e6_187.8,KDM7A,853,1436,583,583,583
MIXL1_E1_135.3,MIXL1,1324,2310,986,986,986
YBX1_E5_27.0,YBX1,1004,1462,458,458,458
PROZ_1269.144,PROZ,2659,6862,4203,4203,4203
SIX2_E1_156.18,SIX2,927,2001,1074,1074,1074
MSL2_1734.147,MSL2,1136,2986,1850,1850,1850
ZNF502_E5_1161.56,ZNF502,828,1301,473,473,473
FBXW2_1365.136,FBXW2,1257,2888,1631,1631,1631
L3MBTL1_E18_88.10,L3MBTL1,867,1463,596,596,596
UBTFL1_E1_558.63,UBTFL1,1151,1966,815,815,815
ING5_Phd_E6_136.21,ING5,438,617,179,179,179
MXD1_E4_115.5,MXD1,1442,3486,2044,2044,2044
USP17L10_1593.36,USP17L10,1274,2351,1077,1077,1077
BRWD3_BD2_e36_75.0,BRWD3,1575,3264,1689,1689,1689
PEPD_1482.189,PEPD,1593,2944,1351,1351,1351
CBX6_Chromo_E3_66.4,CBX6,535,892,357,357,357
PRSS36_2568.215,PRSS36,1493,3335,1842,1842,1842
ZRANB1_199.4,ZRANB1,1676,2577,901,901,901
HOXD3_E3_177.14,HOXD3,1112,1856,744,744,744
CAMK1_PKc_E4_75.9,CAMK1,1223,3063,1840,1840,1840
PDZRN3_3201.497,PDZRN3,256,498,242,242,242
ZSCAN29_E5_489.1,ZSCAN29,2062,4188,2126,2126,2126
TRIM31_1278.18,TRIM31,1105,1944,839,839,839
CASK_PKc_E5_73.1,CASK,254,404,150,150,150
PAX4_E2_216.2,PAX4,1433,3179,1746,1746,1746
MITF_E9_76.3,MITF,1251,1833,582,582,582
TUB_E9_113.3,TUB,2804,5871,3067,3067,3067
RNF217_1629.121,RNF217,1198,2208,1010,1010,1010
HOMEZ_E2_1053.7,HOMEZ,895,1656,761,761,761
MTA1_E14_152.11,MTA1,719,1111,392,392,392
MAFG_E3_210.19,MAFG,82,98,16,16,16
ZFX_E10_1119.67,ZFX,1631,3762,2131,2131,2131
ZBTB25_BTB14114_E1_1308.137,ZBTB25,791,1983,1192,1192,1192
DCAF12_1362.120,DCAF12,321,542,221,221,221
TNNI3K_PKc_E17_105.2,TNNI3K,1097,1830,733,733,733
KLF9_E2_131.9,KLF9,511,796,285,285,285
UBB_690.30,UBB,1101,2300,1199,1199,1199
RARG_E5_142.9,RARG,1080,1710,630,630,630
RREB1_E13_80.5,RREB1,1572,1939,367,367,367
ANAPC2_2469.187,ANAPC2,648,895,247,247,247
WDTC1_2034.28,WDTC1,2128,4777,2649,2649,2649
ROS1_PKc_E38_130.7,ROS1,941,1516,575,575,575
ZNF726_E4_1281.77,ZNF726,647,1078,431,431,431
POU3F3_E1_174.20,POU3F3,1055,2123,1068,1068,1068
TTN_PKc_E358_736.16,TTN,492,713,221,221,221
ZNF879_E5_1077.5,ZNF879,1490,3200,1710,1710,1710
ZNF414_E3_85.5,ZNF414,426,637,211,211,211
ZNF132_E3_1272.89,ZNF132,3069,6856,3787,3787,3787
EZH1_SANT_E12_105.4,EZH1,859,1259,400,400,400
BPTF_BD_e24_187.1,BPTF,1205,2382,1177,1177,1177
ZFP2_E5_1059.48,ZFP2,1321,3040,1719,1719,1719
CLK4_PKc_E7_167.8,CLK4,707,1024,317,317,317
ZNF497_E3_1158.77,ZNF497,947,1570,623,623,623
ZNF253_E4_828.55,ZNF253,1100,1797,697,697,697
TRIM26_1620.299,TRIM26,696,1682,986,986,986
RPS6KA1_PKc2_E20_118.3,RPS6KA1,82,109,27,27,27
GMEB2_E5_104.8,GMEB2,208,236,28,28,28
UBE2C_240.23,UBE2C,1568,3649,2081,2081,2081
STKLD1_PKc_E6_71.5,STKLD1,795,1471,676,676,676
ASB4_1281.76,ASB4,633,1146,513,513,513
RNF19A_2517.35,RNF19A,1021,2634,1613,1613,1613
ADAM11_2310.88,ADAM11,1899,3177,1278,1278,1278
BTBD19_BTB30123_E1_876.16,BTBD19,1380,3390,2010,2010,2010
TRIM44_1035.65,TRIM44,984,1682,698,698,698
NFATC4_E5_200.8,NFATC4,1000,1614,614,614,614
CDC5L_E2_146.5,CDC5L,3416,4891,1475,1475,1475
CDC5L_SANT2_E3_142.4,CDC5L,3416,4891,1475,1475,1475
HACE1_2730.161,HACE1,1039,2259,1220,1220,1220
ZBTB47_BTB4113_E1_2244.13,ZBTB47,1400,3485,2085,2085,2085
KDM7A_e6_187.17,KDM7A,1189,1641,452,452,452
ZNF284_E5_1296.106,ZNF284,1250,2445,1195,1195,1195
ELOC_1,ELOC,755,1693,938,938,938
PAPPA2_5376.674,PAPPA2,795,1502,707,707,707
RNF38_1548.62,RNF38,2099,5702,3603,3603,3603
CLK1_PKc_E9_130.1,CLK1,2328,5703,3375,3375,3375
neg67,neg67,2453,5631,3178,3178,3178
UBE2Q1_1269.101,UBE2Q1,2406,5481,3075,3075,3075
SNAI2_E2_238.18,SNAI2,744,869,125,125,125
TSC22D1_E3_138.6,TSC22D1,1786,2921,1135,1135,1135
CTSL1_456.33,CTSL1,1425,2334,909,909,909
ADRBK1_PKc_E12_95.3,ADRBK1,337,477,140,140,140
ETV1_E12_108.5,ETV1,1032,2563,1531,1531,1531
E2F2_E3_194.12,E2F2,2626,6011,3385,3385,3385
BRAP_1779.126,BRAP,464,455,-9,9,9
ZBTB42_BTB14121_E1_1269.23,ZBTB42,966,1884,918,918,918
ADAMTS17_3288.478,ADAMTS17,706,1806,1100,1100,1100
HIC1_E2_243.5,HIC1,1273,2594,1321,1321,1321
PKNOX1_E8_72.7,PKNOX1,769,1390,621,621,621
ZNF879_E5_1077.23,ZNF879,1173,2366,1193,1193,1193
ZNF121_Ex_993.19,ZNF121,1359,2585,1226,1226,1226
SIX5_E1_156.17,SIX5,94,174,80,80,80
PPIL2_1563.238,PPIL2,1898,2189,291,291,291
USP12_1113.67,USP12,1928,4000,2072,2072,2072
ZNF566_E5_570.39,ZNF566,1341,1817,476,476,476
RNF25_1380.251,RNF25,1323,2423,1100,1100,1100
DPF3_Phd_E8_91.8,DPF3,2083,5044,2961,2961,2961
RNF128_1287.74,RNF128,872,1501,629,629,629
STK10_PKc_E2_165.13,STK10,789,1965,1176,1176,1176
ZNF398_E6_246.40,ZNF398,1911,3443,1532,1532,1532
TRIM37_2895.1,TRIM37,1155,1710,555,555,555
HINFP_E8_121.5,HINFP,3208,6952,3744,3744,3744
FBXL19_CXXC5077_E1_2085.489,FBXL19,2098,3129,1031,1031,1031
FBXL19_2085.489,FBXL19,2098,3129,1031,1031,1031
TOX2_E5_144.12,TOX2,633,1309,676,676,676
MBD5_PWWP13831460_E1_4485.225,MBD5,771,1297,526,526,526
KLHL36_BTB36141_E1_1851.8,KLHL36,213,326,113,113,113
DCAF8_1794.176,DCAF8,1613,3604,1991,1991,1991
ALX3_E2_135.4,ALX3,1308,3056,1748,1748,1748
ACE_3921.692,ACE,863,1464,601,601,601
TSC22D2_E4_168.4,TSC22D2,2069,3355,1286,1286,1286
ZNF551_E3_1038.10,ZNF551,1011,2564,1553,1553,1553
NFXL1_E13_121.8,NFXL1,4067,9489,5422,5422,5422
NFXL1_2736.184,NFXL1,4067,9489,5422,5422,5422
FBXL17_2106.199,FBXL17,1753,2664,911,911,911
HNF4G_E2_113.8,HNF4G,1477,2468,991,991,991
STK4_PKc_E6_168.2,STK4,271,642,371,371,371
ZNF625_E4_396.33,ZNF625,2387,4047,1660,1660,1660
MMP17_1812.78,MMP17,1717,3461,1744,1744,1744
SOCS3_678.51,SOCS3,369,578,209,209,209
CTSZ_912.135,CTSZ,804,1937,1133,1133,1133
ZPR1_E2_162.4,ZPR1,1120,1692,572,572,572
PLAG1_E4_110.2,PLAG1,4216,10593,6377,6377,6377
KDM2A_13,KDM2A,1291,1439,148,148,148
ACY1_1227.116,ACY1,1972,4155,2183,2183,2183
ZNF26_E5_1047.90,ZNF26,2381,5167,2786,2786,2786
CAD_6678.816,CAD,1291,1644,353,353,353
MYCBP2_14037.731,MYCBP2,1482,2869,1387,1387,1387
FBXL19_2085.318,FBXL19,626,658,32,32,32
EPHA2_PKc_E12_62,EPHA2,1239,2530,1291,1291,1291
UBE2T_594.5,UBE2T,1022,1503,481,481,481
ZNF98_E4_1155.79,ZNF98,856,1125,269,269,269
ASB4_1281.120,ASB4,455,849,394,394,394
PHRF1_4950.49,PHRF1,1022,2133,1111,1111,1111
CTSH_1008.115,CTSH,1011,1296,285,285,285
FBXW2_1365.28,FBXW2,1564,2796,1232,1232,1232
SMYD3_e5_95.2,SMYD3,1511,2434,923,923,923
ZNF256_E3_1128.67,ZNF256,944,2007,1063,1063,1063
PRKACB_PKc_E6_127.6,PRKACB,1404,2803,1399,1399,1399
ZSCAN20_E8_478.13,ZSCAN20,2128,4153,2025,2025,2025
ZNF200_E5_240.7,ZNF200,929,1516,587,587,587
NRBP1_PKc_E5_90.1,NRBP1,486,447,-39,39,39
FBXL5_2076.91,FBXL5,2013,3468,1455,1455,1455
DMBX1_E3_42.0,DMBX1,314,251,-63,63,63
RAD18_1488.94,RAD18,1491,1921,430,430,430
SMURF1_2187.131,SMURF1,384,631,247,247,247
ZNF281_E2_246.1,ZNF281,1076,3280,2204,2204,2204
ELK3_E2_153.1,ELK3,761,1112,351,351,351
KBTBD7_BTB53168_E1_2055.218,KBTBD7,870,1742,872,872,872
DPP6_2598.236,DPP6,1483,2827,1344,1344,1344
DCAF1_22,DCAF1,576,1176,600,600,600
FBXL20_1311.94,FBXL20,1405,2850,1445,1445,1445
KBTBD4_BTB62156_E1_1605.23,KBTBD4,449,777,328,328,328
ZNF431_E5_1059.45,ZNF431,1920,4058,2138,2138,2138
F10_1467.189,F10,2276,4716,2440,2440,2440
CDKL5_PKc_E2_34,CDKL5,1212,2371,1159,1159,1159
ZNF576_E3_69.7,ZNF576,2377,5556,3179,3179,3179
ZNF534_E4_1170.63,ZNF534,1540,1949,409,409,409
FBXL3_1287.95,FBXL3,1560,3436,1876,1876,1876
CTSZ_912.42,CTSZ,1723,3845,2122,2122,2122
PNCK_PKc_E7_76.11,PNCK,715,1107,392,392,392
KDM3B_e19_131.11,KDM3B,1888,3671,1783,1783,1783
USP30_1554.191,USP30,1227,3015,1788,1788,1788
NFIL3_E2_156.7,NFIL3,854,1392,538,538,538
CPE_1431.178,CPE,757,1120,363,363,363
TRIM6-TRIM34_2529.95,TRIM6-TRIM34,2700,5388,2688,2688,2688
TRIM34_1467.9,TRIM34,2700,5388,2688,2688,2688
ZBED2_E2_162.10,ZBED2,460,990,530,530,530
MYSM1_E7_90.0,MYSM1,2215,3095,880,880,880
MYSM1_SANT_E7_93.0,MYSM1,2215,3095,880,880,880
MMP19_918.126,MMP19,2194,4351,2157,2157,2157
UBE2Q2_1128.51,UBE2Q2,1187,2440,1253,1253,1253
FBXW12_1395.22,FBXW12,1002,2229,1227,1227,1227
PSMA1_810.46,PSMA1,1016,1618,602,602,602
ZNF417_E3_567.24,ZNF417,1327,2785,1458,1458,1458
TRIM60_1416.112,TRIM60,820,1222,402,402,402
WHSC1_PWWP218337_E1_4098.38,WHSC1,523,1017,494,494,494
TNRC18_Bah28162960_E1_8907.993,TNRC18,596,856,260,260,260
OTX2_E2_135.14,OTX2,594,921,327,327,327
TIP60_e10_94.13,TIP60,1052,1128,76,76,76
NSD1_PWWP17541848_E1_8091.703,NSD1,1520,2581,1061,1061,1061
KAT5_Chromo_E2_69.0,KAT5,1014,1447,433,433,433
TEAD3_E12_153.7,TEAD3,2851,6066,3215,3215,3215
RPA3_e1.2,RPA3,1936,1290,-646,646,646
ZNF454_E5_1011.83,ZNF454,1006,2063,1057,1057,1057
EMX2_E2_129.10,EMX2,943,1899,956,956,956
NCOA1_e18_175.22,NCOA1,2578,6030,3452,3452,3452
AIRE_Phd2_E11_104.4,AIRE,320,360,40,40,40
KDM7A_e6_187.15,KDM7A,1091,2162,1071,1071,1071
PRSS2_137.19,PRSS2,1211,2141,930,930,930
ONECUT2_E2_165.7,ONECUT2,739,1235,496,496,496
RAB40AL_837.136,RAB40AL,730,1586,856,856,856
KCTD21_BTB593_E1_783.117,KCTD21,1394,2948,1554,1554,1554
TRIM46_2280.249,TRIM46,559,901,342,342,342
SH3RF3_2649.553,SH3RF3,989,2051,1062,1062,1062
EPHA7_PKc_E11_186.8,EPHA7,995,2358,1363,1363,1363
ZXDC_E4_64.0,ZXDC,1580,2961,1381,1381,1381
PRMT7_e5_73.1,PRMT7,2586,4805,2219,2219,2219
FBXO3_1416.112,FBXO3,619,1338,719,719,719
NOTO_E2_129.0,NOTO,2186,3595,1409,1409,1409
CDIP1_E5_107.3,CDIP1,673,1049,376,376,376
LEF1_E9_99.2,LEF1,1891,4110,2219,2219,2219
SALL4_E2_1276.96,SALL4,1923,3896,1973,1973,1973
STAT3_E17_136.9,STAT3,943,2608,1665,1665,1665
MAP3K4_PKc_E25_107.6,MAP3K4,1011,1864,853,853,853
ZNF439_E3_834.28,ZNF439,605,1024,419,419,419
SPPL2A_1563.4,SPPL2A,1590,2922,1332,1332,1332
TMPRSS3_984.62,TMPRSS3,996,1460,464,464,464
KLHL14_BTB23181_E1_1887.243,KLHL14,282,568,286,286,286
RCOR1_SANT_E5_84.1,RCOR1,954,1262,308,308,308
LHX1_E3_135.5,LHX1,1161,1888,727,727,727
TSHZ1_E2_221.9,TSHZ1,1307,2234,927,927,927
ZNF140_E5_891.17,ZNF140,2156,3711,1555,1555,1555
ZNF716_E4_825.57,ZNF716,1622,3614,1992,1992,1992
ZNF180_E5_1083.77,ZNF180,866,1229,363,363,363
TNIK_PKc_E7_131.1,TNIK,771,1427,656,656,656
PKN2_PKc_E18_77,PKN2,747,1342,595,595,595
RFFL_1092.13,RFFL,973,2035,1062,1062,1062
BRPF3_ePhd_E2_354.26,BRPF3,790,1090,300,300,300
ZNF500_E6_69.6,ZNF500,685,1273,588,588,588
ZFP14_E5_1077.22,ZFP14,1731,4476,2745,2745,2745
POU4F2_E2_177.1,POU4F2,1758,2935,1177,1177,1177
ELF5_E6_182.10,ELF5,1504,1193,-311,311,311
AMBRA1_3906.53,AMBRA1,928,1916,988,988,988
MAPK12_PKc_E5_30,MAPK12,703,1414,711,711,711
ZNF675_E4_1164.54,ZNF675,771,1133,362,362,362
GUCY2D_PKc_E9_207.18,GUCY2D,456,1246,790,790,790
HOXB9_E2_177.13,HOXB9,332,558,226,226,226
SCRT1_E2_156.2,SCRT1,870,1786,916,916,916
NEDD4_3960.123,NEDD4,618,713,95,95,95
MITF_E8_76.0,MITF,2074,3302,1228,1228,1228
PARP9_Macro117295_E1_2565.243,PARP9,1323,3519,2196,2196,2196
USP42_3951.26,USP42,1266,2277,1011,1011,1011
ZNF479_E5_990.19,ZNF479,1693,2631,938,938,938
USP11_2892.102,USP11,2773,6710,3937,3937,3937
NFKB2_E4_33.2,NFKB2,1112,2887,1775,1775,1775
SIK2_PKc_E2_117,SIK2,954,1950,996,996,996
PIM2_PKc_E2_81.8,PIM2,352,432,80,80,80
ZNF641_E7_477.29,ZNF641,1614,2446,832,832,832
RNF19A_2517.30,RNF19A,1306,2309,1003,1003,1003
NR4A1_E4_130.0,NR4A1,1335,2048,713,713,713
TBX15_E2_83.2,TBX15,1292,2300,1008,1008,1008
VAX2_E2_129.10,VAX2,1400,2576,1176,1176,1176
RCHY1_720.39,RCHY1,2391,5875,3484,3484,3484
CSF1R_PKc_E15_163.13,CSF1R,1573,2730,1157,1157,1157
PRDM15_E25_120.6,PRDM15,757,1482,725,725,725
LMLN_2079.229,LMLN,1255,1925,670,670,670
RPS6KA3_PKc2_E21_141.1,RPS6KA3,561,1362,801,801,801
TMPRSS9_3180.216,TMPRSS9,920,1803,883,883,883
USP46_1101.37,USP46,2317,6410,4093,4093,4093
MSGN1_E1_183.10,MSGN1,2780,4956,2176,2176,2176
MYB_SANT3_E5_97.1,MYB,912,2034,1122,1122,1122
FBXW12_1395.135,FBXW12,1175,1904,729,729,729
NUAK2_PKc_E4_66.6,NUAK2,762,1441,679,679,679
STK10_PKc_E4_150.17,STK10,500,712,212,212,212
SMARCA2_BD_e28_218.19,SMARCA2,1723,3568,1845,1845,1845
FBXW12_1395.62,FBXW12,1217,2498,1281,1281,1281
ZNF773_E4_663.60,ZNF773,874,2440,1566,1566,1566
MAP3K1_4539.112,MAP3K1,806,1842,1036,1036,1036
UBE2T_594.52,UBE2T,434,617,183,183,183
SETD4_e6_175.12,SETD4,821,2129,1308,1308,1308
WNK1_PKc_E6_49.2,WNK1,961,939,-22,22,22
OVOL2_E4_47.0,OVOL2,1241,2362,1121,1121,1121
MASP1_2187.211,MASP1,1475,3653,2178,2178,2178
ZBTB26_BTB23123_E1_1326.2,ZBTB26,323,694,371,371,371
THAP1_E1_62.0,THAP1,421,339,-82,82,82
SFMBT1_MBT252348_E1_2601.29,SFMBT1,1221,2088,867,867,867
PBRM1_BD2_e6_117.2,PBRM1,1535,3493,1958,1958,1958
GZMK_795.65,GZMK,1655,2881,1226,1226,1226
ATOH8_E2_87.6,ATOH8,1447,2519,1072,1072,1072
TBX15_E2_83.5,TBX15,1179,2375,1196,1196,1196
PKNOX2_E10_72.4,PKNOX2,1119,1926,807,807,807
IKZF5_E5_187.5,IKZF5,2900,4331,1431,1431,1431
RPS6KL1_PKc_E9_83,RPS6KL1,341,735,394,394,394
FBXL18_2157.386,FBXL18,800,1812,1012,1012,1012
HECTD4_12855.864,HECTD4,635,709,74,74,74
PHF8_Phd_E3_73.2,PHF8,726,1920,1194,1194,1194
BARD1_2277.110,BARD1,416,346,-70,70,70
FLT4_PKc_E18_105,FLT4,406,617,211,211,211
HABP2_1683.158,HABP2,1925,3706,1781,1781,1781
SP140_E19_88.7,SP140,1509,3411,1902,1902,1902
RNF138_738.46,RNF138,1224,3064,1840,1840,1840
CASP5_879.43,CASP5,914,1343,429,429,429
ADAM8_2475.96,ADAM8,996,2440,1444,1444,1444
ADAM21_2169.176,ADAM21,1713,3038,1325,1325,1325
USP17L3_1593.28,USP17L3,1388,1624,236,236,236
KEL_2199.95,KEL,1577,3741,2164,2164,2164
ETV6_E6_141.12,ETV6,1030,2043,1013,1013,1013
TRIM77_1353.120,TRIM77,1605,4672,3067,3067,3067
RPS6KL1_PKc_E7_606.2,RPS6KL1,1495,2858,1363,1363,1363
MYCBP2_14037.1075,MYCBP2,581,1175,594,594,594
PHF8_Phd_E3_73.0,PHF8,388,1287,899,899,899
DMTF1_SANT2_E13_175.11,DMTF1,1109,1793,684,684,684
SPEG_PKc2_E36_604.32,SPEG,753,1685,932,932,932
PRSS36_2568.49,PRSS36,2888,7052,4164,4164,4164
ZSCAN22_E3_654.1,ZSCAN22,296,445,149,149,149
CAMK1D_PKc_E1_59,CAMK1D,1002,1458,456,456,456
MDM4_1473.59,MDM4,1418,2202,784,784,784
AHR_E2_126.0,AHR,2100,3252,1152,1152,1152
CREBBP_e26_114.7,CREBBP,1796,4258,2462,2462,2462
ZNF773_E4_663.40,ZNF773,2874,5360,2486,2486,2486
ADRBK1_PKc_E10_79.2,ADRBK1,1067,1952,885,885,885
DMRT2_E2_141.16,DMRT2,1393,3043,1650,1650,1650
DCAF1_4,DCAF1,1166,2442,1276,1276,1276
EP300_e29_162.10,EP300,1135,1426,291,291,291
USP42_3951.596,USP42,873,1146,273,273,273
HOXC9_E2_147.16,HOXC9,931,1765,834,834,834
FBXO18_3285.221,FBXO18,1223,2591,1368,1368,1368
ZBTB46_E5_96.2,ZBTB46,858,1493,635,635,635
PHIP_5466.33,PHIP,598,1239,641,641,641
ZNF460_E3_999.115,ZNF460,1427,1704,277,277,277
ZBTB7C_E2_113.11,ZBTB7C,3461,8237,4776,4776,4776
TRIM36_2187.189,TRIM36,2238,3264,1026,1026,1026
MAP4K1_PKc_E6_48.2,MAP4K1,953,1770,817,817,817
STUB1_696.111,STUB1,85,137,52,52,52
TRERF1_E15_54.1,TRERF1,2262,4548,2286,2286,2286
TRERF1_SANT_E15_54.1,TRERF1,2262,4548,2286,2286,2286
SOX8_E1_122.15,SOX8,1909,2798,889,889,889
DCST1_2121.243,DCST1,696,1179,483,483,483
MARCH8_876.76,8-Mar,1384,2995,1611,1611,1611
BRWD3_BD2_e37_153.4,BRWD3,591,1336,745,745,745
CDK9_e3.1,CDK9,4536,4337,-199,199,199
ASB2_1908.137,ASB2,1255,2333,1078,1078,1078
KCNG4_BTB61160_E1_1560.5,KCNG4,378,809,431,431,431
HOXD3_E3_177.0,HOXD3,423,507,84,84,84
GZMA_789.38,GZMA,835,1480,645,645,645
ZNF225_E5_1635.120,ZNF225,2047,6029,3982,3982,3982
CNOT4_2142.259,CNOT4,953,1977,1024,1024,1024
MEF2C_E3_180.7,MEF2C,1342,2293,951,951,951
BACE2_1557.139,BACE2,3018,6107,3089,3089,3089
ZNF439_E3_834.46,ZNF439,956,2096,1140,1140,1140
BMI1_981.3,BMI1,775,1884,1109,1109,1109
MAPKAPK2_PKc_E5_127.3,MAPKAPK2,1010,1654,644,644,644
THAP2_E2_184.5,THAP2,1433,3067,1634,1634,1634
MTF2_Phd1_E4_73.2,MTF2,1116,1762,646,646,646
MECP2_E3_127.1,MECP2,2944,4388,1444,1444,1444
MECP2_MBD_E4_127.1,MECP2,2944,4388,1444,1444,1444
ATF6B_E10_162.15,ATF6B,441,961,520,520,520
F10_1467.107,F10,1567,3204,1637,1637,1637
RERE_E13_81.0,RERE,830,1717,887,887,887
RERE_SANT_E13_81.0,RERE,830,1717,887,887,887
VRK3_PKc_E7_67.3,VRK3,1486,2870,1384,1384,1384
ESR2_E4_117.6,ESR2,1121,2396,1275,1275,1275
CASP1_936.24,CASP1,1785,4244,2459,2459,2459
L3MBTL1_MBT385481_E1_2523.356,L3MBTL1,1034,2818,1784,1784,1784
CELA2B_810.126,CELA2B,528,990,462,462,462
ONECUT3_E2_177.0,ONECUT3,2669,6129,3460,3460,3460
RFPL2_1137.139,RFPL2,1530,2478,948,948,948
PRKCI_PKc_E9_177.5,PRKCI,1070,1518,448,448,448
