sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final,test2,test3,DLD1-Ts4.final_recalculate
BTBD9_BTB33137_E1_1839.2,BTBD9,1338,2458,1120,1120,1120
MIB2_3213.414,MIB2,1632,3798,2166,2166,2166
ATOH1_E1_177.0,ATOH1,910,2083,1173,1173,1173
KLHL20_BTB59165_E1_1830.206,KLHL20,1472,2574,1102,1102,1102
ADAMTS4_2514.456,ADAMTS4,774,1462,688,688,688
CIC_E6_171.6,CIC,1218,1790,572,572,572
UTY_e25_115.4,UTY,3551,8292,4741,4741,4741
HDAC8_e3_131.7,HDAC8,1616,3710,2094,2094,2094
SUB1_E5_47.1,SUB1,754,1360,606,606,606
SMN1_Tudor_E5_201.4,SMN1,1219,1619,400,400,400
FBXW9_15,FBXW9,1111,1933,822,822,822
ZNF582_E5_663.39,ZNF582,1450,2452,1002,1002,1002
ANAPC10_2,ANAPC10,1020,2182,1162,1162,1162
RNF112_1896.385,RNF112,1004,2762,1758,1758,1758
ASB10_1404.247,ASB10,801,1987,1186,1186,1186
UBE2J2_828.128,UBE2J2,762,961,199,199,199
CUL9_7554.837,CUL9,546,639,93,93,93
ZNF304_E4_1068.94,ZNF304,1177,2378,1201,1201,1201
PHF7_1146.110,PHF7,780,1363,583,583,583
TRIM13_1224.106,TRIM13,777,1414,637,637,637
SPPL2B_1779.345,SPPL2B,1101,1807,706,706,706
ZNF740_E6_119.3,ZNF740,4972,11520,6548,6548,6548
BTBD1_BTB62175_E1_1449.42,BTBD1,1057,2468,1411,1411,1411
PRKCZ_PKc_E10_98.3,PRKCZ,1180,2077,897,897,897
ZBTB43_E3_216.3,ZBTB43,1506,2550,1044,1044,1044
FBXL18_2157.376,FBXL18,829,2318,1489,1489,1489
STAT6_E12_93.8,STAT6,2672,7780,5108,5108,5108
DCAF17_1362.103,DCAF17,1406,3827,2421,2421,2421
KCTD8_BTB46143_E1_1422.35,KCTD8,605,892,287,287,287
XIAP_3,XIAP,873,1422,549,549,549
JUNB_E1_162.21,JUNB,741,1856,1115,1115,1115
TRIM6-TRIM34_2529.17,TRIM6-TRIM34,1797,3953,2156,2156,2156
TRIM6_1551.17,TRIM6,1797,3953,2156,2156,2156
CBL_2721.248,CBL,2078,5622,3544,3544,3544
CUL4A_2280.31,CUL4A,1549,2765,1216,1216,1216
PhIP_BD1_e32_126.5,PhIP,1554,2772,1218,1218,1218
