"","sgRNA","Gene","mergeD0","Vaco.Ts13.final"
"4280",110614394,"TCTN1",2266.65479219678,330
"4281",11061766,"TAS2R46",5445.82188295165,561
"4282",110618488,"TMEM232",3822.03731976251,247
"4283",110618567,"PITX2",6683.3197625106,1088
"4284",11061896,"TAS2R46",5445.04240882103,967
"4285",11062036,"TAS2R46",3272.69296013571,739
"4286",110621211,"PITX2",4530.03986429177,763
"4287",11062129,"TAS2R46",1852.72519083969,775
"4288",110621336,"PITX2",5018.19932145886,1320
"4289",110622352,"CARKD",1027.12637828668,178
"4290",110622406,"PITX2",10716.6547921968,1052
"4291",110623291,"CDK19",3348.77947413062,796
"4292",110625209,"CARKD",526.934690415606,1
"4293",110632042,"CDK19",3532.10178117048,380
"4294",110634591,"CARKD",2367.26378286684,419
"4295",110635470,"CARKD",3739.4588634436,1208
"4296",110638203,"TMEM232",3358.12383375742,1538
"4297",110640408,"TCTN1",4497.52332485157,655
"4298",110640499,"TCTN1",1469.40882103478,488
"4299",110640909,"TMEM232",6843.43172179813,2532
"4300",110641580,"TCTN1",1673.36386768448,275
"4301",110655239,"HVCN1",1190.81764206955,459
"4302",110661176,"HVCN1",1662.82188295165,314
"4303",110661289,"HVCN1",6941.75318066158,448
"4304",110661381,"HVCN1",1529.32485156913,576
"4305",110667462,"CDK19",6083.54792196777,902
"4306",110667596,"BUB1",342.553011026293,105
"4307",110672701,"BUB1",4.37319762510602,314
"4308",110673813,"KCNA3",1203.29177268872,624
"4309",110674120,"BUB1",2540.00848176421,446
"4310",110674211,"KCNA3",5634.16369804919,740
"4311",110674298,"KCNA3",4614.80407124682,1052
"4312",110674692,"KCNA3",5705.76081424936,979
"4313",110688746,"CHRDL1",1238.1679389313,390
"4314",110694202,"CHRDL1",2299.71925360475,1231
"4315",110695467,"MUSK",4954.41051738762,1097
"4316",110697429,"MUSK",1995.76505513147,657
"4317",110714229,"ING1",86.1382527565734,146
"4318",110714281,"ING1",5285.14588634436,1144
"4319",110719278,"ING1",1662.86768447837,372
"4320",110719399,"ING1",3644.81000848176,958
"4321",110721461,"CHRDL1",2152.40203562341,345
"4322",110722590,"PPP1CC",3056.38761662426,849
"4323",110724693,"PPP1CC",475.942324003393,285
"4324",110730679,"PPP1CC",2731.9465648855,389
"4325",110731775,"PPP1CC",4355.87446988974,453
"4326",110739349,"SLC25A46",325.373197625106,317
"4327",110743764,"SLC25A46",8648.48854961832,1378
"4328",110746146,"CDK19",5776.89058524173,1243
"4329",110747682,"MUSK",10191.951653944,1009
"4330",110756710,"SLC25A46",3730.97794741306,432
"4331",110761329,"SLC25A46",8241.59541984733,740
"4332",110762769,"CHRDL1",2148.07294317218,523
"4333",110767961,"MUSK",2060.4834605598,654
"4334",110781208,"RBM20",1956.09329940628,174
"4335",110781399,"RBM20",2314.44868532655,127
"4336",110784356,"RBM20",2132.53944020356,391
"4337",110794111,"ACOXL",1329.35114503817,157
"4339",110799022,"ACOXL",1569.67090754877,585
"4340",110801703,"ACOXL",1504.65055131467,17
"4341",110805356,"ACOXL",3529.32485156913,785
"4342",110812518,"RBM20",2164.02544529262,741
"4343",11082765,"CTNND2",2452.60220525869,150
"4344",1108367,"RNF212",1528.86089906701,318
"4345",110858714,"CCDC63",3452.20016963528,236
"4346",110875214,"AMD1",2117.97201017812,203
"4347",110879974,"CCDC63",1375.13231552163,538
"4348",110881180,"CCDC63",2235.9304495335,151
"4349",110881427,"PDCD4",7642.61153519932,1132
"4350",110883765,"ANKRD10",522.373197625106,421
"4351",110886660,"IMMP2L",1093.79050042409,168
"4352",110887813,"PDCD4",6474.71246819338,1397
"4353",110887882,"PDCD4",3441.66581849025,1270
"4354",110890301,"AMD1",2376.39779474131,556
"4355",110890598,"PDCD4",1916.87531806616,486
"4356",110892398,"CD53",3167.38846480068,852
"4357",110892784,"AMD1",1340.71077184054,432
"4358",110893093,"CCDC63",2026.52078032231,546
"4359",110893135,"ANKRD10",1766.75233248516,1105
"4361",110894961,"CD53",6055.55046649703,924
"4362",110895004,"CD53",1908.77608142494,288
"4363",110895048,"CD53",2071.04664970314,1069
"4364",110900500,"BBIP1",3548.6641221374,312
"4365",110900519,"BBIP1",2110.79134860051,1
"4366",110901542,"BBIP1",1303.47073791349,742
"4367",110901562,"BBIP1",3524.88464800679,70
"4368",11090608,"EXOSC10",1962.22307039864,407
"4369",110910713,"ANKRD10",1958.13740458015,522
"4370",110914204,"MYL2",4607.45292620865,430
"4371",110914235,"MYL2",927.008481764207,278
"4372",11091493,"EXOSC10",1253.35623409669,169
"4373",110915784,"MYL2",2452.83715012723,161
"4374",11091686,"TAS2R43",3173.93638676845,1136
"4375",11091774,"TAS2R43",3854.23070398643,540
"4376",11091831,"TAS2R43",5408.31636980492,300
"4377",110919154,"MYL2",1983.42663273961,466
"4378",11091923,"TAS2R43",1160.16963528414,922
"4379",110941515,"LPAR1",1307.45462256149,478
"4380",110941685,"LPAR1",955.081424936387,10
"4381",110941782,"LPAR1",2110.56234096692,1050
"4382",110942006,"LPAR1",7956.56064461408,1084
"4383",11094360,"SMIM13",410.212892281595,352
"4384",110951617,"LRIF1",3047.84054283291,420
"4385",110951859,"LRIF1",3530.40797285835,753
"4386",110952200,"LRIF1",2763.90924512299,267
"4387",110952710,"LRIF1",2802.26547921968,547
"4388",110954,"OR4F17",1605.70144189992,402
"4389",110960426,"GTF3C6",137.478371501272,8
"4390",110960473,"GTF3C6",921.590330788804,66
"4391",110962399,"GTF3C6",1449.69380831213,143
"4392",110964958,"SHOC2",511.596268023749,1
"4393",110967510,"GTF3C6",3406.13401187447,119
"4394",110985647,"SHOC2",1195.60899067006,361
"4395",110985755,"SHOC2",3462.17981340119,916
"4396",111000541,"SHOC2",908.969465648855,369
"4397",111008072,"RPF2",993.541136556404,1
"4398",111015773,"RPF2",497.373197625106,143
"4399",111024248,"RPF2",538.79219677693,1
"4400",11102776,"LDLR",3101.36556403732,498
"4401",11104400,"ERVFRD-1",1502.58863443596,593
"4402",11104641,"ERVFRD-1",1440.73876166243,917
