Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
PROB1	4	-0.076597	-0.5691	0.97609	0.99508	0.56929	0.75374
ANKRD45	4	0.05779	0.81646	0.6047	0.91711	0.41424	0.67471
ELMO3	4	-0.24384	-0.83871	0.56866	0.90488	0.40163	0.66475
IAPP	4	0.29147	1.5424	0.09118	0.47501	0.12297	0.53615
APOBEC3C	4	-0.071935	-0.43447	0.98971	0.99724	0.66394	0.80391
CNIH2	4	-0.24167	-1.4121	0.57274	0.90651	0.15791	0.53615
CLK3	4	-0.025024	-0.49849	0.8687	0.97736	0.61814	0.77374
CFTR	4	0.44167	1.4584	0.013722	0.15207	0.14472	0.53615
HNRNPLL	4	-0.026605	-0.35697	0.87347	0.97774	0.72112	0.84187
ARHGEF10L	4	-0.030161	-0.3939	0.8858	0.9796	0.69365	0.8244
POLR2F	4	-2.1262	-3.4863	4.9717e-05	0.002924	0.00048968	0.02565
ALKBH5	4	-0.53417	-1.6444	0.18112	0.64667	0.1001	0.53615
GS1-259H13.2	4	-0.044156	-0.30477	0.92632	0.98625	0.76054	0.86726
C11orf68	4	0.073628	0.53186	0.55275	0.89981	0.59482	0.7621
PPP2R2A	4	-0.82334	-2.0906	0.049319	0.34421	0.036562	0.353
GOSR1	4	-0.34817	-1.4741	0.39112	0.83092	0.14046	0.53615
KCNIP4	4	0.23711	1.4113	0.15929	0.61441	0.15817	0.53615
PTGER2	4	-0.073234	-0.78031	0.98613	0.99633	0.43521	0.69096
CCKBR	4	0.27736	1.2876	0.10619	0.5142	0.19788	0.53892
ABI2	4	0.2738	1.4746	0.10992	0.52183	0.14032	0.53615
TRIO	4	-0.022692	-0.21865	0.86139	0.97534	0.82692	0.90658
ZNF782	4	-0.0050034	-0.063793	0.80506	0.9664	0.94914	0.97398
EPHX3	4	0.010184	0.12362	0.75699	0.95695	0.90162	0.94988
BBIP1	4	0.24445	1.0147	0.149	0.59964	0.31024	0.5972
RXFP4	4	-0.34006	-2.1721	0.4036	0.83675	0.029845	0.31829
NXF1	4	-2.2538	-3.8744	4.9717e-05	0.002924	0.00010688	0.010141
SHARPIN	4	-0.22134	-0.84229	0.61355	0.91968	0.39962	0.66299
ADD3	4	0.45536	1.3524	0.011137	0.13231	0.17624	0.53615
IL20RB	4	0.053741	0.49952	0.61698	0.92055	0.61742	0.77317
RARRES2	4	-0.12167	-1.4483	0.84797	0.97163	0.14753	0.53615
CCT6B	4	0.20772	0.8915	0.2112	0.6818	0.37266	0.64178
HLA-DQB2	4	0.092091	0.57465	0.49647	0.87866	0.56553	0.75264
ZNF92	4	0.15723	1.2804	0.32132	0.78568	0.20042	0.5393
PRR13	4	-0.39321	-1.1374	0.32654	0.78914	0.25538	0.55975
OR8B2	4	-0.01003	-0.070162	0.82077	0.96781	0.94406	0.9715
SRL	4	-0.22507	-1.607	0.60575	0.91711	0.10805	0.53615
ASB10	4	-0.29015	-1.4717	0.48334	0.87444	0.14109	0.53615
CDKN2A	4	0.00054557	0.0067419	0.78766	0.96385	0.99462	0.99765
CBR3	4	0.24412	1.3787	0.14945	0.6	0.16799	0.53615
SLC6A15	4	0.067616	0.30981	0.57189	0.90621	0.7567	0.86507
LAMA2	4	-0.0069464	-0.062462	0.81068	0.96777	0.9502	0.97472
UBE2QL1	4	0.082817	1.1215	0.5257	0.88977	0.26209	0.56377
CBS	4	0.060804	0.49164	0.59332	0.91225	0.62297	0.7767
COMP	4	-0.30894	-1.6725	0.45262	0.86163	0.094433	0.53615
COX7A2L	4	0.12708	1.2828	0.39898	0.83498	0.19957	0.5393
THUMPD2	4	0.10798	1.0063	0.44959	0.86009	0.31428	0.60051
PIK3C2A	4	-0.35992	-1.403	0.37367	0.82088	0.16063	0.53615
BPIFB6	4	0.34266	1.2466	0.049567	0.34507	0.21254	0.54229
CBX2	4	-0.13144	-1.433	0.82361	0.96834	0.15186	0.53615
TMEM257	4	0.050475	0.32397	0.62802	0.92349	0.74596	0.85774
MDH1	4	0.52843	1.3429	0.0040768	0.066721	0.1793	0.53615
PNISR	4	-0.48997	-1.155	0.21801	0.68925	0.24809	0.55618
PFKFB2	4	0.018495	0.24977	0.73034	0.9497	0.80277	0.89226
MED15	4	-0.39771	-1.8137	0.32082	0.78545	0.069726	0.49072
LGMN	4	-0.014013	-0.09343	0.8334	0.9709	0.92556	0.96261
KCNH1	4	0.17579	0.68468	0.27742	0.75314	0.49355	0.72985
DNMT1	4	-1.5254	-2.6559	0.0018892	0.039256	0.0079091	0.14568
ALG5	4	-0.94264	-2.0494	0.029035	0.25424	0.040426	0.37368
OR4N5	4	0.028675	0.20133	0.69767	0.94241	0.84044	0.91426
ERCC6	4	0.047185	0.42066	0.63906	0.92524	0.674	0.8114
ZNF726	4	0.30261	1.2153	0.080839	0.44855	0.22424	0.54432
SPATA31D4	4	0.28918	1.4919	0.093716	0.48247	0.13573	0.53615
TEKT4	4	-0.51093	-2.2044	0.20066	0.67054	0.027499	0.30235
C1orf131	4	-1.2134	-2.2587	0.0082032	0.10834	0.023903	0.27891
CNOT6L	4	-0.066303	-0.61313	0.99359	0.99795	0.53979	0.74705
CDK5RAP2	4	-0.019198	-0.1863	0.85035	0.97248	0.85221	0.92172
ARHGDIA	4	-0.45192	-2.168	0.25838	0.73476	0.030155	0.31944
LECT2	4	-0.028506	-0.31387	0.87993	0.9796	0.75362	0.86303
ZNF558	4	0.075713	0.71542	0.54644	0.89749	0.47435	0.71872
DDX58	4	0.44063	1.3836	0.013921	0.15385	0.16648	0.53615
VTA1	4	-0.10089	-0.57703	0.90559	0.98312	0.56392	0.75195
LRCH2	4	0.098726	0.693	0.47574	0.87111	0.48831	0.72712
ZNF787	4	0.22157	1.261	0.18544	0.65051	0.20732	0.54068
TLL1	4	0.27846	1.3134	0.10475	0.51102	0.18906	0.53746
AUP1	4	0.17758	0.73033	0.27294	0.74857	0.46519	0.71256
RBFA	4	-1.4979	-2.9411	0.0020881	0.041584	0.0032709	0.087371
DISP2	4	-0.057152	-0.45946	0.96525	0.99281	0.6459	0.7915
PXN	4	-0.65412	-1.6326	0.1061	0.5142	0.10256	0.53615
NRXN2	4	0.34048	1.1745	0.050612	0.34875	0.2402	0.55373
SYT7	4	0.10787	0.70372	0.45003	0.86029	0.48161	0.72362
ECSIT	4	-1.0941	-1.9978	0.013772	0.15253	0.045744	0.39679
SETD1B	4	0.1761	1.2193	0.27677	0.7528	0.22274	0.54419
CALY	4	-0.045623	-0.49054	0.93114	0.98709	0.62375	0.77679
SCAMP1	4	0.1756	1.0485	0.27797	0.75391	0.2944	0.5867
RHBDD3	4	-0.22179	-1.8881	0.61241	0.91919	0.059011	0.44738
FYCO1	4	0.18372	1.1979	0.25927	0.73502	0.23095	0.54774
MTHFS	4	0.008141	0.06309	0.76345	0.95774	0.94969	0.97445
ZNF662	4	0.27839	1.1898	0.1048	0.51102	0.23412	0.54999
SLC28A1	4	0.083715	0.65125	0.52337	0.88858	0.51488	0.73926
EPHA8	4	0.018768	0.26112	0.72964	0.9497	0.794	0.88642
ACY3	4	-0.13135	-0.38641	0.82366	0.96834	0.69919	0.82751
NUMA1	4	-0.59756	-1.9068	0.13727	0.57713	0.056541	0.43945
ZFPM1	4	-0.22407	-1.1862	0.60734	0.91711	0.23553	0.55086
USP5	4	-0.4911	-1.565	0.21711	0.6888	0.11758	0.53615
SLC26A5	4	-0.070708	-0.83126	0.99279	0.9979	0.40583	0.66799
RNF165	4	0.23003	1.1518	0.17192	0.63473	0.24941	0.55677
SLC25A39	4	-0.36733	-2.0171	0.36383	0.81299	0.043681	0.38911
JADE3	4	-0.08784	-1.5313	0.94208	0.98935	0.12571	0.53615
ARHGAP23	4	-0.14871	-0.75984	0.78115	0.96357	0.44735	0.69997
SEPP1	4	0.12711	0.84174	0.39893	0.83496	0.39993	0.66325
ADAMTS17	4	0.36541	1.4047	0.037735	0.29781	0.16012	0.53615
DDX31	4	-0.43471	-1.7487	0.27553	0.75125	0.080344	0.527
WDFY2	4	0.05076	0.27068	0.62718	0.92343	0.78664	0.88218
NPR3	4	0.22268	1.3581	0.18395	0.64879	0.17443	0.53615
CDK15	4	0.018954	0.12708	0.72885	0.94967	0.89888	0.94848
SOAT2	4	-0.031787	-0.58523	0.89008	0.9804	0.55839	0.75058
C11orf80	4	0.28342	1.5095	0.099682	0.4995	0.13118	0.53615
KIAA2018	4	-0.057979	-0.37908	0.96788	0.99281	0.70463	0.83068
THEGL	4	0.24078	1.4464	0.15417	0.60828	0.14807	0.53615
ZNF844	4	0.13512	1.1079	0.3775	0.82299	0.26789	0.56655
ZMYM3	4	-0.5509	-2.1885	0.16884	0.62936	0.028634	0.31036
NUP107	4	-1.5138	-3.0562	0.0019389	0.039918	0.0022416	0.068314
FREM2	4	0.12014	0.79595	0.41667	0.8424	0.42606	0.68421
NTRK1	4	-0.18552	-1.5806	0.69096	0.93956	0.11397	0.53615
TLR2	4	0.073159	0.43131	0.55449	0.90061	0.66624	0.80581
TEX261	4	0.028936	0.46699	0.69638	0.94184	0.6405	0.78738
OR2G2	4	0.25145	1.42	0.13851	0.57987	0.15561	0.53615
ABLIM3	4	0.31878	1.4289	0.065725	0.40342	0.15304	0.53615
AP4S1	4	0.012762	0.093394	0.74873	0.95434	0.92559	0.96261
FAM160A2	4	0.17411	1.1408	0.28155	0.755	0.25395	0.55849
UPF2	4	-1.1641	-2.3518	0.01044	0.12805	0.018684	0.24385
RGN	4	0.14393	1.2559	0.35358	0.80434	0.20914	0.54169
DPP8	4	0.16855	0.89523	0.29402	0.76239	0.37067	0.64059
IFNAR2	4	0.063607	0.63053	0.58472	0.91051	0.52835	0.74365
SMARCD1	4	-0.49343	-1.601	0.21517	0.68633	0.10937	0.53615
KCNK13	4	-0.12509	-1.4192	0.83961	0.97092	0.15585	0.53615
KRTAP10-7	4	-0.21106	-1.0265	0.63533	0.92445	0.30466	0.59315
OSBP	4	-1.6175	-2.9252	0.0012429	0.029727	0.003442	0.09003
C2	4	0.17419	1.428	0.28135	0.755	0.15329	0.53615
KCTD9	4	-0.31765	-1.1644	0.43815	0.85414	0.24425	0.55469
GPR180	4	0.055901	0.28245	0.60972	0.91737	0.7776	0.87728
RBM20	4	-0.025578	-0.065482	0.87039	0.97736	0.94779	0.97294
IP6K2	4	0.053398	0.45828	0.61798	0.92072	0.64675	0.79187
BTN2A2	4	0.18319	1.2018	0.26002	0.73521	0.22944	0.54634
CTNND2	4	0.29873	1.3036	0.084121	0.45792	0.19238	0.53802
RBM33	4	-1.2973	-3.075	0.0053197	0.080694	0.0021052	0.066416
GLMN	4	-1.1592	-2.7567	0.010689	0.12981	0.0058382	0.12361
TMEM191B	4	-0.31991	-0.95884	0.43482	0.85244	0.33764	0.61558
GALNT2	4	-0.32391	-1.5874	0.42915	0.84977	0.11242	0.53615
DNM3	4	-0.082598	-0.55716	0.95769	0.99146	0.57742	0.75459
RAD18	4	-0.21501	-1.3418	0.62757	0.92349	0.17966	0.53615
SRRM4	4	0.17376	1.6685	0.28194	0.755	0.095209	0.53615
GPR78	4	-0.12893	-0.71196	0.83027	0.96993	0.47649	0.7202
RRAGB	4	-0.14258	-0.62802	0.79671	0.96519	0.52999	0.74365
SEC22C	4	0.21596	1.452	0.19573	0.6652	0.1465	0.53615
TMEM107	4	0.00030223	0.0018937	0.78831	0.96385	0.99849	0.99912
NSMCE4A	4	-0.6703	-1.3625	0.098837	0.4975	0.17303	0.53615
USP17L4	4	-0.19087	-0.64789	0.67833	0.93648	0.51705	0.73981
PTPRF	4	-0.073677	-0.7947	0.98449	0.99623	0.42679	0.68478
LOC100287036	4	-0.10709	-1.3337	0.89003	0.9804	0.18232	0.53615
HIBADH	4	0.34477	1.3711	0.048374	0.34081	0.17035	0.53615
SAYSD1	4	0.46653	1.2324	0.0096947	0.12112	0.2178	0.54399
GKN1	4	-0.10294	-0.95134	0.90012	0.98199	0.34143	0.61831
ECH1	4	0.020449	0.47989	0.72402	0.94888	0.6313	0.78128
GUCY1A3	4	-0.071296	-0.49427	0.9912	0.9979	0.62112	0.77558
NRD1	4	0.20098	0.99494	0.22368	0.69375	0.31976	0.60356
C2orf40	4	0.089431	0.64059	0.50547	0.88343	0.52179	0.74228
SUPT20H	4	-0.14409	-0.82309	0.79204	0.96403	0.41045	0.67186
MAPK8	4	0.49012	1.19	0.0069106	0.096327	0.23406	0.54999
TMPRSS5	4	0.11821	0.32302	0.42259	0.8467	0.74668	0.85821
EMG1	4	-1.6651	-3.2267	0.001044	0.026854	0.0012521	0.04767
NOS1AP	4	0.050172	0.34706	0.62877	0.92349	0.72855	0.84659
IGLON5	4	0.18635	0.94177	0.25385	0.72899	0.34631	0.6216
HNRNPCL3	4	-0.36319	-1.293	0.3693	0.81731	0.19602	0.53892
IL7	4	0.32815	1.4828	0.058467	0.3764	0.13812	0.53615
HS2ST1	4	0.16259	0.80475	0.30735	0.77348	0.42096	0.67972
ZNF22	4	-0.23427	-1.306	0.58775	0.91146	0.19154	0.53751
SMO	4	0.43958	1.4382	0.014169	0.15591	0.15037	0.53615
