Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
ERAS	4	-0.21306	-1.6612	0.5537	0.94014	0.09667	0.60247
SCARF1	4	-0.016107	-0.24287	0.89379	0.98933	0.80811	0.90018
KCTD19	4	0.015787	0.1504	0.78356	0.97881	0.88045	0.93988
S100A12	4	0.25046	1.2846	0.16035	0.69948	0.19895	0.60247
PHLDA2	4	-0.081197	-0.46303	0.9013	0.98968	0.64334	0.80233
EEF1E1	4	0.14897	0.42747	0.36893	0.87407	0.66904	0.81852
CSH1	4	-0.82504	-2.5489	0.031225	0.31043	0.010807	0.22111
SPDYE6	4	-1.9459	-4.0005	4.9722e-05	0.0028986	6.3206e-05	0.013817
SLC4A7	4	-0.084195	-0.41626	0.89131	0.98924	0.67722	0.82371
TAAR8	4	0.024082	0.23652	0.75711	0.97467	0.81303	0.90261
ITLN2	4	-0.048548	-0.36402	0.99876	0.9997	0.71584	0.84664
TSEN15	4	-1.0909	-2.0409	0.0087013	0.13889	0.041263	0.45643
GBP6	4	-0.21994	-1.4363	0.53799	0.93784	0.1509	0.60247
OR52N2	4	0.045754	0.28884	0.68477	0.96395	0.7727	0.87894
GNB2L1	4	-2.5027	-3.6371	0	0	0.00027576	0.029344
HIF1AN	4	-0.72212	-2.5848	0.052804	0.4221	0.0097422	0.20795
ERCC6L	4	-0.21994	-1.0731	0.53799	0.93784	0.28323	0.62372
KRBOX4	4	0.029361	0.23865	0.7403	0.97365	0.81138	0.90194
OR4M2	4	-0.12625	-0.95635	0.76944	0.97733	0.33889	0.65375
EMX1	4	0.0087892	0.061288	0.80733	0.98074	0.95113	0.97698
KLF2	4	0.023025	0.2464	0.76064	0.97508	0.80537	0.89857
HIST1H1A	4	0.024833	0.1133	0.75443	0.97432	0.90979	0.95539
FAM136A	4	-0.88442	-2.7055	0.024264	0.26594	0.0068193	0.17144
UGT2A2	4	0.11746	0.77196	0.45669	0.912	0.44014	0.71909
OR51V1	4	0.038265	0.24588	0.71122	0.96865	0.80577	0.89892
WDR27	4	0.11793	0.65867	0.45545	0.91135	0.51011	0.75423
SNRPD2	4	-2.1741	-3.7993	4.9722e-05	0.0028986	0.00014509	0.022333
SERPINA12	4	-0.15891	-0.72099	0.67999	0.96392	0.47092	0.73737
AMZ1	4	-0.20631	-1.1554	0.56852	0.94402	0.24792	0.60706
PPL	4	-0.19895	-1.2135	0.58418	0.94636	0.22492	0.60307
PRPS1	4	0.15927	1.2121	0.34288	0.86399	0.22547	0.60307
WDR17	4	0.25068	1.3758	0.1603	0.69948	0.16888	0.60247
COL12A1	4	-0.15463	-1.3072	0.68949	0.96446	0.19114	0.60247
CD22	4	0.18844	1.1745	0.2759	0.82636	0.2402	0.60634
NIPSNAP3B	4	0.045081	0.44274	0.6872	0.96408	0.65795	0.81187
SAG	4	0.35923	1.3988	0.050666	0.41322	0.16188	0.60247
EID3	4	-0.19989	-1.5707	0.58199	0.9451	0.11626	0.60247
CCDC77	4	-0.036207	-0.6218	0.95973	0.99784	0.53407	0.75831
NPC1L1	4	-0.061073	-0.78361	0.9634	0.99784	0.43327	0.71396
VPS29	4	-1.3152	-2.605	0.002685	0.062718	0.0091862	0.20229
KPNA3	4	0.041452	0.26922	0.70053	0.96697	0.78776	0.88739
NR6A1	4	-0.12435	-0.76595	0.77541	0.9775	0.4437	0.72092
ALDH1L2	4	0.035659	0.3419	0.71833	0.97025	0.73242	0.85542
TRIM64	4	0.28796	1.4613	0.11033	0.61123	0.14394	0.60247
TRIM8	4	0.053393	0.50853	0.65896	0.95962	0.61108	0.78181
CRELD1	4	-0.46689	-1.9446	0.18616	0.74036	0.051826	0.50766
ZYG11B	4	0.11228	0.93588	0.47305	0.91842	0.34934	0.66143
NDUFC2	4	-0.28714	-1.3757	0.41025	0.89226	0.1689	0.60247
C5orf34	4	0.21053	0.86325	0.23091	0.7924	0.388	0.68535
KANK1	4	0.27487	1.5525	0.12475	0.63519	0.12054	0.60247
KRT16	4	-0.029149	-0.25333	0.937	0.99525	0.80001	0.89527
E2F8	4	0.20342	1.0236	0.24548	0.8059	0.30601	0.63487
MRPL49	4	-0.59624	-1.4843	0.098946	0.58287	0.13773	0.60247
APOA1BP	4	-0.2115	-1.5903	0.55748	0.94014	0.11176	0.60247
TCHP	4	0.040088	0.34986	0.70465	0.96747	0.72644	0.85213
CRIP2	4	0.2186	1.4897	0.2151	0.77708	0.13629	0.60247
KCNJ3	4	0.1807	1.3741	0.29371	0.84061	0.16941	0.60247
ZBTB41	4	-0.23858	-0.98709	0.49851	0.92478	0.3236	0.64547
CDHR4	4	-0.1219	-0.52768	0.78336	0.97881	0.59772	0.7746
