178495587	PLEKHA3	445	1959
125578143	EI24	344	1031
37142014	ANKRD30A	557	1285
7577062	EIF4A1	617	615
183633135	ARPC5	276	884
49679777	POLE2	997	1216
74172663	MOB1A	869	1715
139627664	NMNAT3	537	2200
10986404	TAS2R50	736	1995
206960885	CPO	555	1584
43299701	SLC22A7	966	3310
122573158	KNTC1	513	638
100243711	CWF19L1	496	700
39247703	MIA2	563	1626
33867809	AVEN	683	1854
96158155	ZNF518A	997	2743
50079971	MLC1	837	2931
137654757	DGKI	895	3332
123060597	HSPA8	971	1117
109301840	COL25A1	224	862
40657705	KRT222	330	1020
136992565	SPOCK1	346	1266
39743278	PPIE	515	1583
54610525	FAM151A	1103	3094
89382682	GBP6	457	2160
68713956	CORO2B	915	3332
90035975	TRIM49C	784	1579
20814965	LOC81691	780	2567
36950360	AATF	817	1714
145639574	MMAA	475	1456
247921218	OR2T8	1181	4442
248273615	OR2T33	580	2253
248681763	OR14I1	1033	3794
16325729	KLF2	448	1314
44673242	PATL2	378	1491
158939106	PYHIN1		
151286655	ZNF687	778	2823
73123708	TMEM171	524	1942
49516151	PGBD3	516	2305
118978852	FOXR1	1284	4506
135557558	KHDRBS3	478	2223
7630599	PET100	766	1198
94941920	CYP2C9	945	2736
99929357	GJC3	455	1066
75690698	CSPG4	785	3570
100214857	DBT	408	1035
37169657	ANKRD30A	407	1404
48577003	HOXB4	191	749
7N	Non-Targeting_Control	1405	5479
58692784	RAD51C	859	1493
103331427	TCEAL7	1153	5977
67113856	CSPP1	1018	3712
57480659	C14orf105	1043	3116
26033110	EBF2	236	722
96247315	ELK3	489	1153
179032482	ZNF879	519	2552
130427662	ADAMTS8	387	2101
62361688	TNFRSF11A	587	2179
92909483	EXOC6	302	711
65691356	DENND4A	887	4032
100953186	MUC3A	1076	3193
3559443	ATRN	669	2230
206116191	AVPR1B	675	2407
35053443	FAM177A1	405	574
10296632	KIF1B	410	1266
8N	Non-Targeting_Control	1655	7786
65624338	SLC24A1	433	1157
64695618	FAM159B	828	3308
1285805	CSF2RA	1230	4281
120173696	GCN1L1	351	833
11722987	ZNF823	555	1597
50303991	GABPB1	754	3292
58899482	SLTM	730	2881
48848443	CALCOCO2	144	355
13109229	OPTN	654	2180
88768885	LIPN	542	2364
100263588	DEPDC4	875	2798
65072557	CEP68	701	3498
6589208	GLDC	532	1629
68477432	TMPRSS11E	352	1879
2917600	ZNF57	734	2320
69340320	NIP7	956	566
154885123	H2AFB1	158	457
96384397	CCDC82	498	1846
55952016	IL6ST	267	841
67134239	C16orf70	752	2675
27132570	HIST1H2BJ	820	1662
69899366	AUTS2	1256	4648
9N	Non-Targeting_Control	1688	5932
114330489	ORM2	769	1133
61413867	PCDH20	315	941
76076664	IFT43	407	1445
118340449	CD3D	186	932
33129880	STARD13	304	945
44755979	KIF2C	828	2629
79313864	TMED3	168	711
102958559	ASCL1	735	2958
66332552	PDE4B	717	2577
105662638	TAL2	484	1579
83157958	HDGFRP3	1275	3713
17550333	SLC7A2	368	1268
19516319	NDUFA13	632	1565
5623355	SAFB	521	428
50154245	PAPD5	733	692
142917744	CYP11B2	988	3749
52704541	SSX2	914	2924
117297763	WNT2	787	2220
10N	Non-Targeting_Control	1582	5877
50285885	CXXC1	671	2641
68790159	ZFP36L1	324	664
79368735	RBM26	263	488
