Gene	sgRNA	7qDi|beta	7qDi|z	7qDi|p-value	7qDi|fdr	7qDi|wald-p-value	7qDi|wald-fdr
C5orf49	4	-0.067173	-1.8119	0.78592	0.98379	0.070006	0.51558
SLC22A18AS	4	-0.033985	-0.63432	0.973	0.99595	0.52587	0.71264
MAST2	4	-0.012812	-0.27061	0.8854	0.98961	0.78669	0.88016
SLC35B3	4	0.19782	1.6714	0.01397	0.21128	0.094646	0.51558
KDR	4	-0.029917	-0.6219	0.9999	0.99995	0.53401	0.71563
GSTO1	4	-0.043624	-1.104	0.91503	0.99155	0.2696	0.56875
BTF3	4	-0.6487	-1.9939	0.02451	0.29741	0.046161	0.51558
KIAA0319	4	0.089232	0.85039	0.23645	0.83483	0.39511	0.65674
KLHDC7B	4	0.16302	1.6376	0.041812	0.40865	0.10151	0.51558
DHX38	4	-1.0902	-2.3489	0.0015412	0.048896	0.018831	0.47118
MTAP	4	0.064067	1.1472	0.36656	0.91567	0.25129	0.55843
SAMD15	4	-0.083953	-0.57422	0.70593	0.97183	0.56582	0.73639
USP20	4	-0.057757	-0.95045	0.83589	0.98846	0.34188	0.61685
TUB	4	0.11627	1.274	0.13747	0.71061	0.20265	0.52669
NSUN3	4	-0.18786	-1.5877	0.38968	0.92197	0.11235	0.51558
ID1	4	0.06565	1.7597	0.3588	0.91294	0.078459	0.51558
ZFPL1	4	0.02683	0.65386	0.60585	0.9627	0.5132	0.71148
LRRC8D	4	0.013846	0.29393	0.69812	0.97022	0.76881	0.87121
KRTAP5-6	4	-0.076993	-0.90124	0.73824	0.97671	0.36746	0.63514
FOS	4	-0.1258	-1.4646	0.54574	0.95638	0.14302	0.51558
ANKRD7	4	0.010005	0.094848	0.72532	0.97471	0.92444	0.95945
CMTM4	4	-0.075624	-1.7076	0.74441	0.97729	0.087719	0.51558
ZNF514	4	0.084672	1.1998	0.25947	0.85942	0.23022	0.54409
FAM71E2	4	0.11353	1.4496	0.14701	0.72547	0.14718	0.51558
SCAND1	4	-0.14021	-1.9426	0.50268	0.94581	0.052065	0.51558
LMO4	4	0.065813	0.86667	0.35771	0.91294	0.38612	0.64945
RPLP0	4	-1.8603	-3.8405	0	0	0.00012276	0.070285
FBXL13	4	-0.057195	-1.012	0.83917	0.98846	0.31156	0.59556
SIRPG	4	0.056044	1.4946	0.41379	0.92726	0.13502	0.51558
SERPINI2	4	0.040992	0.43616	0.51059	0.94753	0.66272	0.80504
SERINC4	4	-0.15507	-1.6968	0.46405	0.94199	0.089741	0.51558
UPK1B	4	0.023442	0.59407	0.62946	0.96369	0.55247	0.72684
CDKL1	4	0.029368	1.3798	0.58959	0.96238	0.16766	0.51558
ORAI3	4	0.013735	0.15234	0.69877	0.97045	0.87892	0.93375
SLC22A14	4	0.082044	1.3532	0.2728	0.87234	0.17599	0.51652
TIPRL	4	-0.10162	-0.85995	0.63026	0.96433	0.38982	0.65264
HAUS1	4	-0.35742	-1.2985	0.16332	0.7516	0.19411	0.52357
HSF2BP	4	0.10638	1.3431	0.16889	0.75775	0.17923	0.51781
SHISA5	4	0.079856	1.6177	0.28348	0.88149	0.10573	0.51558
PROK2	4	0.064245	0.54392	0.36572	0.91538	0.58649	0.75257
IKZF5	4	-0.018604	-0.28202	0.92547	0.99218	0.77792	0.87502
HNRNPK	4	-0.42887	-1.3012	0.10624	0.64651	0.1932	0.52338
HSD17B14	4	-0.093487	-1.6952	0.66406	0.96763	0.090039	0.51558
SET	4	-0.10755	-1.011	0.60744	0.9627	0.31201	0.596
DNAJC10	4	0.0090098	0.12077	0.73262	0.97551	0.90388	0.94873
SULF2	4	0.09047	1.5024	0.23113	0.83181	0.13299	0.51558
REG1B	4	0.012705	0.40835	0.70677	0.97183	0.68302	0.81864
TRPV6	4	-0.038626	-0.59456	0.94452	0.99576	0.55213	0.72681
ABLIM1	4	0.09019	1.356	0.23233	0.83212	0.17511	0.51652
CCDC105	4	-0.33412	-1.7361	0.1847	0.78392	0.082542	0.51558
TUSC5	4	0.019206	0.37084	0.66019	0.96763	0.71075	0.83584
PLEKHA7	4	0.065548	1.1288	0.3593	0.91294	0.259	0.56304
CNST	4	0.081723	1.229	0.27468	0.87518	0.21909	0.53599
RAP1GAP2	4	0.019931	1.5248	0.65571	0.96763	0.12731	0.51558
RECQL4	4	-0.17971	-1.7885	0.40614	0.92399	0.073694	0.51558
B4GALT7	4	-0.043939	-0.41576	0.913	0.99155	0.67759	0.81518
FCRLB	4	-0.094001	-1.4026	0.66213	0.96763	0.16075	0.51558
RAD51B	4	-0.093664	-1.4877	0.66322	0.96763	0.13683	0.51558
ARFGEF2	4	0.066457	0.33163	0.35403	0.91201	0.74017	0.85465
PITPNB	4	-0.084713	-0.50348	0.70289	0.97149	0.61463	0.77305
UBE2Q2L	4	-0.58729	-2.3997	0.035796	0.37306	0.016406	0.43825
CAV3	4	0.074077	1.5135	0.31252	0.89495	0.13016	0.51558
PTPN7	4	-0.064944	-1.0283	0.7979	0.98491	0.30381	0.58984
FAM200A	4	-0.086213	-1.1471	0.69588	0.96956	0.25134	0.55843
SCARB1	4	-0.019718	-0.45882	0.93353	0.99344	0.64636	0.79531
MBL2	4	0.077919	1.4811	0.29228	0.88445	0.13858	0.51558
FAM212A	4	-0.002372	-0.037272	0.81152	0.98593	0.97027	0.98441
DXO	4	-0.034982	-0.2671	0.96739	0.99595	0.7894	0.88186
TXLNG	4	0.25507	1.6084	0.0017898	0.055046	0.10774	0.51558
ABCD1	4	0.025425	1.0577	0.61499	0.9627	0.29019	0.58217
PTPN23	4	-0.52774	-1.9547	0.052352	0.46184	0.050615	0.51558
COQ5	4	-0.060349	-0.75423	0.82192	0.98846	0.45071	0.69972
MMP27	4	0.052209	0.87445	0.43835	0.93648	0.38187	0.64613
OR2F2	4	0.038077	0.73258	0.52769	0.9517	0.46382	0.70812
BORA	4	-0.45741	-1.9824	0.086109	0.59113	0.047437	0.51558
KREMEN2	4	-0.070725	-0.82295	0.76837	0.97973	0.41054	0.66701
RNF187	4	-0.18671	-1.273	0.39197	0.92274	0.20303	0.52669
NOB1	4	-1.2962	-2.7734	0.00034802	0.017632	0.0055466	0.26883
HIST1H1D	4	-0.082605	-0.84516	0.71199	0.97303	0.39802	0.65888
FKBP4	4	0.045301	0.45286	0.48275	0.94474	0.65065	0.79814
ATHL1	4	0.05726	0.81654	0.40579	0.92399	0.41419	0.67
OR3A1	4	-0.090828	-1.5782	0.6751	0.96877	0.11453	0.51558
KRT28	4	0.028595	0.27255	0.59421	0.9627	0.7852	0.87926
UQCRFS1	4	-0.23422	-1.3678	0.30904	0.89452	0.17137	0.51558
