Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
ZKSCAN2	1	0.30034	0.60933	0.28808	0.72401	0.54231	0.73442
neg75	1	0.36596	0.58858	0.19509	0.61913	0.55614	0.73884
ZNF701	4	-0.075264	-0.67217	0.8417	0.96564	0.50148	0.71816
GZMH	6	0.039761	0.52282	0.59013	0.88005	0.6011	0.7667
CEBPA	6	0.13894	1.0773	0.20108	0.62621	0.28135	0.54868
ZBTB32	12	-0.041805	-0.76314	0.92042	0.97788	0.44538	0.67921
NO66	5	-0.0084796	-0.075473	0.86823	0.96789	0.93984	0.97006
EHMT1	8	-0.17898	-2.2459	0.43041	0.8035	0.024709	0.22797
CDK1	8	-1.7646	-5.0058	0	0	5.5644e-07	4.8772e-05
CDYL	6	0.12782	1.5301	0.22904	0.65338	0.12599	0.40385
KCTD15	6	0.22558	1.1667	0.049629	0.31475	0.24334	0.51518
DPP9	6	-0.26561	-2.0657	0.26783	0.70082	0.038853	0.29548
neg73	1	0.26439	0.6209	0.35767	0.77292	0.53467	0.73189
LTK	6	0.049904	0.71283	0.54221	0.85785	0.47595	0.70468
BTBD18	6	0.022652	0.27746	0.67741	0.92412	0.78142	0.88064
HIPK2	6	-0.034135	-0.47648	0.96577	0.99238	0.63373	0.78525
PRDM15	6	-0.23374	-1.4209	0.33229	0.75	0.15533	0.43346
AK2	6	-0.29852	-1.928	0.21335	0.6366	0.053855	0.34726
ZNF599	6	0.053498	0.61162	0.52139	0.84984	0.54079	0.73318
UBE2H	7	-0.2113	-1.526	0.36509	0.77435	0.127	0.40443
CTRL	6	-0.19821	-1.4319	0.41215	0.7943	0.15216	0.43136
ALX1	6	0.14804	1.9134	0.17941	0.59886	0.055693	0.34876
SNAI3	5	-0.26527	-1.8652	0.30262	0.73623	0.062155	0.35542
DCAF15	11	0.23886	1.8434	0.006275	0.08209	0.065278	0.35542
RBCK1	14	-0.10022	-1.2797	0.70536	0.92868	0.20065	0.47047
YBX2	6	-0.35588	-2.2554	0.14005	0.53024	0.024107	0.22538
UBE2Z	7	-0.1225	-0.94766	0.65003	0.91003	0.3433	0.60061
EMX2	6	-0.11278	-0.95475	0.69196	0.92635	0.3397	0.59759
STK10	6	0.20171	1.7806	0.076155	0.39851	0.074977	0.35972
PRKAA1	6	0.030343	0.24139	0.63634	0.90791	0.80925	0.90019
ZFHX3	6	0.032576	0.45046	0.6255	0.90247	0.65238	0.79557
ZNF335	8	-1.5886	-4.5839	0	0	4.5632e-06	0.00024998
KCNC3	6	-0.18767	-0.9525	0.44124	0.80783	0.34084	0.5987
CSNK2A1	5	-0.3126	-1.7592	0.22476	0.6507	0.078546	0.36111
MMP14	6	-0.15294	-1.0484	0.54706	0.85951	0.29443	0.561
SIX3	6	0.18022	1.2299	0.1081	0.4679	0.21874	0.48848
UBE2F	7	0.24655	1.5933	0.019681	0.17557	0.11109	0.39276
FBXO2	12	0.036724	0.50095	0.43354	0.80466	0.6164	0.77516
ZNF645	6	0.35638	1.856	0.0028523	0.042918	0.06346	0.35542
TLX3	6	0.13912	1.72	0.2008	0.62621	0.085424	0.3698
SHH	6	0.041673	0.37547	0.58129	0.87586	0.70731	0.83524
