sgRNA,Gene,Vaco_Ts13_D0,Vaco_Ts13_D10
31616344,AIF1,2013,1834
106520635,AIM1,834,1021
106519472,AIM1,1085,1290
106513003,AIM1,769,528
106521072,AIM1,725,1000
127871823,AK1,2627,2749
127871906,AK1,2331,2048
127871858,AK1,608,641
127868459,AK1,1244,1240
33014580,AK2,803,550
33024443,AK2,2356,1753
33036757,AK2,1589,1798
33021594,AK2,1895,1582
65218918,AK4,1695,1526
65148548,AK4,1882,1056
65148450,AK4,1745,878
65190804,AK4,1291,1042
104773478,AKT1,1417,889
104776699,AKT1,1781,1264
104773923,AKT1,1767,956
104780120,AKT1,1511,1083
40237999,AKT2,2830,2642
40242607,AKT2,2062,1663
40256965,AKT2,11,6
40255176,AKT2,29,25
113393456,ALAD,690,433
113390894,ALAD,826,523
113391614,ALAD,1427,1017
113390455,ALAD,1057,1357
52199426,ALAS1,1046,689
52206708,ALAS1,1774,2279
52206611,ALAS1,1480,973
52204874,ALAS1,1420,1068
55025835,ALAS2,437,575
55015726,ALAS2,686,637
55020437,ALAS2,1037,1203
55017608,ALAS2,992,1074
73415150,ALB,750,800
73408737,ALB,1416,1157
73408644,ALB,481,815
73413632,ALB,606,588
105533648,ALCAM,1554,1269
105541681,ALCAM,1988,2154
105520123,ALCAM,1514,1368
105524464,ALCAM,878,717
153729343,ABCD1,1531,1562
153726123,ABCD1,1681,1646
153736250,ABCD1,1348,1495
153725586,ABCD1,1271,1073
72930962,ALDH1A1,1895,2393
72924024,ALDH1A1,1561,1342
72940221,ALDH1A1,1834,1867
72917078,ALDH1A1,964,1360
111790492,ALDH2,2374,2005
111781971,ALDH2,3016,2974
111783238,ALDH2,2007,1979
111792598,ALDH2,2401,2070
19742041,ALDH3A1,1281,1447
19742193,ALDH3A1,962,839
19743424,ALDH3A1,1072,1036
19740471,ALDH3A1,1547,1642
38396113,ALDH1B1,939,796
38396026,ALDH1B1,1266,1346
38395933,ALDH1B1,1571,1100
38396315,ALDH1B1,727,726
100894057,ALDH1A3,1439,1457
100898163,ALDH1A3,970,859
100885299,ALDH1A3,1127,1176
100887656,ALDH1A3,913,895
68019245,ALDH3B1,966,807
68018861,ALDH3B1,780,566
68018540,ALDH3B1,1126,964
68021575,ALDH3B1,713,754
67666368,ALDH3B2,1552,1334
67665539,ALDH3B2,1762,1919
67666168,ALDH3B2,1422,1090
67666632,ALDH3B2,1734,1639
165679481,ALDH9A1,752,672
165698468,ALDH9A1,1140,1030
165682219,ALDH9A1,1065,1174
165680534,ALDH9A1,904,693
19661264,ALDH3A2,754,604
19652628,ALDH3A2,21,30
19657772,ALDH3A2,1245,1478
19651721,ALDH3A2,2535,3398
39604777,ABCD2,841,869
39618985,ABCD2,1461,1215
39619138,ABCD2,1842,1835
39607626,ABCD2,1827,1983
30068696,ALDOA,2329,589
30067557,ALDOA,2491,1483
30067640,ALDOA,1737,748
30069584,ALDOA,2950,764
101429914,ALDOB,793,726
101426614,ALDOB,1208,965
101428516,ALDOB,1297,1211
101429858,ALDOB,507,350
28575137,ALDOC,2036,1936
28575469,ALDOC,2294,1774
28575305,ALDOC,1352,571
