Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
ZCCHC14	4	-0.074293	-0.31475	0.94978	0.99776	0.75295	0.86875
MAPKBP1	4	0.31986	1.5821	0.17094	0.70018	0.11362	0.634
OR4C12	4	0.18062	0.96008	0.41035	0.89077	0.33701	0.66283
TTLL11	4	0.13213	0.5841	0.51875	0.9265	0.55915	0.77947
ZNF18	4	0.16751	0.66764	0.43904	0.9001	0.50436	0.76076
FAM64A	4	0.26006	0.97846	0.25786	0.79345	0.32785	0.65876
ADRA2C	4	0.14653	1.5057	0.48653	0.91923	0.13213	0.634
RIPK2	4	-0.052822	-0.35157	0.99662	0.99985	0.72516	0.85209
NRARP	4	-0.18275	-1.0489	0.69222	0.96676	0.29423	0.64423
PLD6	4	-0.16631	-0.71896	0.72867	0.97422	0.47217	0.74365
RFX6	4	-0.044678	-0.13937	0.97539	0.99883	0.88915	0.94672
NGFRAP1	4	0.067932	0.29699	0.67616	0.96228	0.76648	0.87717
HNF1B	4	0.38615	1.4655	0.10427	0.59846	0.14278	0.634
PTDSS1	4	-0.40633	-1.7766	0.31031	0.83783	0.075641	0.58489
CDY2B	4	0.23789	1.0749	0.29738	0.82759	0.28242	0.63912
COL15A1	4	0.039852	0.2182	0.75333	0.9778	0.82727	0.91199
KIF20A	4	-0.15873	-0.40791	0.74503	0.9778	0.68334	0.82813
HOXA5	4	-0.085669	-0.48223	0.92005	0.99393	0.62965	0.80123
FEV	4	0.1773	0.86432	0.41826	0.89381	0.38741	0.69068
GTF3C1	4	-0.84789	-2.2936	0.046241	0.41223	0.021813	0.3353
BSPH1	4	0.22759	0.86571	0.31722	0.84222	0.38665	0.69035
TREX1	4	-0.036638	-0.22438	0.955	0.99777	0.82246	0.90908
SHISA7	4	-0.239	-1.1552	0.57488	0.93779	0.24803	0.63489
PLXNA2	4	-0.58336	-1.3856	0.15046	0.67252	0.16586	0.634
APLNR	4	0.22331	1.1004	0.32448	0.84601	0.27116	0.63891
CDH7	4	0.25439	0.85005	0.2686	0.8022	0.3953	0.69571
TM2D2	4	-0.39408	-1.4602	0.32558	0.84648	0.14423	0.634
TOR2A	4	0.099625	0.54239	0.59974	0.94713	0.58755	0.78662
GNRH2	4	-0.29456	-1.3506	0.47295	0.91367	0.17681	0.634
ATAD3C	4	-0.48927	-1.1413	0.22166	0.75751	0.25374	0.63489
AP1S1	4	0.0036518	0.03873	0.84934	0.98873	0.96911	0.98637
SLC16A4	4	0.2146	1.0634	0.34174	0.8562	0.28761	0.64142
KLF6	4	0.33862	0.73218	0.14956	0.67217	0.46406	0.73905
NUTM2A	4	-0.73401	-1.8739	0.077566	0.52258	0.060942	0.5329
TCEB3	4	-0.31841	-1.4588	0.43268	0.89825	0.14461	0.634
IK	4	-1.1082	-2.3527	0.013972	0.20955	0.01864	0.31297
DENND1C	4	0.12041	1.0759	0.54853	0.93455	0.28198	0.639
ITGA2	4	-0.2226	-1.5682	0.60765	0.94803	0.11683	0.634
FBXO33	4	-0.3301	-1.3371	0.41518	0.89262	0.1812	0.634
CD8A	4	0.078463	0.90951	0.65115	0.95548	0.36308	0.67656
RDH12	4	-0.15177	-0.86504	0.76014	0.97856	0.38702	0.69039
HTN3	4	0.28338	0.83929	0.22056	0.75673	0.40131	0.69965
CLSPN	4	-1.2015	-2.3658	0.0086516	0.15263	0.017991	0.30637
TGDS	4	0.12285	1.213	0.54196	0.9326	0.22513	0.634
NOL6	4	-1.3365	-2.9168	0.0040274	0.095182	0.0035363	0.12746
MOGAT2	4	-0.21335	-1.725	0.62719	0.95136	0.084524	0.61042
DDN	4	0.0095744	0.052894	0.83378	0.98743	0.95782	0.98126
EIF2S1	4	-1.3135	-3.1928	0.0046738	0.10503	0.0014091	0.07537
RAB9B	4	-0.07979	-0.66789	0.93511	0.99482	0.50421	0.76076
NSD1	4	0.29147	0.96318	0.21017	0.74788	0.33546	0.66253
MCL1	4	-1.4002	-2.665	0.0031822	0.083333	0.0076994	0.19267
PJA2	4	0.058229	0.3007	0.70316	0.96869	0.76364	0.87522
ELMOD3	4	-0.089484	-0.42687	0.90985	0.99393	0.66947	0.8205
EXOSC3	4	-0.8379	-1.6033	0.04818	0.41966	0.10887	0.634
STARD6	4	0.19016	0.93337	0.39156	0.88255	0.35063	0.67017
RAB39A	4	-0.12274	-1.3565	0.82752	0.98743	0.17493	0.634
GPRASP2	4	-0.045892	-0.1437	0.97842	0.99904	0.88574	0.94512
ATP6V1E1	4	-0.66457	-1.9769	0.10625	0.60175	0.048048	0.48199
GCKR	4	-0.10575	-0.35924	0.86859	0.99214	0.71942	0.84853
IARS2	4	-1.8861	-3.6767	0.00044749	0.026946	0.00023624	0.026908
B3GALT4	4	-0.14784	-0.70756	0.77024	0.98035	0.47922	0.74813
SRPK2	4	0.48313	1.0196	0.045097	0.40746	0.30791	0.64869
PIGZ	4	-0.105	-0.5328	0.87072	0.99214	0.59418	0.78947
NEDD8	4	-1.5362	-2.6619	0.0015911	0.054187	0.007769	0.19278
CHAF1A	4	-1.0262	-2.6633	0.019938	0.2609	0.0077386	0.19267
NOTO	4	0.24186	1.1696	0.29042	0.8214	0.24214	0.6342
SRRM2	4	-0.87069	-2.3395	0.041169	0.38837	0.019311	0.31705
OR52N1	4	0.1941	0.64097	0.38261	0.87712	0.52155	0.7671
SPHKAP	4	0.02425	0.19893	0.79366	0.98321	0.84231	0.92009
NAA40	4	-0.33105	-1.4088	0.41408	0.89203	0.1589	0.634
RCSD1	4	-0.29182	-1.3436	0.47772	0.91461	0.17906	0.634
RAP1B	4	-0.36313	-1.4407	0.3665	0.87066	0.14967	0.634
GDI1	4	0.30617	1.1499	0.18854	0.72157	0.25019	0.63489
PPA1	4	-0.94106	-2.3957	0.030032	0.3288	0.016587	0.29288
KIAA0430	4	-0.032565	-0.22459	0.94541	0.99769	0.82229	0.90902
CARD8	4	0.16087	1.3887	0.45371	0.9044	0.16492	0.634
QRICH1	4	-0.34449	-1.1752	0.39245	0.88378	0.23992	0.6342
PRSS1	4	0.44655	1.224	0.062649	0.47493	0.22096	0.634
CTSS	4	0.48828	1.2574	0.042462	0.39409	0.20862	0.634
GRTP1	4	0.16802	0.873	0.43815	0.89992	0.38266	0.68785
OR6C6	4	0.14785	0.72774	0.48329	0.91755	0.46677	0.7404
TH	4	0.30882	1.2006	0.18501	0.71945	0.22991	0.634
M1AP	4	-0.21798	-0.72862	0.61794	0.95008	0.46624	0.74021
RCAN1	4	0.16176	0.76472	0.45167	0.9044	0.44444	0.72788
ACACB	4	0.25101	0.8724	0.27491	0.80774	0.38299	0.68787
METTL8	4	-0.14192	-0.76977	0.78386	0.98195	0.44143	0.72623
CHRNB2	4	-0.021265	-0.11274	0.91771	0.99393	0.91024	0.95874
H2AFJ	4	-0.082669	-0.69757	0.92721	0.99393	0.48544	0.75206
TNFRSF10D	4	0.23278	1.4663	0.30678	0.83505	0.14258	0.634
BET1	4	-0.24843	-0.74845	0.55748	0.93605	0.45419	0.73288
ZBTB43	4	-0.31843	-1.313	0.43248	0.89825	0.18919	0.634
PGBD4	4	0.22041	1.1329	0.32906	0.84705	0.25724	0.63496
MAMDC2	4	-0.026172	-0.14873	0.92959	0.9941	0.88177	0.94315
MTOR	4	-1.6488	-2.9083	0.00089499	0.039911	0.0036335	0.12895
MRPL55	4	-0.4486	-1.3266	0.26293	0.79855	0.18464	0.634
SH3GL3	4	0.2215	0.62755	0.32722	0.84648	0.5303	0.769
TENM4	4	-0.24032	-0.91627	0.57239	0.93779	0.35952	0.6747
ZMAT3	4	0.22108	0.5702	0.32786	0.84648	0.56854	0.7816
TYW5	4	0.27627	1.2413	0.232	0.76814	0.21451	0.634
OLAH	4	-0.0035781	-0.0256	0.86963	0.99214	0.97958	0.99085
MTA3	4	0.10219	0.26667	0.59189	0.94414	0.78972	0.88935
EXOC3L1	4	0.086787	1.307	0.63032	0.95163	0.19122	0.634
C20orf85	4	-0.058025	-0.42577	0.98951	0.99965	0.67027	0.8209
ARF3	4	0.5287	1.3395	0.028341	0.31579	0.18042	0.634
NDUFA12	4	0.009694	0.033044	0.83368	0.98743	0.97364	0.9889
MFAP3L	4	0.32317	1.3295	0.16637	0.69354	0.18368	0.634
SPANXD	4	-0.68246	-1.7247	0.098697	0.58624	0.084588	0.61042
TMEM37	4	-0.035195	-0.41577	0.95122	0.99776	0.67758	0.8252
CDC42BPB	4	-0.028548	-0.39738	0.93477	0.99482	0.69109	0.83258
PRKAR1A	4	-0.29457	-1.258	0.47295	0.91367	0.20839	0.634
ITLN1	4	-0.10757	-0.34167	0.86466	0.99176	0.7326	0.85661
KIN	4	-0.6095	-1.3128	0.13375	0.64804	0.18923	0.634
COQ10A	4	-0.28086	-0.63286	0.49637	0.92165	0.52683	0.76796
PKD2	4	-0.025659	-0.14934	0.9281	0.99393	0.88128	0.94299
FAM169A	4	-0.62062	-2.106	0.12818	0.64018	0.035201	0.42216
HS3ST6	4	0.3537	1.4375	0.13305	0.64622	0.15057	0.634
ERVW-1	4	-0.29546	-1.2919	0.47131	0.91197	0.1964	0.634
PDE11A	4	-0.22316	-0.97915	0.6063	0.94792	0.32751	0.65876
YLPM1	4	-0.30442	-1.2463	0.45625	0.90529	0.21265	0.634
SLITRK3	4	-0.38144	-1.3503	0.34044	0.85598	0.17693	0.634
MTUS2	4	0.0024071	0.0048223	0.85292	0.98967	0.99615	0.99834
IFNL2	4	0.30748	1.1905	0.18665	0.72089	0.23383	0.634
CD226	4	-0.078565	-0.30377	0.93904	0.99594	0.7613	0.87373
LARGE	4	0.13142	0.88692	0.52019	0.9265	0.37512	0.68325
RP1	4	-0.038557	-0.16636	0.95997	0.99826	0.86787	0.93648
CCDC27	4	-0.30717	-1.6626	0.45177	0.9044	0.096395	0.634
PPP1R9A	4	-0.39693	-1.1886	0.32205	0.84541	0.23459	0.634
AIP	4	-0.068431	-0.98234	0.96375	0.99826	0.32593	0.65832
DBI	4	0.022057	0.12798	0.79898	0.98354	0.89816	0.95158
PCDHA13	4	0.10894	0.38911	0.57523	0.93779	0.69719	0.83667
ADGRB2	4	0.22072	1.01	0.32841	0.84664	0.31248	0.65162
UQCC2	4	-0.61069	-1.7727	0.13276	0.64603	0.076278	0.58598
NCKAP1	4	-1.1386	-2.9035	0.012331	0.19466	0.0036904	0.12936
OGFOD3	4	0.40823	1.2252	0.087112	0.55286	0.22049	0.634
MRPL51	4	-1.3863	-3.1991	0.0033811	0.086845	0.0013785	0.074129
XXYLT1	4	0.0081922	0.057013	0.83721	0.98743	0.95453	0.98002
PPP1R35	4	-0.90878	-1.8506	0.034407	0.35505	0.064229	0.54551
ENAH	4	0.047468	0.15208	0.73165	0.97489	0.87912	0.94208
CD79A	4	0.16758	1.0294	0.43894	0.9001	0.3033	0.64646
ACADS	4	-0.28991	-1.3221	0.48121	0.91622	0.18612	0.634
MAP1S	4	-0.07728	-0.18269	0.94227	0.997	0.85504	0.92857
UQCRQ	4	-1.2703	-2.7336	0.0060163	0.1204	0.0062638	0.17257
OGT	4	-1.4719	-2.9315	0.0023866	0.071535	0.003373	0.12334
FANCB	4	-0.90578	-2.5517	0.034855	0.35656	0.01072	0.23107
ARHGAP11B	4	-0.77181	-1.7706	0.065732	0.48443	0.076621	0.58672
BMPER	4	0.094715	0.29012	0.61003	0.94841	0.77172	0.88052
PRAMEF11	4	0.35095	0.74665	0.13559	0.65021	0.45527	0.73335
TSPY10	4	0.22525	1.3653	0.3212	0.84489	0.17217	0.634
CCDC88A	4	0.21294	0.77413	0.34482	0.85693	0.43885	0.72492
SLC25A15	4	-0.16497	-0.68299	0.73165	0.97489	0.49461	0.75615
OR1Q1	4	0.33069	1.3839	0.15797	0.68411	0.1664	0.634
TIMP4	4	0.58218	1.2745	0.015563	0.2223	0.20249	0.634
GPR63	4	-0.49458	-1.581	0.21708	0.75345	0.11388	0.634
KCNH7	4	0.3623	1.2237	0.1248	0.63473	0.22106	0.634
HNRNPA1	4	-1.3554	-2.7321	0.003928	0.093491	0.006293	0.1729
SVEP1	4	-0.041381	-0.19405	0.96723	0.99826	0.84614	0.92221
CCDC96	4	0.26939	0.89231	0.24259	0.78006	0.37223	0.68112
MYL2	4	-0.049321	-0.36673	0.98762	0.99965	0.71382	0.84554
KCNA3	4	0.19904	0.8337	0.37291	0.87448	0.40445	0.70202
PRSS12	4	0.034607	0.25679	0.76815	0.98021	0.79734	0.89421
LUZP4	4	-0.21754	-0.78579	0.61864	0.95021	0.43199	0.72056
FOXP1	4	0.11321	0.38183	0.56464	0.93746	0.70259	0.83915
LRRC4B	4	-0.042717	-0.34938	0.97096	0.99826	0.7268	0.85313
ZNF750	4	-0.069293	-0.59424	0.96161	0.99826	0.55235	0.77779
CWC22	4	-0.62409	-1.8075	0.12599	0.63541	0.070691	0.56621
TESC	4	0.13704	1.4888	0.50721	0.92468	0.13654	0.634
WNT1	4	0.1826	0.87951	0.40657	0.88934	0.37912	0.68545
PXDNL	4	0.25052	1.1467	0.276	0.80942	0.25149	0.63489
CRY1	4	-0.23874	-0.90402	0.57548	0.93779	0.36599	0.67752
ZBBX	4	0.19467	0.93564	0.38141	0.87712	0.34946	0.66963
COCH	4	-0.025615	-0.15043	0.928	0.99393	0.88043	0.94257
YPEL2	4	0.42977	1.3117	0.072444	0.50962	0.18961	0.634
MRPS6	4	-0.5706	-1.5703	0.15926	0.68528	0.11634	0.634
KEL	4	0.21724	0.88237	0.33622	0.85228	0.37757	0.68492
GTF2B	4	-0.80952	-2.0405	0.054942	0.44619	0.041303	0.45301
FAM45A	4	-0.36091	-1.296	0.36953	0.87261	0.19497	0.634
NAPG	4	-1.0313	-2.2819	0.019441	0.25707	0.022496	0.34053
CTDP1	4	-0.71711	-1.4922	0.08388	0.54262	0.13565	0.634
MT3	4	-0.45251	-1.6043	0.25875	0.79414	0.10864	0.634
GOT1L1	4	0.090769	0.50385	0.62038	0.95125	0.61437	0.79504
MLC1	4	0.04226	0.1532	0.74702	0.9778	0.87824	0.94179
CCDC168	4	0.25142	0.89539	0.27426	0.80714	0.37058	0.68002
LHX2	4	0.30351	1.2341	0.19183	0.72342	0.21716	0.634
HPX	4	-0.29702	-1.7524	0.46848	0.91036	0.079707	0.59571
OBSCN	4	-0.26676	-0.77306	0.52387	0.92763	0.43948	0.72509
HDAC7	4	-0.37945	-1.8543	0.34283	0.85643	0.06369	0.54466
XAGE3	4	-0.26062	-0.63934	0.5352	0.9323	0.5226	0.76785
EMB	4	0.25342	1.1984	0.27034	0.80298	0.23076	0.634
ST6GAL2	4	0.36516	1.4104	0.12261	0.631	0.15842	0.634
PARVB	4	-0.033735	-0.2257	0.94804	0.99776	0.82144	0.90873
ZFC3H1	4	-0.96807	-2.403	0.026352	0.30355	0.01626	0.2906
C2orf69	4	-0.33015	-1.7116	0.41513	0.89262	0.086967	0.61706
SNCG	4	0.31816	1.1225	0.17248	0.70144	0.26167	0.63562
C20orf62	4	0.082832	0.57678	0.64036	0.95412	0.56409	0.78053
EEF1A2	4	0.037328	0.30273	0.76074	0.97876	0.7621	0.87418
SYF2	4	0.22603	0.5114	0.32001	0.84451	0.60907	0.79352
PSRC1	4	-0.06598	-0.20748	0.96917	0.99826	0.83564	0.91602
DNAJC19	4	0.62621	0.88553	0.0091488	0.15903	0.37587	0.6835
P2RX6	4	0.052101	0.28172	0.71982	0.97181	0.77816	0.88395
CT45A9	4	-0.72033	-1.3399	0.082488	0.5367	0.18028	0.634
IQCF3	4	0.45703	1.1614	0.05713	0.45577	0.2455	0.63489
TNKS1BP1	4	0.17877	0.81917	0.41483	0.89259	0.41269	0.70886
FAM110A	4	0.065211	0.41998	0.68382	0.96499	0.6745	0.82356
CCDC61	4	-0.091228	-1.0573	0.90583	0.99393	0.29039	0.64268
ARIH2OS	4	-0.18775	-0.81851	0.68248	0.96458	0.41307	0.7091
SRRT	4	-1.1751	-2.2827	0.0096957	0.16442	0.022448	0.34048
ZNF263	4	-0.22852	-1.3823	0.59646	0.94567	0.16688	0.634
TXNDC9	4	0.061555	0.74757	0.69386	0.96699	0.45472	0.73291
OR6Y1	4	0.41609	1.1855	0.081195	0.53492	0.23581	0.634
FCN1	4	0.17515	0.68881	0.42283	0.89469	0.49095	0.75494
IDE	4	-0.10732	-0.32965	0.86516	0.99176	0.74166	0.86181
SLC17A2	4	0.19224	1.1922	0.38803	0.88063	0.23317	0.634
GUCY2F	4	0.30071	0.87633	0.19595	0.73036	0.38085	0.68697
LINGO1	4	-0.017987	-0.08147	0.90946	0.99393	0.93507	0.97119
FADD	4	0.21728	1.1168	0.33622	0.85228	0.26408	0.63643
SH3BP2	4	0.40902	1.3666	0.086466	0.54979	0.17174	0.634
OR51Q1	4	0.02673	0.095435	0.78749	0.98288	0.92397	0.96537
PTCHD4	4	-0.13154	-0.28707	0.80758	0.98555	0.77406	0.88184
LRRN3	4	-0.29751	-1.839	0.46758	0.91036	0.065911	0.55077
PRSS23	4	0.61022	1.2873	0.010442	0.17256	0.19797	0.634
RASA1	4	0.30781	1.1684	0.18631	0.72074	0.24263	0.6342
PPP6R3	4	-0.76874	-1.9763	0.066875	0.48891	0.048119	0.48201
OR4K17	4	0.13893	1.0001	0.50348	0.92372	0.31724	0.65356
FLYWCH2	4	0.13847	0.65679	0.50398	0.92372	0.51131	0.76299
HTR3B	4	0.45434	1.0042	0.058224	0.46084	0.31528	0.65339
GFRA2	4	-0.13187	-0.83935	0.80693	0.98555	0.40127	0.69964
SH3RF1	4	-0.050862	-0.55931	0.99155	0.99965	0.57595	0.78332
SELPLG	4	0.25741	1.0693	0.26397	0.7997	0.28494	0.63973
HEMGN	4	-1.2422	-2.4181	0.0070605	0.13333	0.015604	0.28451
ARFGAP3	4	-0.016321	-0.069088	0.90528	0.99393	0.94492	0.97531
ATE1	4	0.21776	1.0177	0.33507	0.85137	0.30882	0.64874
COMMD3-BMI1	4	-0.16444	-0.74793	0.7328	0.97551	0.4545	0.73291
KAT8	4	-0.90747	-1.4007	0.034556	0.35532	0.16129	0.634
PLAGL2	4	0.63778	1.1583	0.0079057	0.14468	0.24675	0.63489
PPP1R3E	4	0.079478	0.31686	0.64882	0.95475	0.75135	0.86796
IL31	4	-0.011762	-0.10969	0.89225	0.99393	0.91265	0.95986
MPHOSPH9	4	0.1284	0.65141	0.52824	0.93005	0.51478	0.76462
PRG2	4	0.69725	1.2409	0.0037291	0.092593	0.21464	0.634
CEACAM1	4	0.35009	1.4992	0.13639	0.6507	0.13383	0.634
TMEM121	4	0.39289	1.3603	0.098846	0.58643	0.17373	0.634
HIATL1	4	0.029249	0.34269	0.78123	0.98108	0.73183	0.85647
SAMM50	4	-1.8218	-3.5022	0.00044749	0.026946	0.00046151	0.041341
MRPS31	4	-0.34916	-1.1875	0.38634	0.87978	0.23504	0.634
ITPR1	4	-0.096065	-0.25115	0.89255	0.99393	0.8017	0.89651
RENBP	4	-0.35723	-1.5583	0.37465	0.87576	0.11917	0.634
LCE4A	4	0.12521	0.37054	0.536	0.93241	0.71098	0.84381
NBPF20	4	-0.94248	-1.703	0.029634	0.32533	0.088563	0.6241
SIPA1	4	0.030545	0.27443	0.77779	0.98101	0.78375	0.88585
DOCK3	4	-0.067518	-0.84887	0.96604	0.99826	0.39595	0.69594
PSMF1	4	0.37736	1.1478	0.11167	0.61149	0.25107	0.63489
PCDHGA7	4	-0.0069264	-0.016174	0.87863	0.99232	0.9871	0.99366
SUN5	4	0.012774	0.054134	0.82558	0.98743	0.95683	0.98107
GLI2	4	-0.067165	-0.24977	0.96644	0.99826	0.80276	0.89706
SIGLEC10	4	-0.034868	-0.13514	0.95038	0.99776	0.8925	0.94867
DHX36	4	-0.98717	-2.4285	0.024016	0.29009	0.015162	0.28054
RINT1	4	-1.2975	-2.2391	0.0051213	0.11063	0.025149	0.35961
DAPK1	4	0.15738	0.78812	0.46201	0.90953	0.43062	0.72004
CHEK1	4	-0.9665	-1.9842	0.026502	0.30457	0.047238	0.47814
SLC25A3	4	-1.0556	-2.2579	0.017999	0.24744	0.023954	0.35048
AFTPH	4	-0.30796	-1.7034	0.45063	0.9044	0.088497	0.62407
RASSF8	4	0.23036	0.59494	0.31136	0.83862	0.55188	0.77754
FAM90A1	4	0.159	0.31387	0.45858	0.90799	0.75362	0.86892
CDCA4	4	0.18863	1.0305	0.39454	0.88511	0.30276	0.64625
HARS	4	-1.9756	-3.3607	9.9443e-05	0.0081633	0.00077753	0.054869
LHX8	4	-0.014319	-0.10396	0.89991	0.99393	0.9172	0.96187
TRABD2A	4	-0.83101	-2.1177	0.049672	0.42565	0.0342	0.41827
KCNA7	4	0.22092	0.77628	0.32806	0.84648	0.43758	0.72361
BANF2	4	0.17599	0.8294	0.42104	0.89407	0.40688	0.7035
SLC25A51	4	-0.28108	-0.76499	0.49622	0.92165	0.44428	0.72788
MUSTN1	4	-0.050562	-0.28942	0.99065	0.99965	0.77226	0.88083
DHPS	4	-1.443	-2.6609	0.0027844	0.079545	0.0077927	0.19278
NOP9	4	-0.86273	-1.6028	0.043059	0.39634	0.10898	0.634
NRP2	4	0.25731	1.0035	0.26397	0.7997	0.31561	0.65348
GPR171	4	-0.015307	-0.11928	0.9026	0.99393	0.90505	0.95531
PHB	4	-1.4844	-3.4639	0.0020883	0.064715	0.00053246	0.04371
UTS2	4	-0.086895	-0.64848	0.91687	0.99393	0.51667	0.76472
NACC2	4	-0.085134	-0.63878	0.92114	0.99393	0.52296	0.76785
MKL1	4	0.21316	1.0803	0.34412	0.85656	0.28003	0.63891
SCLY	4	0.12582	0.66668	0.53436	0.93219	0.50497	0.76118
ZSWIM2	4	-0.01335	-0.046537	0.89718	0.99393	0.96288	0.98387
CFAP46	4	0.033286	0.23191	0.77173	0.98049	0.81661	0.90536
DMBT1	4	0.16165	0.44613	0.45192	0.9044	0.6555	0.81279
SMARCA1	4	0.27371	1.0829	0.23628	0.77495	0.27883	0.63891
RBPJL	4	0.18533	0.58105	0.40051	0.88765	0.56121	0.77997
TMEM132E	4	-0.21496	-1.1722	0.62435	0.95125	0.24112	0.6342
FNDC8	4	0.24152	0.77854	0.29112	0.82209	0.43625	0.72273
GBA	4	0.18025	1.3337	0.41135	0.89092	0.18231	0.634
HPGDS	4	-0.45283	-1.0941	0.2582	0.7937	0.27393	0.63891
USP24	4	0.13176	0.26981	0.51939	0.9265	0.7873	0.88791
CHRM3	4	0.037509	0.2495	0.75999	0.97856	0.80298	0.89724
PSEN1	4	-0.11525	-0.89666	0.84566	0.98832	0.3699	0.67984
BARX2	4	0.11259	0.31348	0.56613	0.93746	0.75392	0.86895
IQCF6	4	0.29053	0.78119	0.21152	0.74829	0.43469	0.72151
C20orf196	4	-0.24704	-1.2292	0.56026	0.93742	0.21901	0.634
C17orf105	4	-0.10872	-0.4736	0.86182	0.99063	0.63579	0.8034
DLEU7	4	-0.003673	-0.018825	0.86993	0.99214	0.98498	0.99294
PTPN2	4	0.47314	1.0579	0.049423	0.42431	0.29009	0.64239
NFIL3	4	-0.18005	-0.7946	0.69774	0.96724	0.42684	0.7187
SPACA4	4	0.089108	0.63504	0.62485	0.95125	0.5254	0.76785
PHOX2B	4	-0.25565	-1.4553	0.54371	0.93275	0.14559	0.634
MAGEA6	4	0.42691	1.065	0.074234	0.51481	0.2869	0.64084
TTYH1	4	-0.36123	-1.8722	0.36908	0.87243	0.061174	0.53423
ANKRD24	4	-0.27683	-1.6979	0.50522	0.92457	0.089518	0.62775
SRGN	4	0.31796	1.1258	0.17263	0.70156	0.26025	0.63562
MICAL1	4	-0.10079	-0.84522	0.88037	0.99232	0.39799	0.69724
HIST1H3C	4	-0.86954	-2.2152	0.041368	0.38879	0.026745	0.3702
RUFY2	4	0.12187	0.82251	0.5444	0.93294	0.41079	0.7071
TMEM235	4	0.21002	0.9024	0.35054	0.86154	0.36685	0.67822
CDKN3	4	0.33677	1.207	0.1511	0.67306	0.22744	0.634
OR10G7	4	-0.070264	-0.26529	0.95893	0.99826	0.79079	0.88985
CCDC87	4	0.25803	0.97766	0.26268	0.79855	0.32824	0.65876
SNCA	4	-0.27174	-0.84894	0.51437	0.92502	0.39591	0.69594
PTRHD1	4	0.54748	1.1386	0.022971	0.28267	0.25488	0.63496
SLC39A14	4	-0.25399	-1.1846	0.54689	0.93455	0.23617	0.634
USP30	4	-0.16246	-1.4866	0.73722	0.97713	0.13713	0.634
PLEC	4	-0.21701	-0.73389	0.62043	0.95125	0.46301	0.73842
MBOAT7	4	-0.29848	-1.6702	0.46634	0.91036	0.094871	0.634
LY6G5C	4	0.14904	1.2463	0.47986	0.91539	0.21265	0.634
DENND1B	4	-0.38182	-1.2687	0.34019	0.85598	0.20454	0.634
ETNK2	4	0.34923	1.0651	0.13733	0.65296	0.28684	0.64084
CFLAR	4	-2.0782	-2.9541	4.9722e-05	0.0044248	0.0031357	0.11788
KRT26	4	0.3237	1.5083	0.16587	0.6933	0.13148	0.634
VPS26A	4	0.082988	0.66628	0.63987	0.95412	0.50523	0.76128
MYH7	4	-0.17567	-0.50995	0.70669	0.96971	0.61009	0.79365
ARF6	4	-0.66631	-2.0211	0.10571	0.60085	0.043272	0.45926
NFATC2	4	0.25827	0.95345	0.26208	0.79843	0.34036	0.66475
MCM6	4	-1.3503	-2.6642	0.003928	0.093491	0.0077161	0.19267
UGGT1	4	0.28671	1.0248	0.21609	0.75268	0.30543	0.64705
LEO1	4	-0.43824	-0.72862	0.27297	0.80654	0.46624	0.74021
SLC52A1	4	-0.42155	-1.9593	0.29167	0.8221	0.050081	0.488
HKDC1	4	0.12734	0.85748	0.53098	0.93072	0.39118	0.69298
FOLH1	4	-0.68069	-1.9409	0.099294	0.5877	0.052265	0.49623
CHD2	4	-0.55393	-2.0111	0.17064	0.69984	0.044318	0.46542
RAB17	4	-0.24218	-0.7273	0.56921	0.93746	0.46704	0.7404
PRRX1	4	0.20454	0.98274	0.36113	0.86724	0.32574	0.65832
NRG2	4	-0.057379	-0.26967	0.9912	0.99965	0.78742	0.88791
SAMD8	4	0.27678	1.6003	0.23111	0.76712	0.10952	0.634
LEUTX	4	0.048236	0.3103	0.72966	0.97431	0.75634	0.87023
TIMP1	4	0.038779	0.25621	0.75636	0.9778	0.79779	0.89433
GPKOW	4	-1.5704	-3.233	0.0013922	0.051376	0.0012249	0.068174
SLC22A23	4	0.33084	0.84133	0.15777	0.68369	0.40016	0.69854
GREB1	4	0.02689	0.18573	0.78714	0.98288	0.85266	0.92706
APOA5	4	0.016033	0.15261	0.81603	0.98612	0.87871	0.94193
BEST2	4	-0.54862	-1.7205	0.17403	0.70465	0.085334	0.61338
YWHAE	4	-0.65771	-2.2866	0.10904	0.60608	0.022217	0.33879
BCAS4	4	-0.35668	-1.3137	0.3756	0.87606	0.18895	0.634
TSPAN8	4	0.39335	1.2318	0.098598	0.58617	0.21804	0.634
PGM3	4	-0.9313	-1.9634	0.031474	0.33742	0.049604	0.48772
ACER3	4	0.3668	1.4506	0.12112	0.62941	0.14688	0.634
TEX30	4	0.3368	1.3697	0.1511	0.67306	0.17079	0.634
ZNF181	4	0.41035	1.4485	0.085372	0.54597	0.14747	0.634
CHP2	4	0.25003	1.1978	0.27695	0.80988	0.23098	0.634
DOLPP1	4	-0.6506	-2.0393	0.11212	0.61149	0.041422	0.45301
HERC6	4	0.096806	0.72599	0.60571	0.94788	0.46784	0.7404
POLD3	4	-1.4899	-3.1861	0.0020386	0.063863	0.0014423	0.076536
KIAA0355	4	-0.23774	-1.3494	0.57757	0.93829	0.17721	0.634
SLC25A38	4	-0.10967	-0.58974	0.85909	0.99031	0.55536	0.77875
SCN1B	4	0.080827	0.58446	0.64544	0.95475	0.55891	0.77947
