Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
KLF3	4	-0.31267	-0.95977	0.44227	0.9005	0.33717	0.66286
ENTPD3	4	0.079255	0.64876	0.64907	0.95475	0.51649	0.76472
TTC36	4	0.11423	1.0251	0.5625	0.93746	0.30532	0.64705
C9orf62	4	-0.016839	-0.14006	0.90647	0.99393	0.88861	0.94655
RNF4	4	-0.31208	-1.8971	0.44352	0.90077	0.057812	0.52102
CLDN18	4	0.44132	1.4395	0.065235	0.4836	0.15001	0.634
SLC6A20	4	-0.6997	-2.0108	0.090841	0.56302	0.044342	0.46542
TMEM184A	4	-0.027016	-0.22509	0.93133	0.99437	0.82191	0.90902
SULT1C3	4	-0.078812	-0.35686	0.93805	0.99578	0.72119	0.84957
RBM3	4	0.26867	1.4064	0.24334	0.78017	0.15961	0.634
DUSP1	4	0.30654	1.2876	0.188	0.72157	0.19787	0.634
SERGEF	4	-0.21629	-1.1723	0.62227	0.95125	0.24109	0.6342
TACC1	4	0.15617	1.0999	0.46455	0.90953	0.27139	0.63891
ZNF443	4	0.701	1.0837	0.0036297	0.090796	0.2785	0.63891
PRKAG2	4	-0.34931	-1.0991	0.38624	0.87978	0.2717	0.63891
HENMT1	4	0.0036275	0.020586	0.84939	0.98873	0.98358	0.99251
PKN3	4	-0.11924	-1.3896	0.83612	0.98743	0.16466	0.634
NARF	4	0.19359	0.83727	0.3843	0.87869	0.40244	0.70028
ARID5B	4	0.085576	0.32597	0.63315	0.95215	0.74444	0.8635
POMP	4	-0.52971	-2.0932	0.1872	0.72089	0.036331	0.42956
RING1	4	0.18407	0.58764	0.40349	0.88805	0.55677	0.77914
TNNI2	4	-0.042236	-0.25826	0.96947	0.99826	0.7962	0.8936
SYS1	4	-1.4901	-2.7378	0.0020386	0.063863	0.0061845	0.17115
IGSF9	4	0.28035	0.77775	0.22529	0.76087	0.43672	0.72284
PCBD1	4	0.10419	0.36723	0.58676	0.9425	0.71345	0.84539
ZFYVE9	4	0.26947	1.5141	0.24234	0.77984	0.12999	0.634
PPIH	4	-0.8175	-2.0681	0.053152	0.43811	0.038635	0.44295
HIST1H2BF	4	-0.091016	-0.41307	0.90632	0.99393	0.67956	0.82602
NFIB	4	-0.12187	-0.64607	0.82906	0.98743	0.51823	0.76536
SPRY2	4	0.39071	0.88793	0.10059	0.59009	0.37458	0.68275
ABL2	4	0.14016	1.5697	0.5007	0.92372	0.11648	0.634
LRCH3	4	0.17484	0.7359	0.42353	0.89486	0.46179	0.73787
ZNF551	4	0.22905	1.378	0.31419	0.84119	0.16819	0.634
CNTD1	4	-0.36976	-0.84203	0.35655	0.86439	0.39977	0.6983
ZAR1L	4	-0.47115	-1.7628	0.23886	0.77719	0.077933	0.59035
HFE	4	0.25525	1.4386	0.26715	0.80194	0.15027	0.634
CDC25C	4	-0.035816	-0.38747	0.95291	0.99776	0.69841	0.83715
L3MBTL2	4	-0.72346	-1.8035	0.081494	0.53492	0.071307	0.56865
NUGGC	4	-0.0061314	-0.047084	0.87629	0.99232	0.96245	0.98357
OR2T6	4	0.14448	0.78136	0.4906	0.91945	0.43459	0.7214
SEC63	4	-0.28721	-1.0047	0.48588	0.91877	0.31503	0.65339
GPR18	4	0.15878	1.3806	0.45888	0.90801	0.1674	0.634
ACOX3	4	-0.17567	-0.78219	0.70669	0.96971	0.4341	0.72112
THAP3	4	0.15469	1.0075	0.46798	0.91036	0.31372	0.65234
NUCB2	4	0.34828	1.3935	0.13828	0.65482	0.16347	0.634
DCK	4	0.26686	0.90468	0.24632	0.78298	0.36563	0.67745
DOK1	4	-0.082331	-0.3736	0.92805	0.99393	0.70871	0.84255
PPP1R36	4	0.55647	1.0417	0.020833	0.26739	0.29756	0.64531
FGF1	4	-0.015917	-0.066458	0.90424	0.99393	0.94701	0.97658
KCNAB2	4	0.35502	1.4813	0.13186	0.64582	0.13853	0.634
GIMAP5	4	-0.046829	-0.18628	0.98081	0.99934	0.85223	0.92689
USP10	4	-0.84797	-2.1606	0.046241	0.41223	0.030729	0.39794
NFASC	4	0.24064	1.5826	0.29251	0.82234	0.11352	0.634
RNF149	4	-0.088329	-0.34186	0.91299	0.99393	0.73245	0.85661
TMEM67	4	0.38944	1.1906	0.10153	0.59274	0.23381	0.634
FBXO36	4	0.41431	1.3055	0.082339	0.53644	0.19173	0.634
TTLL2	4	0.28326	1.0698	0.22071	0.75673	0.28471	0.6397
MS4A8	4	-0.056518	-0.24192	0.99324	0.99965	0.80885	0.90134
EPT1	4	-0.072177	-0.53365	0.9549	0.99777	0.59358	0.78929
TAP1	4	0.17564	0.67197	0.42174	0.89407	0.5016	0.75944
RHBDD1	4	0.3317	1.3849	0.15702	0.68222	0.16608	0.634
CRK	4	-0.37223	-1.1846	0.35302	0.86155	0.23619	0.634
SCAF4	4	0.12746	0.78807	0.53058	0.9306	0.43065	0.72004
DCAF11	4	0.0077644	0.028694	0.8387	0.98743	0.97711	0.9901
ALYREF	4	-0.48274	-1.0443	0.22718	0.76308	0.29633	0.64464
MRPL43	4	-2.1852	-1.9433	0	0	0.051977	0.49623
OR4K15	4	0.5221	1.3358	0.030231	0.32972	0.18162	0.634
KLK3	4	0.27281	0.72623	0.23767	0.77648	0.4677	0.7404
LHFP	4	0.093222	0.41674	0.61341	0.94915	0.67687	0.82497
TMOD1	4	-0.028707	-0.12274	0.93521	0.99482	0.90231	0.95351
RGPD1	4	-0.48943	-1.7658	0.22151	0.75744	0.077436	0.58903
LOXL2	4	-0.21282	-1.4591	0.62883	0.95163	0.14455	0.634
CAMSAP2	4	-0.59839	-1.3257	0.14061	0.66044	0.18495	0.634
CBX3	4	-0.275	-1.1613	0.5087	0.92468	0.24552	0.63489
MPP4	4	0.060926	1.3865	0.69526	0.96699	0.1656	0.634
CRTAP	4	0.1015	1.1346	0.59382	0.94498	0.25653	0.63496
ASPN	4	0.35157	1.0439	0.13499	0.64945	0.29652	0.64464
C18orf21	4	-0.76159	-1.4557	0.069312	0.49732	0.14547	0.634
NEURL2	4	0.17925	0.76257	0.41398	0.89203	0.44572	0.72881
MEF2B	4	-0.10037	-0.54145	0.88186	0.99278	0.5882	0.78709
RAB3IP	4	0.064011	0.59327	0.68715	0.96603	0.553	0.77799
SDHB	4	-0.82878	-1.8381	0.050169	0.427	0.066044	0.55077
AMACR	4	-0.15127	-0.85461	0.76089	0.97883	0.39277	0.69408
PFDN2	4	-1.5906	-2.7618	0.0011933	0.047151	0.0057486	0.16495
C15orf41	4	-0.6024	-1.2566	0.13793	0.65378	0.2089	0.634
DYNLL2	4	0.10498	0.70029	0.58482	0.94156	0.48374	0.75077
WIPI2	4	0.42077	1.4321	0.077615	0.52258	0.15212	0.634
LOC388780	4	0.34492	1.4771	0.14265	0.66213	0.13964	0.634
BACE1	4	-0.057577	-0.43583	0.99065	0.99965	0.66296	0.81666
GPAM	4	-0.27241	-1.2688	0.51298	0.92502	0.2045	0.634
ERBB3	4	-0.17516	-0.87443	0.70779	0.97009	0.38188	0.68784
HMX2	4	0.019118	0.10481	0.80793	0.98555	0.91653	0.96151
MOB3B	4	0.63258	1.3361	0.0084527	0.15084	0.18152	0.634
TBC1D23	4	-0.26194	-0.85413	0.53267	0.9314	0.39303	0.69437
NUDT22	4	0.018648	0.16634	0.80912	0.98555	0.86789	0.93648
PDLIM2	4	0.067953	0.86687	0.67611	0.96228	0.38601	0.68983
APC2	4	0.042939	0.12597	0.74473	0.9778	0.89976	0.95252
ZNF76	4	-0.3731	-1.6418	0.35118	0.86155	0.10063	0.634
TAB3	4	0.056209	0.7323	0.70858	0.97045	0.46398	0.73905
VSTM2L	4	-0.037853	-0.17808	0.95784	0.99793	0.85866	0.93045
BEND3	4	-0.26565	-0.77815	0.52625	0.92915	0.43648	0.72275
LOC388849	4	-0.44316	-1.0513	0.26755	0.80218	0.29311	0.64423
11-Sep	4	-0.022682	-0.096101	0.92114	0.99393	0.92344	0.9651
STKLD1	4	0.20068	1.0614	0.36993	0.8727	0.2885	0.64203
PDHA1	4	-0.21111	-0.62795	0.63256	0.95212	0.53004	0.76894
C11orf85	4	-0.10637	-0.72189	0.86714	0.99176	0.47036	0.7423
CD33	4	-0.16676	-1.1792	0.72753	0.97417	0.23832	0.634
HNF1A	4	-0.01189	-0.074956	0.89265	0.99393	0.94025	0.97365
