"","GeneID","MeanBeta","AneuScore.lm","AneuScore.lm.R2","AneuScore.P"
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)14221","SRSF10..10772.",-0.679801370842749,-0.0041624993971986,0.236907889248929,0.00709022213182291
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)15979","UBA6..55236.",-0.315611684239793,-0.00413578150462855,0.35726732735619,0.000110556696499649
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)13154","SF3B6..51639.",-1.66718201962202,-0.00413031623666511,0.268321863795352,0.00402785387204908
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)116","ACACA..31.",-0.374073305617615,-0.00411184938761922,0.299373561356164,0.00267869052685256
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)13911","SNU13..4809.",-2.25447421284509,-0.00411113792245701,0.163717721929184,0.000698315014019769
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)4534","EIF3G..8666.",-1.38552837229373,-0.00409790296884229,0.181635324787492,0.0216553872409688
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)14391","STRIP1..85369.",-0.377835188806729,-0.00408194726675955,0.255919666277799,0.0004948818769169
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)958","ARIH1..25820.",-1.32047823845586,-0.00405269824115089,0.25763453348427,0.0464765098093083
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)6003","GOSR2..9570.",-0.857043337003919,-0.00405030389519431,0.285894984559276,0.0146840805756518
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16552","WWTR1..25937.",-0.412223955551417,-0.00404184832572527,0.383942839135434,0.010137983478219
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2821","CHERP..10523.",-1.26613378620049,-0.00401997597626654,0.220065077350244,0.0122609116771972
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)5696","GBF1..8729.",-1.1067700745915,-0.00394704751129918,0.291954791292772,0.0065544821596917
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2569","CDK2..1017.",-0.64077698086418,-0.00393080209248922,0.272998026764189,0.0227806862709279
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11674","PSMA6..5687.",-2.29232942127822,-0.00392823192361731,0.237838285463643,0.00291512954563616
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16621","YJU2..55702.",-1.87496433471864,-0.00390034966426568,0.212241331300933,0.00594961461662181
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)6554","HINFP..25988.",-1.81687537102334,-0.00389413521546233,0.192799896613514,0.0248995734910954
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)8097","LIMS1..3987.",-0.649715401747052,-0.00385503734289732,0.346564401935761,0.00313247427797955
