Gene	sgRNA	Ts3|beta	Ts3|z	Ts3|p-value	Ts3|fdr	Ts3|wald-p-value	Ts3|wald-fdr
RNF144B	15	0.018632	0.49536	0.46642	0.78421	0.62034	0.75272
KLK1	6	-0.078387	-0.87403	0.91349	0.97836	0.3821	0.57602
RHOXF1	7	0.24471	2.1354	0.034434	0.20268	0.032732	0.21183
FOXB1	6	-0.064978	-0.64212	0.97126	0.99215	0.5208	0.69953
DPYSL5	6	-0.18804	-1.4305	0.51736	0.80728	0.15258	0.34885
PDZRN3	10	0.0099741	0.2026	0.6107	0.85024	0.83945	0.90927
NR1H2	5	-0.066714	-0.62769	0.92999	0.98434	0.5302	0.70419
TRIM2	11	0.051484	0.90564	0.36682	0.72011	0.36513	0.56329
ZSCAN12	6	-0.052062	-0.69438	0.97752	0.99306	0.48744	0.67405
ADAMTS1	6	0.1996	1.5637	0.098463	0.37609	0.11789	0.31329
ING1	6	-0.16771	-0.96179	0.57883	0.84189	0.33616	0.53678
TRIM23	10	-0.0095504	-0.13995	0.71713	0.8984	0.8887	0.93978
OTUD5	5	0.12686	1.079	0.3062	0.65972	0.28058	0.48348
GZMA	6	0.19032	1.8059	0.11184	0.40184	0.070938	0.27333
neg34	1	0.4248	0.57042	0.15196	0.47853	0.56839	0.7221
SETDB1	33	-0.79549	-6.1197	0	0	9.3729e-10	2.7447e-07
EEF2K	6	-0.13947	-1.2087	0.67103	0.87789	0.22676	0.42956
FER	6	0.10553	0.84083	0.32641	0.68112	0.40044	0.59181
RNF168	10	-1.1006	-4.6992	0	0	2.6118e-06	0.00023117
HSF1	7	-0.5625	-3.0981	0.027888	0.18115	0.0019479	0.032908
STK32A	6	0.41557	1.4394	0.0014229	0.021008	0.15003	0.3464
TBX19	7	-0.012956	-0.17529	0.78742	0.92821	0.86085	0.92142
RNFT2	9	0.069459	0.58273	0.34604	0.6992	0.56008	0.7169
NCOA2	6	0.066222	0.92783	0.47866	0.78449	0.35349	0.55347
USP38	6	-0.29887	-1.9575	0.26636	0.61898	0.050288	0.26064
PIAS4	16	-0.18241	-2.7191	0.35287	0.70575	0.0065459	0.080709
PRMT5	6	-1.5489	-3.9397	0	0	8.1591e-05	0.0029256
ACTR	5	-0.11537	-0.99236	0.75157	0.91352	0.32102	0.52121
KIAA2018	6	0.11269	0.78165	0.30336	0.65843	0.43442	0.62373
ZNF703	6	0.080275	1.1343	0.4243	0.76006	0.25667	0.4597
RNF113B	10	-0.063756	-0.84936	0.97325	0.99246	0.39568	0.58742
TBX20	7	-0.068555	-0.91886	0.94081	0.98451	0.35817	0.55641
STAT2	6	0.013443	0.46453	0.69493	0.88836	0.64227	0.76897
MBD2	12	-0.61981	-3.8328	0.001992	0.027237	0.0001267	0.004161
DNAJC2	17	-0.49093	-4.1373	0.0039841	0.047297	3.5142e-05	0.0016917
UBE2N	6	-0.80571	-2.5265	0.0068298	0.069767	0.011522	0.11769
ZNF426	6	0.12771	1.4262	0.25982	0.61275	0.15381	0.35029
CDK11B	6	-0.73347	-1.9591	0.010245	0.093995	0.050105	0.26024
HTRA3	12	0.10369	1.971	0.16306	0.49147	0.048726	0.25632
BIRC2	10	0.11431	1.1489	0.17302	0.50248	0.2506	0.45314
BACH1	9	0.15503	1.4011	0.099032	0.37744	0.16117	0.35796
SBK3	6	0.13141	1.0725	0.25185	0.60534	0.28349	0.4861
ARID4A	18	0.14777	2.1177	0.025896	0.1717	0.0342	0.21654
STK32B	6	0.037013	0.30878	0.58907	0.84421	0.75749	0.85138
KDM3B	3	0.028095	0.65374	0.78088	0.92458	0.51328	0.69506
EBF1	8	0.30397	1.9834	0.0068298	0.069767	0.047323	0.25484
C1RL	6	-0.11972	-1.797	0.74161	0.90741	0.072329	0.27592
MYOD1	6	0.061037	1.0098	0.49858	0.79367	0.31259	0.51217
SP9	5	-0.24605	-1.817	0.38674	0.73659	0.069217	0.27258
ZNF148	4	0.28217	1.5184	0.060046	0.2836	0.12891	0.32638
SSRP1	6	-0.51344	-2.9009	0.061468	0.28762	0.0037207	0.052933
CUL5	11	0.11824	1.7265	0.13887	0.4548	0.084258	0.28469
ZNF813	6	-0.1128	-0.9665	0.77063	0.92157	0.33379	0.53462
HGFAC	6	-0.099763	-1.0851	0.82356	0.94144	0.27789	0.48033
IRF7	6	-0.043331	-0.54664	0.94365	0.98573	0.58463	0.72797
FANCL	10	0.16118	1.7842	0.075982	0.32014	0.074398	0.27607
TBX6	7	-0.13613	-1.168	0.65709	0.87651	0.24279	0.44668
HERC6	14	0.0073307	0.12065	0.54667	0.82285	0.90397	0.94912
PRDM9	10	-0.043282	-0.28119	0.9152	0.97841	0.77857	0.86771
EGR2	6	-0.065696	-0.55136	0.96841	0.99155	0.58138	0.72523
PSMB6	6	-1.5588	-3.7037	0	0	0.0002125	0.0063824
ZNF773	6	0.19439	1.8234	0.10586	0.38994	0.068244	0.27258
TRIM28	28	-0.97281	-7.2924	0	0	3.0451e-13	2.1401e-10
CASP10	6	-0.0036853	-0.030636	0.77291	0.92157	0.97556	0.98936
ZNF563	6	0.33166	1.9243	0.0082527	0.080556	0.054314	0.26583
UNK	9	0.18433	1.6842	0.054069	0.26874	0.092152	0.28867
