sgRNA,Gene,DLD1-Ts8.initial,DLD1-Ts8.final
ZBTB46_BTB21126_E1_1770.12,ZBTB46,1269,2061
USP38_3129.186,USP38,3419,3269
EAF2_E3_137.1,EAF2,5037,4501
DYRK1A_PKc_E6_287.15,DYRK1A,1227,590
ZBTB14_E4_387.3,ZBTB14,2375,2303
ZNF263_E6_231.21,ZNF263,3536,3048
CHD5_H_e23_50.4,CHD5,2788,2452
ZBTB40_E17_87.7,ZBTB40,4948,3506
RSPRY1_354.50,RSPRY1,1074,1452
ZNF136_E4_1110.64,ZNF136,4173,5182
GUCY2D_PKc_E7_63.1,GUCY2D,2062,1971
LCORL_E7_876.50,LCORL,4944,6108
TRIM66_BD_e17_75.4,TRIM66,2882,2965
ZNF233_E5_648.49,ZNF233,3377,3758
FAM105A_117.5,FAM105A,2110,3005
NAALADL1_2223.42,NAALADL1,3019,2804
TOX4_E5_144.2,TOX4,3037,1037
ADRBK2_PKc_E13_108.5,ADRBK2,992,943
SOCS2_597.39,SOCS2,1993,2594
USP54_114.7,USP54,4058,4004
SPPL2B_1779.95,SPPL2B,2000,2059
HOXB8_E2_177.3,HOXB8,3395,5444
RNF141_693.32,RNF141,3690,5339
KLHL8_BTB57163_E1_1863.162,KLHL8,2784,3593
SHPRH_Phd_E9_141.2,SHPRH,1300,1428
MLLT10_Phd_E4_55.0,MLLT10,965,953
MYB_E4_93.5,MYB,1830,1397
KLHL4_BTB172279_E1_2163.178,KLHL4,4443,6856
CAMK1G_PKc_E10_82,CAMK1G,1856,2032
TBR1_E4_159.11,TBR1,3978,4943
RFPL2_1137.138,RFPL2,4374,5459
TRIM77_1353.0,TRIM77,2620,3560
SIRT7_e8_81.4,SIRT7,1227,1430
KDM5A_e12_163.5,KDM5A,5224,5615
ETV1_E13_102.5,ETV1,1150,1500
ZNF737_E4_1161.49,ZNF737,1503,1614
UBE2G1_513.4,UBE2G1,2727,2145
KLF17_E3_170.0,KLF17,2878,3326
MLXIP_E14_63.0,MLXIP,9184,10400
PROX1_E3_102.1,PROX1,965,1093
ZNF140_E5_891.53,ZNF140,775,1142
SOCS4_1323.58,SOCS4,4143,5024
ZNF630_E5_909.85,ZNF630,3426,4825
