sgRNA,Gene,DLD1-Cont2_P10.initial,DLD1-Cont2_P10.final
SMARCA4_HELIC_e25.2,SMARCA4,43218,34365
ZNF131_BTB24129_E1_1770.135,ZNF131,2988,1000
TRPS1_E7_69.1,TRPS1,2996,1409
SMARCC1_Chromo_E7_70.3,SMARCC1,2508,1279
SOCS7_1746.171,SOCS7,858,440
KDM4C_tudor935990_E1_3171.194,KDM4C,2320,1229
FBXO11_2784.155,FBXO11,1866,710
PKN3_PKc_E18_77.5,PKN3,1308,521
ZNF276_E2_231.7,ZNF276,2022,1365
FBXO34_2136.163,FBXO34,1864,862
DCAF17_1362.91,DCAF17,3326,2095
ZNF688_E3_153.5,ZNF688,1580,680
CDKL2_PKc_E5_113.6,CDKL2,372,119
ADAMTS14_3681.98,ADAMTS14,1750,1212
LEUTX_E2_73.1,LEUTX,6832,3371
ZSCAN10_E6_1281.169,ZSCAN10,2970,1847
ABL1_PKc_E9_68,ABL1,2210,998
STK3_PKc_E4_41,STK3,1010,578
DZIP3_3627.150,DZIP3,6174,3526
RNF34_1122.98,RNF34,1932,929
BNC2_E6_176.7,BNC2,3088,2192
MORF_e14_210.22,MORF,1824,961
FOXD4_E1_234.40,FOXD4,1710,1392
MYT1_E10_114.1,MYT1,3532,2058
CAPN2_2103.67,CAPN2,2748,1142
TULP1_E10_108.16,TULP1,4764,3902
POLR2A_e2.2,POLR2A,6592,2248
ERBB4_PKc_E20_186.2,ERBB4,2008,886
TRRAP_PKc_E71_195,TRRAP,1008,539
DDB1_3423.305,DDB1,2940,1336
MORF_e12_162.8,MORF,6626,2958
ADAMTS8_2670.123,ADAMTS8,2730,1583
BHLHE40_E3_108.9,BHLHE40,902,421
PSEN1_1404.131,PSEN1,4426,2434
ZNF770_E3_1944.67,ZNF770,3812,1500
TBX15_E6_63.0,TBX15,6086,2517
WHSC1_PWWP218337_E1_4098.534,WHSC1,1722,1338
ZNF280D_E12_101.1,ZNF280D,4474,2358
RNF41_954.9,RNF41,3410,1877
RFFL_1092.87,RFFL,2012,1050
TBX21_E3_122.0,TBX21,2626,1521
STK31_PKc_E20_84,STK31,2684,1333
CBX2_Chromo_E1_42.2,CBX2,1874,1033
VPS41_2565.173,VPS41,4710,2496
KDM8_e4_133.7,KDM8,4274,2962
SPPL2A_1563.54,SPPL2A,2192,1071
NRF1_E7_87.6,NRF1,1664,881
DDIT3_E4_192.22,DDIT3,1454,803
FAP_2283.129,FAP,4558,3147
CNDP1_1524.43,CNDP1,3176,2030
VPS11_2825.273,VPS11,2230,1114
SOCS3_678.21,SOCS3,1258,508
ZFP30_E6_1074.18,ZFP30,3402,1354
RCOR3_E11_92.1,RCOR3,5240,3099
RCOR3_SANT2_E11_101.1,RCOR3,5240,3099
USP17L10_1593.147,USP17L10,1706,875
PDK1_PKc_E2_142.3,PDK1,2896,1805
NEDD4_3960.104,NEDD4,2268,1346
SMARCA4_HELIC_e25.1,SMARCA4,18072,8469
BRPF1_ePhd_E3_363.44,BRPF1,972,474
RSPRY1_1731.64,RSPRY1,1078,430
neg8,neg8,27524,14829
RHOBTB1_BTB476581_E1_2091.176,RHOBTB1,916,443
ALG13_51.4,ALG13,2082,1165
SIRT4_e4_158.10,SIRT4,1756,989
RNF133_1131.13,RNF133,3036,1723
PAX5_E2_166.9,PAX5,2082,1025
HOXB9_E2_177.12,HOXB9,3374,1200
neg46,neg46,14430,7136
TFDP2_E9_108.0,TFDP2,12708,6262
PHF14_ePhd_E8_39.0,PHF14,3794,1201
ZNF581_E2_246.42,ZNF581,5190,3567
ZNF527_E5_831.41,ZNF527,10140,4764
STAT6_E13_207.12,STAT6,2430,1105
MTF2_tudor4595_E1_1782.11,MTF2,1638,894
ZBTB18_E2_69.0,ZBTB18,2844,1680
CTSH_1008.87,CTSH,5342,2869
GZF1_BTB21133_E1_2136.3,GZF1,2490,1385
RFPL3_954.120,RFPL3,3834,2376
FOXO6_E1_153.2,FOXO6,3352,2053
NEDD4_3960.299,NEDD4,3382,1404
PRKX_PKc_E1_52.2,PRKX,960,758
TRIM69_1503.154,TRIM69,3232,2116
ASB13_837.31,ASB13,4322,2306
TRIM24_BD_e19_86.2,TRIM24,3820,1330
SIX3_E1_147.5,SIX3,1676,762
ZNF71_E3_1110.131,ZNF71,3252,1871
ZXDA_E1_384.9,ZXDA,1928,680
TAOK1_PKc_E2_129.8,TAOK1,2520,430
NFX1_E10_98.3,NFX1,6266,3880
NFX1_3366.289,NFX1,6266,3880
HES4_E2_75.7,HES4,3438,2105
DSTYK_PKc_E11_115.6,DSTYK,2134,1435
DPF1_Phd2_E11_82.6,DPF1,2146,1197
PAK4_PKc_E8_126.5,PAK4,1814,1186
MAZ_E2_78.0,MAZ,2786,1581
HMGB1_E2_135.8,HMGB1,1338,495
ZBTB33_E3_657.35,ZBTB33,3822,1670
KDM3A_e21_131.0,KDM3A,4284,2997
PSMB5_792.92,PSMB5,986,484
ARID2_E3_98.2,ARID2,1778,1098
MAP3K9_PKc_E5_68.2,MAP3K9,990,598
SH3RF1_2667.442,SH3RF1,2314,1662
IMMP2L_528.62,IMMP2L,2858,1263
MMP27_1542.151,MMP27,4008,2297
UBE2F_558.52,UBE2F,1982,814
IRX6_E4_180.0,IRX6,3674,2277
ABHD17B_882.53,ABHD17B,2846,1744
ZSCAN31_E4_492.10,ZSCAN31,3200,1955
ALK_PKc_E22_65.1,ALK,1226,604
FOXP3_E11_102.1,FOXP3,12456,7542
WHSC1L1_PWWP9581051_E1_4314.148,WHSC1L1,2110,1095
FBXO48_468.6,FBXO48,1244,674
ARNTL2__158.7,ARNTL2,7566,6331
ZNF75D_E7_405.21,ZNF75D,4244,2400
RNF180_1779.95,RNF180,2352,911
IPP_BTB28134_E1_1755.152,IPP,2332,1197
CRAMP1_SANT_E2_48.2,CRAMP1,862,390
TYK2_PKc_E18_135.4,TYK2,782,472
SOCS2_597.39,SOCS2,3198,1738
USP17L2_1593.179,USP17L2,6024,3680
