sgRNA,Gene,DLD1-Cont2_P10.initial,DLD1-Cont2_P10.final
PHIP_5466.365,PHIP,3612,2160
E2F7_E4_115.1,E2F7,6348,3530
FBXO21_1887.131,FBXO21,1208,597
ASB16_1362.120,ASB16,510,250
KDM3A_e21_131.13,KDM3A,3424,2278
ZNF683_E4_51.0,ZNF683,3142,1495
L3MBTL3_MBT451543_E1_2343.99,L3MBTL3,1386,983
ZBTB5_BTB14121_E1_2034.12,ZBTB5,1428,922
PHF7_Phd_E9_59.4,PHF7,5108,2509
PHF7_1146.101,PHF7,5108,2509
NFE2L3_E4_135.0,NFE2L3,4308,2585
ZNF138_E4_231.10,ZNF138,3842,1885
ZNF765_E4_744.27,ZNF765,6452,2609
FOXQ1_E1_237.5,FOXQ1,502,178
HM13_1281.58,HM13,2556,1741
RNF215_1134.123,RNF215,3570,1733
KCTD1_BTB40132_E1_798.84,KCTD1,6234,4895
PBRM1_BD2_e8_99.2,PBRM1,2040,612
BHLHE23_E1_171.0,BHLHE23,1454,800
OTUD7B_2532.78,OTUD7B,2846,1105
MARCH5_837.5,MARCH5,1504,1039
BRWD3_BD_e31_121.1,BRWD3,4642,2360
MBD4_E2_77.1,MBD4,4038,1961
MBD4_MBD_E2_77.1,MBD4,4038,1961
MID1_2004.241,MID1,1730,953
PHF2_e7_163.13,PHF2,3116,1838
SOX18_E2_107.8,SOX18,1612,697
RLIM_1875.100,RLIM,3908,2741
RXRB_E4_180.7,RXRB,2816,1669
UBTF_E10_142.10,UBTF,2824,1507
HIC1_BTB37152_E1_2202.472,HIC1,2078,1439
CEBPG_E2_162.1,CEBPG,4422,2437
BAZ2A_Phd_E26_141.0,BAZ2A,2874,1521
ZNF486_E4_663.12,ZNF486,3018,1119
AGA_1041.35,AGA,2108,980
ASB3_1557.120,ASB3,1428,759
CGRRF1_999.34,CGRRF1,2776,1350
ZNF502_E5_1161.46,ZNF502,4062,2716
PRDM1_E7_180.8,PRDM1,3192,1990
ZNF90_E4_912.20,ZNF90,3512,1643
RNFT1_1308.60,RNFT1,3824,2418
ZNF625_E4_396.20,ZNF625,2114,1150
RNFT1_1308.37,RNFT1,4160,1950
TRIM14_1329.14,TRIM14,966,482
PHIP_5466.210,PHIP,4066,1524
ZNF43_E7_1908.121,ZNF43,1582,568
JAK2_PKc2_E23_118.2,JAK2,734,302
ASB18_1401.112,ASB18,1422,424
SOCS1_636.56,SOCS1,972,516
ZNRF4_1290.140,ZNRF4,2300,1258
CXXC4_CXXC301341_E1_1104.128,CXXC4,2326,862
RHOBTB3_BTB413518_E1_1836.119,RHOBTB3,916,470
BAZ1A_BD_e25_118.0,BAZ1A,6740,3292
YY1_E5_126.4,YY1,3164,1288
PRSS36_2568.356,PRSS36,2652,1687
ZNF785_E3_495.75,ZNF785,3586,3071
UBE2NL_462.13,UBE2NL,4514,2290
EAF2_E3_137.2,EAF2,5528,3835
RNF24_510.46,RNF24,4160,2747
PCAF_e11_118.9,PCAF,5380,2302
SPPL2A_1563.76,SPPL2A,3294,2080
USP26_2742.98,USP26,3048,1383
KCNC1_BTB10104_E1_1758.13,KCNC1,1354,817
ZKSCAN8_E7_744.30,ZKSCAN8,2726,1251
MTA1_Bah3188_E1_2148.47,MTA1,1546,710
FXR1_Agenet59115_E1_1866.17,FXR1,3092,1810
HUWE1_13125.878,HUWE1,4050,1974
CAMTA2_E5_136.9,CAMTA2,2068,840
SMARCAD1_H_e22_183.0,SMARCAD1,7594,3333
ZNF662_E4_486.45,ZNF662,2124,989
PCNA_e3.1,PCNA,5176,1881
CDYL_Chromo_E2_150.5,CDYL,2312,1027
USP14_1485.65,USP14,3426,1624
SP8_E2_162.15,SP8,3500,1619
TEAD1_E7_47.0,TEAD1,2824,1225
DCAF12L1_1392.197,DCAF12L1,1010,400
ZBTB33_E3_657.36,ZBTB33,2388,1301
ANAPC15_378.2,ANAPC15,1764,1236
ASH1L_e13_109.0,ASH1L,2642,1118
CHD9_Chromo_E8_118.0,CHD9,2464,1339
CSNK1G2_PKc_E3_41,CSNK1G2,1210,594
ZNF544_E7_1068.27,ZNF544,2522,1373
TULP4_4632.115,TULP4,1804,1430
ZNF480_E5_1050.22,ZNF480,4104,2292
ASB14_1764.35,ASB14,2670,1783
RHOBTB2_BTB443492_E1_2250.121,RHOBTB2,2500,1203
RHOXF2B_E2_71.0,RHOXF2B,2056,1477
TRIM51_1359.29,TRIM51,2864,1469
ARID2_E13_135.1,ARID2,2736,1365
OMA1_1575.101,OMA1,3410,1142
KDM2B_CXXC615651_E1_4011.57,KDM2B,3240,1374
KDM2B_4011.570,KDM2B,3240,1374
PRMT5_e12_106.4,PRMT5,5362,2864
NR1I3_E2_77.6,NR1I3,2544,1288
CBFB_E2_87.9,CBFB,1600,729
TRIM7_1536.44,TRIM7,1802,1186
AXL_PKc_E18_160.14,AXL,1722,1043
ATG4B_1182.145,ATG4B,2006,646
TBX1_E3_86.5,TBX1,4188,2854
ZNF10_E5_666.53,ZNF10,2720,1083
KDM5A_Phd2_E23_159.11,KDM5A,2652,1378
TIE1_PKc_E16_111.15,TIE1,1138,510
TOX_E5_147.2,TOX,9096,4677
FBXO46_1812.244,FBXO46,560,369
STAT3_E17_136.7,STAT3,4086,3642
ZNF41_E5_1269.60,ZNF41,1994,1080
CHD4_Chromo_E12_206.11,CHD4,628,250
CUL2_2295.68,CUL2,2182,1066
CUX2_E21_155.8,CUX2,2056,1247
USP31_93.0,USP31,1778,1128
ZNF296_E2_87.1,ZNF296,3422,2314
XPNPEP1_90.11,XPNPEP1,3090,1921
MAST1_PKc_E13_139.1,MAST1,662,408
SATB1_E12_174.16,SATB1,960,423
RNF123_3945.322,RNF123,2830,2082
TRIM55_1647.198,TRIM55,1100,768
KCNS1_BTB52151_E1_1581.32,KCNS1,1506,1056
ZNF581_E2_246.47,ZNF581,728,340
ZNF343_E7_915.77,ZNF343,2940,1699
RNF123_3945.652,RNF123,1318,560
DNAJC2_E13_71.0,DNAJC2,3224,2132
DNAJC2_SANT_E13_74.0,DNAJC2,3224,2132
UBE2L3_639.67,UBE2L3,1760,394
NR4A3_E5_130.4,NR4A3,3686,1760
MTA3_Bah3170_E1_1548.14,MTA3,2304,935
TSC22D4_E5_162.27,TSC22D4,1856,1234
ZFHX3_E9_2580.93,ZFHX3,3516,1838
CHD6_Chromo_E9_87.0,CHD6,2906,1535
POU2F3_E9_63.4,POU2F3,1824,1122
POU3F2_E1_174.9,POU3F2,1358,589
BRD1_Phd_E2_162.8,BRD1,1366,550
CDH1_2649.225,CDH1,3320,2003
KEAP1_BTB67179_E1_1875.44,KEAP1,5070,1854
TUB_E11_99.8,TUB,3206,1798
ZNF585A_E5_1755.136,ZNF585A,4942,1735
OTP_E2_132.13,OTP,1478,847
SOCS4_1323.52,SOCS4,2376,963
ZNF391_E3_807.43,ZNF391,5486,3089
NR2E1_E2_146.3,NR2E1,1456,1083
PSMB9_660.63,PSMB9,3936,1886
RIPK4_PKc_E2_292.16,RIPK4,2024,1350
KLF17_E2_79.2,KLF17,1394,858
ZSCAN21_E4_570.66,ZSCAN21,2264,1615
ADAM23_2499.242,ADAM23,1596,1178
USP17L2_1593.61,USP17L2,3942,1598
ZSCAN29_E5_489.12,ZSCAN29,7764,4295
ZKSCAN3_E7_573.32,ZKSCAN3,1966,1077
HERC2_14505.192,HERC2,1796,954
PRKCD_PKc_E14_92.12,PRKCD,1004,457
ZFP82_E5_1152.75,ZFP82,3702,1693
LTA4H_1836.38,LTA4H,2672,1456
SETD5_e10_118.5,SETD5,2574,1616
ZNF440_E4_750.58,ZNF440,2734,1194
EPHA5_PKc_E13_62.2,EPHA5,3692,2688
USP17L24_885.85,USP17L24,11268,7080
USP17L25_885.85,USP17L25,11268,7080
USP17L26_885.85,USP17L26,11268,7080
USP17L5_885.85,USP17L5,11268,7080
TNNI3K_PKc_E16_195.12,TNNI3K,772,322
KMT2D_ePhd1_E5_110.5,KMT2D,2592,2070
FBXO7_1569.62,FBXO7,2938,1459
ZBTB1_E2_522.22,ZBTB1,3924,1323
KDM2A_CXXC576609_E1_3489.397,KDM2A,5604,2977
KDM2A_3489.397,KDM2A,5604,2977
RING1_1221.262,RING1,5878,2896
ZFP41_E2_237.1,ZFP41,3242,1923
HES6_E2_87.8,HES6,976,764
RNF112_1896.21,RNF112,2964,2229
HES2_E3_69.5,HES2,3020,1611
SRCAP_D_e15_170.7,SRCAP,1234,496
BIRC8_711.35,BIRC8,5726,4052
CREM_E8_130.2,CREM,2122,1032
RNF183_579.114,RNF183,2232,944
CHD1L_H_e13_115.2,CHD1L,2292,1216
TP53_E5_184.4,TP53,2688,646
ZNF33A_E5_1407.103,ZNF33A,7288,3183
TWIST1_E1_168.2,TWIST1,2006,886
FBXW11_2,FBXW11,1658,768
KLK10_831.11,KLK10,2700,1591
USP39_1698.94,USP39,2298,1198
ECE1_2313.175,ECE1,860,488
CAPN6_1926.39,CAPN6,5982,5089
DDIT3_E4_192.11,DDIT3,2278,1018
RHOXF2B_E2_71.3,RHOXF2B,4942,3241
DTX3L_2223.133,DTX3L,4812,2337
ZNF25_E6_930.55,ZNF25,2914,1370
UNKL_2052.192,UNKL,954,912
OTUD3_1197.4,OTUD3,4740,2355
MBD2_E1_92.4,MBD2,1934,930
MBD2_MBD_E1_92.4,MBD2,1934,930
NHLH2_E3_162.16,NHLH2,704,415
ZSCAN12_E4_1068.50,ZSCAN12,1978,1132
SETDB2_E7_183.8,SETDB2,1866,694
KLHL8_BTB57163_E1_1863.12,KLHL8,1114,629
RNF32_1089.97,RNF32,2548,1111
PRKACG_PKc_E1_948.157,PRKACG,554,282
PHKG2_PKc_E2_59.2,PHKG2,824,366
TRERF1_E7_69.4,TRERF1,3214,1834
XIAP_1494.63,XIAP,3858,1807
HOXD8_E2_177.12,HOXD8,5044,1905
UBE2D1_444.11,UBE2D1,2836,1374
TPSB2_828.1,TPSB2,1274,1247
ZBTB14_E4_387.25,ZBTB14,4588,3036
ZNF680_E4_1086.61,ZNF680,2418,845
L3MBTL4_MBT57149_E1_1872.207,L3MBTL4,2128,727
GCN5_e12_59.0,GCN5,3766,2354
VPS11_2825.207,VPS11,3088,1465
RFPL4B_792.90,RFPL4B,3454,2495
FBXL7_1476.123,FBXL7,3614,2415
PLK3_PKc_E6_96.1,PLK3,2672,1493
CHD1_Chromo_E9_134.4,CHD1,1262,716
NACC2_BTB20120_E1_1764.365,NACC2,1410,1170
ST14_2568.253,ST14,1772,1625
EIF2AK2_PKc_E15_102.3,EIF2AK2,1392,628
FBXO18_3285.403,FBXO18,1446,918
SMARCA4_BD_e32_109.8,SMARCA4,1392,626
PLAT_1689.95,PLAT,1996,1076
TERF2_E10_144.14,TERF2,2204,734
TRAIP_1410.198,TRAIP,1344,518
MNX1_E2_129.8,MNX1,1602,654
ZSCAN31_E4_492.23,ZSCAN31,4702,3593
UBR7_Phd_E5_54.3,UBR7,1486,1083
ZKSCAN8_E7_744.88,ZKSCAN8,2730,1355
ZFP2_E5_1059.0,ZFP2,3858,1910
REN_1221.81,REN,2864,2229
KCTD9_BTB91181_E1_1170.32,KCTD9,1026,392
PIAS2_E9_129.7,PIAS2,4078,2217
PIAS2_1866.122,PIAS2,4078,2217
FBXO33_1668.48,FBXO33,1138,638
MZF1_E6_1122.177,MZF1,1092,593
KLHL13_BTB85191_E1_1977.28,KLHL13,532,274
FBXL18_2157.285,FBXL18,1374,723
ZNF461_E6_666.56,ZNF461,5526,2427
STAT4_E17_136.3,STAT4,3922,2070
TRIM52_894.6,TRIM52,3140,2216
TCF20_ePhd_E2_94.4,TCF20,4062,2036
ZNF716_E4_825.60,ZNF716,4560,2740
ZPR1_E2_162.12,ZPR1,1536,878
ELF4_E7_188.19,ELF4,2742,1418
RNF113B_969.110,RNF113B,2888,1522
HECTD1_7833.366,HECTD1,1974,824
ACR_1266.74,ACR,1634,815
CSNK1D_PKc_E5_171.15,CSNK1D,1812,1049
NFKB2_E5_99.0,NFKB2,3080,1163
XIAP_1494.102,XIAP,1096,476
ZFP82_E5_1152.87,ZFP82,3262,1905
MTA2_E10_84.1,MTA2,3240,1588
NAALADL2_2388.154,NAALADL2,2168,555
MSL2_1734.45,MSL2,3864,1842
DCST1_2121.225,DCST1,2882,1494
KMT2A_Phd2_E11_39.0,KMT2A,2116,1111
KLF13_E2_131.2,KLF13,296,110
ZNF772_E5_582.46,ZNF772,3844,1681
SENP6_3339.12,SENP6,8350,3910
ZBTB7C_BTB24127_E1_1860.17,ZBTB7C,1660,1263
NFE2_E4_297.42,NFE2,806,731
UBE2W_576.22,UBE2W,2338,875
TRIM23_1725.132,TRIM23,2224,1249
RNF19B_1764.186,RNF19B,4140,2002
ST14_2568.29,ST14,2216,1595
CTSL2_1005.4,CTSL2,3854,2330
MMP2_1983.74,MMP2,3082,1507
ZNF114_E6_321.10,ZNF114,5300,2380
HES3_E3_81.2,HES3,3164,1803
UBR2_5268.339,UBR2,3674,1567
E2F8_E4_110.0,E2F8,9616,3771
PTK7_PKc_E15_40.2,PTK7,592,447
ZFP90_E5_1260.6,ZFP90,5900,3800
PHF7_1146.108,PHF7,2802,1115
USP1_2358.68,USP1,2038,985
RFPL1_954.7,RFPL1,5278,3172
ZNF23_E6_1326.100,ZNF23,4288,1823
STAMBP_1275.75,STAMBP,2610,1293
neg53,neg53,8722,4608
FBXL17_2106.107,FBXL17,2788,1766
USP15_145.1,USP15,1430,776
BRD8_BD_e17_77.2,BRD8,5008,2544
DCAF11_1641.89,DCAF11,4640,3853
USP33_2829.194,USP33,3342,1848
KDM4A_tudor9601004_E1_3195.198,KDM4A,3856,2380
LHX4_E4_135.11,LHX4,2094,1269
KBTBD2_BTB21128_E1_1872.149,KBTBD2,2068,1632
RFFL_1092.85,RFFL,3026,2270
ASB9_885.74,ASB9,3550,1479
FBXL2_1272.146,FBXL2,4700,2288
TRIB3_PKc_E3_293.33,TRIB3,728,347
ZMIZ2_E13_75.4,ZMIZ2,2202,961
ADCK4_PKc_E9_82.4,ADCK4,954,552
TTC3_6078.484,TTC3,2982,1776
KLHL4_BTB172279_E1_2163.178,KLHL4,6314,3263
ARID4A_E14_98.1,ARID4A,2602,1047
DNAJC1_E12_33.0,DNAJC1,4630,2510
DNAJC1_SANT2_E12_36.0,DNAJC1,4630,2510
RCOR3_SANT2_E9_78.1,RCOR3,1806,643
UBR2_1320.25,UBR2,4902,2905
RNF38_1548.59,RNF38,2634,1050
RNF212B_903.0,RNF212B,2262,923
ZNF407_E1_4129.238,ZNF407,1838,1051
ASB1_1008.96,ASB1,2820,1180
CHD2_Chromo_E10_101.3,CHD2,2358,714
ZFP1_E4_723.8,ZFP1,1926,882
RNF170_777.4,RNF170,1084,392
NR4A1_E3_84.1,NR4A1,5246,3150
TRIM3_2235.377,TRIM3,2654,1097
CTSH_1008.124,CTSH,1700,1052
KAT2B_BD_e17_85.0,KAT2B,3748,2338
PHF7_1146.14,PHF7,3280,1442
SPPL2A_1563.53,SPPL2A,3774,2295
TULP1_E13_99.11,TULP1,1600,908
ZNF343_E7_915.34,ZNF343,1344,970
ZNF429_E4_1188.90,ZNF429,8252,2627
ANKIB1_3270.51,ANKIB1,4104,1904
SENP8_639.13,SENP8,1400,777
BARX2_E3_85.1,BARX2,4008,2032
KLK5_882.26,KLK5,3804,2482
FBXO15_2,FBXO15,1996,1240
BTBD11_BTB9151022_E1_3315.26,BTBD11,3178,1235
VAX2_E2_129.4,VAX2,2828,1610
ZSWIM2_1902.49,ZSWIM2,1732,826
AZU1_756.142,AZU1,1408,738
FBXW4_1239.70,FBXW4,1710,870
BARX1_E2_89.4,BARX1,278,120
FBXL3_1287.76,FBXL3,4488,2451
ZNF415_E4_831.65,ZNF415,4300,1994
ZNF577_E7_657.32,ZNF577,3756,1294
UBE2C_540.49,UBE2C,2220,1048
TMPRSS11B_1251.61,TMPRSS11B,2064,963
DLX1_E2_129.8,DLX1,1274,802
RNF8_1458.90,RNF8,1302,565
ABL2_PKc_E7_178.9,ABL2,1088,422
DDB1_3423.84,DDB1,1534,915
DNMT3A_PWWP_E8_159.1,DNMT3A,804,399
ZFP36_E2_195.2,ZFP36,2516,1210
ASB4_1281.135,ASB4,1872,994
ZNF587_E3_567.8,ZNF587,5412,3493
BTBD8_BTB207300_E1_1137.64,BTBD8,2282,1353
TRIM71_2607.106,TRIM71,1132,795
STAT5B_E9_176.6,STAT5B,2004,1181
OVOL1_E4_47.1,OVOL1,2054,1042
ZBTB18_E2_69.6,ZBTB18,4442,2384
ZSCAN32_E7_555.45,ZSCAN32,2438,1300
IRF6_E3_156.17,IRF6,1866,984
ADAM32_2364.156,ADAM32,2518,1373
ZNF248_E6_1053.84,ZNF248,2254,1138
ZNF726_E4_1281.76,ZNF726,4370,2155
PhIP_BD2_e35_80.3,PhIP,3004,1327
ZBTB26_E2_300.20,ZBTB26,1358,755
RPS6KA6_PKc_E7_107,RPS6KA6,764,255
FBXO8_960.65,FBXO8,1114,487
DPYSL3_2055.316,DPYSL3,2772,1432
ZBTB11_E8_118.7,ZBTB11,550,386
FOXJ2_E2_138.8,FOXJ2,1540,567
SLX4_BTB699788_E1_5505.187,SLX4,1132,757
HOXC11_E2_171.13,HOXC11,1728,871
BARD1_2277.137,BARD1,1758,559
MTA3_E14_128.11,MTA3,3118,1822
EHF_E8_188.12,EHF,4672,1879
PADI4_e15_129.1,PADI4,1252,624
OMA1_1575.44,OMA1,2998,1722
DPYSL5_1695.64,DPYSL5,2702,1768
HECTD1_7833.485,HECTD1,2548,1425
KLF2_E2_75.1,KLF2,4682,2608
TPSD1_729.63,TPSD1,3544,2647
KDM2B_2,KDM2B,1152,577
TBR1_E4_159.11,TBR1,5294,3056
PBRM1_BD1_e3_98.6,PBRM1,4884,2020
BTBD7_BTB268397_E1_3399.48,BTBD7,2442,1159
TRIM16_1695.31,TRIM16,1138,659
ADAMTS5_2793.98,ADAMTS5,4192,2298
neg20,neg20,11150,5945
ZNF189_E3_1161.75,ZNF189,5304,2724
ZNF557_E8_666.16,ZNF557,1558,769
neg22,neg22,10484,6349
MUSK_PKc_E15_647.2,MUSK,3416,1967
MMP16_1824.217,MMP16,1920,940
USP2_1818.137,USP2,1882,1547
BIRC6_14574.704,BIRC6,2816,1658
PHF19_Phd2_E6_26.0,PHF19,2316,1530
USP45_2445.78,USP45,3728,1638
RNF125_699.13,RNF125,1962,791
neg75,neg75,10036,4873
FOXJ3_E4_75.4,FOXJ3,6616,3855
GRK5_PKc_E7_51,GRK5,3268,2433
ZNF615_E7_1578.33,ZNF615,2402,1185
PARP14_Macro10141155_E1_5406.179,PARP14,3356,2282
PRKRIR_E1_80.1,PRKRIR,2580,1059
PRMT8_e5_143.11,PRMT8,2264,1287
INPP5E_1935.25,INPP5E,3054,1928
C9orf3_2460.311,C9orf3,2342,1679
RNF39_1263.219,RNF39,560,235
KMT2C_Phd1_E8_138.3,KMT2C,2038,1189
TRIM38_1398.149,TRIM38,3152,1963
TSHZ1_E2_221.33,TSHZ1,1730,1274
CAPN8_2112.65,CAPN8,3284,1444
ZNF157_E4_1023.89,ZNF157,3222,1757
HSF2_E3_128.0,HSF2,3630,1897
PIAS2_1866.187,PIAS2,2782,1532
ZNF510_E6_1272.20,ZNF510,2258,625
EZH2_SANT2_E11_170.3,EZH2,2252,974
USP46_1101.86,USP46,3278,2205
AZU1_756.104,AZU1,2900,1428
ZNF582_E5_663.32,ZNF582,3620,1386
MXD4_E4_115.7,MXD4,2032,916
BHLHE40_E3_108.7,BHLHE40,2504,1097
ALX3_E3_42.3,ALX3,794,519
ZBTB18_BTB23119_E1_1596.1,ZBTB18,3756,2114
TDRD6_tudor15711609_E1_6291.287,TDRD6,2898,1140
CHD3_D_e15_201.10,CHD3,2086,1066
TAL2_E1_168.3,TAL2,1804,827
INO80_D_e16_143.11,INO80,2036,1521
ZNRF3_2811.80,ZNRF3,2472,1432
FBXL4_1866.100,FBXL4,2570,1102
TFAP2B_E7_217.25,TFAP2B,1182,631
HAT1_e5_180.4,HAT1,6038,3152
FBXO11_2784.136,FBXO11,1590,609
ARGFX_E4_132.2,ARGFX,2910,1577
ADAMTS9_5808.695,ADAMTS9,4604,2453
MAST4_PKc_E17_133.8,MAST4,1484,719
FBXO3_1416.132,FBXO3,2506,1161
PSKH2_PKc_E2_667.27,PSKH2,268,106
SNAPC4_E12_95.12,SNAPC4,4854,2093
SNAPC4_SANT3_E12_95.12,SNAPC4,4854,2093
ZBTB45_E3_212.23,ZBTB45,2864,1881
KLK3_786.82,KLK3,3326,2378
TBX5_E5_148.13,TBX5,1820,1070
OTUD5_1716.259,OTUD5,4114,2219
TSSK6_PKc_E1_771.48,TSSK6,1356,843
FBXO46_1812.171,FBXO46,3122,1850
CTSD_1239.215,CTSD,6520,4087
USP48_3108.28,USP48,3004,1696
UBE4A_3201.198,UBE4A,3254,1197
FMR1_Agenet59117_E1_1899.12,FMR1,2408,1010
BHLHA15_E1_165.5,BHLHA15,1448,710
SOX4_E1_216.5,SOX4,500,342
SETDB1_E13_186.8,SETDB1,5002,2155
SETDB1_MBD_E13_186.8,SETDB1,5002,2155
USP17L13_885.48,USP17L13,7040,3693
USP17L17_885.48,USP17L17,7040,3693
ZNF749_E3_1185.48,ZNF749,5356,2610
ZNF506_E4_579.21,ZNF506,2026,1022
KDM4A_Phd_E14_205.2,KDM4A,3122,1518
TAF3_Phd_E6_77.5,TAF3,3102,1578
RBBP6_5379.448,RBBP6,2234,628
GGTLC2_657.112,GGTLC2,960,616
TRIM36_2187.82,TRIM36,2908,1451
ZNF813_E4_1236.91,ZNF813,1920,1103
TRIM3_2235.4,TRIM3,2274,1151
ZNF561_E6_897.4,ZNF561,10924,4414
ESPL1_6363.456,ESPL1,1556,763
GRHL1_E9_159.13,GRHL1,2828,1513
TRIM56_2268.559,TRIM56,1808,996
ZNF362_E6_224.13,ZNF362,1084,655
ROR1_PKc_E9_849.47,ROR1,1964,828
FOXR2_E1_246.29,FOXR2,3376,1551
ZNF852_E4_1077.44,ZNF852,3656,1616
KMT2B_Phd3_E15_109.4,KMT2B,1066,581
TET2_e10_86.1,TET2,3862,1367
TWIST2_Ex_176.8,TWIST2,2400,1262
Rosa26,Rosa26,2276,855
ZNF740_E6_119.5,ZNF740,2054,1031
ZNF616_E4_1668.118,ZNF616,5272,2927
ZNF620_E5_570.29,ZNF620,2958,1725
CASP3_834.58,CASP3,2448,1367
KLHL2_BTB50157_E1_1794.162,KLHL2,2314,773
FBXO41_2628.66,FBXO41,1164,818
ZNF251_E5_1287.106,ZNF251,2076,1125
SETDB1_e20_55.0,SETDB1,3514,1803
CBLC_1425.174,CBLC,588,280
NR2C1_E5_180.6,NR2C1,2504,1317
RNF214_2112.129,RNF214,2148,1068
MMP13_1416.134,MMP13,4066,1825
KCNB1_BTB33132_E1_2577.19,KCNB1,1100,402
CELA3A_813.52,CELA3A,1626,684
ZNF613_E6_981.47,ZNF613,2454,1300
ANKK1_PKc_E2_295.2,ANKK1,2270,1188
SENP5_2268.125,SENP5,1574,542
TDRD3_tudor652700_E1_2235.102,TDRD3,1848,508
IRF3_E2_153.22,IRF3,3730,2051
SMNDC1_tudor76124_E1_717.11,SMNDC1,1734,815
MEF2B_E3_180.6,MEF2B,1908,869
ZNF35_E4_834.16,ZNF35,2512,1133
CTRB1_792.67,CTRB1,3170,1492
SNAPC4_SANT2_E10_90.0,SNAPC4,1652,984
TRIM63_1062.50,TRIM63,2184,741
HEY1_E3_84.3,HEY1,3506,1692
CPA4_1266.86,CPA4,3162,1892
UBE2F_558.55,UBE2F,946,744
HDAC2_e6_140.2,HDAC2,4454,3074
FBXO38_8,FBXO38,2864,1459
IRX4_E6_180.15,IRX4,2212,1369
MLL1_e35_130.8,MLL1,1848,1417
USP13_2592.99,USP13,1686,931
SOX21_E1_216.14,SOX21,5400,3373
PKN1_PKc_E16_177.11,PKN1,1148,636
ZNF93_E4_1329.32,ZNF93,7368,3510
ESX1_E2_89.4,ESX1,1442,745
MARCH6_2733.191,MARCH6,2274,2124
NSD1_Phd1_E12_120.8,NSD1,2726,1209
SP110_Phd_E15_101.5,SP110,2240,1179
NR1D1_E3_89.7,NR1D1,1392,502
DMTF1_E12_110.3,DMTF1,6182,3407
CXXC5_CXXC255296_E1_969.87,CXXC5,306,105
RNF112_1896.314,RNF112,2170,764
MNAT1_930.17,MNAT1,1738,1028
KLK6_735.125,KLK6,2722,1631
ZBTB47_E6_155.6,ZBTB47,2296,1197
PITX2_E2_135.7,PITX2,1950,1062
TLX3_E2_167.0,TLX3,1364,550
JDP2_E4_96.5,JDP2,2538,1217
SHOX_E3_135.11,SHOX,1306,489
NKX6_1_E3_42.3,NKX6,2784,1276
ZNF878_E4_1200.0,ZNF878,5954,2461
ATRX_ADD167270_E1_7479.28,ATRX,2272,1288
SUV39H1_e3_105.3,SUV39H1,2256,1490
SUPT16H_3144.54,SUPT16H,1910,742
ZNF880_E4_1221.60,ZNF880,4090,1855
PBX3_E5_136.9,PBX3,3394,1850
HDAC6_a1_e9_105.4,HDAC6,5854,3379
MKRN2_1251.111,MKRN2,1426,514
HTRA1_1443.171,HTRA1,1826,939
ZNF823_E4_1167.64,ZNF823,5248,2145
CHD1L_D_e6_82.1,CHD1L,5326,3158
ZIC5_E1_118.17,ZIC5,2924,1410
SOX30_E2_202.9,SOX30,4070,1956
TFAP2B_E5_119.3,TFAP2B,1276,603
RNF112_1896.18,RNF112,946,477
USP50_1005.26,USP50,5096,3779
BRD3_BD2_e7_129.0,BRD3,2110,1392
MAPKAPK2_PKc_E3_65.1,MAPKAPK2,1726,868
IHH_1236.86,IHH,2292,1039
ZNF776_E3_666.52,ZNF776,2588,1534
HMBOX1_E9_86.0,HMBOX1,1986,765
MMP11_1467.45,MMP11,1804,973
PDGFRA_PKc_E13_105.11,PDGFRA,3474,1673
SP110_E13_88.4,SP110,4608,2838
UBP1_E3_77.2,UBP1,3136,1349
MAFG_E3_210.20,MAFG,772,255
ATRX_D_e18_147.2,ATRX,2280,984
ESPL1_6363.422,ESPL1,2230,1446
MYOD1_E1_171.10,MYOD1,1946,1013
ZFP36L1_E2_189.11,ZFP36L1,2338,1665
ZNF134_E3_1116.59,ZNF134,3154,1313
ZNF627_E4_663.10,ZNF627,3580,1530
ASB11_972.95,ASB11,620,434
PHF20L1_Phd_E16_45.1,PHF20L1,1580,1076
SOX15_E1_216.3,SOX15,848,719
KDM2A_Phd_E15_111.4,KDM2A,4960,2539
KDM2A_2,KDM2A,4960,2539
IKZF2_E6_83.1,IKZF2,2924,1566
PIAS3_E9_129.6,PIAS3,1492,818
PIAS3_1887.232,PIAS3,1492,818
CHD1L_Macro716866_E1_2694.206,CHD1L,4226,2381
ZBTB33_E3_657.9,ZBTB33,3786,2244
USP33_2829.149,USP33,1616,708
RHOXF1_E1_89.2,RHOXF1,5366,2632
ZNF766_E4_582.38,ZNF766,2104,1275
LPA_6123.456,LPA,3974,1868
NEURL3_789.64,NEURL3,1426,633
LCK_PKc_E11_154.1,LCK,4210,2947
UHMK1_PKc_E5_76.1,UHMK1,578,218
MYCBP2_14037.725,MYCBP2,1252,621
HECTD3_2586.211,HECTD3,1592,991
ETV4_E12_102.3,ETV4,2552,1279
CUL2_2295.10,CUL2,2834,1009
EP300_BD_e18_196.15,EP300,3626,1817
MAP3K6_PKc_E17_137.9,MAP3K6,662,403
XIAP_1494.10,XIAP,1996,1000
OTX2_E2_135.8,OTX2,1800,740
ZNF780A_E6_1410.92,ZNF780A,5248,2594
ZNF669_E4_498.29,ZNF669,3144,1110
MLLT6_ePhd_E3_55.5,MLLT6,1214,482
KCNG4_BTB61160_E1_1560.285,KCNG4,1226,778
CDC7_PKc_E5_94.1,CDC7,1186,446
