Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
MASP2	6	0.089737	1.3336	0.3012	0.64121	0.18233	0.37576
PREP	6	0.086429	1.1305	0.31403	0.64956	0.25825	0.46242
FLT4	6	0.056944	0.37034	0.44153	0.74819	0.71113	0.8135
ZXDA	6	-0.060445	-0.72635	0.95094	0.98581	0.46762	0.64956
AKT1	6	-0.30745	-1.81	0.18882	0.53603	0.070303	0.26069
FBXL13	11	0.07762	1.4613	0.19681	0.54689	0.14393	0.33466
SPIN1	18	0.081938	1.1375	0.073873	0.3329	0.25535	0.45979
ZNF410	6	0.0060483	0.036595	0.7065	0.90467	0.97081	0.98819
ZNF658	5	0.19184	1.6301	0.06931	0.32314	0.10309	0.2903
PIGK	6	-0.014589	-0.2647	0.81318	0.94875	0.79124	0.87511
LITAF	6	-0.016813	-0.15077	0.8223	0.95007	0.88016	0.93078
GATA1	6	-0.075716	-1.2389	0.88192	0.96962	0.21538	0.41241
USP17L21	2	-0.16771	-0.69392	0.57815	0.84178	0.48773	0.66562
BHLHA9	6	-0.2765	-2.105	0.24615	0.60399	0.035289	0.22455
PLK2	6	0.070334	0.7225	0.38078	0.70058	0.46999	0.65129
MYOD1	6	0.072742	1.1766	0.37136	0.69588	0.23937	0.44264
CAPN1	6	-0.051765	-0.74123	0.99715	0.99772	0.45855	0.64333
MAPK15	6	-0.27015	-2.0424	0.25699	0.60755	0.041112	0.23824
ARID3A	6	-0.12604	-1.1796	0.67598	0.88835	0.23817	0.44179
PRSS21	6	-0.10259	-0.77756	0.76412	0.92746	0.43683	0.62588
VPS8	6	0.13586	1.5938	0.14432	0.46084	0.11097	0.29864
TSSK4	6	-0.071691	-0.25703	0.89846	0.97162	0.79715	0.87836
TRIM46	10	-0.012174	-0.23859	0.68796	0.89378	0.81142	0.88832
MLXIPL	6	-0.1068	-1.676	0.74929	0.9237	0.093733	0.28083
ASB13	14	-0.1165	-1.7606	0.63349	0.86812	0.078307	0.26678
TDRD3	6	0.29667	1.7712	0.0037079	0.045936	0.076523	0.26678
SENP3	6	-0.2661	-1.8101	0.26383	0.61442	0.070278	0.26069
SREBF1	6	-0.69769	-3.1424	0.0074159	0.078313	0.0016755	0.029518
ZNF726	6	0.12552	2.0128	0.17627	0.51586	0.044134	0.24178
ERBB4	6	-0.025167	-0.32219	0.86509	0.96698	0.74731	0.84139
ZNF677	6	0.13134	1.6671	0.15516	0.48057	0.095501	0.28243
CAMKV	6	-0.14673	-1.3943	0.59384	0.85004	0.16324	0.35592
ZNF621	6	0.22137	1.9332	0.026811	0.18468	0.053211	0.24823
PRSS1	6	0.25591	1.9262	0.0099829	0.096685	0.054085	0.24823
HCK	6	-0.23764	-1.1898	0.32145	0.65523	0.23414	0.43617
ING4	5	0.024006	0.22664	0.65003	0.88094	0.8207	0.89305
CAMK1	6	0.14522	1.4852	0.12208	0.42167	0.13748	0.32732
ACY3	6	-0.23215	-1.9258	0.33314	0.66553	0.054127	0.24823
SCX	6	-0.30632	-1.8054	0.1911	0.53859	0.071017	0.26099
IRAK1	6	0.2212	1.5677	0.027096	0.18605	0.11696	0.30394
JMJD7	5	-0.0082441	-0.17686	0.80348	0.94403	0.85962	0.91745
WSB2	21	-0.0061285	-0.11925	0.46007	0.75906	0.90507	0.94808
NR2F6	3	-0.22554	-1.4027	0.43896	0.74564	0.16069	0.35294
STK3	6	0.094751	0.76798	0.28266	0.63202	0.4425	0.62912
GCK	6	-0.20867	-2.0049	0.3939	0.70966	0.044976	0.24206
SENP7	6	0.13981	1.6885	0.13434	0.44101	0.09131	0.27959
RNF167	11	0.046164	0.92556	0.33058	0.66266	0.35468	0.55234
TTK	6	-0.8224	-2.2556	0.0028523	0.038023	0.024094	0.18261
43531	5	-0.0015372	-0.025528	0.77125	0.93049	0.97963	0.99246
HLF	6	-0.045798	-0.75931	0.96977	0.99096	0.44767	0.63239
ZNF550	6	-0.2125	-1.6263	0.38306	0.70167	0.10389	0.29148
XPNPEP1	6	-0.086144	-0.82856	0.83542	0.95469	0.40735	0.59907
ZNF577	6	0.10355	1.4075	0.24758	0.60399	0.15928	0.35034
ZNF619	6	0.16619	1.5816	0.083571	0.35301	0.11373	0.30094
ZNF860	4	0.019803	0.12832	0.70337	0.90264	0.8979	0.94309
PRSS42	6	0.04059	0.78973	0.52852	0.80776	0.42969	0.61842
CHD1	12	-0.11775	-1.5091	0.64718	0.87946	0.13126	0.32159
IVNS1ABP	6	0.23196	1.495	0.01911	0.15022	0.13491	0.32447
THAP11	6	-1.6619	-4.5046	0	0	6.65e-06	0.00037605
FLI1	6	0.043978	0.46876	0.51027	0.79688	0.63924	0.76439
RPS6KB2	6	-0.089041	-1.9978	0.82402	0.95007	0.045741	0.24249
PROC	6	0.1145	1.1029	0.21221	0.56957	0.27007	0.47389
TRIM64C	8	-0.1637	-0.9598	0.49315	0.78484	0.33716	0.53584
HTRA2	12	-1.2788	-5.3849	0	0	7.2489e-08	1.2707e-05
GSX1	6	-0.084623	-0.513	0.84427	0.95926	0.60795	0.73756
RFPL3	9	-0.17432	-1.8306	0.42641	0.73537	0.067165	0.25637
CAPN14	6	0.062977	1.1432	0.41443	0.72686	0.25296	0.45738
USP30	6	0.037967	0.21523	0.54136	0.81806	0.82959	0.89773
PCSK6	6	-0.057994	-0.73302	0.96463	0.99005	0.46354	0.64728
OARD1	6	0.2058	1.0128	0.036509	0.22261	0.31115	0.51024
RELB	7	-0.102	-1.0397	0.75841	0.92487	0.2985	0.4993
ZNRF1	6	0.14552	0.94435	0.12094	0.42105	0.34499	0.54259
MAZ	6	-0.069716	-1.1712	0.90616	0.97221	0.24152	0.44451
TCF7	6	-0.095765	-1.0779	0.79321	0.93763	0.28108	0.48403
GLI3	7	0.11244	1.2541	0.17627	0.51586	0.20981	0.40735
PRMT8	8	0.10154	1.0687	0.17142	0.51149	0.28521	0.488
ZNF320	5	0.1469	1.5047	0.15659	0.48327	0.13241	0.32197
TAF1	9	-0.96964	-3.9754	0	0	7.0254e-05	0.0023237
HGFAC	6	0.055382	0.5015	0.44866	0.75191	0.61602	0.74526
F2	5	0.14991	1.602	0.14889	0.46774	0.10916	0.2976
CBX6	5	0.009861	0.081449	0.71535	0.90676	0.93508	0.96737
43535	7	0.13688	1.588	0.11495	0.41164	0.11229	0.3002
HMGB3	6	-0.30978	-0.90327	0.18369	0.52443	0.36638	0.56189
MKRN1	7	-0.25582	-2.1222	0.25642	0.60743	0.033821	0.21757
PPARA	6	-0.027095	-0.36291	0.87479	0.96844	0.71667	0.81765
CHEK2	6	0.020762	0.15565	0.62664	0.86408	0.87631	0.92806
ARID5A	8	-0.10424	-1.2259	0.74301	0.9218	0.22022	0.41826
ZNF506	5	0.083107	0.95763	0.36566	0.69202	0.33825	0.5365
BATF3	6	0.23756	1.9037	0.015687	0.13095	0.056955	0.24823
ZFY	6	0.25023	1.9838	0.011409	0.10582	0.047276	0.24642
UBE2A	7	0.099183	1.0377	0.21506	0.57382	0.29939	0.49979
ROR2	6	0.043265	0.57867	0.51597	0.80159	0.56281	0.7075
BLK	6	-0.060869	-0.74703	0.94723	0.98548	0.45505	0.63995
neg51	1	0.34903	0.59389	0.14575	0.46455	0.55258	0.70126
ZBTB44	11	0.16058	2.1266	0.022533	0.16356	0.033453	0.2168
TRIM58	11	0.072343	0.76687	0.21734	0.57562	0.44316	0.62953
MIER1	6	0.096142	1.0996	0.27752	0.62701	0.2715	0.47546
PSMB1	5	-1.9374	-4.7314	0	0	2.2297e-06	0.00020044
FBXL6	16	-0.18409	-2.2852	0.28808	0.63579	0.022304	0.17504
BAHD1	6	-0.052893	-0.96846	0.99344	0.99742	0.33281	0.53159
neg31	1	0.18989	0.64535	0.46235	0.75925	0.5187	0.68807
DNPEP	6	-0.26312	-1.2983	0.27011	0.61855	0.19419	0.3898
PAPPA	6	-0.00086268	-0.01098	0.74044	0.92166	0.99124	0.99693
TDRD15	6	0.12647	1.0483	0.17399	0.51474	0.2945	0.49546
MMP8	6	0.13154	1.5798	0.15488	0.48011	0.11416	0.3016
FOXJ3	5	0.21028	1.7707	0.051055	0.26958	0.076615	0.26678
UBE2K	7	-0.095706	-1.4556	0.78665	0.9346	0.14551	0.33562
F10	6	-0.02599	-0.41749	0.8688	0.96698	0.67632	0.79066
HOXB7	6	-0.43882	-2.6106	0.062464	0.30672	0.0090391	0.1019
RNF170	10	0.088925	1.0903	0.16515	0.5	0.2756	0.47868
NSD2	6	-0.079935	-1.1115	0.86537	0.96698	0.26635	0.47092
neg92	1	0.28872	0.61306	0.24187	0.5976	0.53984	0.69331
ELK1	6	0.042568	0.32774	0.51825	0.80221	0.74311	0.83854
NEUROG3	6	-0.029365	-0.64054	0.8862	0.97033	0.52182	0.68867
ZBTB45	12	-0.4988	-2.9705	0.0037079	0.045936	0.0029731	0.047597
GMEB1	6	0.14658	1.3504	0.11951	0.41916	0.17689	0.37119
GBX1	6	0.092262	1.5093	0.2935	0.6376	0.13122	0.32159
