Gene	sgRNA	c24|beta	c24|z	c24|p-value	c24|fdr	c24|wald-p-value	c24|wald-fdr
ERBB2	6	-0.074199	-0.51879	0.98464	0.99397	0.60391	0.72957
ERBB3	6	-0.17956	-1.3171	0.68942	0.86202	0.18781	0.36604
ERBB4	6	0.064694	0.50585	0.49204	0.75546	0.61296	0.73486
ERN1	6	-0.029024	-0.17715	0.82935	0.93282	0.85939	0.91188
FASTK	6	0.17912	1.6468	0.20165	0.52832	0.099603	0.27886
FER	6	0.083654	0.98859	0.43316	0.71135	0.32286	0.49942
FES	6	-0.20004	-1.4604	0.63282	0.83458	0.14417	0.32082
FGFR1	6	0.041329	0.22458	0.57253	0.79976	0.82231	0.88348
FGFR2	6	0.26118	1.3189	0.076223	0.32964	0.18722	0.36529
FGFR3	6	-0.23181	-1.1499	0.56286	0.79434	0.2502	0.42539
FGFR4	6	-0.1984	-1.4988	0.63595	0.836	0.13391	0.31099
FGR	6	-0.33182	-1.7244	0.3595	0.66005	0.084642	0.26853
FLT1	6	0.076385	0.61211	0.45307	0.72864	0.54046	0.69327
FLT3	6	0.10624	1.6303	0.36576	0.6629	0.10304	0.28144
FLT4	6	0.017752	0.22661	0.66126	0.85165	0.82073	0.88294
FRK	6	-0.090783	-0.87692	0.95791	0.98537	0.38053	0.55073
FYN	6	0.00014876	0.0015151	0.7227	0.88137	0.99879	1
GAK	6	-1.3789	-3.2559	0.0011377	0.016194	0.0011303	0.018484
GCK	6	-0.087737	-1.1012	0.96786	0.98781	0.27083	0.44706
GRK4	6	-0.21638	-1.8497	0.59699	0.81231	0.064364	0.25895
GRK5	6	0.10947	0.74858	0.35836	0.65934	0.45411	0.6203
GRK6	6	0.090125	0.68241	0.41553	0.69871	0.49498	0.65674
GSG2	6	-0.044864	-0.74941	0.88339	0.96072	0.45361	0.62013
GSK3A	6	0.29057	1.7274	0.047782	0.25688	0.084101	0.26829
GSK3B	6	0.52151	1.7291	0.0014221	0.019685	0.083798	0.26829
GUCY2D	6	-0.06963	-0.77569	0.96985	0.98841	0.43793	0.6055
GUCY2F	6	0.090564	1.1458	0.41354	0.69684	0.25189	0.42763
HCK	6	-0.2738	-2.0584	0.47355	0.74165	0.039552	0.21112
HIPK1	6	-0.062578	-0.46542	0.94568	0.98377	0.64163	0.75624
HIPK2	6	-0.39074	-2.1596	0.2719	0.58921	0.030806	0.18547
HIPK3	6	0.20959	0.94994	0.14562	0.44648	0.34214	0.51786
HIPK4	6	-0.23209	-1.4233	0.56229	0.79434	0.15465	0.33083
HUNK	6	0.38452	1.5093	0.013367	0.11634	0.13122	0.30791
ICK	6	0.18295	1.3859	0.19369	0.51513	0.16579	0.34229
IGF1R	6	-0.89216	-2.2864	0.017918	0.13786	0.022233	0.15091
IKBKB	6	0.27234	1.8179	0.065131	0.30615	0.069082	0.26246
IKBKE	6	0.30556	1.616	0.039818	0.23256	0.1061	0.285
ILK	6	0.158	0.82442	0.24232	0.56924	0.4097	0.57829
INSR	6	-0.25407	-1.231	0.51251	0.76751	0.21833	0.39774
INSRR	6	-0.1405	-0.98059	0.80518	0.92275	0.32679	0.50388
IRAK1	6	0.27752	1.4369	0.059727	0.29207	0.15075	0.32721
IRAK2	6	-0.00054655	-0.0044423	0.72497	0.88323	0.99646	1
IRAK3	6	0.29334	1.4923	0.044937	0.24611	0.13562	0.31289
IRAK4	6	-0.05196	-0.32982	0.91098	0.97237	0.74153	0.82901
ITK	6	0.1106	1.301	0.35466	0.65528	0.19326	0.37018
JAK1	12	-0.20286	-1.5826	0.52503	0.77077	0.11352	0.29187
JAK2	12	0.071609	0.81351	0.29778	0.60872	0.41593	0.58489
JAK3	12	-0.22311	-1.684	0.46416	0.73779	0.092174	0.2739
KALRN	5	-0.10164	-0.95566	0.91468	0.97248	0.33924	0.51573
KDR	6	0.24322	1.6536	0.099261	0.37976	0.098205	0.27802
KIAA1804	6	0.15245	1.3232	0.25398	0.57648	0.18575	0.36353
KIT	6	0.19536	1.2126	0.17065	0.48622	0.22528	0.40413
KSR1	6	-0.018735	-0.10962	0.79437	0.91968	0.91271	0.94747
KSR2	6	0.056468	0.68123	0.52019	0.76881	0.49572	0.65698
LATS1	6	0.39074	1.32	0.011661	0.10677	0.18685	0.36478
LATS2	6	0.39276	1.7331	0.011377	0.10444	0.08307	0.26829
LCK	6	0.1219	1.4997	0.32281	0.62431	0.13369	0.31089
LIMK1	6	-0.10574	-0.89232	0.91468	0.97248	0.37222	0.54215
LIMK2	6	-0.38824	-1.4539	0.27531	0.59002	0.14597	0.32219
LMTK2	6	-0.15302	-1.0058	0.76678	0.90622	0.31449	0.4916
LMTK3	6	0.024347	0.18289	0.63567	0.836	0.85488	0.90919
LRRK1	6	-0.029792	-0.16066	0.83134	0.93357	0.87236	0.92183
LRRK2	6	-0.012473	-0.075117	0.77048	0.90967	0.94012	0.96595
LTK	6	0.048569	0.45027	0.54807	0.78461	0.65252	0.76271
LYN	6	0.098117	1.1034	0.38965	0.67654	0.26983	0.44583
MAK	6	0.14377	0.95496	0.2719	0.58921	0.3396	0.51573
MAP2K1	6	0.20121	1.0856	0.16098	0.47088	0.27768	0.4541
MAP2K2	6	-0.70017	-2.0712	0.055745	0.2804	0.038339	0.20787
MAP2K3	6	-0.47722	-2.4248	0.17264	0.48718	0.015317	0.11983
MAP2K4	6	0.06582	0.8769	0.48805	0.75263	0.38054	0.55073
MAP2K5	6	-0.4257	-2.4994	0.22469	0.54969	0.012439	0.10523
MAP2K6	6	-0.15586	-1.0053	0.75626	0.90105	0.31476	0.4916
MAP2K7	6	-0.58782	-2.2364	0.091013	0.36364	0.025329	0.16544
MAP3K1	17	-0.11541	-1.7106	0.88538	0.96199	0.087153	0.26942
MAP3K10	6	0.053733	0.2977	0.531	0.77405	0.76593	0.84704
MAP3K11	6	-0.082084	-0.56646	0.98919	0.99656	0.57108	0.71609
MAP3K12	6	-0.22049	-1.7422	0.58817	0.80655	0.081478	0.26829
MAP3K13	6	-0.2521	-1.3755	0.51735	0.76751	0.16898	0.34543
MAP3K14	6	0.084099	0.7757	0.43174	0.71067	0.43793	0.6055
MAP3K2	6	-0.71993	-2.0442	0.051763	0.27043	0.040935	0.21578
MAP3K3	6	-0.4337	-2.7298	0.2153	0.53983	0.0063365	0.066732
MAP3K4	6	-0.25956	-1.3854	0.50028	0.75924	0.16592	0.34236
MAP3K5	6	0.047194	0.45087	0.55205	0.78742	0.65208	0.76246
MAP3K6	6	0.16972	0.76828	0.21587	0.53983	0.44232	0.60917
MAP3K7	6	-0.66244	-2.2904	0.070535	0.31959	0.021998	0.15047
MAP3K8	6	0.2801	1.6367	0.057736	0.28632	0.1017	0.28051
MAP3K9	6	0.24739	1.8353	0.09215	0.36652	0.066465	0.25994
MAP4K1	6	-0.25947	-1.4485	0.50085	0.75924	0.14748	0.32361
MAP4K3	6	0.1862	1.6159	0.18515	0.5	0.10611	0.285
MAP4K4	6	0.26997	1.6651	0.067122	0.3089	0.095891	0.27673
MAP4K5	6	0.10978	0.89662	0.35722	0.65846	0.36992	0.53989
MAPK1	6	-0.9874	-3.0343	0.011945	0.10881	0.0024108	0.032982
MAPK10	6	0.12427	1.1241	0.31968	0.62107	0.26095	0.43587
MAPK11	6	-0.14144	-1.1307	0.80233	0.92265	0.2582	0.43333
MAPK12	6	0.050416	0.32982	0.54181	0.78074	0.74153	0.82901
MAPK13	6	-0.35249	-2.2488	0.32878	0.62983	0.024528	0.16303
MAPK14	6	-1.4514	-3.7071	0.00085324	0.012876	0.00020964	0.00455
MAPK15	6	-0.28654	-1.3869	0.44852	0.72406	0.16548	0.34223
MAPK3	6	-0.47643	-1.3883	0.17292	0.48718	0.16506	0.34212
MAPK6	6	-0.49751	-2.0759	0.15586	0.46089	0.037904	0.20696
MAPK7	6	-0.31284	-1.1765	0.39363	0.68077	0.23939	0.41552
MAPK8	6	0.099972	0.54694	0.38652	0.67478	0.58442	0.72066
MAPK9	6	0.15892	1.0559	0.2409	0.56808	0.29103	0.46772
MAPKAPK2	6	-0.26149	-2.0608	0.49659	0.7579	0.039322	0.21112
MAPKAPK3	6	0.093631	0.80385	0.40557	0.68989	0.42148	0.589
MAPKAPK5	6	0.28352	1.5468	0.05347	0.27405	0.12191	0.29808
MARK1	6	0.40622	1.5328	0.0099545	0.097222	0.12532	0.30304
MARK2	6	-6.8707e-06	-5.5035e-05	0.72298	0.88141	0.99996	1
MARK3	6	0.13328	0.79541	0.2975	0.60872	0.42638	0.59354
MARK4	6	0.20848	1.7352	0.14761	0.44896	0.082707	0.26829
MAST1	6	-0.078632	-0.50855	0.99915	0.99943	0.61107	0.73479
MAST2	6	-0.56183	-2.1652	0.10978	0.39308	0.030374	0.18445
MAST3	6	-0.28861	-1.8916	0.44482	0.72174	0.058541	0.25443
MAST4	6	-0.11098	-0.71876	0.89989	0.96907	0.47229	0.63746
MASTL	12	-1.0003	-3.0669	0.00028441	0.0051546	0.0021631	0.030552
MATK	6	-0.20215	-1.6375	0.62941	0.83164	0.10152	0.28051
MELK	6	0.13458	1.224	0.29266	0.60387	0.22095	0.40045
MERTK	6	0.22988	1.5409	0.11433	0.39921	0.12335	0.30063
MET	6	0.3466	1.4504	0.021047	0.15385	0.14695	0.32352
MINK1	6	-0.062871	-0.44359	0.9471	0.98377	0.65734	0.76606
MKNK1	6	-0.43562	-1.4496	0.21416	0.5394	0.14717	0.32361
MKNK2	6	0.029253	0.21221	0.61917	0.82538	0.83194	0.89207
MLKL	6	0.12015	1.1142	0.32708	0.62979	0.26521	0.44089
MOK	6	0.044656	0.51769	0.56086	0.79434	0.60467	0.72957
MOS	6	0.22215	1.225	0.12429	0.41778	0.22057	0.39996
MST1R	6	0.30536	1.8644	0.039818	0.23256	0.062259	0.25816
MTOR	6	-0.88325	-2.9768	0.019625	0.14526	0.0029131	0.037552
MUSK	6	0.061816	0.51943	0.50199	0.75924	0.60346	0.72938
MYLK2	6	-0.51268	-2.639	0.14363	0.44572	0.0083159	0.079486
MYLK3	6	-0.021412	-0.13047	0.80375	0.92265	0.8962	0.93809
MYLK4	6	0.068047	0.74523	0.48009	0.74492	0.45613	0.62218
MYO3A	6	0.17979	1.1623	0.19994	0.52616	0.24512	0.42083
MYO3B	6	-0.10072	-1.3836	0.92918	0.9767	0.16648	0.34255
NEK1	6	0.23221	1.726	0.11177	0.39577	0.084348	0.26829
NEK10	6	0.08052	1.129	0.44283	0.72055	0.25889	0.43407
NEK11	6	0.24778	1.4744	0.091297	0.36436	0.14038	0.31946
NEK2	6	-0.29478	-1.2858	0.43231	0.71128	0.1985	0.37644
NEK3	6	0.15745	0.95086	0.24374	0.56944	0.34168	0.51782
NEK4	6	-0.12997	-0.67764	0.83874	0.93679	0.498	0.659
NEK5	6	0.33456	1.568	0.025597	0.17613	0.11688	0.29448
NEK6	6	-0.20267	-0.78748	0.62856	0.83114	0.431	0.59802
NEK7	6	0.14371	1.1165	0.27218	0.58921	0.26422	0.43986
NEK8	6	-0.3307	-1.7936	0.36206	0.66164	0.072871	0.26305
NEK9	6	-0.24634	-1.1261	0.52816	0.77182	0.26014	0.43535
NIM1K	6	0.10757	1.508	0.36263	0.66165	0.13155	0.30791
NLK	6	0.00054417	0.0061557	0.72127	0.88056	0.99509	0.99964
NPR1	6	-0.4083	-1.6521	0.24488	0.5703	0.098517	0.27802
NPR2	6	0.066773	0.45238	0.48464	0.74956	0.651	0.76185
NRBP1	6	-1.3004	-3.0056	0.0025597	0.032258	0.0026506	0.035301
NRBP2	6	-0.17814	-0.95492	0.69511	0.86556	0.33962	0.51573
NRK	6	0.30518	1.8607	0.039818	0.23256	0.062784	0.25854
NTRK1	6	-0.0061401	-0.077631	0.7446	0.89294	0.93812	0.96445
NTRK2	6	-0.20425	-1.0331	0.62429	0.82799	0.30154	0.47844
NTRK3	6	0.25681	1.66	0.081342	0.34086	0.096918	0.27795
NUAK1	6	0.2333	1.2728	0.10922	0.39144	0.20309	0.38083
NUAK2	6	0.13383	1.3164	0.29636	0.60872	0.18806	0.36613
OBSCN	12	0.047082	0.25631	0.38367	0.67478	0.79771	0.86727
OXSR1	6	0.15338	1.5542	0.25228	0.57523	0.12014	0.29722
PAK1	6	0.14513	1.5523	0.2682	0.58882	0.12058	0.29768
PAK2	6	-0.050251	-0.17434	0.90301	0.96947	0.8616	0.91357
PAK3	6	0.37955	1.5318	0.013936	0.1198	0.12558	0.30339
PAK4	6	-0.30493	-1.9006	0.41354	0.69684	0.057356	0.25271
PAK6	6	-0.053623	-0.21339	0.91439	0.97248	0.83102	0.89163
PAK7	6	0.30745	1.7989	0.03868	0.23012	0.072034	0.26246
PASK	6	0.11098	0.8568	0.35438	0.65528	0.39155	0.5617
PBK	6	-0.0034798	-0.030184	0.73692	0.88798	0.97592	0.98659
PDGFRA	6	-0.24125	-1.1147	0.54096	0.78065	0.26498	0.44072
PDGFRB	6	0.23634	1.7385	0.10637	0.38837	0.08213	0.26829
PDIK1L	6	0.046988	0.30604	0.55404	0.78898	0.75958	0.84275
PDK1	5	-0.17764	-1.3416	0.71416	0.87535	0.17972	0.35674
PDK2	6	-0.26407	-1.4315	0.49289	0.75644	0.1523	0.32872
PDK3	6	-0.071932	-0.53165	0.97753	0.99135	0.59497	0.72418
PDK4	6	0.26058	1.8959	0.077361	0.33333	0.057972	0.25352
PDPK1	5	-0.017687	-0.13342	0.81883	0.92602	0.89386	0.93702
PHKG1	6	-0.23322	-1.2413	0.55944	0.79347	0.21448	0.39359
PHKG2	6	-0.43497	-1.9573	0.21445	0.53967	0.050309	0.2423
PIK3R4	6	-1.0817	-2.7027	0.0068259	0.072072	0.0068785	0.071295
PIM1	6	0.041157	0.19722	0.57366	0.8004	0.84366	0.90106
PIM2	6	0.22281	1.5596	0.12287	0.4134	0.11885	0.29617
PIM3	6	0.14396	0.97206	0.27162	0.58921	0.33102	0.50869
PINK1	6	0.045897	0.491	0.55717	0.7912	0.62343	0.74204
PKMYT1	6	-0.8225	-2.0972	0.027588	0.18371	0.03598	0.20116
PKN1	6	-0.21231	-2.1208	0.60694	0.81714	0.033936	0.19402
PKN2	6	-0.22066	-1.0481	0.58788	0.80648	0.29461	0.47169
PKN3	6	0.05736	0.48245	0.51706	0.76751	0.62949	0.74647
PLK1	6	-1.9806	-3.8313	0	0	0.00012749	0.0031346
PLK2	6	-0.044486	-0.72608	0.88254	0.96038	0.46779	0.63381
PLK3	6	0.12014	1.7876	0.32708	0.62979	0.073833	0.26374
PLK4	6	-1.4689	-2.3129	0.00085324	0.012876	0.020728	0.14539
PNCK	6	-0.19903	-1.735	0.63481	0.83596	0.082747	0.26829
POMK	4	0.15693	1.2268	0.35154	0.65227	0.2199	0.39971
PRKAA1	6	-0.23324	-1.8051	0.55944	0.79347	0.071057	0.26246
PRKAA2	6	0.21505	1.0056	0.13538	0.43312	0.31462	0.4916
PRKACA	6	-0.14803	-1.3423	0.78043	0.91287	0.1795	0.35663
PRKACB	6	0.2713	1.52	0.066268	0.30789	0.12852	0.30664
PRKACG	6	-0.32069	-1.3699	0.38026	0.67355	0.17073	0.34679
PRKCA	6	0.051837	0.45789	0.53726	0.77947	0.64703	0.75857
PRKCB	6	0.27558	1.4019	0.061149	0.29696	0.16093	0.33701
PRKCD	6	-0.34469	-2.5068	0.33817	0.63788	0.012182	0.10422
PRKCE	6	0.36801	1.5096	0.015643	0.12528	0.13114	0.30791
PRKCG	6	0.12653	0.67313	0.31456	0.61926	0.50087	0.66105
PRKCH	6	0.011089	0.10022	0.68231	0.85801	0.92017	0.95375
PRKCI	6	0.14539	1.4918	0.26763	0.58849	0.13576	0.31299
PRKCQ	6	0.2266	1.7381	0.11718	0.40234	0.082195	0.26829
PRKCZ	6	-0.15154	-1.2442	0.77105	0.90973	0.21344	0.39229
PRKD1	6	0.17575	1.0973	0.2062	0.53139	0.2725	0.44931
PRKD2	6	-0.090069	-0.51827	0.95961	0.98655	0.60427	0.72957
PRKD3	6	0.018885	0.11838	0.65557	0.84779	0.90576	0.94376
PRKDC	6	-1.3881	-4.1673	0.0011377	0.016194	3.0822e-05	0.00096758
PRKG1	6	-0.044379	-0.53268	0.88197	0.96006	0.59425	0.72396
PRKG2	6	-0.089222	-0.95894	0.96217	0.98774	0.33759	0.51406
PRKX	6	0.13416	0.857	0.29437	0.60562	0.39144	0.5617
PRKY	5	0.37186	1.5301	0.021331	0.15496	0.126	0.30339
PRPF4B	6	-1.692	-3.4019	0.00056883	0.0091743	0.00066919	0.011943
PSKH1	6	0.23242	1.4005	0.11121	0.39455	0.16135	0.33769
PSKH2	6	0.31186	1.8508	0.036121	0.21897	0.064196	0.25895
PTK2	6	0.044284	0.3996	0.56286	0.79434	0.68945	0.79039
PTK2B	6	0.039192	0.60931	0.58077	0.80552	0.54232	0.6949
PTK6	6	-0.47549	-2.5604	0.17378	0.48843	0.010454	0.094645
PTK7	6	-0.35682	-2.2305	0.32025	0.62107	0.025713	0.16619
RAF1	6	-1.0572	-2.9028	0.0079636	0.082353	0.0036984	0.044533
RET	6	-0.15051	-0.89743	0.77304	0.91055	0.36949	0.53989
