sgRNA,Gene,DLD1-Cont2_P10.13.initial,DLD1-Cont2_P10.13.final
NEURL3_789.87,NEURL3,1691,1556.4
UBTF_E8_111.15,UBTF,1998,1309
PRSS21_945.144,PRSS21,692,504.8
L3MBTL1_MBT277374_E1_2523.363,L3MBTL1,787,651.8
MBD5_PWWP13831460_E1_4485.219,MBD5,382,282.4
PSIP1_PWWP387_E1_1593.12,PSIP1,503,362.2
POMK_PKc_E5_705.23,POMK,2235,2869.2
CAMTA2_E5_136.19,CAMTA2,1845,1631.6
ZNF491_E3_1176.96,ZNF491,713,510.2
ADAM12_2730.376,ADAM12,730,856.4
EIF3H_1059.85,EIF3H,1089,762.4
DPYS_157.13,DPYS,909,784.4
UBE2T_594.55,UBE2T,921,1099.6
SETMAR_e2_380.25,SETMAR,1621,1366.6
ZNF141_E4_666.28,ZNF141,2928,2407.8
DNAJC1_E9_114.14,DNAJC1,5109,4495.2
DNAJC1_SANT_E9_114.14,DNAJC1,5109,4495.2
ASB12_957.57,ASB12,731,601
DUXA_E2_135.5,DUXA,3670,2229.2
FOXF2_E1_234.0,FOXF2,591,616.6
USP21_1698.91,USP21,1274,1231
ZNF572_E3_1077.51,ZNF572,571,350.2
HERC1_14586.1030,HERC1,1209,1433.2
MAST2_PKc_E15_209.13,MAST2,1890,2158
ADAM8_2475.103,ADAM8,2089,2177.6
ZNF615_E7_1578.91,ZNF615,3435,2943.6
BMPR2_PKc_E11_99.2,BMPR2,611,535.6
OVGP1_2037.243,OVGP1,2694,3919.4
ZNF366_E3_192.17,ZNF366,1702,2068.8
USP26_2742.176,USP26,1911,1687.6
GGTLC2_657.4,GGTLC2,1516,1253
ZNF713_E7_480.17,ZNF713,3163,3037.4
ZNF879_E5_1077.58,ZNF879,2232,1749.6
PhIP_BD2_e36_153.0,PhIP,2928,2935.4
CAPN11_2220.28,CAPN11,1467,1543
MBTPS2_1560.74,MBTPS2,758,512.4
ZNF419_E5_666.38,ZNF419,1858,1413.4
ZNF526_E3_963.118,ZNF526,192,144.8
POU3F2_E1_174.2,POU3F2,1399,1054.4
ZNF302_E6_495.22,ZNF302,1664,1188.8
SP3_E6_121.3,SP3,1827,1715.2
MEOX1_E2_129.6,MEOX1,2583,2420.6
FBXL20_1,FBXL20,1898,1676.2
HDAC4_e19_56.3,HDAC4,1553,1914.6
PRMT7_e5_73.0,PRMT7,1266,1141.2
ZNF708_E4_1233.72,ZNF708,1564,867
ZNF614_E5_666.37,ZNF614,1551,1285.6
PCSK6_2910.128,PCSK6,697,653.4
RNF17_tudor12321277_E1_4872.146,RNF17,2066,2017
ZNF300_E7_1077.97,ZNF300,2999,2997.2
PRKCB_PKc_E10_174.3,PRKCB,2479,3496
MIB1_3021.141,MIB1,2879,2142.8
THAP4_E2_196.14,THAP4,1475,1683
ZNF75A_E7_237.4,ZNF75A,633,418
MBD1_E9_117.0,MBD1,1373,1111.6
GLI2_E9_54.1,GLI2,1604,2946.8
ZKSCAN1_E6_555.61,ZKSCAN1,1468,1001.4
ATXN3_933.3,ATXN3,2605,2730.2
neg41,neg41,4871,4527.8
ZNF532_E11_447.25,ZNF532,1119,1279.4
ZGLP1_E3_94.12,ZGLP1,1936,2229.6
ZNF577_E7_657.41,ZNF577,1036,1187.6
MYLIP_1338.102,MYLIP,2253,2592.8
KDM2B_4011.59,KDM2B,1399,1983.8
ZNF100_E5_1155.49,ZNF100,2243,1531.2
ZNF688_E3_153.14,ZNF688,515,496.6
NEDD4L_2565.217,NEDD4L,1369,1261.2
TRIM32_1962.193,TRIM32,2754,3713.8
ZNF92_E4_1059.39,ZNF92,1840,1050.2
ZNF658_E5_2301.13,ZNF658,3917,4801.4
TRIM33_BD_e17_75.0,TRIM33,588,328.4
AHR_E2_126.1,AHR,1786,1445.8
DPP4_2301.139,DPP4,1317,1449
PSMA1_810.51,PSMA1,1302,1039.2
ZNF774_E4_996.62,ZNF774,1221,1365.8
BTBD7_BTB137235_E1_3399.35,BTBD7,1172,1080.4
ASB4_1281.152,ASB4,983,908.2
PRMT3_e10_100.1,PRMT3,2630,1739
PKN2_PKc_E17_63,PKN2,2015,2318.4
RNF223_750.151,RNF223,853,773.2
HMGB2_E3_146.2,HMGB2,1573,1448.4
TEAD3_E2_169.25,TEAD3,1582,2596
RNF146_1077.89,RNF146,1785,1877
CBLL1_1473.20,CBLL1,533,222.2
RREB1_E12_798.172,RREB1,1484,1202.2
SMARCA4_BD_e31_52.1,SMARCA4,1240,1356.4
SOX5_E14_107.5,SOX5,1740,946.4
ENPEP_2874.296,ENPEP,1452,1308.8
PAX3_E6_39.0,PAX3,1811,2008.8
DPP4_2301.125,DPP4,1616,2162.4
POU3F3_E1_174.13,POU3F3,2025,1716.4
RNF135_1299.6,RNF135,1440,1339.6
SEBOX_E2_135.17,SEBOX,1588,2267
TAL2_E1_168.10,TAL2,1962,1473.6
NAALAD2_2223.197,NAALAD2,1625,1502.6
NAALADL1_2223.42,NAALADL1,1981,1819.6
CPM_1332.127,CPM,1608,1281.8
CTSZ_912.43,CTSZ,1195,1168.4
EP300_BD_e17_111.2,EP300,1956,1282.2
OTUD5_1716.253,OTUD5,1660,1702.6
USP39_1698.174,USP39,1470,1273
ZSCAN23_E4_405.18,ZSCAN23,2393,2054.4
IDE_3060.2,IDE,1834,1680.6
MAP4K3_PKc_E5_56,MAP4K3,1487,1064.6
ROCK2_PKc_E5_261.9,ROCK2,2248,2470.6
KIT_PKc_E15_92.5,KIT,1434,1069.8
ZBTB24_BTB27133_E1_2094.214,ZBTB24,657,601.2
NFKB1_E8_159.9,NFKB1,2084,2048.6
NFXL1_2736.127,NFXL1,1136,1118.2
MTF2_Phd2_E7_96.1,MTF2,1436,1319
JMJD4_E3_126.0,JMJD4,1250,1503.8
PRSS33_843.46,PRSS33,1117,1009.8
CAPN9_2073.242,CAPN9,865,702.6
PCSK5_5583.101,PCSK5,1555,1449
MAF_E1_258.19,MAF,1103,765
neg27,neg27,9667,8652.8
ADAM21_2169.181,ADAM21,3062,2660.8
ZNF800_E4_81.1,ZNF800,1418,637.8
ZBTB7A_E3_169.14,ZBTB7A,1623,1377.4
ZNF394_E3_69.0,ZNF394,1112,725.6
FOXP2_E14_102.4,FOXP2,2628,3079.2
HMX1_Ex_176.20,HMX1,1258,1160.4
TRIM46_2280.467,TRIM46,244,222.2
SCML2_MBT36131_E1_2103.235,SCML2,767,714.4
NFIX_E9_148.27,NFIX,1676,1921.8
KCTD19_BTB1872_E1_2781.442,KCTD19,833,510.2
ZNF100_E5_1155.84,ZNF100,2552,1988.2
NSD1_Phd2_E13_141.17,NSD1,1070,640
NR4A3_E4_84.9,NR4A3,715,889.4
FBXL13_2208.12,FBXL13,6339,7136.8
FBXL2_3,FBXL2,6339,7136.8
RBX1_327.14,RBX1,652,542.6
MMP13_1416.36,MMP13,1998,1761.2
ZBTB37_BTB22122_E1_1512.14,ZBTB37,1175,796.6
CPD_4143.197,CPD,1767,1187
CPN1_1377.199,CPN1,1142,1329.6
SKP2_1275.60,SKP2,1284,667.6
ELK4_E2_159.13,ELK4,1050,670
DCUN1D1_735.41,DCUN1D1,1077,1021.4
HERC6_3069.167,HERC6,1351,1059.2
USP17L4_1593.41,USP17L4,1831,1707.8
GRHL1_E8_95.0,GRHL1,2617,2768.6
ZNF560_E10_1560.69,ZNF560,1818,1490.8
KLF11_E4_131.9,KLF11,800,783.6
ZNF764_E3_489.60,ZNF764,633,421.4
MIER1_SANT_E12_81.6,MIER1,1041,585.8
CAPN2_2103.72,CAPN2,1254,901
SIAH1_942.76,SIAH1,1320,895.4
ASB2_1908.188,ASB2,1075,1185.4
FBXO4_6,FBXO4,1246,915.4
SGK3_PKc_E11_113.3,SGK3,469,379.4
ZNF680_E4_1086.37,ZNF680,2417,1911.2
GDAP2_Macro54193_E1_1494.19,GDAP2,1229,686.2
MEP1B_2106.42,MEP1B,1653,1556.6
WWP2_2613.241,WWP2,1853,1126.8
ZBTB6_BTB23127_E1_1275.8,ZBTB6,768,610.6
ADAMTS19_3624.135,ADAMTS19,1282,848.4
MMP9_2124.44,MMP9,612,667.8
LAP3_1560.94,LAP3,2744,3119.6
MARCH8_876.63,8-Mar,519,671
ZBTB47_E3_148.5,ZBTB47,1079,893.6
MYF6_E1_177.6,MYF6,1370,1239.4
ZNF710_E2_450.23,ZNF710,492,403.2
KDM5D_Phd1_E9_138.12,KDM5D,622,419.2
IRF5_E3_171.8,IRF5,2134,1755
ASB15_1767.49,ASB15,1826,1716.2
ZNF230_E5_810.34,ZNF230,2213,1752.6
KDM5D_Phd1_E9_138.2,KDM5D,958,881.8
KDM2B_14,KDM2B,358,266.4
PARK2_1398.103,PARK2,531,399.4
COPS6_984.11,COPS6,1349,986.4
NEURL3_789.91,NEURL3,506,426.8
SOCS1_636.75,SOCS1,228,218.8
KLK7_762.17,KLK7,1387,1215.2
VEZF1_E2_78.1,VEZF1,3005,2544.2
EPHB2_PKc_E11_248.3,EPHB2,396,337
ZNF486_E4_663.13,ZNF486,1888,1953.4
SPI1_E5_261.22,SPI1,283,277.6
HINFP_E10_81.2,HINFP,371,126.4
ZBTB4_E3_164.5,ZBTB4,1338,1210.4
SBK1_PKc_E2_70.8,SBK1,472,370.6
ZNF512B_E12_171.12,ZNF512B,227,182.8
MARCH4_1233.153,4-Mar,789,1061
ZNF26_E5_1047.40,ZNF26,1094,693.2
ZBTB20_E5_215.6,ZBTB20,2041,2753.8
TRAF6_1569.99,TRAF6,798,617.6
neg13,neg13,6849,5596
SRY_E1_234.11,SRY,2399,1937.4
SENP5_2268.107,SENP5,1526,1209.2
MYBL2_SANT3_E6_46.1,MYBL2,1689,1151
CUL2_2295.35,CUL2,1827,1341.8
HDAC4_e20_88.1,HDAC4,1893,1517.6
ZMIZ2_E14_68.7,ZMIZ2,2701,2849.8
ZMIZ2_2763.375,ZMIZ2,2701,2849.8
NEURL1B_1668.323,NEURL1B,695,986.4
NSD1_Phd3_E14_110.8,NSD1,783,720.4
ZBTB33_BTB22116_E1_2019.6,ZBTB33,403,291.4
FBXL4_1,FBXL4,1656,1762.6
UBE2C_540.24,UBE2C,736,715
NR2F2_E1_208.19,NR2F2,2423,2833.6
KLHL11_BTB85200_E1_2127.5,KLHL11,430,414.6
ARNT2_E4_157.10,ARNT2,2007,2197
SIX6_E1_147.22,SIX6,589,523
MDM4_1473.65,MDM4,856,1091.4
RFPL3_954.118,RFPL3,3179,2794.2
PIAS4_1533.299,PIAS4,1420,1295.8
ADAM19_2757.47,ADAM19,1552,949.2
SOCS2_597.36,SOCS2,2128,1536.2
PRKDC_PKc_E84_189.21,PRKDC,398,270
ZNF766_E4_582.5,ZNF766,1928,1506.6
OLIG2_E2_174.3,OLIG2,3286,4349.8
KMT2C_Phd5_E19_134.0,KMT2C,813,914
ZNF436_E4_918.41,ZNF436,1015,1066.2
DPF2_Phd2_E10_82.3,DPF2,1895,1590.8
FBXW7_2124.82,FBXW7,1439,1448.4
ZNF687_E4_179.7,ZNF687,1192,1557.2
TBR1_E1_86.6,TBR1,4015,3842
TSC22D1_E3_138.9,TSC22D1,1797,1335.4
MAPK13_PKc_E4_109.9,MAPK13,1370,1017.2
KLHL5_BTB210317_E1_2268.188,KLHL5,1545,944.6
BRAP_1779.37,BRAP,480,512.4
ZNF814_E3_1911.119,ZNF814,680,564.6
PCGF5_771.3,PCGF5,2833,2349.4
IRAK2_PKc_E8_110.3,IRAK2,1722,2450
HAND2_E1_177.18,HAND2,1246,1114
PGPEP1_630.41,PGPEP1,729,858.2
RIOK2_PKc_E2_139.6,RIOK2,525,461.6
THRA_E4_69.2,THRA,1229,865.4
TYRO3_PKc_E13_81,TYRO3,994,943
PARP14_Macro801977_E1_5406.409,PARP14,693,668.2
MLL5_e13_110.3,MLL5,1656,1129.8
RUNX1_E4_129.5,RUNX1,1600,2143.6
HOXD1_E2_168.8,HOXD1,2092,1599
DBX2_E3_123.7,DBX2,1328,823.6
NLN_2115.78,NLN,1943,2202
USP10_2409.164,USP10,1247,691.2
SIX4_E1_165.0,SIX4,1237,671.8
KCTD12_BTB36126_E1_978.191,KCTD12,841,850.4
EIF3H_1059.95,EIF3H,1146,930.8
ZNF432_E5_1392.61,ZNF432,2750,1878
TRIM32_1962.295,TRIM32,1605,1585.2
EBF3_E2_157.2,EBF3,1075,689
RNF19B_1764.58,RNF19B,1089,849.4
NFE2L3_E4_135.2,NFE2L3,1908,1253.2
ECT2L_2715.245,ECT2L,540,345.6
PRKX_PKc_E5_96.9,PRKX,530,351.8
AKT3_PKc_E4_36,AKT3,679,398.6
ACAT1_e8_96.0,ACAT1,2576,1582.8
ZBED1_E2_150.14,ZBED1,618,507.6
IKZF5_E5_187.6,IKZF5,1542,1823.6
GGH_957.9,GGH,1767,1564
MASP2_717.15,MASP2,1880,2236
KMT2C_ePhd2_E52_315.21,KMT2C,282,409.6
SH3RF2_2190.406,SH3RF2,281,233.2
KDM4A_e6_50.2,KDM4A,1156,1110
ZNF665_E4_1497.59,ZNF665,1809,1586.6
NR1I3_E2_77.0,NR1I3,1305,1309.2
ZBTB37_BTB22122_E1_1512.7,ZBTB37,1141,761.6
ASB14_1764.97,ASB14,1336,920.6
PLG_141.0,PLG,636,465.2
ASCL1_E1_126.12,ASCL1,1523,1736.2
SOHLH2_E7_130.0,SOHLH2,3235,2087.6
ZBED2_E2_162.21,ZBED2,643,522
ETV5_E12_102.1,ETV5,2463,1395.6
KCTD3_BTB20112_E1_2448.243,KCTD3,729,558.2
TBX2_E5_139.0,TBX2,338,455.8
KCNG4_BTB61160_E1_1560.29,KCNG4,1521,1580
ZBTB2_E3_639.1,ZBTB2,615,505.8
BRD1_ePhd_E2_354.11,BRD1,816,960.2
FBXO11_2784.140,FBXO11,1432,1391.8
RFX6_E4_62.6,RFX6,1572,1280
ZNF821_E7_165.15,ZNF821,2375,2534.6
ARNT2_E4_157.9,ARNT2,2634,2663.2
RUNX3_E3_157.11,RUNX3,3351,3527
TRIM31_1278.143,TRIM31,1322,924
ASB7_957.69,ASB7,2433,2240.4
PTF1A_E1_168.4,PTF1A,2098,2094.6
DTX1_1863.22,DTX1,311,283.8
TOX2_E5_144.13,TOX2,2248,2166.6
ADAMTS18_3666.424,ADAMTS18,1061,1149.6
RAPSN_1239.111,RAPSN,372,251.2
NEK10_PKc_E24_76.1,NEK10,678,591.8
ZNF556_E4_492.22,ZNF556,2328,2354
ZNF419_E5_666.16,ZNF419,2163,1824.4
FBXL5_2076.1,FBXL5,1349,1623.2
RNF149_1203.136,RNF149,2332,2066.2
POU2F2_E10_63.1,POU2F2,1549,1023.4
ADAM12_2730.82,ADAM12,3170,4119
USP43_3372.446,USP43,2278,2289.4
PRSS37_708.12,PRSS37,2355,2430.6
ANAPC11_255.27,ANAPC11,1005,1208
AMBRA1_3906.700,AMBRA1,1438,1081.8
NSD3_e21_142.4,NSD3,313,337.2
BATF_E3_81.3,BATF,764,553.8
UBE2Z_1065.137,UBE2Z,1474,1725.4
MASP1_2187.114,MASP1,1836,1933.2
ZNF688_E3_153.13,ZNF688,2463,2616.2
AIRE_E6_81.6,AIRE,719,733.4
PRDM13_E4_69.2,PRDM13,2171,1955.2
KDM5D_Phd1_E9_138.15,KDM5D,1081,901.2
HLTF_3030.8,HLTF,1948,2021.6
UBE3B_3207.273,UBE3B,483,616.8
TEC_PKc_E18_60,TEC,572,385.2
RNF114_687.86,RNF114,843,848
ZNF502_E5_1161.80,ZNF502,3243,3121.4
RYK_PKc_E13_160.9,RYK,1031,778.2
RAG1_3132.371,RAG1,142,96.2
TRIM40_777.80,TRIM40,1223,933
EAF2_E3_137.3,EAF2,3662,3259.8
ZNF253_E4_828.53,ZNF253,2047,1988.6
STAT5B_E14_69.0,STAT5B,935,923.8
C1RL_1464.1,C1RL,1565,1353
FBXL21_1305.58,FBXL21,1031,1136.4
ZHX1_E3_1074.93,ZHX1,722,669.2
MOZ_e14_210.0,MOZ,1443,1054
RHBDF1_2568.429,RHBDF1,960,1168.6
UBE3B_3207.404,UBE3B,864,632.8
SPIN4_Spinlin201245_E1_750.47,SPIN4,1271,1031.4
ASB5_990.44,ASB5,2315,2473.2
RNF213_15624.36,RNF213,990,1226
HOXC11_E2_171.6,HOXC11,1720,1423.8
TPP2_3750.262,TPP2,1599,1306
G2E3_ePhd_E4_102.0,G2E3,1479,937.2
PIAS3_E9_129.5,PIAS3,1578,1688.2
PIAS3_1887.231,PIAS3,1578,1688.2
PGR_E2_103.11,PGR,2902,2311.2
ADCK3_PKc_E9_82.2,ADCK3,1926,2745.6
CASP5_879.21,CASP5,1013,991.8
ZNF222_E4_483.23,ZNF222,2732,3488.8
HABP2_1683.114,HABP2,871,833
KDM4C_e6_50.0,KDM4C,3461,2953
TTF2_D_e22_75.1,TTF2,3463,2579
SH3RF3_2649.0,SH3RF3,1179,1393.8
CUX2_E21_155.18,CUX2,1378,1140
KBTBD7_BTB53168_E1_2055.14,KBTBD7,1546,1092.4
FBXO34_2136.161,FBXO34,1634,1266.4
KMT2D_16614.1372,KMT2D,909,862.4
ZBTB21_BTB20120_E1_3201.1,ZBTB21,1032,1046.6
ESRRA_E4_62.9,ESRRA,633,623.8
NFE2L2_E5_183.1,NFE2L2,1271,671.6
UBE2G1_513.35,UBE2G1,2138,1430.8
ZNF681_E4_1239.93,ZNF681,1386,1040
MYLK4_PKc_E6_110.3,MYLK4,565,442.6
ZNF155_E5_750.67,ZNF155,2798,2769.4
CPO_1125.73,CPO,621,424
PAX1_E2_384.54,PAX1,919,699.8
RAI1_ePhd_E4_94.6,RAI1,1698,1603.2
EBF2_E2_157.9,EBF2,1371,1458.2
PRSS48_987.109,PRSS48,2803,2514.8
TNIK_PKc_E3_57.2,TNIK,710,654
BRCC3_951.101,BRCC3,1694,1461.6
ZSCAN5A_E5_327.36,ZSCAN5A,1326,944.4
BRDT_BD2_e6_150.7,BRDT,850,899.4
PRKY_PKc_E2_169.3,PRKY,683,513.2
NFYA_E9_66.5,NFYA,3820,3429.4
PRDM9_e8_158.7,PRDM9,4003,3331.6
ZNF135_E4_1170.30,ZNF135,1141,1164
PGR_E3_117.7,PGR,1170,1048.4
TRIM49B_4,TRIM49B,1121,1261.8
MYBL2_SANT_E4_52.2,MYBL2,1163,643.4
TFRC_2283.161,TFRC,735,418.8
SHPRH_H_e26_93.4,SHPRH,1565,1714.8
SHPRH_5052.250,SHPRH,1565,1714.8
GGT1_1710.98,GGT1,1138,1321.6
ADAM17_2475.37,ADAM17,1052,898
TCF7L1_E10_99.1,TCF7L1,1142,1011.4
DCLK3_PKc_E5_86.5,DCLK3,884,684.8
MBD1_CXXC217262_E1_1968.62,MBD1,565,423.6
MEIS3_E10_36.0,MEIS3,902,940
SMAD1_E2_372.22,SMAD1,1774,1947.8
MMP23B_165.8,MMP23B,1085,1018
PHF19_Phd2_E7_96.0,PHF19,1072,1315.8
UQCRC2_1362.125,UQCRC2,2112,1413.6
FBXO11_2784.19,FBXO11,976,491.4
ZSCAN23_E4_405.40,ZSCAN23,858,801.6
DCAF10_1680.133,DCAF10,764,575.8
IRX5_E2_177.2,IRX5,348,252.2
TOPORS_2943.221,TOPORS,1156,700
TEC_PKc_E14_217,TEC,1051,715.6
SMAD5_E4_372.40,SMAD5,1740,1539.6
SPPL3_1155.44,SPPL3,702,672
ZNF569_E6_1494.56,ZNF569,2047,1720
GMEB1_E4_111.2,GMEB1,1752,1862.6
FBXL7_1476.194,FBXL7,594,587.6
ZNF671_E4_573.42,ZNF671,1975,1742
HMX3_E2_174.11,HMX3,1530,1275.2
ZNF148_E6_67.0,ZNF148,2732,2021
SUV39H1_e5_130.10,SUV39H1,1527,1160.2
MMP13_1416.111,MMP13,1374,1051.6
BIRC8_711.10,BIRC8,722,804.2
BACH1_E5_57.2,BACH1,821,441.8
ZNF841_E7_1674.131,ZNF841,1745,1142.4
WDTC1_2034.241,WDTC1,1085,1028.4
KLF4_E5_78.4,KLF4,871,505.6
GZMM_774.144,GZMM,1027,719
ZFY_E8_588.0,ZFY,2182,2157.4
GZF1_BTB21133_E1_2136.275,GZF1,535,665.2
HIF1A_E2_187.9,HIF1A,1413,745.6
FBXL4_1866.60,FBXL4,656,501.4
RFWD3_2325.60,RFWD3,1846,1669
ZNF846_E6_1053.48,ZNF846,1265,1254
KCTD13_BTB43133_E1_990.8,KCTD13,897,677.6
UBE2G1_513.28,UBE2G1,1801,1524.4
ZNF528_E7_1308.66,ZNF528,1547,880.6
SALL4_E3_266.34,SALL4,999,820.4
ELF4_E7_188.17,ELF4,2072,1763
ZNF76_E8_126.12,ZNF76,2409,3155.2
ZBTB9_BTB38140_E1_1422.246,ZBTB9,1082,1012
ZNF668_E2_410.27,ZNF668,983,1045
ARNTL2__158.5,ARNTL2,2341,2060.4
USP36_115.7,USP36,636,438.2
NRBP1_PKc_E3_123,NRBP1,612,539.6
NFE2_E4_297.6,NFE2,682,661.8
ZNF500_E6_330.36,ZNF500,1012,816.4
NR1I3_E3_131.4,NR1I3,1839,1578.6
INTS12_Phd_E5_139.3,INTS12,309,347.8
ZNF708_E4_1233.71,ZNF708,2378,2034.2
TRERF1_E17_212.27,TRERF1,1883,2272.2
MYLIP_1338.17,MYLIP,1514,1496
TMPRSS3_984.118,TMPRSS3,1046,1049.6
PCGF2_1035.93,PCGF2,1249,1371
PRSS36_2568.382,PRSS36,2184,1814.6
ZNF432_E5_1392.68,ZNF432,3005,2760
KCNA1_BTB39130_E1_1488.211,KCNA1,793,506.4
UTY_e25_115.5,UTY,2425,2088.8
ST18_E11_112.0,ST18,1109,986.6
ZNF333_E12_972.28,ZNF333,2482,2614.8
EBF1_E12_51.1,EBF1,993,777.2
DNPEP_1458.99,DNPEP,1358,1272.6
CAMKV_PKc_E4_75.5,CAMKV,554,385.6
DMTF1_SANT3_E14_152.10,DMTF1,1202,949.6
NFATC2_E4_203.6,NFATC2,2690,2052.4
SUV39H2_e3_105.3,SUV39H2,1316,1098.2
CBX3_Chromo_E4_67.1,CBX3,887,340.4
TRIM27_1373.225,TRIM27,2272,2743
BTBD7_BTB268397_E1_3399.52,BTBD7,1676,1752.8
TNFAIP3_2373.24,TNFAIP3,1614,1036.6
UBE2QL1_486.65,UBE2QL1,1125,1172.2
ATF2_e11_150.9,ATF2,1758,1762.6
USP21_1698.2,USP21,1172,1256.8
NEUROD4_E2_171.15,NEUROD4,835,873.4
TRIM67_2352.316,TRIM67,2341,1997.6
MPHOSPH8_Chromo_E2_114.3,MPHOSPH8,591,813.8
DNAJC2_E14_101.2,DNAJC2,2968,3776.8
DNAJC2_SANT_E14_101.2,DNAJC2,2968,3776.8
ROS1_PKc_E40_201.18,ROS1,1060,973.4
CAD_6678.298,CAD,1149,1512.4
IKZF3_E5_168.18,IKZF3,2275,2385.4
RNF24_510.45,RNF24,1644,1485.2
ZNF620_E5_570.37,ZNF620,1504,1831.4
MLXIPL_E13_117.6,MLXIPL,1901,1357.6
TFRC_2283.89,TFRC,1168,776.8
NCOR1_SANT2_E17_63.2,NCOR1,1144,848.8
CSNK1D_PKc_E1_55.2,CSNK1D,482,467.6
PSKH1_PKc_E3_108.4,PSKH1,771,967.8
GLI2_E10_120.4,GLI2,857,776.8
ZBTB37_E5_156.0,ZBTB37,1746,1714.4
PHF10_Phd_E11_77.1,PHF10,1808,1309.8
F11_1878.109,F11,1132,696.4
PSMB6_720.6,PSMB6,562,347.8
ZNF436_E4_918.68,ZNF436,2819,2556.2
SETDB1_tudor348400_E1_3876.75,SETDB1,692,595.2
ARID4B_tudor58113_E1_3939.11,ARID4B,673,614.6
CNDP2_1428.48,CNDP2,2048,1882.2
OBSCN_PKc2_E103_76.7,OBSCN,826,962.4
F12_1848.161,F12,2420,2907.6
ZNF507_E5_115.3,ZNF507,1474,1459.6
GDAP2_Macro54193_E1_1494.116,GDAP2,1458,1556.4
DNAJC2_SANT_E14_101.0,DNAJC2,637,625.6
TRIM71_2607.390,TRIM71,4031,5314.2
FOXB1_E2_234.5,FOXB1,3285,3453
TDRD6_tudor314360_E1_6291.553,TDRD6,437,384.4
STK26_PKc_E5_109.4,STK26,570,284.4
UBE2Z_1065.60,UBE2Z,1962,1620.4
TRIM26_1620.140,TRIM26,1899,1691
MLLT1_Yeats29112_E1_1680.21,MLLT1,488,441.6
ZNF688_E3_153.8,ZNF688,2168,1909.4
PSMA4_786.27,PSMA4,780,462.6
DBP_E4_159.20,DBP,667,751.2
KCNC1_BTB10104_E1_1758.282,KCNC1,1096,836.6
ZNF71_E3_1110.75,ZNF71,953,883
OTX2_E2_135.2,OTX2,730,830.8
ZNF628_E3_1746.134,ZNF628,1909,2219.6
CDK13_PKc_E8_102.1,CDK13,901,567
ZNF575_E4_504.119,ZNF575,970,829.8
ZNF177_E6_498.25,ZNF177,2052,1650.8
RYK_PKc_E9_87.1,RYK,1065,724.4
IGF1R_PKc_E16_213.16,IGF1R,1099,1142.4
DCAF11_1641.183,DCAF11,362,257.8
SOHLH2_E7_130.1,SOHLH2,2463,1877.2
ADAMTS14_3681.708,ADAMTS14,2888,3066.4
TRIM68_1458.75,TRIM68,980,1020.4
LHX2_E4_135.9,LHX2,1266,1308.2
HTRA1_1443.151,HTRA1,874,1013.2
HEY1_E3_84.2,HEY1,1036,693.6
ARID4A_Chromo_E17_50.2,ARID4A,1417,1619.6
SOX8_E2_91.4,SOX8,1762,1684.6
SETDB1_e20_55.1,SETDB1,677,759.4
DYRK1B_PKc_E4_84,DYRK1B,1092,1892.6
CNDP2_1428.87,CNDP2,818,1026.6
TMPRSS9_3180.317,TMPRSS9,930,1209.2
G2E3_Phd_E9_103.5,G2E3,431,403.6
GZMK_795.87,GZMK,1761,1696.2
ZNF266_E11_1233.72,ZNF266,2720,2949.8
CAMK2G_PKc_E6_73.1,CAMK2G,842,1007.8
MLX_E5_100.1,MLX,2611,3057.6
GCM1_E3_244.13,GCM1,554,618.2
ANAPC2_2469.312,ANAPC2,1414,1229.6
HMBOX1_E9_86.6,HMBOX1,744,471
ZNF681_E4_1239.23,ZNF681,4129,4123.4
ASB3_1557.13,ASB3,2181,1916
HOXA11_E2_171.9,HOXA11,552,700
RNF114_687.16,RNF114,848,609.6
ASB6_1266.96,ASB6,1793,2141.8
RNF121_984.54,RNF121,1031,841.4
ZNF439_E3_834.39,ZNF439,2962,3178.4
SP110_E14_143.9,SP110,1810,1348
ZFY_E8_588.26,ZFY,4543,4231.6
ULK2_PKc_E6_174.7,ULK2,1203,1068.2
ZBTB44_BTB21128_E1_1362.4,ZBTB44,858,510
RUNX1_E5_157.9,RUNX1,2827,3328.2
VPS18_2922.197,VPS18,945,1097.6
LHX8_E8_96.6,LHX8,2716,2667.8
RLIM_1875.94,RLIM,1460,1772.8
ZBTB22_BTB47149_E1_1905.29,ZBTB22,2097,2304.6
ZNF440_E4_750.30,ZNF440,2579,2734
NLN_2115.13,NLN,2506,2446.8
ZNF493_E4_1086.27,ZNF493,1337,862.6
HMG20A_E5_144.9,HMG20A,5279,5041.4
ADAM30_2373.204,ADAM30,754,485
UBE3C_3252.144,UBE3C,721,469.2
ARX_E2_89.5,ARX,1031,924
BNC2_E7_147.4,BNC2,1841,1760.2
PHIP_5466.43,PHIP,624,648
MKRN3_1524.108,MKRN3,769,661.6
ADAM33_2442.13,ADAM33,1586,1507.2
ZNRF3_2811.85,ZNRF3,502,452
MPND_1416.131,MPND,497,525.4
ZNF707_E8_567.80,ZNF707,1530,1914.4
TRIM43_6,TRIM43,553,601.2
TAL1_E6_177.0,TAL1,1244,1180.4
ATOH7_E1_144.21,ATOH7,1301,1153
UQCRC1_1443.25,UQCRC1,1062,736.6
MLXIP_E14_63.0,MLXIP,4455,5330.2
USP33_2829.163,USP33,1282,1225.2
