sgRNA,Gene,DLD1-Cont2_P10.13.initial,DLD1-Cont2_P10.13.final
SOCS2_597.39,SOCS2,1599,1492
USP17L2_1593.179,USP17L2,3012,3148
ZFP2_E5_1059.49,ZFP2,5543,4793.2
NFIL3_E2_156.5,NFIL3,1977,1466.4
MMP26_786.44,MMP26,2310,2293
ADAMTS13_4284.886,ADAMTS13,1441,1576.6
RFX6_E4_62.7,RFX6,1643,1533.2
KDM4B_tudor9751030_E1_3291.35,KDM4B,273,343.8
PRKCB_PKc_E5_55.3,PRKCB,1199,1375.4
UBE4A_3201.25,UBE4A,1227,960.8
BRWD3_BD_e32_126.5,BRWD3,1362,1245.4
VPS11_2825.164,VPS11,1420,1529.8
PRSS1_744.88,PRSS1,1517,1339.6
PIAS4_E9_132.3,PIAS4,680,878.8
TOX4_E5_144.1,TOX4,2546,2087.6
TRIM38_1398.156,TRIM38,1312,1251.2
USP38_3129.204,USP38,858,462.4
PIAS2_E9_129.8,PIAS2,3928,4353
PIAS2_1866.123,PIAS2,3928,4353
FBXO34_3,FBXO34,1216,1015.4
MIER3_E10_81.1,MIER3,2351,2235.2
MIER3_SANT_E10_87.1,MIER3,2351,2235.2
ARID4A_E13_95.1,ARID4A,1172,963.8
ANAPC7_1800.61,ANAPC7,844,531.2
KMT2C_e58_117.5,KMT2C,5769,7170.4
KMT2C_14736.745,KMT2C,5769,7170.4
CDK9_e4.2,CDK9,3528,3025.8
STKLD1_PKc_E3_45,STKLD1,736,586.6
T_E3_265.10,T,1744,2065.4
RXRG_E4_180.16,RXRG,3414,4025.4
ASB7_957.59,ASB7,903,624
SNAPC4_SANT4_E14_68.5,SNAPC4,621,626.6
TDRD15_Tudor_E4_336.8,TDRD15,949,841
ZNF844_E4_318.18,ZNF844,2133,1097.2
NCOR2_E19_95.0,NCOR2,1299,1605.2
NCOR2_SANT2_E19_101.0,NCOR2,1299,1605.2
USP2_1818.109,USP2,760,522.8
STK32B_PKc_E8_117.15,STK32B,493,557.8
ADNP_E6_126.3,ADNP,2397,2373
ZNF660_E3_825.44,ZNF660,3251,2718.2
PRMT5_e12_106.3,PRMT5,1134,1056.4
PSMA2_705.42,PSMA2,587,375
GGT7_1989.233,GGT7,687,526.4
FBXO40_5,FBXO40,727,799
SH3RF2_2190.404,SH3RF2,814,712
SETDB1_E13_186.3,SETDB1,810,685
neg69,neg69,1952,1489
ADAM18_39.0,ADAM18,1236,748.2
UBE2E2_606.51,UBE2E2,467,286.6
HMGB2_E2_126.14,HMGB2,2506,2448.8
CREB3_E6_67.3,CREB3,1295,1014
PMS1_E9_143.2,PMS1,2418,2453.2
SPZ1_E1_66.1,SPZ1,4388,4393
ZNF449_E5_573.1,ZNF449,543,324.4
UNCX_E2_135.0,UNCX,3002,3544.6
L3MBTL3_MBT345439_E1_2343.211,L3MBTL3,1413,1216.8
TET2_e7_86.2,TET2,2245,1546
TRIM9_2133.369,TRIM9,1054,1022
ZNF417_E3_567.7,ZNF417,2905,2993.4
KCNG1_BTB65164_E1_1542.261,KCNG1,435,414.2
MTA2_SANT_E10_57.3,MTA2,1453,1468.2
ZNF222_E4_483.16,ZNF222,1324,1045.6
CAMK2G_PKc_E3_60.2,CAMK2G,121,80.6
BATF3_E2_90.3,BATF3,1650,1215.2
ZNF222_E4_483.30,ZNF222,1347,1092
PSMA2_705.64,PSMA2,1059,656.4
TSNARE1_SANT_E4_234.9,TSNARE1,501,512.2
SPOPL_BTB190297_E1_1179.31,SPOPL,1006,713.6
HM13_1281.161,HM13,830,835
CBLC_1425.103,CBLC,998,920
PRSS12_2628.222,PRSS12,1786,2012
SOX6_E14_107.4,SOX6,1039,564
