Gene	sgRNA	Cont2|beta	Cont2|z	Cont2|p-value	Cont2|fdr	Cont2|wald-p-value	Cont2|wald-fdr
MECP2	12	0.24593	2.336	0.00028458	0.0075758	0.019492	0.22508
CBX2	6	-0.20122	-1.2972	0.21315	0.62344	0.19456	0.42973
HECTD1	15	-0.26222	-3.1265	0.011098	0.12226	0.0017688	0.061391
CPN1	6	-0.26127	-2.3481	0.10842	0.44509	0.018869	0.2225
GRHL2	7	-0.13776	-1.6791	0.36625	0.75884	0.093138	0.32785
EPHX1	6	-0.013486	-0.26984	0.91662	0.97844	0.78728	0.87826
PCNA	4	-0.88059	-2.2012	0	0	0.027721	0.26572
PBX1	7	0.30152	1.964	0.00056915	0.013072	0.04953	0.30164
RPS6KA6	12	0.23348	2.2927	0.00056915	0.013072	0.021863	0.2369
PRPF19	17	-1.0451	-5.4401	0	0	5.3252e-08	6.2376e-05
ANAPC2	14	-0.60351	-3.764	0	0	0.00016724	0.015465
EVX1	6	0.059924	0.97887	0.45361	0.80808	0.32765	0.56356
TLL1	6	0.050312	0.59456	0.50171	0.81592	0.55214	0.71594
BRAF	6	-0.27829	-1.7087	0.091349	0.40788	0.0875	0.32749
UBR3	14	-0.011899	-0.16076	0.81133	0.94947	0.87228	0.92744
KAT2B	6	0.1284	1.7263	0.15879	0.535	0.084301	0.3227
RCE1	6	-0.46983	-2.6774	0.007399	0.092199	0.0074198	0.13869
SETD2	7	-0.20374	-1.7356	0.16392	0.54186	0.08264	0.32129
AK1	6	-0.030366	-0.4175	0.97666	0.99364	0.67631	0.80279
MDM4	10	-0.79305	-3.9722	0	0	7.1202e-05	0.0089358
ZNF84	6	0.090731	1.3121	0.30051	0.70306	0.18949	0.42681
C1S	6	0.19934	1.8164	0.032157	0.23542	0.069307	0.31453
CFD	6	-0.17978	-1.5619	0.26466	0.67464	0.11832	0.35128
INPP5E	6	-0.10646	-1.4936	0.53756	0.83436	0.13527	0.36734
HES4	6	-0.10972	-1.1389	0.52419	0.82601	0.25476	0.49081
ERBB4	6	0.058006	0.86383	0.465	0.80871	0.38768	0.61609
TRIM10	11	0.15519	1.8338	0.021912	0.19012	0.066685	0.31322
CAPN5	6	-0.0017246	-0.035752	0.83694	0.95875	0.97148	0.9873
ZNF611	6	0.087158	1.473	0.31787	0.71511	0.14075	0.37244
HDAC6	11	0.027724	1.023	0.51508	0.82123	0.30631	0.54307
ZNF79	6	-0.20828	-1.8988	0.19522	0.59652	0.057597	0.31039
LIMK2	6	-0.04942	-0.43941	0.85942	0.96671	0.66037	0.7901
IHH	6	0.071933	0.94512	0.39158	0.7713	0.3446	0.57852
TEF	6	-0.020683	-0.48669	0.96443	0.99364	0.62648	0.768
EHMT2	7	-0.082878	-1.3512	0.62863	0.8714	0.17664	0.41435
LCORL	6	0.16437	1.8602	0.074843	0.37079	0.062856	0.31203
PRSS36	17	-0.054431	-1.1207	0.75185	0.92219	0.26242	0.49873
FOXD4	4	-0.30625	-1.8399	0.12151	0.47497	0.06578	0.31322
RNF19A	13	0.070795	1.4819	0.18839	0.58532	0.13837	0.36976
neg13	1	0.029144	0.7001	0.92402	0.98013	0.48386	0.68588
FBXO34	12	0.024793	0.69738	0.50711	0.81722	0.48557	0.68669
ERG	4	-0.079255	-1.1252	0.70404	0.90325	0.26052	0.497
HERC5	10	0.2125	2.4316	0.0028458	0.043668	0.015032	0.19933
ZNF300	6	-0.12155	-0.91579	0.4741	0.80871	0.35978	0.59271
BIRC3	8	0.13731	1.9253	0.084519	0.3913	0.054194	0.30739
SENP8	6	0.047883	1.046	0.51707	0.82254	0.29558	0.53511
RCOR2	18	-0.042972	-1.1286	0.8671	0.96671	0.25905	0.49554
CPM	6	0.058984	0.75496	0.45959	0.80871	0.45028	0.66306
ZBTB47	13	0.038673	0.68843	0.39158	0.7713	0.49118	0.68903
TGIF1	6	-0.24314	-2.4615	0.13489	0.4979	0.013836	0.19133
ATF2	12	0.14503	2.6523	0.022197	0.19165	0.0079944	0.14481
FBXW4	13	-0.21951	-2.6613	0.056061	0.3184	0.0077839	0.14321
RNF222	9	-0.046749	-0.97041	0.85828	0.96671	0.33184	0.56756
CNDP2	6	0.018264	0.43052	0.69209	0.90007	0.66682	0.79439
KDM4D	6	0.087677	1.2629	0.31645	0.71419	0.20662	0.44085
UBE2D2	8	0.16552	1.6939	0.040694	0.27068	0.09028	0.32785
PRDM16	7	-0.040288	-0.60274	0.90894	0.97749	0.54668	0.7115
YBX2	6	-0.22608	-1.6401	0.16164	0.54044	0.10099	0.33814
ADAM7	6	0.18402	1.8145	0.047809	0.29525	0.0696	0.31453
CHEK1	6	-1.0426	-3.4082	0	0	0.00065386	0.034813
ZNF117	6	0.10883	1.6158	0.22709	0.63767	0.10614	0.34354
USP17L11	6	-0.72427	-2.8957	0.00056915	0.013072	0.0037831	0.091681
USP17L18	6	-0.72427	-2.8957	0.00056915	0.013072	0.0037831	0.091681
USP17L19	6	-0.72427	-2.8957	0.00056915	0.013072	0.0037831	0.091681
USP17L22	6	-0.97642	-3.5641	0	0	0.0003651	0.024207
ZNF649	6	0.043309	0.68746	0.54411	0.83822	0.49179	0.68927
NAALADL1	11	0.016188	0.48872	0.60672	0.86261	0.62504	0.76716
GLI3	7	0.076734	1.3206	0.32072	0.71701	0.18662	0.42473
CREB3L1	4	0.08915	1.5094	0.41292	0.78645	0.13119	0.36327
ZSCAN25	6	-0.097953	-1.325	0.57911	0.85325	0.18516	0.42401
NR0B2	6	-0.10166	-1.784	0.56175	0.84559	0.074422	0.31792
ZNF695	5	0.16356	1.7633	0.10472	0.43862	0.077855	0.32007
ASB1	14	-0.017006	-0.18669	0.86369	0.96671	0.85191	0.91228
ZKSCAN1	6	0.037026	0.61453	0.57541	0.85257	0.53886	0.7084
SETD8	5	-0.81452	-2.785	0	0	0.0053528	0.11611
CAMK1D	6	-0.074962	-0.74029	0.70063	0.90201	0.45913	0.66853
PSMA1	6	-0.80475	-2.701	0	0	0.0069127	0.13274
DYRK4	6	0.14843	1.5471	0.10956	0.44896	0.12183	0.35559
ZNF225	6	0.048093	0.60765	0.51594	0.82148	0.54342	0.7111
RHOBTB1	12	0.063304	0.92559	0.25583	0.6679	0.35466	0.58719
ZNF783	6	0.025733	0.3868	0.64684	0.88065	0.6989	0.81651
ZFP28	6	0.032217	0.45071	0.60387	0.86085	0.6522	0.78353
KLHL4	6	0.23085	1.8327	0.01309	0.13609	0.066854	0.31322
FBXO7	18	-0.039222	-0.93356	0.91121	0.97749	0.35053	0.58293
ING4	5	0.026215	0.36876	0.68583	0.89695	0.71231	0.82609
PRSS46	12	0.029988	1.4838	0.46784	0.80871	0.13785	0.36943
JADE1	12	0.085308	1.5834	0.15225	0.52657	0.11332	0.34807
CAPN13	6	0.19768	1.861	0.034434	0.24694	0.062739	0.31203
KLF3	5	-0.04089	-1.0397	0.88532	0.96946	0.2985	0.5379
PHF6	6	0.08389	2.0682	0.33238	0.72863	0.038622	0.29124
ZNF517	6	-0.15596	-1.5398	0.34035	0.73419	0.12361	0.35695
ZKSCAN7	6	-0.0059272	-0.22161	0.86511	0.96671	0.82462	0.89851
SOCS6	6	0.22105	1.6869	0.016221	0.15447	0.091622	0.32785
CBX7	6	-0.081476	-0.47969	0.66505	0.88507	0.63144	0.77206
TRIP12	12	0.11197	2.2544	0.072567	0.36638	0.024168	0.24679
TFAP2C	7	0.011733	0.23724	0.71571	0.90765	0.81247	0.89165
PCGF3	7	0.03351	0.48652	0.55862	0.8443	0.6266	0.768
FOLH1	5	0.19099	1.6396	0.056631	0.3184	0.10108	0.33814
MMP15	6	-0.16514	-1.3458	0.30876	0.70714	0.17836	0.4167
MLX	6	-0.27015	-1.8741	0.099602	0.43103	0.06091	0.31203
TMPRSS12	6	0.034852	0.40708	0.58907	0.8562	0.68395	0.80737
OTUD1	6	-0.010756	-0.24617	0.89641	0.97222	0.80555	0.88848
MTA2	17	-0.041675	-0.84324	0.88133	0.96721	0.39909	0.62414
USP24	6	0.16401	1.1999	0.074843	0.37079	0.23016	0.46914
ZNF222	6	-0.0044841	-0.071251	0.85629	0.96671	0.9432	0.97139
L3MBTL3	18	0.12748	2.1237	0.016505	0.15467	0.033697	0.27927
RFFL	9	-0.071414	-0.96454	0.67587	0.89286	0.33478	0.57107
PSMB5	6	-1.0505	-3.7326	0	0	0.00018952	0.015857
BHLHE22	6	-0.068899	-0.67786	0.74274	0.91954	0.49786	0.69095
RNF208	7	-0.050058	-1.5502	0.84035	0.95877	0.12108	0.35487
NEDD4	12	0.10762	1.8937	0.081958	0.38533	0.058266	0.31039
BTBD18	6	0.10438	1.1848	0.24417	0.65347	0.23611	0.47389
TRIM42	14	0.021062	0.40771	0.48122	0.80871	0.68349	0.80737
YBX1	6	-0.47027	-2.7136	0.007399	0.092199	0.0066561	0.13067
TMPRSS2	6	-0.0932	-1.2125	0.60159	0.85935	0.22532	0.46384
neg44	1	0.25734	0.62319	0.26579	0.67534	0.53316	0.7054
RCHY1	10	0.011164	0.1904	0.64513	0.88065	0.849	0.91154
BAHD1	6	0.065969	0.80335	0.42146	0.79423	0.42177	0.64217
CDK1	8	-0.90826	-3.4798	0	0	0.00050184	0.02891
CTSS	6	0.035851	0.50691	0.58224	0.85398	0.61222	0.75992
SENP1	6	-0.15617	-1.7945	0.34035	0.73419	0.07273	0.31751
SP8	5	0.19663	1.6714	0.051793	0.30486	0.09465	0.32831
BUB1B	6	-0.71279	-2.6169	0.00056915	0.013072	0.0088733	0.14991
ZNF296	6	-0.063402	-0.70482	0.7712	0.93066	0.48092	0.68475
TBK1	6	0.12662	1.0311	0.16392	0.54186	0.30249	0.54095
KCND3	6	0.069695	0.98132	0.40154	0.77827	0.32644	0.5623
