sgRNA,Gene,HCT116-Ts5.initial,HCT116-Ts5.final
SOHLH2_E7_130.3,SOHLH2,3870,4620
DPF1_Phd1_E9_94.12,DPF1,1273,1161
APEH_2199.194,APEH,947,1113
ZNF75D_E7_405.13,ZNF75D,1811,2303
MAP3K11_PKc_E2_181.2,MAP3K11,939,1155
UBE2NL_462.49,UBE2NL,710,745
EPHA4_PKc_E16_150.16,EPHA4,737,859
VRK3_PKc_E8_85.5,VRK3,1018,627
SMAD1_E2_372.47,SMAD1,1638,1964
HDAC4_e19_56.3,HDAC4,1267,1566
KDM8_e4_133.0,KDM8,548,348
ZNF716_E4_825.43,ZNF716,1547,2419
SOCS4_1323.70,SOCS4,1015,1157
IRX4_E6_180.28,IRX4,290,276
BAZ2B_BD_e36_144.1,BAZ2B,1270,1799
ADAM33_2442.13,ADAM33,1371,1876
MMP17_1812.336,MMP17,726,932
TMPRSS4_1314.55,TMPRSS4,1183,1294
RNPEP_1953.123,RNPEP,1876,2498
SETD1A_e18_138.16,SETD1A,1024,351
PARP9_Macro317453_E1_2565.64,PARP9,1003,1084
RAPSN_1239.124,RAPSN,129,108
FOXP2_E14_102.4,FOXP2,1950,2345
ZNF32_E3_561.53,ZNF32,2238,2544
FBXW2_1365.136,FBXW2,1109,1057
ZNF708_E4_1233.22,ZNF708,2841,4004
PSKH2_PKc_E2_667.2,PSKH2,232,207
BAP1_2190.17,BAP1,372,211
CREBL2_E2_141.2,CREBL2,1190,1688
MIER3_E11_54.0,MIER3,2830,4706
MIER3_SANT_E11_57.0,MIER3,2830,4706
ASB2_1908.188,ASB2,845,969
ZNF749_E3_1185.42,ZNF749,592,827
SPPL2B_1779.17,SPPL2B,1291,1267
PHF7_Phd_E9_59.4,PHF7,1465,1923
PHF7_1146.101,PHF7,1465,1923
CCIN_BTB18128_E1_1767.244,CCIN,526,474
HMX2_E2_174.21,HMX2,1921,2547
ZNF331_E7_993.6,ZNF331,730,916
MTF2_Phd1_E5_86.3,MTF2,1043,1067
VSX1_E4_42.3,VSX1,734,996
GZMM_774.151,GZMM,1043,967
PHKG1_PKc_E2_38.1,PHKG1,927,1091
INSM2_E1_852.161,INSM2,897,1050
ASB5_990.54,ASB5,1164,1863
neg7,neg7,9339,12772
NR0B1_E2_220.5,NR0B1,1959,2244
NCOR2_E15_42.0,NCOR2,2389,2215
UBE2E1_582.44,UBE2E1,921,1203
RXRG_E4_180.16,RXRG,2405,3007
SMARCC1_Chromo_E7_70.3,SMARCC1,906,1109
TMPRSS11D_1257.72,TMPRSS11D,1440,1292
IVNS1ABP_BTB22126_E1_1929.161,IVNS1ABP,623,705
KLHL2_BTB50157_E1_1794.164,KLHL2,661,781
ZNF501_E3_582.27,ZNF501,1505,1817
TFE3_E8_76.2,TFE3,1022,1639
DCAF6_2856.143,DCAF6,859,1344
NEURL2_858.75,NEURL2,855,1446
USP11_2892.225,USP11,774,996
TDRD9_tudor949996_E1_4149.337,TDRD9,684,1073
STK17B_PKc_E6_49.2,STK17B,435,532
CDYL2_Chromo_E2_144.10,CDYL2,539,559
ZNF34_E6_1071.12,ZNF34,1878,2617
LAP3_1560.54,LAP3,1352,1840
FBXO39_1,FBXO39,808,673
ZNF184_E6_1131.58,ZNF184,1106,1288
PLAT_1689.165,PLAT,849,954
ZBTB16_BTB25125_E1_2022.333,ZBTB16,506,609
PRSS27_873.169,PRSS27,879,809
SEC11A_558.52,SEC11A,1477,1866
SEC11A_150.9,SEC11A,1477,1866
ASH1L_Phd_E21_66.2,ASH1L,1218,1174
ZNF490_E5_918.59,ZNF490,1357,1317
ARNTL2__158.7,ARNTL2,2595,2802
MACROD1_Macro153319_E1_978.103,MACROD1,441,373
LHX2_E5_39.0,LHX2,561,490
BTRC_1818.18,BTRC,1057,1105
ZNF19_E6_648.6,ZNF19,2385,3165
DDR2_PKc_E15_128.5,DDR2,323,385
NFXL1_E13_121.8,NFXL1,2954,3965
NFXL1_2736.184,NFXL1,2954,3965
NUAK1_PKc_E6_133.7,NUAK1,602,833
ZBTB12_BTB23127_E1_1380.276,ZBTB12,781,614
FBXO18_3285.348,FBXO18,1363,2098
TRAF3_1707.170,TRAF3,908,1169
MGRN1_1731.205,MGRN1,1105,1046
HOXC6_E2_177.14,HOXC6,336,447
ZNF99_E4_1773.49,ZNF99,758,1224
SOX21_E1_216.14,SOX21,1892,2800
SMAD4_E3_165.3,SMAD4,1416,1619
TDRD6_tudor314360_E1_6291.553,TDRD6,345,498
PHIP_5466.435,PHIP,1241,1615
ZNF585B_E5_1839.124,ZNF585B,2559,3926
KDM4B_e8_104.12,KDM4B,1080,1526
DYRK1A_PKc_E4_75.3,DYRK1A,546,823
ZBTB45_E3_212.23,ZBTB45,1301,631
DPYSL3_2055.258,DPYSL3,901,1203
ZNF285_E5_1002.0,ZNF285,259,221
ZNF575_E4_504.119,ZNF575,790,1038
RNF103_2058.134,RNF103,717,882
SPEG_PKc1_E23_58,SPEG,653,750
KDM8_e7_159.11,KDM8,1149,851
RBCK1_1533.22,RBCK1,593,583
STAT1_E14_94.9,STAT1,1656,2323
CHD1_Chromo_E8_101.2,CHD1,669,567
NCOA1_e18_175.22,NCOA1,2153,2468
TRIM45_1689.261,TRIM45,463,376
RPL9_e3.1,RPL9,5568,2596
SEC11A_558.51,SEC11A,2789,3463
SEC11A_150.8,SEC11A,2789,3463
ZNF417_E3_567.24,ZNF417,1148,1408
RNF223_750.149,RNF223,973,1081
USP15_150.3,USP15,1441,1284
SUB1_E4_109.1,SUB1,823,1097
HOXD8_E2_177.4,HOXD8,704,878
USP30_1554.95,USP30,320,298
PRSS3_915.133,PRSS3,529,572
THAP11_E1_234.14,THAP11,477,346
ZNF473_E5_1962.71,ZNF473,1389,2022
PCSK2_1917.242,PCSK2,1016,956
ZNF224_E6_1320.28,ZNF224,1558,1237
NR0B1_E1_386.20,NR0B1,616,657
PHRF1_Phd_E6_68.0,PHRF1,1270,1327
PHRF1_4950.60,PHRF1,1270,1327
CDK13_PKc_E9_78.2,CDK13,558,584
ZNF37A_E8_1242.35,ZNF37A,1188,1518
MTA3_E10_84.4,MTA3,2326,3496
MTA3_SANT_E10_87.4,MTA3,2326,3496
CUL2_2295.35,CUL2,1246,1452
ZBTB38_E8_2331.86,ZBTB38,746,664
ABHD12_1215.39,ABHD12,1367,1905
PRMT9_e4_168.4,PRMT9,1068,1282
ZNF195_E6_1215.93,ZNF195,871,1088
THAP3_E2_190.12,THAP3,1501,1651
PBRM1_BD2_e7_69.2,PBRM1,1939,2141
ZXDA_E1_384.16,ZXDA,750,1099
USP26_2742.199,USP26,1170,1689
ZNF536_E4_38.0,ZNF536,2525,3302
ENPEP_2874.296,ENPEP,1111,1638
ZNF354C_E5_834.4,ZNF354C,787,844
ZNF699_E5_1254.99,ZNF699,695,655
ACVR1_PKc_E10_131,ACVR1,599,523
RNF17_4860.367,RNF17,979,1054
ZNF92_E4_831.57,ZNF92,1145,1579
DCAF15_1803.57,DCAF15,351,357
ARID5B_E8_98.2,ARID5B,292,258
RNF149_1203.86,RNF149,1385,1389
ZNF281_E2_246.1,ZNF281,1230,1518
UBE2T_594.25,UBE2T,1310,855
ZFP30_E6_1074.18,ZFP30,1147,1805
CASP12_1026.56,CASP12,986,1092
GZMK_795.69,GZMK,1824,2138
SHOX_E3_135.13,SHOX,615,753
ELOC_1,ELOC,590,715
ZNF80_E1_411.39,ZNF80,1661,1511
NEK6_PKc_E5_63,NEK6,400,433
RNFT1_1308.81,RNFT1,1218,1336
MOZ_e14_210.0,MOZ,1111,1515
KBTBD2_BTB21128_E1_1872.1,KBTBD2,464,473
CYHR1_5,CYHR1,1163,1931
UNCX_E2_135.0,UNCX,2327,2608
ADAM10_2247.58,ADAM10,1191,1597
G2E3_Phd_E8_59.0,G2E3,2212,2977
G2E3_1983.22,G2E3,2212,2977
DMRTA1_E1_141.18,DMRTA1,1782,2066
