Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
UBE2N	6	-0.95539	-1.7524	0.19994	0.7633	0.079702	0.5406
UBE2NL	6	-0.88224	-1.8478	0.22981	0.78544	0.064636	0.4715
UBE2O	8	-0.3331	-1.0243	0.5384	0.90488	0.30571	0.68713
UBE2Q1	7	0.83623	1.0818	0.20791	0.77134	0.27935	0.68713
UBE2Q2	9	0.68619	1.2911	0.26138	0.8049	0.19667	0.68713
UBE2QL1	7	0.7061	0.96361	0.30233	0.82022	0.33524	0.68713
UBE2R2	7	-1.0563	-2.7161	0.12486	0.67368	0.0066052	0.091432
UBE2S	7	-0.86312	-1.9553	0.19795	0.76092	0.050551	0.3909
UBE2T	8	-0.014195	-0.040854	0.90472	0.98636	0.96741	0.9885
UBE2U	6	-0.18331	-0.55543	0.74261	0.96382	0.5786	0.78184
UBE2V1	6	-0.80407	-1.9403	0.27218	0.81313	0.052341	0.3992
UBE2V2	7	-0.23544	-0.50603	0.67122	0.94388	0.61283	0.80452
UBE2W	7	-0.38585	-1.146	0.5165	0.90467	0.25178	0.68713
UBE2Z	7	-0.58727	-1.5466	0.35836	0.83707	0.12196	0.66692
neg1	1	1.6314	0.28202	0.3285	0.83668	0.77793	0.88806
neg2	1	1.7393	0.26336	0.28129	0.81869	0.79227	0.8934
neg3	1	1.7248	0.26581	0.28925	0.81869	0.79039	0.89276
neg4	1	1.666	0.27591	0.31314	0.823	0.78261	0.88935
neg5	1	1.7521	0.26122	0.27873	0.81869	0.79392	0.89477
neg6	1	2.0149	0.22028	0.19681	0.76092	0.82565	0.90691
neg7	1	0.35481	0.59207	0.86121	0.97995	0.55381	0.76812
neg8	1	1.4862	0.3088	0.38339	0.84678	0.75747	0.87897
neg9	1	-3.3764	-2.4919	0.29323	0.81869	0.012705	0.1504
neg10	1	1.4538	0.31505	0.39448	0.84939	0.75272	0.87751
neg11	1	1.7007	0.26991	0.29807	0.81994	0.78723	0.89174
neg12	1	1.8531	0.24479	0.24545	0.80127	0.80662	0.90206
neg13	1	0.70362	0.48974	0.72241	0.95994	0.62432	0.80956
neg14	1	-4.0103	-2.9158	0.22298	0.78166	0.003548	0.059404
neg15	1	2.1644	0.19951	0.15728	0.72477	0.84186	0.91669
neg16	1	1.0015	0.41322	0.59642	0.92146	0.67944	0.83903
neg17	1	0.51829	0.54236	0.79807	0.97493	0.58757	0.79002
neg18	1	0.39166	0.58059	0.84329	0.97858	0.56152	0.77242
neg19	1	0.90413	0.43716	0.63908	0.93522	0.66199	0.82954
neg20	1	1.2631	0.35391	0.47469	0.89305	0.72341	0.86191
neg21	1	0.24789	0.62626	0.90273	0.98633	0.53114	0.75272
neg22	1	1.5278	0.30093	0.36718	0.84379	0.76347	0.88185
neg23	1	1.566	0.29383	0.35097	0.83707	0.76889	0.88404
neg24	1	0.49389	0.54958	0.80944	0.97499	0.58261	0.78525
neg25	1	1.5456	0.29759	0.35893	0.83707	0.76601	0.88329
neg26	1	0.19297	0.64435	0.92435	0.98939	0.51935	0.74514
neg27	1	1.1487	0.37898	0.51593	0.90467	0.70471	0.85124
neg28	1	1.5685	0.29337	0.34983	0.83707	0.76924	0.88416
