sgRNA,Gene,DLD1-Cont1.initial,DLD1-Cont1.final
PROX1_E3_102.1,PROX1,1081,1368
ZNF140_E5_891.53,ZNF140,1013,904
SOCS4_1323.58,SOCS4,4863,3379
ZNF630_E5_909.85,ZNF630,4561,3133
ASB14_1764.82,ASB14,5297,3669
NKX6_1_E3_42.3,NKX6,1743,1706
PRSS33_843.165,PRSS33,1428,754
DMRTA2_E2_141.17,DMRTA2,1223,779
KDM5D_e14_163.1,KDM5D,2588,1627
MST1_2178.252,MST1,3332,2196
ZNF613_E6_981.87,ZNF613,2685,2098
HOXC11_E2_171.6,HOXC11,3422,2318
HERC1_14586.617,HERC1,6190,4557
SMAD3_E2_190.17,SMAD3,1888,2169
TDRD6_tudor314360_E1_6291.556,TDRD6,1405,729
MYOG_E1_177.25,MYOG,2667,2001
UBP1_E4_106.7,UBP1,7120,5074
CUX2_E21_155.8,CUX2,2153,1183
ZNF671_E4_573.42,ZNF671,3027,2792
FBXO25_8,FBXO25,2812,2842
ZNF778_E7_1323.152,ZNF778,4029,2487
EBF1_E6_69.1,EBF1,5215,4436
RARA_E4_142.9,RARA,1562,1153
ZNF560_E10_1560.40,ZNF560,3003,3436
MARCH2_741.26,43526,2405,1489
ZNF585B_E5_1839.84,ZNF585B,4072,3180
SP2_E7_80.1,SP2,2834,1628
ELF5_E6_182.10,ELF5,3305,3249
TMPRSS3_984.116,TMPRSS3,2494,2668
BCL11A_E4_1326.145,BCL11A,1489,1503
HTRA3_1362.91,HTRA3,3905,3007
TFR2_2406.327,TFR2,751,532
ZNF582_E5_663.43,ZNF582,3776,3148
USP46_1101.37,USP46,5052,4542
ZBTB3_E2_75.3,ZBTB3,3041,2588
PKNOX2_E10_72.3,PKNOX2,1866,1366
ZFP69B_E5_666.39,ZFP69B,5343,3189
ZNF37A_E8_1242.102,ZNF37A,2697,2652
FOLH1_2253.221,FOLH1,3210,2215
SENP1_1935.83,SENP1,2216,1960
ZBTB26_E2_300.15,ZBTB26,5251,3719
RFWD2_2124.88,RFWD2,2233,1984
BTBD8_BTB48121_E1_1137.75,BTBD8,3778,4093
CFI_1752.93,CFI,5556,5551
ZBTB34_BTB22122_E1_1503.195,ZBTB34,3532,2762
TWIST2_Ex_176.1,TWIST2,1745,1877
TYK2_PKc_E18_135.4,TYK2,780,584
HSFX2_E2_72.2,HSFX2,8354,6301
USP9Y_162.7,USP9Y,2235,1896
LONRF1_2322.33,LONRF1,807,874
PRDM14_E7_66.3,PRDM14,2935,3921
KDM2A_E8_93.6,KDM2A,5558,2092
RCE1_990.125,RCE1,2717,2256
TPSD1_729.27,TPSD1,857,1259
PMS1_E9_143.5,PMS1,6111,4648
TRIM63_1062.148,TRIM63,1721,1531
KBTBD12_BTB32127_E1_1872.2,KBTBD12,2011,1907
ZNF790_E5_1317.86,ZNF790,3094,2085
TEK_PKc_E20_41,TEK,1333,1360
FBXO10_2871.338,FBXO10,760,598
ZNF214_E3_1026.57,ZNF214,423,255
ZNF836_E5_2079.116,ZNF836,2985,2457
LONRF3_2280.146,LONRF3,2104,2206
EBF2_E6_69.2,EBF2,4347,2475
EHF_E8_188.12,EHF,4872,4064
TFDP2_E9_108.0,TFDP2,15314,9521
XPNPEP2_70.0,XPNPEP2,1864,2290
MBD1_CXXC331377_E1_1968.266,MBD1,1022,832
ZBTB7B_E4_113.9,ZBTB7B,3803,1646
MKRN3_1524.182,MKRN3,1723,1978
NEDD4_3960.168,NEDD4,4753,3760
FOXP2_E13_36.0,FOXP2,7418,4637
FBXO34_2136.107,FBXO34,3178,2360
neg79,neg79,5811,5538
ZNF614_E5_666.20,ZNF614,2452,2105
TMPRSS3_984.66,TMPRSS3,804,700
VPS11_2825.215,VPS11,2497,1339
NEUROD6_E2_360.4,NEUROD6,1610,1622
ZBTB42_BTB14121_E1_1269.18,ZBTB42,712,625
BRD3_BD2_e6_145.5,BRD3,2938,2373
ZBTB46_E5_96.9,ZBTB46,4049,3148
ZNF277_E9_97.0,ZNF277,7565,5906
FBXO47_1,FBXO47,3977,3272
MTOR_PKc_E50_83.9,MTOR,1640,297
FOXS1_E1_234.33,FOXS1,3970,2997
KLF8_E6_78.1,KLF8,5246,5439
RXRB_E4_180.18,RXRB,3726,2432
PSMB8_831.6,PSMB8,2754,3338
KIAA2018_E5_83.4,KIAA2018,3371,1527
ECE1_2313.209,ECE1,870,438
KLHL12_BTB23130_E1_1707.202,KLHL12,2811,1997
USP38_3129.237,USP38,2607,2336
CPN1_1377.199,CPN1,2134,1486
BRPF3_PWWP10741189_E1_3618.325,BRPF3,1604,1393
TET3_e10_79.1,TET3,2221,1818
RNF39_1263.41,RNF39,600,202
TRIM49D1_3,TRIM49D1,3867,1400
RNF148_918.67,RNF148,4796,3655
ZFP37_E4_906.48,ZFP37,5552,4551
OTUD5_1716.253,OTUD5,2672,2844
FOSB_E3_63.4,FOSB,429,272
ADAMTS19_3624.383,ADAMTS19,4636,4216
TET1_e8_90.2,TET1,7812,7317
neg6,neg6,26570,22064
LONRF2_2265.196,LONRF2,1151,825
HDAC1_e5_139.9,HDAC1,3045,1647
NRK_PKc_E4_72.4,NRK,2322,2259
MLLT3_Yeats29112_E1_1707.152,MLLT3,2920,1846
EBF3_E12_51.0,EBF3,2087,1706
ZNF556_E4_492.16,ZNF556,2199,1189
KDM3B_e19_131.2,KDM3B,1412,814
CRX_E3_135.1,CRX,5121,3124
SCML2_MBT142240_E1_2103.216,SCML2,3474,2140
SMARCA2_BD_e28_218.19,SMARCA2,2906,3475
MTA3_SANT_E11_57.1,MTA3,2544,1410
PRDM9_e8_158.10,PRDM9,2651,2229
USP12_1113.67,USP12,4701,3635
ZNF776_E3_666.14,ZNF776,4873,4848
ZNF705A_E5_483.34,ZNF705A,4375,4601
RNF38_1548.62,RNF38,4742,2978
ZNF764_E3_489.24,ZNF764,2729,2247
MBD1_CXXC217262_E1_1968.311,MBD1,1294,785
RNF168_1716.170,RNF168,2947,1724
TMPRSS3_984.134,TMPRSS3,2862,2678
MARCH1_870.71,43525,2848,2505
RNF133_1131.13,RNF133,3031,2787
ZNF678_E4_1197.73,ZNF678,9765,10082
FRK_PKc_E4_127.1,FRK,1616,433
PSMB8_831.63,PSMB8,3119,2594
ZNF879_E5_1077.5,ZNF879,3365,1963
USP45_2445.101,USP45,1824,2360
PCSK9_2079.118,PCSK9,2565,2457
MGRN1_1731.258,MGRN1,1783,600
SETD6_e5_121.3,SETD6,2096,2205
NCOA2_e20_178.20,NCOA2,2634,1915
PLAG1_E4_110.6,PLAG1,6627,5123
RSPRY1_1731.92,RSPRY1,3096,2135
KEL_2199.227,KEL,3131,2921
USP24_99.1,USP24,6960,5666
