Gene	sgRNA	c23|beta	c23|z	c23|p-value	c23|fdr	c23|wald-p-value	c23|wald-fdr
CDK11A	6	-0.18397	-1.3406	0.12486	0.75254	0.18006	0.60408
CDK11B	6	0.050769	0.59947	0.5256	0.94597	0.54886	0.79383
CDK12	6	-0.053196	-0.46693	0.6806	0.96237	0.64055	0.83755
CDK13	6	0.034487	0.46264	0.65159	0.96005	0.64362	0.84061
CDK14	6	-0.071334	-1.0024	0.56513	0.95627	0.31615	0.6964
CDK15	6	-0.15789	-1.3799	0.18203	0.83901	0.16761	0.59603
CDK16	6	-0.038406	-0.43304	0.78925	0.97392	0.66498	0.8538
CDK17	6	0.0070463	0.10291	0.8595	0.98009	0.91803	0.96507
CDK18	6	0.281	0.96219	0.0045506	0.22222	0.33595	0.70423
CDK2	6	-0.33936	-1.7019	0.015643	0.37838	0.088773	0.58871
CDK20	6	0.11121	1.5135	0.21246	0.84026	0.13014	0.59021
CDK3	6	-0.022632	-0.40167	0.91212	0.98105	0.68793	0.86291
CDK4	6	-0.5512	-2.3467	0.0014221	0.098039	0.018941	0.58871
CDK5	6	-0.14628	-1.4546	0.21018	0.84026	0.14579	0.59603
CDK6	6	0.036396	0.51422	0.63595	0.95842	0.6071	0.81941
CDK7	6	-0.1631	-1.3627	0.16837	0.83154	0.17299	0.599
CDK9	11	0.045152	0.96583	0.43515	0.93693	0.33413	0.70423
CDKL1	6	0.088498	1.2203	0.30347	0.89664	0.22234	0.63052
CDKL2	6	-0.11504	-1.6203	0.32992	0.90417	0.10516	0.58871
CDKL3	6	0.24061	1.7549	0.010239	0.31304	0.079281	0.58871
CDKL4	6	0.12836	1.4511	0.14619	0.79598	0.14675	0.59603
CDKL5	6	0.11819	1.3967	0.18601	0.84026	0.1625	0.59603
CHEK1	6	-0.21284	-0.95374	0.080489	0.68932	0.34021	0.70681
CHEK2	6	-0.030263	-0.72486	0.8558	0.98009	0.46854	0.778
CHUK	6	-0.15248	-1.548	0.19511	0.84026	0.12163	0.58871
CIT	6	0.16827	1.5379	0.060011	0.62059	0.12408	0.58871
CLK1	6	-0.11212	-1.4347	0.34101	0.9104	0.15137	0.59603
CLK2	6	0.071834	1.2701	0.38936	0.92221	0.20404	0.62178
CLK3	6	0.17758	1.8543	0.045506	0.57193	0.063691	0.58871
CLK4	6	-0.0075082	-0.12995	0.97014	0.99389	0.8966	0.9579
CSF1R	6	-0.075796	-1.3876	0.53584	0.9497	0.16526	0.59603
CSK	6	0.038206	0.61447	0.62315	0.95747	0.5389	0.79048
CSNK1A1	6	0.064346	0.76206	0.4343	0.93627	0.44603	0.77164
CSNK1D	6	0.059107	0.70295	0.47099	0.9399	0.48209	0.77868
CSNK1E	6	-0.094527	-1.3528	0.43203	0.93419	0.17613	0.60064
CSNK1G1	6	0.10908	1.0181	0.21815	0.84026	0.30861	0.69041
CSNK1G2	6	-0.075084	-1.0574	0.54152	0.9497	0.29032	0.67378
CSNK1G3	6	-0.029006	-0.36479	0.8632	0.98009	0.71527	0.87688
CSNK2A1	5	0.059942	1.0839	0.50626	0.94283	0.2784	0.66409
CSNK2A2	6	0.2041	1.7529	0.025597	0.45	0.079616	0.58871
DAPK1	6	0.1074	1.4145	0.22355	0.84352	0.15721	0.59603
DAPK2	6	-0.10248	-1.4726	0.39192	0.92221	0.14085	0.59603
DAPK3	6	-0.092931	-1.3974	0.44027	0.9399	0.16228	0.59603
DCLK1	6	0.026262	0.51068	0.70648	0.96684	0.60957	0.82091
DCLK2	6	0.00092609	0.019952	0.90557	0.98105	0.98408	0.99396
DCLK3	6	-0.013185	-0.13196	0.98805	0.99742	0.89502	0.95786
DDR1	6	0.20428	1.5726	0.025597	0.45	0.1158	0.58871
DDR2	6	0.082619	0.82267	0.33049	0.90417	0.41069	0.75134
DMPK	6	0.0022881	0.021662	0.89192	0.98105	0.98272	0.99317
DSTYK	6	0.21373	1.7065	0.018487	0.39157	0.087919	0.58871
DYRK1A	6	0.021637	0.44483	0.74573	0.96967	0.65644	0.84855
DYRK1B	6	-0.026641	-0.32577	0.88311	0.98073	0.7446	0.89062
DYRK2	6	0.025869	0.14436	0.70904	0.96684	0.88522	0.95194
DYRK3	6	-0.062654	-0.78828	0.61945	0.95747	0.43053	0.76554
DYRK4	6	-0.04022	-0.66583	0.77787	0.97289	0.50552	0.77868
EEF2K	6	-0.10343	-0.91475	0.3868	0.92221	0.36032	0.72157
EGFR	6	-0.15953	-1.5647	0.17719	0.83512	0.11766	0.58871
EIF2AK1	6	-0.043641	-0.47142	0.75171	0.97137	0.63734	0.83584
EIF2AK2	6	-0.030146	-0.28218	0.85637	0.98009	0.77781	0.90121
EIF2AK3	6	-0.25326	-1.3946	0.045506	0.57193	0.16313	0.59603
EIF2AK4	12	-0.13864	-1.6789	0.11746	0.74147	0.093166	0.58871
EPHA1	6	-0.10139	-0.86847	0.3979	0.92221	0.38514	0.73871
EPHA10	6	0.0027721	0.05495	0.88993	0.98105	0.95618	0.98199
EPHA2	6	0.011414	0.36007	0.82338	0.98009	0.71879	0.87695
EPHA3	6	-0.016618	-0.27925	0.95791	0.99032	0.78005	0.90207
EPHA4	6	0.029212	0.56843	0.688	0.96379	0.56975	0.8027
EPHA5	6	0.021804	0.24911	0.74431	0.96967	0.80327	0.91496
EPHA6	6	0.22313	1.793	0.015074	0.37762	0.072972	0.58871
EPHA7	6	-0.0048243	-0.061833	0.95165	0.9885	0.9507	0.97961
EPHA8	6	-0.15047	-1.9279	0.19994	0.84026	0.053873	0.58871
EPHB1	6	-0.058473	-1.2114	0.64761	0.96005	0.22573	0.63052
EPHB2	6	0.0046213	0.054807	0.87571	0.98009	0.95629	0.98199
EPHB3	6	0.060032	0.63059	0.4653	0.9399	0.52831	0.78642
EPHB4	6	-0.080594	-1.2309	0.50569	0.94283	0.21836	0.63052
EPHB6	6	-0.081779	-0.65091	0.49659	0.94032	0.5151	0.782
ERBB2	6	0.11373	1.2666	0.20364	0.84026	0.20531	0.6223
ERBB3	6	-0.019228	-0.21556	0.93458	0.98531	0.82933	0.92687
ERBB4	6	0.074194	0.9667	0.37429	0.91858	0.3337	0.70423
ERN1	6	0.11298	0.99783	0.20592	0.84026	0.31836	0.6964
FASTK	6	-0.22759	-1.6866	0.064278	0.63483	0.091679	0.58871
FER	6	0.053953	0.56477	0.50569	0.94283	0.57223	0.80337
FES	6	-0.20921	-2.1544	0.0876	0.7032	0.031211	0.58871
FGFR1	6	-0.057211	-1.2853	0.65757	0.96005	0.1987	0.62042
FGFR2	6	-0.052557	-0.49146	0.68373	0.96237	0.6231	0.82761
FGFR3	6	-0.10918	-1.2247	0.35552	0.91679	0.2207	0.63052
FGFR4	6	-0.15536	-2.1227	0.18857	0.84026	0.033779	0.58871
FGR	6	-0.097913	-1.0046	0.41268	0.92362	0.31509	0.6964
FLT1	6	0.17734	1.38	0.045506	0.57193	0.16758	0.59603
FLT3	6	-0.043484	-0.66525	0.75256	0.97137	0.50589	0.77868
FLT4	6	-0.047925	-0.39165	0.71786	0.96684	0.69532	0.86785
FRK	6	0.10007	1.2676	0.25484	0.8686	0.20494	0.6223
FYN	6	0.11378	1.1996	0.20364	0.84026	0.23031	0.63313
GAK	6	-0.025058	-0.22454	0.89505	0.98105	0.82234	0.92423
GCK	6	0.019569	0.38101	0.76052	0.97197	0.7032	0.8723
GRK4	6	-0.16168	-1.894	0.17122	0.83154	0.05823	0.58871
GRK5	6	0.0038764	0.054027	0.87941	0.98009	0.95691	0.98205
GRK6	6	0.095422	0.98008	0.27503	0.88553	0.32705	0.70336
GSG2	6	-0.16633	-1.7524	0.15899	0.81725	0.079698	0.58871
GSK3A	6	0.28858	1.774	0.0042662	0.22222	0.076059	0.58871
GSK3B	6	0.21316	1.6509	0.018771	0.39521	0.098752	0.58871
GUCY2D	6	0.065227	0.88595	0.4289	0.93317	0.37564	0.73376
GUCY2F	6	0.0027866	0.05957	0.88993	0.98105	0.9525	0.9804
HCK	6	-0.14618	-1.2857	0.21018	0.84026	0.19856	0.62042
HIPK1	6	0.017118	0.14192	0.78072	0.97289	0.88714	0.95297
HIPK2	6	-0.15821	-2.243	0.18174	0.83901	0.024897	0.58871
HIPK3	6	-0.025394	-0.22874	0.89306	0.98105	0.81907	0.92271
HIPK4	6	0.24528	1.4927	0.0093857	0.3	0.1355	0.59032
HUNK	6	-0.060853	-0.75298	0.6314	0.95747	0.45146	0.77164
ICK	6	0.2252	0.88866	0.015074	0.37762	0.37418	0.73213
IGF1R	6	-0.0663	-1.4221	0.59443	0.95747	0.15499	0.59603
IKBKB	6	0.050725	1.1487	0.52588	0.94597	0.25068	0.64657
IKBKE	6	-0.082462	-0.81347	0.49289	0.9399	0.41595	0.75386
ILK	6	0.024746	0.47246	0.71871	0.96684	0.6366	0.8358
INSR	6	-0.065425	-1.3121	0.59784	0.95747	0.18947	0.61569
INSRR	6	0.088488	0.8082	0.30347	0.89664	0.41897	0.7562
IRAK1	6	-0.087242	-0.55731	0.46758	0.9399	0.57731	0.80439
IRAK2	6	0.1525	1.6506	0.085324	0.69606	0.09882	0.58871
IRAK3	6	0.009814	0.092931	0.83931	0.98009	0.92596	0.96838
IRAK4	6	0.18497	1.5702	0.038396	0.53571	0.11636	0.58871
ITK	6	-0.059023	-1.279	0.64334	0.96005	0.2009	0.62071
JAK1	12	-0.10967	-2.1701	0.21871	0.84044	0.029997	0.58871
JAK2	12	0.11164	1.4532	0.074232	0.67526	0.14617	0.59603
JAK3	12	0.1069	1.3783	0.085609	0.69676	0.16813	0.59603
KALRN	5	-0.13163	-1.8144	0.30347	0.89664	0.06962	0.58871
KDR	6	-0.053171	-0.95349	0.68089	0.96237	0.34034	0.70681
KIAA1804	6	-0.027006	-0.20871	0.87969	0.98009	0.83467	0.92903
KIT	6	0.17879	1.2819	0.044084	0.56777	0.19987	0.62042
KSR1	6	0.030652	0.3598	0.67747	0.96237	0.71899	0.87695
KSR2	6	-0.13935	-1.6069	0.23464	0.85315	0.10808	0.58871
LATS1	6	0.14282	0.67172	0.1058	0.7191	0.50176	0.77868
LATS2	6	0.10799	1.2071	0.22241	0.84352	0.22738	0.63069
LCK	6	0.09778	1.2196	0.26507	0.87266	0.22261	0.63052
LIMK1	6	-0.02467	-0.32663	0.89676	0.98105	0.74394	0.89061
LIMK2	6	0.020073	0.30789	0.75711	0.97153	0.75817	0.89594
LMTK2	6	-0.024253	-0.3098	0.90046	0.98105	0.75672	0.89493
LMTK3	6	0.13238	1.6908	0.13254	0.75974	0.090877	0.58871
LRRK1	6	-0.028495	-0.37502	0.86689	0.98009	0.70765	0.87379
LRRK2	6	-0.057118	-0.80075	0.65785	0.96005	0.42328	0.76008
LTK	6	0.020276	0.362	0.75626	0.97153	0.71735	0.87695
LYN	6	-0.029199	-0.29578	0.86177	0.98009	0.7674	0.89893
MAK	6	0.15565	1.222	0.079352	0.68932	0.22169	0.63052
MAP2K1	6	-0.25947	-1.6442	0.04124	0.55133	0.10014	0.58871
MAP2K2	6	-0.066016	-0.60703	0.59528	0.95747	0.54383	0.79138
MAP2K3	6	-0.017008	-0.16896	0.95364	0.9885	0.86583	0.94418
MAP2K4	6	0.078541	0.61952	0.34727	0.91399	0.53558	0.78871
MAP2K5	6	-0.023381	-0.51252	0.90813	0.98105	0.60829	0.82007
MAP2K6	6	-0.044974	-0.67283	0.74261	0.96967	0.50106	0.77868
MAP2K7	6	-0.14246	-1.4168	0.22469	0.84402	0.15653	0.59603
MAP3K1	17	-0.068857	-1.8424	0.39733	0.92221	0.065423	0.58871
MAP3K10	6	-0.17636	-2.3171	0.13595	0.76518	0.020496	0.58871
MAP3K11	6	-0.0049628	-0.048923	0.95193	0.9885	0.96098	0.98307
MAP3K12	6	-0.032749	-0.25125	0.83561	0.98009	0.80162	0.91496
MAP3K13	6	-0.0081057	-0.06884	0.9727	0.9939	0.94512	0.97769
MAP3K14	6	-0.086136	-0.68621	0.47298	0.9399	0.49258	0.77868
MAP3K2	6	-0.30361	-1.3928	0.024744	0.45	0.16368	0.59603
MAP3K3	6	-0.017905	-0.13051	0.94568	0.98841	0.89617	0.9579
MAP3K4	6	-0.012996	-0.14428	0.98976	0.99771	0.88528	0.95194
MAP3K5	6	-0.0010767	-0.011585	0.91894	0.98238	0.99076	0.99677
MAP3K6	6	0.011091	0.080491	0.82565	0.98009	0.93585	0.97394
MAP3K7	6	0.010309	0.12214	0.83276	0.98009	0.90278	0.95854
MAP3K8	6	0.1731	1.1244	0.050057	0.58804	0.26085	0.65392
MAP3K9	6	0.08661	1.184	0.31143	0.90286	0.2364	0.6384
MAP4K1	6	0.016315	0.2339	0.78584	0.97289	0.81506	0.92271
MAP4K3	6	0.0038425	0.040405	0.87941	0.98009	0.96777	0.98657
MAP4K4	6	-0.20453	-1.5565	0.094141	0.70576	0.11958	0.58871
MAP4K5	6	-0.10253	-1.0179	0.39164	0.92221	0.30872	0.69041
MAPK1	6	-0.066631	-0.7318	0.59243	0.95747	0.46429	0.77699
MAPK10	6	0.038372	0.6323	0.62258	0.95747	0.52719	0.78576
MAPK11	6	0.12972	1.5427	0.14221	0.78864	0.12289	0.58871
MAPK12	6	-0.19967	-1.3083	0.10011	0.71227	0.19078	0.61698
MAPK13	6	0.068723	0.42549	0.40529	0.92362	0.67048	0.85398
MAPK14	6	-0.17285	-0.96848	0.1459	0.79598	0.3328	0.70423
MAPK15	6	-0.18378	-1.7143	0.12486	0.75254	0.086471	0.58871
MAPK3	6	0.062317	0.76376	0.44909	0.9399	0.44501	0.77164
MAPK6	6	-0.22185	-1.7015	0.073094	0.66927	0.088844	0.58871
MAPK7	6	-0.15107	-0.83293	0.19795	0.84026	0.40488	0.74964
MAPK8	6	0.14328	1.1162	0.10466	0.7191	0.26433	0.65394
MAPK9	6	-0.09989	-1.4335	0.40614	0.92362	0.15171	0.59603
MAPKAPK2	6	-0.0025904	-0.071452	0.93174	0.98531	0.94304	0.97708
MAPKAPK3	6	0.10233	0.93423	0.24801	0.86508	0.35018	0.71227
MAPKAPK5	6	-0.12976	-1.8467	0.26593	0.87302	0.064795	0.58871
MARK1	6	0.015159	0.37043	0.79437	0.97392	0.71106	0.8754
MARK2	6	-0.029159	-0.46437	0.86206	0.98009	0.64238	0.83933
MARK3	6	-0.07872	-1.7258	0.51849	0.94407	0.084388	0.58871
MARK4	6	0.077048	0.82563	0.35751	0.91679	0.40901	0.75134
MAST1	6	0.080183	0.59582	0.34016	0.9102	0.5513	0.79511
MAST2	6	-0.0464	-0.60841	0.73123	0.96967	0.54292	0.79138
MAST3	6	-0.023955	-0.50423	0.90358	0.98105	0.6141	0.8233
MAST4	6	0.0016264	0.022702	0.89875	0.98105	0.98189	0.9931
MASTL	12	-0.097881	-0.76392	0.27389	0.88553	0.44492	0.77164
MATK	6	-0.058894	-0.42887	0.64448	0.96005	0.66802	0.85398
MELK	6	0.01918	0.33805	0.76365	0.97197	0.73533	0.88663
MERTK	6	0.050345	0.5915	0.52958	0.94617	0.55418	0.79687
MET	6	-0.065706	-0.76691	0.59699	0.95747	0.44314	0.77164
MINK1	6	-0.068415	-0.94135	0.58191	0.95747	0.34653	0.71002
MKNK1	6	0.076538	0.96716	0.36007	0.91679	0.33346	0.70423
MKNK2	6	-0.053528	-0.89145	0.67861	0.96237	0.37269	0.73013
MLKL	6	-0.08355	-0.74896	0.48692	0.9399	0.45388	0.77164
MOK	6	0.062953	0.45278	0.44681	0.9399	0.65071	0.84521
MOS	6	0.089531	0.94206	0.29778	0.89219	0.34616	0.70997
MST1R	6	-0.019971	-0.37773	0.93146	0.98531	0.70563	0.87303
MTOR	6	-0.028094	-0.39531	0.86917	0.98009	0.69262	0.86663
MUSK	6	-0.030246	-0.52299	0.8558	0.98009	0.60098	0.81636
MYLK2	6	-0.083479	-0.82414	0.48749	0.9399	0.40986	0.75134
MYLK3	6	-0.11956	-1.3214	0.30916	0.90282	0.18638	0.61072
MYLK4	6	0.11328	1.7057	0.20478	0.84026	0.088056	0.58871
MYO3A	6	0.14811	0.73687	0.093857	0.70576	0.4612	0.7765
MYO3B	6	0.088279	1.2684	0.30432	0.89765	0.20466	0.6223
NEK1	6	-0.061136	-0.84799	0.62998	0.95747	0.39644	0.74628
NEK10	6	-0.040419	-1.0383	0.77588	0.97289	0.29914	0.67943
NEK11	6	0.048808	0.52769	0.54152	0.9497	0.59772	0.81568
NEK2	6	-0.14338	-1.2767	0.22184	0.84352	0.20171	0.62071
NEK3	6	0.18657	1.4795	0.036121	0.52263	0.139	0.59312
NEK4	6	0.015664	0.1308	0.79096	0.97392	0.89593	0.9579
NEK5	6	-0.032152	-0.59958	0.8413	0.98009	0.54879	0.79383
NEK6	6	-0.099749	-1.182	0.40643	0.92362	0.23723	0.6387
NEK7	6	0.0028745	0.044291	0.88936	0.98105	0.96467	0.98484
NEK8	6	0.026656	0.31714	0.70449	0.96684	0.75114	0.89223
NEK9	6	0.002115	0.032402	0.89221	0.98105	0.97415	0.9882
NIM1K	6	0.096952	1.4493	0.27048	0.88137	0.14726	0.59603
NLK	6	-0.020163	-0.30344	0.93089	0.98531	0.76155	0.89658
NPR1	6	-0.09485	-1.3623	0.43003	0.93333	0.1731	0.599
NPR2	6	0.072175	1.3646	0.38709	0.92221	0.17237	0.59887
NRBP1	6	0.10212	1.5142	0.24858	0.86548	0.12998	0.59021
NRBP2	6	-0.0052645	-0.060949	0.95449	0.9888	0.9514	0.97983
NRK	6	0.10172	1.0613	0.25085	0.86752	0.28855	0.67272
NTRK1	6	-0.10842	-1.4166	0.35865	0.91679	0.15661	0.59603
NTRK2	6	-0.01877	-0.45987	0.93885	0.98744	0.64561	0.84134
NTRK3	6	-0.0048579	-0.083833	0.95165	0.9885	0.93319	0.97218
NUAK1	6	-0.041647	-0.50344	0.76564	0.97197	0.61466	0.8233
NUAK2	6	0.072583	0.78154	0.38396	0.92087	0.43449	0.76767
OBSCN	12	0.07559	0.53346	0.2099	0.84026	0.59372	0.81449
OXSR1	6	0.0031976	0.036462	0.8868	0.98105	0.97091	0.98735
PAK1	6	0.016143	0.28937	0.78669	0.97326	0.7723	0.90063
PAK2	6	-0.035898	-0.25482	0.81001	0.97534	0.79886	0.91432
PAK3	6	0.022478	0.25292	0.73891	0.96967	0.80033	0.91496
PAK4	6	0.12254	1.0503	0.16809	0.83154	0.29358	0.67532
PAK6	6	-0.075336	-0.67985	0.54039	0.9497	0.4966	0.77868
PAK7	6	-0.11171	-1.2722	0.34443	0.9119	0.20332	0.62151
PASK	6	0.11202	1.476	0.20762	0.84026	0.13993	0.59578
PBK	6	0.20697	1.9158	0.023038	0.43316	0.055386	0.58871
PDGFRA	6	-0.47883	-2.1024	0.0036974	0.19697	0.035517	0.58871
PDGFRB	6	0.030053	0.37387	0.68316	0.96237	0.7085	0.87407
PDIK1L	6	-0.17853	-1.5628	0.13197	0.75941	0.11811	0.58871
PDK1	5	-0.071067	-0.82081	0.6004	0.95747	0.41176	0.75168
PDK2	6	-0.086224	-0.66906	0.47213	0.9399	0.50346	0.77868
PDK3	6	-0.025672	-0.76225	0.8905	0.98105	0.44591	0.77164
PDK4	6	-0.13848	-1.0018	0.2372	0.857	0.31645	0.6964
PDPK1	5	-0.3176	-2.2878	0.028726	0.47196	0.022149	0.58871
PHKG1	6	-0.2384	-1.6028	0.055176	0.61321	0.10898	0.58871
PHKG2	6	-0.11132	-1.2476	0.34642	0.91399	0.21219	0.62753
PIK3R4	6	0.052642	0.82703	0.51621	0.94407	0.40822	0.75134
PIM1	6	-0.10178	-0.4114	0.39619	0.92221	0.68078	0.85905
PIM2	6	-0.15725	-1.2637	0.18316	0.84026	0.20633	0.62406
PIM3	6	-0.17777	-1.6802	0.13282	0.75974	0.092928	0.58871
PINK1	6	0.04135	0.39013	0.59983	0.95747	0.69644	0.86863
PKMYT1	6	-0.43304	-1.7391	0.0056883	0.2439	0.082011	0.58871
PKN1	6	0.06864	1.4323	0.40586	0.92362	0.15205	0.59603
PKN2	6	-0.021737	-0.22049	0.91866	0.98238	0.82549	0.92556
PKN3	6	-0.10208	-1.1002	0.39448	0.92221	0.27123	0.65872
PLK1	6	-0.0060364	-0.057284	0.96018	0.99032	0.95432	0.98178
PLK2	6	-0.16902	-1.1339	0.15273	0.81118	0.25682	0.64886
PLK3	6	-0.22209	-1.5718	0.073094	0.66927	0.11599	0.58871
PLK4	6	-0.38012	-1.7427	0.0091013	0.3	0.081392	0.58871
PNCK	6	0.0090946	0.13189	0.84443	0.98009	0.89507	0.95786
POMK	4	0.16467	1.3814	0.13225	0.75974	0.16715	0.59603
PRKAA1	6	-0.034135	-0.52469	0.82708	0.98009	0.5998	0.81636
PRKAA2	6	0.02328	0.52831	0.7318	0.96967	0.59729	0.81568
PRKACA	6	-0.054751	-1.3925	0.67349	0.96182	0.16378	0.59603
PRKACB	6	0.085942	1.2124	0.31399	0.90286	0.22535	0.63052
PRKACG	6	0.10103	0.93599	0.25228	0.86829	0.34928	0.71192
PRKCA	6	-0.080023	-0.57927	0.51024	0.94407	0.56241	0.7982
PRKCB	6	-0.028792	-0.38345	0.86462	0.98009	0.70139	0.87189
PRKCD	6	0.088598	0.85093	0.30319	0.89664	0.39481	0.74471
PRKCE	6	0.12024	0.90084	0.17634	0.83333	0.36768	0.72749
PRKCG	6	0.018731	0.19833	0.76877	0.97197	0.84279	0.93331
PRKCH	6	-0.19037	-1.688	0.1149	0.7337	0.091406	0.58871
PRKCI	6	0.037067	0.30011	0.63111	0.95747	0.76409	0.89821
PRKCQ	6	0.050663	1.0984	0.52702	0.94597	0.27202	0.65872
PRKCZ	6	-0.03867	-0.77851	0.78726	0.97362	0.43627	0.76978
PRKD1	6	0.0386	0.55906	0.62088	0.95747	0.57612	0.80439
PRKD2	6	-0.07746	-0.8586	0.52787	0.94597	0.39056	0.74147
PRKD3	6	0.11319	1.3463	0.20506	0.84026	0.1782	0.60297
PRKDC	6	-0.27589	-2.4426	0.032708	0.51101	0.014583	0.58871
PRKG1	6	0.01901	0.33185	0.76564	0.97197	0.74	0.88879
PRKG2	6	-0.0665	-0.69308	0.59357	0.95747	0.48826	0.77868
PRKX	6	0.020007	0.58591	0.75711	0.97153	0.55794	0.7982
PRKY	5	-0.080528	-0.8528	0.54209	0.9497	0.39377	0.744
PRPF4B	6	-0.21889	-1.6042	0.075939	0.67766	0.10867	0.58871
PSKH1	6	-0.074215	-0.75758	0.54835	0.95069	0.44871	0.77164
PSKH2	6	-0.25896	-2.1323	0.04124	0.55133	0.032983	0.58871
PTK2	6	0.0927	1.0158	0.28441	0.88742	0.30972	0.69141
PTK2B	6	0.17516	1.715	0.048066	0.58276	0.086337	0.58871
PTK6	6	-0.068703	-1.3072	0.5785	0.95747	0.19115	0.61698
PTK7	6	-0.030958	-0.22028	0.84983	0.98009	0.82565	0.92556
RAF1	6	-0.10396	-0.76655	0.38367	0.92087	0.44335	0.77164
