sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final
RSPRY1_1731.64,RSPRY1,407,757
neg8,neg8,11574,24956
RHOBTB1_BTB476581_E1_2091.176,RHOBTB1,411,780
ALG13_51.4,ALG13,958,2570
SIRT4_e4_158.10,SIRT4,820,1718
RNF133_1131.13,RNF133,1157,3106
PAX5_E2_166.9,PAX5,873,1979
HOXB9_E2_177.12,HOXB9,1357,2463
neg46,neg46,5509,12835
TFDP2_E9_108.0,TFDP2,6940,12330
PHF14_ePhd_E8_39.0,PHF14,1284,2480
ZNF581_E2_246.42,ZNF581,2329,5938
ZNF527_E5_831.41,ZNF527,5480,8924
STAT6_E13_207.12,STAT6,1103,1729
MTF2_tudor4595_E1_1782.11,MTF2,963,1619
ZBTB18_E2_69.0,ZBTB18,1272,2432
CTSH_1008.87,CTSH,2451,5000
GZF1_BTB21133_E1_2136.3,GZF1,1185,2685
RFPL3_954.120,RFPL3,1947,3968
FOXO6_E1_153.2,FOXO6,1603,3006
NEDD4_3960.299,NEDD4,1335,2654
PRKX_PKc_E1_52.2,PRKX,514,1190
TRIM69_1503.154,TRIM69,1781,3386
ASB13_837.31,ASB13,2004,4469
TRIM24_BD_e19_86.2,TRIM24,1607,2376
SIX3_E1_147.5,SIX3,694,1209
ZNF71_E3_1110.131,ZNF71,1600,3156
ZXDA_E1_384.9,ZXDA,1070,1704
TAOK1_PKc_E2_129.8,TAOK1,450,695
NFX1_E10_98.3,NFX1,2899,6297
NFX1_3366.289,NFX1,2899,6297
HES4_E2_75.7,HES4,1538,3317
DSTYK_PKc_E11_115.6,DSTYK,921,2427
DPF1_Phd2_E11_82.6,DPF1,1236,2097
PAK4_PKc_E8_126.5,PAK4,1084,1976
MAZ_E2_78.0,MAZ,1443,2585
HMGB1_E2_135.8,HMGB1,760,826
ZBTB33_E3_657.35,ZBTB33,1325,2752
KDM3A_e21_131.0,KDM3A,2030,4787
PSMB5_792.92,PSMB5,641,743
ARID2_E3_98.2,ARID2,779,1576
MAP3K9_PKc_E5_68.2,MAP3K9,481,1111
SH3RF1_2667.442,SH3RF1,1338,2983
IMMP2L_528.62,IMMP2L,1528,2232
MMP27_1542.151,MMP27,1717,3920
UBE2F_558.52,UBE2F,573,1493
IRX6_E4_180.0,IRX6,1960,4244
ABHD17B_882.53,ABHD17B,1623,3080
ZSCAN31_E4_492.10,ZSCAN31,1783,3300
ALK_PKc_E22_65.1,ALK,585,938
FOXP3_E11_102.1,FOXP3,5561,13829
WHSC1L1_PWWP9581051_E1_4314.148,WHSC1L1,1012,2405
FBXO48_468.6,FBXO48,612,1142
ARNTL2__158.7,ARNTL2,3672,11812
ZNF75D_E7_405.21,ZNF75D,2060,4435
RNF180_1779.95,RNF180,782,1721
IPP_BTB28134_E1_1755.152,IPP,1193,2069
CRAMP1_SANT_E2_48.2,CRAMP1,503,745
TYK2_PKc_E18_135.4,TYK2,293,795
SOCS2_597.39,SOCS2,1189,2479
USP17L2_1593.179,USP17L2,2242,6725
ZFP2_E5_1059.49,ZFP2,3108,9017
NFIL3_E2_156.5,NFIL3,1809,2778
MMP26_786.44,MMP26,2316,4957
ADAMTS13_4284.886,ADAMTS13,1325,3100
RFX6_E4_62.7,RFX6,1242,2633
