sgRNA,Gene,HCT116-Cont2.initial,HCT116-Cont2.final
PRSS27_873.169,PRSS27,1068,642
SEC11A_558.52,SEC11A,1669,1518
SEC11A_150.9,SEC11A,1669,1518
ASH1L_Phd_E21_66.2,ASH1L,1414,922
ZNF490_E5_918.59,ZNF490,1504,955
ARNTL2__158.7,ARNTL2,3040,2114
MACROD1_Macro153319_E1_978.103,MACROD1,431,211
LHX2_E5_39.0,LHX2,586,529
BTRC_1818.18,BTRC,1145,737
ZNF19_E6_648.6,ZNF19,2620,2648
DDR2_PKc_E15_128.5,DDR2,370,321
NFXL1_E13_121.8,NFXL1,3526,2374
NFXL1_2736.184,NFXL1,3526,2374
NUAK1_PKc_E6_133.7,NUAK1,715,607
ZBTB12_BTB23127_E1_1380.276,ZBTB12,958,610
FBXO18_3285.348,FBXO18,1617,1592
TRAF3_1707.170,TRAF3,1110,844
MGRN1_1731.205,MGRN1,1274,881
HOXC6_E2_177.14,HOXC6,371,331
ZNF99_E4_1773.49,ZNF99,857,884
SOX21_E1_216.14,SOX21,2183,1887
SMAD4_E3_165.3,SMAD4,1678,1019
TDRD6_tudor314360_E1_6291.553,TDRD6,413,355
PHIP_5466.435,PHIP,1210,986
ZNF585B_E5_1839.124,ZNF585B,2713,2791
KDM4B_e8_104.12,KDM4B,1111,947
DYRK1A_PKc_E4_75.3,DYRK1A,513,431
ZBTB45_E3_212.23,ZBTB45,1460,409
DPYSL3_2055.258,DPYSL3,928,792
ZNF285_E5_1002.0,ZNF285,249,184
ZNF575_E4_504.119,ZNF575,845,763
RNF103_2058.134,RNF103,709,556
SPEG_PKc1_E23_58,SPEG,722,575
KDM8_e7_159.11,KDM8,1262,444
RBCK1_1533.22,RBCK1,591,375
STAT1_E14_94.9,STAT1,1894,1518
CHD1_Chromo_E8_101.2,CHD1,854,506
NCOA1_e18_175.22,NCOA1,2231,1907
TRIM45_1689.261,TRIM45,538,434
RPL9_e3.1,RPL9,6508,1998
SEC11A_558.51,SEC11A,3526,1913
SEC11A_150.8,SEC11A,3526,1913
ZNF417_E3_567.24,ZNF417,1167,1177
RNF223_750.149,RNF223,1026,1064
USP15_150.3,USP15,1594,865
SUB1_E4_109.1,SUB1,988,734
HOXD8_E2_177.4,HOXD8,743,912
USP30_1554.95,USP30,331,268
PRSS3_915.133,PRSS3,677,489
THAP11_E1_234.14,THAP11,573,159
ZNF473_E5_1962.71,ZNF473,1604,1407
PCSK2_1917.242,PCSK2,1184,826
ZNF224_E6_1320.28,ZNF224,1860,1487
NR0B1_E1_386.20,NR0B1,621,417
PHRF1_Phd_E6_68.0,PHRF1,1384,1111
PHRF1_4950.60,PHRF1,1384,1111
CDK13_PKc_E9_78.2,CDK13,571,503
ZNF37A_E8_1242.35,ZNF37A,1385,1112
MTA3_E10_84.4,MTA3,2529,2476
MTA3_SANT_E10_87.4,MTA3,2529,2476
CUL2_2295.35,CUL2,1422,1064
ZBTB38_E8_2331.86,ZBTB38,825,484
ABHD12_1215.39,ABHD12,1552,1201
PRMT9_e4_168.4,PRMT9,1357,1061
ZNF195_E6_1215.93,ZNF195,1125,841
THAP3_E2_190.12,THAP3,1448,1268
PBRM1_BD2_e7_69.2,PBRM1,2265,1714
ZXDA_E1_384.16,ZXDA,656,806
USP26_2742.199,USP26,1078,1183
ZNF536_E4_38.0,ZNF536,2928,2329
ENPEP_2874.296,ENPEP,1205,873
ZNF354C_E5_834.4,ZNF354C,837,548
ZNF699_E5_1254.99,ZNF699,787,623
ACVR1_PKc_E10_131,ACVR1,572,401
RNF17_4860.367,RNF17,1111,919
ZNF92_E4_831.57,ZNF92,1407,1191
DCAF15_1803.57,DCAF15,328,206
ARID5B_E8_98.2,ARID5B,334,220
RNF149_1203.86,RNF149,1685,1028
ZNF281_E2_246.1,ZNF281,1136,1272
UBE2T_594.25,UBE2T,1419,695
ZFP30_E6_1074.18,ZFP30,1348,1320
CASP12_1026.56,CASP12,1078,749
GZMK_795.69,GZMK,2053,1479
SHOX_E3_135.13,SHOX,684,690
ELOC_1,ELOC,574,771
ZNF80_E1_411.39,ZNF80,1751,1184
NEK6_PKc_E5_63,NEK6,461,318
RNFT1_1308.81,RNFT1,1230,995
MOZ_e14_210.0,MOZ,1288,1168
KBTBD2_BTB21128_E1_1872.1,KBTBD2,509,380
CYHR1_5,CYHR1,1259,1130
UNCX_E2_135.0,UNCX,2801,1879
ADAM10_2247.58,ADAM10,1424,1045
G2E3_Phd_E8_59.0,G2E3,2624,2165
G2E3_1983.22,G2E3,2624,2165
DMRTA1_E1_141.18,DMRTA1,1844,1529
PWWP2B_PWWP488574_E1_1773.183,PWWP2B,328,276
NR2F2_E1_208.19,NR2F2,2353,1214
HOXA5_E2_177.22,HOXA5,845,556
MYCL_E2_165.1,MYCL,1916,1929
ZNF366_E2_366.43,ZNF366,1741,1173
UHRF1_3,UHRF1,644,164
C17orf49_SANT_E3_98.2,C17orf49,430,258
ZNF253_E4_828.60,ZNF253,1459,980
ZNF480_E5_1050.16,ZNF480,1865,1514
CREB3L3_E6_92.1,CREB3L3,1256,491
DAPK1_PKc_E8_153.1,DAPK1,915,823
FBXO25_2,FBXO25,691,462
PHRF1_4950.1066,PHRF1,1563,989
RPL9_e3.2,RPL9,6852,1621
neg51,neg51,2207,1951
ZNF324B_E4_660.34,ZNF324B,524,345
KALRN_PKc_E58_201,KALRN,1029,625
CTRB2_792.86,CTRB2,595,455
HERC3_2799.114,HERC3,1648,1430
ACE_3921.52,ACE,1228,1112
KMT2B_ePhd_E21_39.2,KMT2B,1433,1369
ZFHX4_E10_2571.111,ZFHX4,1262,800
MARK4_PKc_E5_66,MARK4,626,448
NEK4_PKc_E5_117.1,NEK4,731,516
RNF103_2058.119,RNF103,662,473
BATF3_E2_90.1,BATF3,1464,1175
ZNF81_E5_1236.33,ZNF81,783,558
POU2F1_E11_63.5,POU2F1,1354,508
ZNF274_E8_552.10,ZNF274,2824,2118
DPP3_2214.238,DPP3,1321,1251
AFG3L2_2394.2,AFG3L2,2142,851
ZFP92_E4_657.72,ZFP92,1872,1372
RAG1_3132.325,RAG1,2192,1805
DOT1L_e7_63.3,DOT1L,2018,1897
TRIML1_1407.190,TRIML1,420,416
AURKB_PKc_E7_149.8,AURKB,996,980
ADAM15_2592.452,ADAM15,845,722
NFIA_E9_166.6,NFIA,3363,3177
ZNF446_E7_69.1,ZNF446,711,519
DEAF1_E11_84.0,DEAF1,1164,704
FOXP3_E12_81.2,FOXP3,270,207
ZFP36_E2_195.2,ZFP36,1201,994
L3MBTL2_MBT511604_E1_2118.243,L3MBTL2,1088,748
RNF31_2766.163,RNF31,641,625
ADAM17_2475.206,ADAM17,1138,695
TINAG_1431.103,TINAG,960,745
MMP26_786.76,MMP26,1129,867
MPHOSPH8_Chromo_E2_114.0,MPHOSPH8,893,629
PRSS37_708.91,PRSS37,2456,1609
OLIG1_E1_189.1,OLIG1,213,111
EGR3_E2_237.0,EGR3,578,260
NO66_e1_980.160,NO66,915,726
neg98,neg98,2545,2768
KLHL20_BTB59165_E1_1830.206,KLHL20,1186,688
BCR_PKc_E1_1278.13,BCR,239,147
UBP1_E4_106.7,UBP1,2950,2053
DCAF5_2829.11,DCAF5,436,495
ZHX3_E3_1533.208,ZHX3,1420,1240
CUL3_2325.160,CUL3,977,853
MAZ_E2_78.2,MAZ,2639,1857
ATG4A_1197.84,ATG4A,1531,1282
CDX4_E2_126.0,CDX4,2033,1421
CUX2_E21_155.5,CUX2,1234,1007
USP17L4_1593.42,USP17L4,1341,325
