sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final,test1,Test2,DLD1-Ts2.18.final_recalculate
FBXL3_1287.57,FBXL3,2469,5944,3475,3475,3475
ZNF143_E11_180.0,ZNF143,1965,3791,1826,1826,1826
ZIK1_E4_666.75,ZIK1,3325,8283,4958,4958,4958
ZNF211_E4_1116.0,ZNF211,1246,3235,1989,1989,1989
ROS1_PKc_E41_135.2,ROS1,289,637,348,348,348
SETD4_e7_103.2,SETD4,2128,4835,2707,2707,2707
ZNF268_E6_1749.35,ZNF268,2335,5087,2752,2752,2752
ASB11_972.20,ASB11,1048,2518,1470,1470,1470
DPP9_2679.28,DPP9,1868,4352,2484,2484,2484
HP_1221.118,HP,2462,5954,3492,3492,3492
FBXL3_1287.78,FBXL3,2189,5235,3046,3046,3046
BIRC3_1815.68,BIRC3,2348,5699,3351,3351,3351
ZNF780A_E6_1410.120,ZNF780A,1100,2354,1254,1254,1254
SYVN1_1854.42,SYVN1,1649,3257,1608,1608,1608
ZNF671_E4_573.9,ZNF671,1051,3055,2004,2004,2004
SPIN4_Spinlin4189_E1_750.12,SPIN4,868,2492,1624,1624,1624
PAX2_E2_167.32,PAX2,1030,2958,1928,1928,1928
MAK_PKc_E2_92.4,MAK,955,2258,1303,1303,1303
RNF17_tudor9671013_E1_4872.105,RNF17,836,1726,890,890,890
ZNF444_E5_360.32,ZNF444,801,1949,1148,1148,1148
SH3RF2_2190.409,SH3RF2,552,1477,925,925,925
WT1_E8_90.2,WT1,1473,3410,1937,1937,1937
NKX1_2_E2_177.0,NKX1,1174,3094,1920,1920,1920
GATAD2B_E8_203.20,GATAD2B,765,1692,927,927,927
MYBL1_SANT2_E4_32.0,MYBL1,958,2526,1568,1568,1568
BRWD1_BD2_e35_98.2,BRWD1,1767,3769,2002,2002,2002
GLYR1_PWWP690_E1_1662.7,GLYR1,2270,5163,2893,2893,2893
DCAF13_1794.90,DCAF13,1341,1970,629,629,629
CHD1L_H_e12_111.0,CHD1L,3024,8822,5798,5798,5798
CFI_1752.73,CFI,1583,3579,1996,1996,1996
UBR1_5250.29,UBR1,2290,5862,3572,3572,3572
SPIN1_Spinlin133181_E1_789.33,SPIN1,339,1058,719,719,719
BIRC2_1857.4,BIRC2,1569,3751,2182,2182,2182
MBTPS1_3159.393,MBTPS1,2026,3560,1534,1534,1534
GZMA_789.4,GZMA,1170,2924,1754,1754,1754
CHD9_Chromo_E6_39.0,CHD9,1215,3094,1879,1879,1879
ZNF417_E3_567.41,ZNF417,2449,6267,3818,3818,3818
NEURL2_858.78,NEURL2,1688,3631,1943,1943,1943
HIC2_E3_507.28,HIC2,2590,6992,4402,4402,4402
TRIM27_1373.222,TRIM27,1416,3632,2216,2216,2216
ZNF726_E4_1281.25,ZNF726,2000,5050,3050,3050,3050
PHF23_Phd_E5_132.15,PHF23,2555,6963,4408,4408,4408
ZNF614_E5_666.11,ZNF614,1833,4918,3085,3085,3085
GABPA_E10_70.0,GABPA,2566,4506,1940,1940,1940
KBTBD7_BTB53168_E1_2055.212,KBTBD7,1024,2622,1598,1598,1598
ZBTB33_E3_657.1,ZBTB33,724,1729,1005,1005,1005
LONRF3_2280.204,LONRF3,675,1926,1251,1251,1251
NR1D1_E4_145.6,NR1D1,556,1370,814,814,814
ADAM21_2169.191,ADAM21,580,1470,890,890,890
ZFP82_E5_1152.83,ZFP82,2482,6059,3577,3577,3577
RCBTB2_BTB395487_E1_1656.123,RCBTB2,2542,5781,3239,3239,3239
ZNF142_E6_781.19,ZNF142,2478,7301,4823,4823,4823
MBTPS1_3159.84,MBTPS1,895,1689,794,794,794
UBE2D2_444.24,UBE2D2,1250,2903,1653,1653,1653
RHOBTB2_BTB443492_E1_2250.124,RHOBTB2,1305,2662,1357,1357,1357
RNF215_1134.130,RNF215,1064,2389,1325,1325,1325
AKTIP_7,AKTIP,1407,3624,2217,2217,2217
RNF38_1548.171,RNF38,598,1537,939,939,939
ANAPC10_6,ANAPC10,810,1665,855,855,855
MAPK1_PKc_E4_117.4,MAPK1,981,2583,1602,1602,1602
VRK1_PKc_E4_70,VRK1,767,1419,652,652,652
RNF41_954.35,RNF41,498,1311,813,813,813
TRIM39_1557.223,TRIM39,694,1683,989,989,989
RNF165_1041.62,RNF165,886,2453,1567,1567,1567
GZMB_744.1,GZMB,2484,6367,3883,3883,3883
SIK3_PKc_E1_81,SIK3,3546,8212,4666,4666,4666
ZSCAN20_E9_248.27,ZSCAN20,2070,5070,3000,3000,3000
ZSCAN20_SANT2_E7_248.27,ZSCAN20,2070,5070,3000,3000,3000
KDM2A_4,KDM2A,1354,2271,917,917,917
KCNC1_BTB10104_E1_1758.27,KCNC1,828,2021,1193,1193,1193
ALX3_E2_135.20,ALX3,1738,4795,3057,3057,3057
NEURL3_789.11,NEURL3,723,1636,913,913,913
TRIM28_2508.428,TRIM28,957,2435,1478,1478,1478
LIN28B_E3_105.6,LIN28B,1810,4349,2539,2539,2539
SMARCAL1_H_e16_50.0,SMARCAL1,1707,4784,3077,3077,3077
REST_E4_83.1,REST,2141,5386,3245,3245,3245
neg55,neg55,3114,8065,4951,4951,4951
PCSK7_2358.395,PCSK7,2988,7760,4772,4772,4772
MIB1_3021.218,MIB1,2638,6173,3535,3535,3535
ZSCAN20_E8_478.84,ZSCAN20,3978,10971,6993,6993,6993
ZSCAN20_SANT_E6_478.84,ZSCAN20,3978,10971,6993,6993,6993
ZNF419_E5_666.42,ZNF419,2122,4918,2796,2796,2796
KLHL29_BTB319431_E1_2628.37,KLHL29,510,1388,878,878,878
SOCS5_1611.87,SOCS5,1183,2642,1459,1459,1459
ZNF33A_E5_1407.108,ZNF33A,2630,6391,3761,3761,3761
ATF3_E4_99.1,ATF3,2245,6984,4739,4739,4739
ZNF596_E6_906.4,ZNF596,1737,4360,2623,2623,2623
KDM4A_Phd_E15_56.2,KDM4A,991,2781,1790,1790,1790
DLX6_E2_129.3,DLX6,1379,3350,1971,1971,1971
ZNF133_E7_1230.89,ZNF133,911,2225,1314,1314,1314
KLHL38_BTB24131_E1_1746.272,KLHL38,1052,2103,1051,1051,1051
HUWE1_13125.775,HUWE1,1399,2741,1342,1342,1342
HOXA6_E2_177.0,HOXA6,1539,4051,2512,2512,2512
MYT1L_E15_251.5,MYT1L,2251,6296,4045,4045,4045
POU2F2_E11_108.2,POU2F2,1211,2868,1657,1657,1657
RBCK1_1533.8,RBCK1,524,1454,930,930,930
SOCS7_1746.203,SOCS7,2026,4957,2931,2931,2931
PRSS35_1242.38,PRSS35,807,1421,614,614,614
CUL9_7554.539,CUL9,2747,7212,4465,4465,4465
AHR_E2_126.7,AHR,848,1787,939,939,939
ZNF256_E3_1128.66,ZNF256,2025,6307,4282,4282,4282
EPHA5_PKc_E12_186.6,EPHA5,864,2571,1707,1707,1707
ATF4_E2_156.1,ATF4,1609,2367,758,758,758
TBX15_E4_172.0,TBX15,2244,4959,2715,2715,2715
BTBD17_BTB53162_E1_1437.265,BTBD17,1244,3280,2036,2036,2036
FBXO41_2628.456,FBXO41,902,2418,1516,1516,1516
ZNF780A_E6_1410.76,ZNF780A,1827,4493,2666,2666,2666
ADAM9_2460.47,ADAM9,1404,4342,2938,2938,2938
KDM2A_CXXC576609_E1_3489.398,KDM2A,4190,8506,4316,4316,4316
KDM2A_3489.398,KDM2A,4190,8506,4316,4316,4316
PhIP_BD1_e31_121.5,PhIP,1673,3815,2142,2142,2142
GGT5_1764.156,GGT5,923,2097,1174,1174,1174
NFATC1_E5_173.1,NFATC1,2426,5062,2636,2636,2636
ABHD17B_882.28,ABHD17B,1183,2891,1708,1708,1708
RNF25_1380.37,RNF25,1761,4088,2327,2327,2327
PSMA8_771.53,PSMA8,589,1473,884,884,884
HOXB9_E2_177.4,HOXB9,1199,2971,1772,1772,1772
NR2F2_E1_208.24,NR2F2,1503,3725,2222,2222,2222
ZNF860_E2_1002.40,ZNF860,1816,5553,3737,3737,3737
CASP8_127.5,CASP8,1975,5124,3149,3149,3149
LONP1_2880.207,LONP1,793,1338,545,545,545
RAG1_3132.321,RAG1,1343,3027,1684,1684,1684
ZNF585B_E5_1839.124,ZNF585B,3563,8562,4999,4999,4999
SMAD1_E2_372.20,SMAD1,1349,3112,1763,1763,1763
NCOR2_SANT2_E18_63.0,NCOR2,956,3144,2188,2188,2188
PHIP_5466.70,PHIP,1384,3125,1741,1741,1741
ZNF426_E8_750.72,ZNF426,4515,10607,6092,6092,6092
EPHX1_1368.92,EPHX1,3192,8605,5413,5413,5413
RXRG_E4_180.15,RXRG,2267,5951,3684,3684,3684
LZTR1_BTB665799_E1_2523.198,LZTR1,1730,4050,2320,2320,2320
ZNF550_E4_660.4,ZNF550,1014,2812,1798,1798,1798
RSPRY1_1731.85,RSPRY1,2018,4770,2752,2752,2752
ZNF383_E5_969.43,ZNF383,2412,6640,4228,4228,4228
ASCL1_E1_126.11,ASCL1,1195,2934,1739,1739,1739
HDAC4_e22_98.4,HDAC4,786,2195,1409,1409,1409
HERC4_2385.153,HERC4,1904,4065,2161,2161,2161
neg1,neg1,4551,11971,7420,7420,7420
EBF1_E8_105.6,EBF1,1205,2588,1383,1383,1383
ZNF14_E4_1155.71,ZNF14,604,1635,1031,1031,1031
ZNF432_E5_1392.85,ZNF432,1737,4653,2916,2916,2916
ZNF114_E6_321.21,ZNF114,1076,2122,1046,1046,1046
CYHR1_5,CYHR1,1835,5211,3376,3376,3376
NSD3_e21_142.11,NSD3,1669,4189,2520,2520,2520
FBXO42_2154.17,FBXO42,1099,2789,1690,1690,1690
RNF112_1896.387,RNF112,761,2019,1258,1258,1258
SPDEF_E6_173.18,SPDEF,1814,4421,2607,2607,2607
ZBTB8A_BTB14122_E1_1326.9,ZBTB8A,1140,2963,1823,1823,1823
GRK6_PKc_E11_90.3,GRK6,909,2453,1544,1544,1544
INSM2_E1_852.107,INSM2,1004,1902,898,898,898
GATA5_E3_135.5,GATA5,2104,5066,2962,2962,2962
ATAT1_e4_50.0,ATAT1,3037,7720,4683,4683,4683
TRIM21_1428.206,TRIM21,1011,2650,1639,1639,1639
FES_PKc_E13_27,FES,889,2300,1411,1411,1411
TEF_E4_174.14,TEF,845,1883,1038,1038,1038
CAPN8_2112.88,CAPN8,1554,3386,1832,1832,1832
PLG_146.10,PLG,1975,5463,3488,3488,3488
ZNF28_E4_1494.60,ZNF28,1686,4930,3244,3244,3244
NSD1_PWWP319429_E1_8091.928,NSD1,1063,2805,1742,1742,1742
THOP1_2070.14,THOP1,2861,6962,4101,4101,4101
ABTB1_BTB273376_E1_1437.8,ABTB1,1511,3623,2112,2112,2112
RNF2_1011.9,RNF2,1079,3174,2095,2095,2095
HIVEP1_E4_4854.350,HIVEP1,1113,2436,1323,1323,1323
IRAK4_PKc_E8_115.3,IRAK4,1389,3572,2183,2183,2183
ADAM18_137.6,ADAM18,1011,2761,1750,1750,1750
ZNF10_E5_666.23,ZNF10,2487,6826,4339,4339,4339
TTN_PKc_E358_736.25,TTN,1331,3369,2038,2038,2038
ZKSCAN3_E7_573.55,ZKSCAN3,2018,5054,3036,3036,3036
C1R_2118.118,C1R,968,2624,1656,1656,1656
METAP1_1161.46,METAP1,2061,4423,2362,2362,2362
RNF6_2058.108,RNF6,1141,2259,1118,1118,1118
RCOR1_E11_92.5,RCOR1,3595,8612,5017,5017,5017
RCOR1_SANT2_E11_101.5,RCOR1,3595,8612,5017,5017,5017
APEH_2199.24,APEH,1343,3131,1788,1788,1788
RFX5_E7_120.13,RFX5,2058,5535,3477,3477,3477
DYRK3_PKc_E3_1140.11,DYRK3,1481,3384,1903,1903,1903
KMT2C_14736.1676,KMT2C,2624,5866,3242,3242,3242
TFDP3_E1_249.0,TFDP3,1244,2986,1742,1742,1742
CBX8_Chromo_E3_66.3,CBX8,717,1660,943,943,943
ZMYND11_BD_e8_56.0,ZMYND11,718,1753,1035,1035,1035
ZBTB49_E6_83.4,ZBTB49,852,1972,1120,1120,1120
ZNF678_E4_1197.73,ZNF678,4677,12725,8048,8048,8048
MUSK_PKc_E13_74.1,MUSK,343,659,316,316,316
KCTD9_BTB91181_E1_1170.97,KCTD9,784,1674,890,890,890
IRF7_E1_153.9,IRF7,1390,3236,1846,1846,1846
USP17L2_1593.178,USP17L2,3500,9031,5531,5531,5531
CHFR_1995.303,CHFR,1554,4597,3043,3043,3043
PRSS35_1242.31,PRSS35,2025,5186,3161,3161,3161
KMT2D_Phd1_E8_115.1,KMT2D,2022,4862,2840,2840,2840
KMT2D_16614.94,KMT2D,2022,4862,2840,2840,2840
L3MBTL1_MBT385481_E1_2523.339,L3MBTL1,431,918,487,487,487
ZNF257_E4_936.14,ZNF257,1381,2807,1426,1426,1426
LHX8_E8_96.5,LHX8,2621,7391,4770,4770,4770
PHIP_5466.365,PHIP,2227,5388,3161,3161,3161
E2F7_E4_115.1,E2F7,3540,8845,5305,5305,5305
FBXO21_1887.131,FBXO21,649,1619,970,970,970
ASB16_1362.120,ASB16,358,665,307,307,307
KDM3A_e21_131.13,KDM3A,1707,4643,2936,2936,2936
ZNF683_E4_51.0,ZNF683,1711,4030,2319,2319,2319
L3MBTL3_MBT451543_E1_2343.99,L3MBTL3,1043,2168,1125,1125,1125
ZBTB5_BTB14121_E1_2034.12,ZBTB5,821,1954,1133,1133,1133
PHF7_Phd_E9_59.4,PHF7,2047,6047,4000,4000,4000
PHF7_1146.101,PHF7,2047,6047,4000,4000,4000
NFE2L3_E4_135.0,NFE2L3,2142,5613,3471,3471,3471
ZNF138_E4_231.10,ZNF138,2001,4760,2759,2759,2759
ZNF765_E4_744.27,ZNF765,2857,7395,4538,4538,4538
FOXQ1_E1_237.5,FOXQ1,270,520,250,250,250
HM13_1281.58,HM13,1334,3525,2191,2191,2191
RNF215_1134.123,RNF215,1491,4097,2606,2606,2606
KCTD1_BTB40132_E1_798.84,KCTD1,3225,8994,5769,5769,5769
PBRM1_BD2_e8_99.2,PBRM1,1089,2066,977,977,977
BHLHE23_E1_171.0,BHLHE23,801,1967,1166,1166,1166
OTUD7B_2532.78,OTUD7B,1299,2651,1352,1352,1352
MARCH5_837.5,5-Mar,835,2567,1732,1732,1732
BRWD3_BD_e31_121.1,BRWD3,2578,5957,3379,3379,3379
MBD4_E2_77.1,MBD4,2260,5605,3345,3345,3345
MBD4_MBD_E2_77.1,MBD4,2260,5605,3345,3345,3345
MID1_2004.241,MID1,861,2314,1453,1453,1453
PHF2_e7_163.13,PHF2,1699,4234,2535,2535,2535
SOX18_E2_107.8,SOX18,908,1942,1034,1034,1034
RLIM_1875.100,RLIM,1936,5337,3401,3401,3401
RXRB_E4_180.7,RXRB,1399,3499,2100,2100,2100
UBTF_E10_142.10,UBTF,1789,3389,1600,1600,1600
HIC1_BTB37152_E1_2202.472,HIC1,1114,2942,1828,1828,1828
CEBPG_E2_162.1,CEBPG,2225,5086,2861,2861,2861
BAZ2A_Phd_E26_141.0,BAZ2A,1879,3899,2020,2020,2020
ZNF486_E4_663.12,ZNF486,1351,3490,2139,2139,2139
AGA_1041.35,AGA,1134,2862,1728,1728,1728
ASB3_1557.120,ASB3,944,2212,1268,1268,1268
CGRRF1_999.34,CGRRF1,1628,3787,2159,2159,2159
ZNF502_E5_1161.46,ZNF502,2152,6046,3894,3894,3894
PRDM1_E7_180.8,PRDM1,1757,4086,2329,2329,2329
ZNF90_E4_912.20,ZNF90,1868,4423,2555,2555,2555
RNFT1_1308.60,RNFT1,2257,5716,3459,3459,3459
ZNF625_E4_396.20,ZNF625,924,2674,1750,1750,1750
RNFT1_1308.37,RNFT1,1919,5305,3386,3386,3386
TRIM14_1329.14,TRIM14,446,1139,693,693,693
PHIP_5466.210,PHIP,1969,4308,2339,2339,2339
ZNF43_E7_1908.121,ZNF43,829,1860,1031,1031,1031
JAK2_PKc2_E23_118.2,JAK2,359,799,440,440,440
ASB18_1401.112,ASB18,545,1355,810,810,810
SOCS1_636.56,SOCS1,563,1311,748,748,748
ZNRF4_1290.140,ZNRF4,1071,2933,1862,1862,1862
CXXC4_CXXC301341_E1_1104.128,CXXC4,1140,2500,1360,1360,1360
RHOBTB3_BTB413518_E1_1836.119,RHOBTB3,481,1011,530,530,530
BAZ1A_BD_e25_118.0,BAZ1A,2936,8223,5287,5287,5287
YY1_E5_126.4,YY1,1775,3849,2074,2074,2074
PRSS36_2568.356,PRSS36,1481,3687,2206,2206,2206
ZNF785_E3_495.75,ZNF785,2224,5870,3646,3646,3646
UBE2NL_462.13,UBE2NL,2149,5438,3289,3289,3289
EAF2_E3_137.2,EAF2,3077,8736,5659,5659,5659
RNF24_510.46,RNF24,2537,6121,3584,3584,3584
PCAF_e11_118.9,PCAF,2510,5876,3366,3366,3366
SPPL2A_1563.76,SPPL2A,1809,4653,2844,2844,2844
USP26_2742.98,USP26,1561,4008,2447,2447,2447
KCNC1_BTB10104_E1_1758.13,KCNC1,728,2270,1542,1542,1542
ZKSCAN8_E7_744.30,ZKSCAN8,1454,4023,2569,2569,2569
MTA1_Bah3188_E1_2148.47,MTA1,897,2035,1138,1138,1138
FXR1_Agenet59115_E1_1866.17,FXR1,1884,4795,2911,2911,2911
HUWE1_13125.878,HUWE1,2651,5329,2678,2678,2678
CAMTA2_E5_136.9,CAMTA2,845,2298,1453,1453,1453
SMARCAD1_H_e22_183.0,SMARCAD1,4149,9019,4870,4870,4870
ZNF662_E4_486.45,ZNF662,900,2092,1192,1192,1192
PCNA_e3.1,PCNA,2749,6613,3864,3864,3864
CDYL_Chromo_E2_150.5,CDYL,1268,2956,1688,1688,1688
USP14_1485.65,USP14,2042,4287,2245,2245,2245
SP8_E2_162.15,SP8,1716,4291,2575,2575,2575
TEAD1_E7_47.0,TEAD1,1504,3277,1773,1773,1773
DCAF12L1_1392.197,DCAF12L1,519,1156,637,637,637
ZBTB33_E3_657.36,ZBTB33,1262,3217,1955,1955,1955
ANAPC15_378.2,ANAPC15,1309,3107,1798,1798,1798
ASH1L_e13_109.0,ASH1L,1430,3187,1757,1757,1757
CHD9_Chromo_E8_118.0,CHD9,1063,2806,1743,1743,1743
CSNK1G2_PKc_E3_41,CSNK1G2,670,1545,875,875,875
ZNF544_E7_1068.27,ZNF544,1150,3019,1869,1869,1869
TULP4_4632.115,TULP4,1095,2784,1689,1689,1689
ZNF480_E5_1050.22,ZNF480,1884,5595,3711,3711,3711
ASB14_1764.35,ASB14,1745,4570,2825,2825,2825
RHOBTB2_BTB443492_E1_2250.121,RHOBTB2,1167,2528,1361,1361,1361
RHOXF2B_E2_71.0,RHOXF2B,1400,3030,1630,1630,1630
TRIM51_1359.29,TRIM51,1365,3371,2006,2006,2006
ARID2_E13_135.1,ARID2,1230,3360,2130,2130,2130
OMA1_1575.101,OMA1,1574,3666,2092,2092,2092
KDM2B_CXXC615651_E1_4011.57,KDM2B,1603,3452,1849,1849,1849
KDM2B_4011.570,KDM2B,1603,3452,1849,1849,1849
PRMT5_e12_106.4,PRMT5,3184,6249,3065,3065,3065
NR1I3_E2_77.6,NR1I3,1242,3044,1802,1802,1802
CBFB_E2_87.9,CBFB,724,2079,1355,1355,1355
TRIM7_1536.44,TRIM7,1062,2754,1692,1692,1692
AXL_PKc_E18_160.14,AXL,950,2354,1404,1404,1404
ATG4B_1182.145,ATG4B,675,1683,1008,1008,1008
TBX1_E3_86.5,TBX1,2653,5628,2975,2975,2975
ZNF10_E5_666.53,ZNF10,1464,3312,1848,1848,1848
KDM5A_Phd2_E23_159.11,KDM5A,1174,3371,2197,2197,2197
TIE1_PKc_E16_111.15,TIE1,447,1410,963,963,963
TOX_E5_147.2,TOX,4495,10346,5851,5851,5851
FBXO46_1812.244,FBXO46,359,817,458,458,458
STAT3_E17_136.7,STAT3,2666,6574,3908,3908,3908
ZNF41_E5_1269.60,ZNF41,1135,3112,1977,1977,1977
CHD4_Chromo_E12_206.11,CHD4,526,851,325,325,325
CUL2_2295.68,CUL2,1506,3063,1557,1557,1557
CUX2_E21_155.8,CUX2,1265,2927,1662,1662,1662
USP31_93.0,USP31,995,2540,1545,1545,1545
ZNF296_E2_87.1,ZNF296,2262,5140,2878,2878,2878
XPNPEP1_90.11,XPNPEP1,1723,3946,2223,2223,2223
MAST1_PKc_E13_139.1,MAST1,463,892,429,429,429
SATB1_E12_174.16,SATB1,481,1121,640,640,640
RNF123_3945.322,RNF123,1743,4324,2581,2581,2581
TRIM55_1647.198,TRIM55,662,1821,1159,1159,1159
KCNS1_BTB52151_E1_1581.32,KCNS1,908,2246,1338,1338,1338
ZNF581_E2_246.47,ZNF581,498,971,473,473,473
ZNF343_E7_915.77,ZNF343,1666,3914,2248,2248,2248
RNF123_3945.652,RNF123,598,1472,874,874,874
DNAJC2_E13_71.0,DNAJC2,2328,5909,3581,3581,3581
DNAJC2_SANT_E13_74.0,DNAJC2,2328,5909,3581,3581,3581
UBE2L3_639.67,UBE2L3,1072,1245,173,173,173
NR4A3_E5_130.4,NR4A3,1946,5267,3321,3321,3321
MTA3_Bah3170_E1_1548.14,MTA3,1320,2781,1461,1461,1461
TSC22D4_E5_162.27,TSC22D4,1097,2770,1673,1673,1673
ZFHX3_E9_2580.93,ZFHX3,1771,4296,2525,2525,2525
CHD6_Chromo_E9_87.0,CHD6,1368,3628,2260,2260,2260
POU2F3_E9_63.4,POU2F3,1073,2702,1629,1629,1629
POU3F2_E1_174.9,POU3F2,681,1625,944,944,944
BRD1_Phd_E2_162.8,BRD1,470,1280,810,810,810
CDH1_2649.225,CDH1,1861,4948,3087,3087,3087
KEAP1_BTB67179_E1_1875.44,KEAP1,2182,4399,2217,2217,2217
TUB_E11_99.8,TUB,1849,4491,2642,2642,2642
ZNF585A_E5_1755.136,ZNF585A,1973,4776,2803,2803,2803
OTP_E2_132.13,OTP,1017,1974,957,957,957
SOCS4_1323.52,SOCS4,1507,3277,1770,1770,1770
ZNF391_E3_807.43,ZNF391,2935,7290,4355,4355,4355
NR2E1_E2_146.3,NR2E1,795,2311,1516,1516,1516
PSMB9_660.63,PSMB9,1975,4519,2544,2544,2544
RIPK4_PKc_E2_292.16,RIPK4,1310,2892,1582,1582,1582
KLF17_E2_79.2,KLF17,742,1889,1147,1147,1147
ZSCAN21_E4_570.66,ZSCAN21,1394,3144,1750,1750,1750
ADAM23_2499.242,ADAM23,912,2575,1663,1663,1663
USP17L2_1593.61,USP17L2,2155,5051,2896,2896,2896
ZSCAN29_E5_489.12,ZSCAN29,4334,10427,6093,6093,6093
ZKSCAN3_E7_573.32,ZKSCAN3,1103,2669,1566,1566,1566
HERC2_14505.192,HERC2,1011,2397,1386,1386,1386
PRKCD_PKc_E14_92.12,PRKCD,512,1189,677,677,677
ZFP82_E5_1152.75,ZFP82,1910,4364,2454,2454,2454
LTA4H_1836.38,LTA4H,1320,3376,2056,2056,2056
SETD5_e10_118.5,SETD5,1803,3790,1987,1987,1987
ZNF440_E4_750.58,ZNF440,1150,2949,1799,1799,1799
EPHA5_PKc_E13_62.2,EPHA5,2388,5786,3398,3398,3398
USP17L24_885.85,USP17L24,6959,17330,10371,10371,10371
USP17L25_885.85,USP17L25,6959,17330,10371,10371,10371
USP17L26_885.85,USP17L26,6959,17330,10371,10371,10371
USP17L5_885.85,USP17L5,6959,17330,10371,10371,10371
TNNI3K_PKc_E16_195.12,TNNI3K,331,855,524,524,524
KMT2D_ePhd1_E5_110.5,KMT2D,1746,4239,2493,2493,2493
FBXO7_1569.62,FBXO7,1757,4209,2452,2452,2452
ZBTB1_E2_522.22,ZBTB1,2092,3594,1502,1502,1502
KDM2A_CXXC576609_E1_3489.397,KDM2A,3920,7164,3244,3244,3244
KDM2A_3489.397,KDM2A,3920,7164,3244,3244,3244
RING1_1221.262,RING1,2697,6604,3907,3907,3907
ZFP41_E2_237.1,ZFP41,1700,3897,2197,2197,2197
HES6_E2_87.8,HES6,649,1885,1236,1236,1236
RNF112_1896.21,RNF112,1794,5016,3222,3222,3222
HES2_E3_69.5,HES2,1388,3852,2464,2464,2464
SRCAP_D_e15_170.7,SRCAP,910,1438,528,528,528
BIRC8_711.35,BIRC8,3090,8419,5329,5329,5329
CREM_E8_130.2,CREM,1178,2935,1757,1757,1757
RNF183_579.114,RNF183,1180,2575,1395,1395,1395
CHD1L_H_e13_115.2,CHD1L,1293,3041,1748,1748,1748
TP53_E5_184.4,TP53,906,2197,1291,1291,1291
ZNF33A_E5_1407.103,ZNF33A,3213,8194,4981,4981,4981
TWIST1_E1_168.2,TWIST1,982,2134,1152,1152,1152
FBXW11_2,FBXW11,1003,2119,1116,1116,1116
KLK10_831.11,KLK10,1293,3793,2500,2500,2500
USP39_1698.94,USP39,1573,2834,1261,1261,1261
ECE1_2313.175,ECE1,544,1403,859,859,859
CAPN6_1926.39,CAPN6,3116,9983,6867,6867,6867
DDIT3_E4_192.11,DDIT3,1092,2864,1772,1772,1772
RHOXF2B_E2_71.3,RHOXF2B,2526,6700,4174,4174,4174
DTX3L_2223.133,DTX3L,2189,6198,4009,4009,4009
ZNF25_E6_930.55,ZNF25,1359,3793,2434,2434,2434
UNKL_2052.192,UNKL,556,1910,1354,1354,1354
OTUD3_1197.4,OTUD3,2538,5776,3238,3238,3238
MBD2_E1_92.4,MBD2,1354,2540,1186,1186,1186
MBD2_MBD_E1_92.4,MBD2,1354,2540,1186,1186,1186
NHLH2_E3_162.16,NHLH2,436,1140,704,704,704
ZSCAN12_E4_1068.50,ZSCAN12,1408,3145,1737,1737,1737
SETDB2_E7_183.8,SETDB2,1186,2594,1408,1408,1408
KLHL8_BTB57163_E1_1863.12,KLHL8,628,1608,980,980,980
RNF32_1089.97,RNF32,1251,3325,2074,2074,2074
PRKACG_PKc_E1_948.157,PRKACG,364,932,568,568,568
PHKG2_PKc_E2_59.2,PHKG2,468,912,444,444,444
TRERF1_E7_69.4,TRERF1,1703,4170,2467,2467,2467
XIAP_1494.63,XIAP,1769,4769,3000,3000,3000
HOXD8_E2_177.12,HOXD8,2386,5512,3126,3126,3126
UBE2D1_444.11,UBE2D1,1386,3515,2129,2129,2129
TPSB2_828.1,TPSB2,809,2828,2019,2019,2019
ZBTB14_E4_387.25,ZBTB14,2573,6204,3631,3631,3631
ZNF680_E4_1086.61,ZNF680,1115,2637,1522,1522,1522
L3MBTL4_MBT57149_E1_1872.207,L3MBTL4,937,2263,1326,1326,1326
GCN5_e12_59.0,GCN5,1976,5498,3522,3522,3522
VPS11_2825.207,VPS11,1434,3691,2257,2257,2257
RFPL4B_792.90,RFPL4B,1719,4388,2669,2669,2669
FBXL7_1476.123,FBXL7,1817,4903,3086,3086,3086
PLK3_PKc_E6_96.1,PLK3,1492,3656,2164,2164,2164
CHD1_Chromo_E9_134.4,CHD1,680,1574,894,894,894
NACC2_BTB20120_E1_1764.365,NACC2,803,2226,1423,1423,1423
ST14_2568.253,ST14,907,3471,2564,2564,2564
EIF2AK2_PKc_E15_102.3,EIF2AK2,796,1824,1028,1028,1028
FBXO18_3285.403,FBXO18,882,2088,1206,1206,1206
SMARCA4_BD_e32_109.8,SMARCA4,881,1682,801,801,801
PLAT_1689.95,PLAT,1008,2758,1750,1750,1750
TERF2_E10_144.14,TERF2,1137,2004,867,867,867
TRAIP_1410.198,TRAIP,861,1507,646,646,646
MNX1_E2_129.8,MNX1,586,1711,1125,1125,1125
ZSCAN31_E4_492.23,ZSCAN31,2351,6822,4471,4471,4471
UBR7_Phd_E5_54.3,UBR7,843,2268,1425,1425,1425
ZKSCAN8_E7_744.88,ZKSCAN8,1309,3373,2064,2064,2064
ZFP2_E5_1059.0,ZFP2,1836,4434,2598,2598,2598
REN_1221.81,REN,1722,4833,3111,3111,3111
KCTD9_BTB91181_E1_1170.32,KCTD9,509,1524,1015,1015,1015
PIAS2_E9_129.7,PIAS2,2042,5262,3220,3220,3220
