sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final,test1,Test2,DLD1-Ts2.18.final_recalculate
CBLC_1425.103,CBLC,827,2536,1709,1709,1709
PRSS12_2628.222,PRSS12,2198,5172,2974,2974,2974
SOX6_E14_107.4,SOX6,798,1640,842,842,842
PRSS8_1032.139,PRSS8,1453,3550,2097,2097,2097
POU5F1B_E1_174.17,POU5F1B,1164,3042,1878,1878,1878
CELA3A_813.87,CELA3A,2314,5663,3349,3349,3349
BRD8_BD_e19_178.3,BRD8,1003,2474,1471,1471,1471
PRSS41_957.126,PRSS41,2595,6221,3626,3626,3626
DNPEP_1458.256,DNPEP,1078,2678,1600,1600,1600
CDK20_PKc_E3_189.5,CDK20,632,1421,789,789,789
KLKB1_1917.7,KLKB1,1117,2815,1698,1698,1698
ZNF524_E2_243.13,ZNF524,1756,4632,2876,2876,2876
RPL23A_e2.1,RPL23A,5611,15640,10029,10029,10029
FBXO11_2784.130,FBXO11,3152,7904,4752,4752,4752
TPSG1_966.6,TPSG1,1226,3236,2010,2010,2010
ZNF79_E5_834.56,ZNF79,1464,3126,1662,1662,1662
CDKL5_PKc_E5_137.5,CDKL5,1196,3010,1814,1814,1814
ATF6_E8_162.8,ATF6,1682,3518,1836,1836,1836
BARD1_2277.15,BARD1,681,1758,1077,1077,1077
ZNF880_E4_1221.59,ZNF880,2813,7150,4337,4337,4337
DCLK3_PKc_E2_390.28,DCLK3,1327,3496,2169,2169,2169
TET3_e10_79.1,TET3,1461,3789,2328,2328,2328
MEF2A_E3_51.1,MEF2A,3014,7948,4934,4934,4934
ZNF189_E3_1161.3,ZNF189,1569,4929,3360,3360,3360
ZNF676_E3_1410.86,ZNF676,1963,5740,3777,3777,3777
UBTFL1_E1_558.21,UBTFL1,2983,7617,4634,4634,4634
RNF222_663.159,RNF222,1280,2827,1547,1547,1547
ASB10_1404.42,ASB10,476,1168,692,692,692
VPS41_2565.110,VPS41,972,1837,865,865,865
TERF1_SANT_E10_144.8,TERF1,254,563,309,309,309
ZNF470_E6_1338.89,ZNF470,842,2172,1330,1330,1330
CSDE1_E11_213.15,CSDE1,718,1939,1221,1221,1221
KLHL38_BTB24131_E1_1746.268,KLHL38,423,1060,637,637,637
STAT4_E10_89.6,STAT4,2654,5454,2800,2800,2800
TRERF1_E7_69.3,TRERF1,885,2293,1408,1408,1408
MARCH3_762.21,3-Mar,600,1302,702,702,702
KMT2C_e59_74.2,KMT2C,1670,4047,2377,2377,2377
EIF2AK4_PKc_E9_536.1,EIF2AK4,1310,2225,915,915,915
HOXB3_E4_177.17,HOXB3,1428,3831,2403,2403,2403
MYOG_E1_177.9,MYOG,1542,3322,1780,1780,1780
CDK1_e7.1,CDK1,3384,5684,2300,2300,2300
ZNF625_E4_396.14,ZNF625,3363,9448,6085,6085,6085
ZNF587_E3_567.30,ZNF587,5860,14664,8804,8804,8804
MAK_PKc_E3_55.1,MAK,1311,2763,1452,1452,1452
TRIB1_PKc_E3_361.38,TRIB1,1023,2357,1334,1334,1334
PRSS53_1662.27,PRSS53,1276,3056,1780,1780,1780
KCTD3_BTB20112_E1_2448.8,KCTD3,1015,2625,1610,1610,1610
TFDP1_E6_144.6,TFDP1,1378,2605,1227,1227,1227
ZNF582_E5_663.50,ZNF582,2741,6694,3953,3953,3953
BMPR2_PKc_E10_137.6,BMPR2,1186,3464,2278,2278,2278
USP4_150.10,USP4,580,1569,989,989,989
KLF5_E4_78.9,KLF5,1165,2691,1526,1526,1526
RCOR2_SANT2_E10_58.0,RCOR2,1801,3828,2027,2027,2027
PARK2_1398.149,PARK2,1051,2510,1459,1459,1459
PSMB10_822.132,PSMB10,1418,3653,2235,2235,2235
SRC_PKc_E9_82.15,SRC,1229,2922,1693,1693,1693
PRKRIR_E1_80.0,PRKRIR,1570,2824,1254,1254,1254
TLL1_3042.279,TLL1,2441,5836,3395,3395,3395
EZH2_e16_96.8,EZH2,890,2052,1162,1162,1162
ADAMTS18_3666.74,ADAMTS18,1614,3581,1967,1967,1967
USP1_2358.7,USP1,1666,3204,1538,1538,1538
TRPS1_E6_102.4,TRPS1,3332,8635,5303,5303,5303
FBXO22_1212.72,FBXO22,1795,3906,2111,2111,2111
ZNF585B_E5_1839.141,ZNF585B,3463,8251,4788,4788,4788
FMR1_Agenet59117_E1_1899.173,FMR1,1802,5049,3247,3247,3247
ABHD12B_858.58,ABHD12B,2336,6093,3757,3757,3757
SHPRH_H_e27_179.9,SHPRH,1879,4859,2980,2980,2980
ASH1L_BD_e18_55.0,ASH1L,2128,4977,2849,2849,2849
ZNF554_E5_498.59,ZNF554,2169,5532,3363,3363,3363
TDRD3_tudor652700_E1_2235.103,TDRD3,1705,4313,2608,2608,2608
WDSUB1_1431.53,WDSUB1,1395,3347,1952,1952,1952
ZNF526_E3_963.98,ZNF526,1761,4074,2313,2313,2313
TESK1_PKc_E5_83,TESK1,1112,2597,1485,1485,1485
ZNF417_E3_567.28,ZNF417,2168,5126,2958,2958,2958
SUV39H2_e4_147.1,SUV39H2,3862,9796,5934,5934,5934
BRWD1_BD1_e32_126.1,BRWD1,825,2013,1188,1188,1188
CLOCK_E7_149.4,CLOCK,1501,3551,2050,2050,2050
ASB15_1767.136,ASB15,1917,5191,3274,3274,3274
NAALADL2_2388.136,NAALADL2,832,2258,1426,1426,1426
TFEB_E8_76.6,TFEB,1726,4553,2827,2827,2827
PROX1_E4_195.9,PROX1,1141,2728,1587,1587,1587
MBTPS2_1560.129,MBTPS2,2215,3315,1100,1100,1100
ZNF234_E6_1245.128,ZNF234,4287,9983,5696,5696,5696
