sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:8260","OR2J2","olfactory receptor family 2 subfamily J member 2","","OR6-8,hs6M1-6,dJ80I19.4","6p22.1","Olfactory receptors, family 2"
"HGNC:8261","OR2J3","olfactory receptor family 2 subfamily J member 3","","OR6-6","6p22.1","Olfactory receptors, family 2"
"HGNC:8262","OR2J4P","olfactory receptor family 2 subfamily J member 4 pseudogene","","OR6-9,hs6M1-5,dJ80I19.5","6p22.1","Olfactory receptors, family 2"
"HGNC:8264","OR2K2","olfactory receptor family 2 subfamily K member 2","OR2AR1P","HTPCRH06,HSHTPCRH06","9q31.3","Olfactory receptors, family 2"
"HGNC:8265","OR2L1P","olfactory receptor family 2 subfamily L member 1 pseudogene","OR2L1,OR2L7P","HTPCRX02,HSHTPCRX02","1q44","Olfactory receptors, family 2"
"HGNC:8266","OR2L2","olfactory receptor family 2 subfamily L member 2","OR2L4P,OR2L12","HTPCRH07,HSHTPCRH07","1q44","Olfactory receptors, family 2"
"HGNC:15009","OR2L3","olfactory receptor family 2 subfamily L member 3","","","1q44","Olfactory receptors, family 2"
"HGNC:15011","OR2L5","olfactory receptor family 2 subfamily L member 5","OR2L11,OR2L5P","","1q44","Olfactory receptors, family 2"
"HGNC:15012","OR2L6P","olfactory receptor family 2 subfamily L member 6 pseudogene","","","1q44","Olfactory receptors, family 2"
"HGNC:15014","OR2L8","olfactory receptor family 2 subfamily L member 8","","","1q44","Olfactory receptors, family 2"
"HGNC:15015","OR2L9P","olfactory receptor family 2 subfamily L member 9 pseudogene","","","1q44","Olfactory receptors, family 2"
"HGNC:19578","OR2L13","olfactory receptor family 2 subfamily L member 13","OR2L14","","1q44","Olfactory receptors, family 2"
"HGNC:8267","OR2M1P","olfactory receptor family 2 subfamily M member 1 pseudogene","OR2M1","OST037","1q44","Olfactory receptors, family 2"
"HGNC:8268","OR2M2","olfactory receptor family 2 subfamily M member 2","","OST423,OR2M2Q","1q44","Olfactory receptors, family 2"
"HGNC:8269","OR2M3","olfactory receptor family 2 subfamily M member 3","OR2M6,OR2M3P","OST003","1q44","Olfactory receptors, family 2"
"HGNC:8270","OR2M4","olfactory receptor family 2 subfamily M member 4","","HTPCRX18,TPCR100,HSHTPCRX18,OST710","1q44","Olfactory receptors, family 2"
"HGNC:19576","OR2M5","olfactory receptor family 2 subfamily M member 5","OR2M5P","","1q44","Olfactory receptors, family 2"
"HGNC:19594","OR2M7","olfactory receptor family 2 subfamily M member 7","","","1q44","Olfactory receptors, family 2"
"HGNC:8271","OR2N1P","olfactory receptor family 2 subfamily N member 1 pseudogene","","OR6-7","6p22.2-p21.31","Olfactory receptors, family 2"
"HGNC:8272","OR2P1P","olfactory receptor family 2 subfamily P member 1 pseudogene","","hs6M1-26","6p22.1","Olfactory receptors, family 2"
"HGNC:8273","OR2Q1P","olfactory receptor family 2 subfamily Q member 1 pseudogene","","OR7-2","7q35","Olfactory receptors, family 2"
"HGNC:8274","OR2R1P","olfactory receptor family 2 subfamily R member 1, pseudogene","OR2R1","OST058","7q35","Olfactory receptors, family 2"
"HGNC:8275","OR2S1P","olfactory receptor family 2 subfamily S member 1 pseudogene","","OST611","9p13.3","Olfactory receptors, family 2"
"HGNC:8276","OR2S2","olfactory receptor family 2 subfamily S member 2","","","9p13.3","Olfactory receptors, family 2"
"HGNC:8277","OR2T1","olfactory receptor family 2 subfamily T member 1","","OR1-25","1q44","Olfactory receptors, family 2"
"HGNC:14725","OR2T2","olfactory receptor family 2 subfamily T member 2","OR2T2P","","1q44","Olfactory receptors, family 2"
"HGNC:14727","OR2T3","olfactory receptor family 2 subfamily T member 3","","","1q44","Olfactory receptors, family 2"
"HGNC:15016","OR2T4","olfactory receptor family 2 subfamily T member 4","","OR2T4Q","1q44","Olfactory receptors, family 2"
"HGNC:15017","OR2T5","olfactory receptor family 2 subfamily T member 5","","","1q44","Olfactory receptors, family 2"
"HGNC:15018","OR2T6","olfactory receptor family 2 subfamily T member 6","OR2T6P,OR2T9","OST703","1q44","Olfactory receptors, family 2"
"HGNC:15019","OR2T7","olfactory receptor family 2 subfamily T member 7","OR2T7P","OST723","1q44","Olfactory receptors, family 2"
"HGNC:15020","OR2T8","olfactory receptor family 2 subfamily T member 8","OR2T8P","","1q44","Olfactory receptors, family 2"
"HGNC:19573","OR2T10","olfactory receptor family 2 subfamily T member 10","","","1q44","Olfactory receptors, family 2"
"HGNC:19574","OR2T11","olfactory receptor family 2 subfamily T member 11","","OR2T11Q","1q44","Olfactory receptors, family 2"
"HGNC:19592","OR2T12","olfactory receptor family 2 subfamily T member 12","","","1q44","Olfactory receptors, family 2"
"HGNC:31252","OR2T27","olfactory receptor family 2 subfamily T member 27","","","1q44","Olfactory receptors, family 2"
"HGNC:31253","OR2T29","olfactory receptor family 2 subfamily T member 29","","","1q44","Olfactory receptors, family 2"
"HGNC:31254","OR2T32P","olfactory receptor family 2 subfamily T member 32 pseudogene","","","1q44","Olfactory receptors, family 2"
"HGNC:31255","OR2T33","olfactory receptor family 2 subfamily T member 33","","","1q44","Olfactory receptors, family 2"
"HGNC:31256","OR2T34","olfactory receptor family 2 subfamily T member 34","","","1q44","Olfactory receptors, family 2"
"HGNC:31257","OR2T35","olfactory receptor family 2 subfamily T member 35","","","1q44","Olfactory receptors, family 2"
"HGNC:8278","OR2U1P","olfactory receptor family 2 subfamily U member 1 pseudogene","OR2AU1P","hs6M1-24","6p22.1","Olfactory receptors, family 2"
"HGNC:8279","OR2U2P","olfactory receptor family 2 subfamily U member 2 pseudogene","","hs6M1-23","6p22.1","Olfactory receptors, family 2"
"HGNC:8280","OR2V1","olfactory receptor family 2 subfamily V member 1","OR2V1P","OST265","5q35.3","Olfactory receptors, family 2"
"HGNC:15341","OR2V2","olfactory receptor family 2 subfamily V member 2","OR2V3","OST713","5q35.3","Olfactory receptors, family 2"
"HGNC:8281","OR2W1","olfactory receptor family 2 subfamily W member 1","","hs6M1-15","6p22.1","Olfactory receptors, family 2"
"HGNC:13970","OR2W2P","olfactory receptor family 2 subfamily W member 2 pseudogene","","hs6M1-30P","6p22.1","Olfactory receptors, family 2"
"HGNC:15021","OR2W3","olfactory receptor family 2 subfamily W member 3","OR2W8P,OR2W3P","OST718","1q44","Olfactory receptors, family 2"
"HGNC:15071","OR2W4P","olfactory receptor family 2 subfamily W member 4 pseudogene","","","6p22.1","Olfactory receptors, family 2"
"HGNC:15424","OR2W5P","olfactory receptor family 2 subfamily W member 5 pseudogene","OR2W5","OST722","1q44","Olfactory receptors, family 2"
"HGNC:15072","OR2W6P","olfactory receptor family 2 subfamily W member 6 pseudogene","OR2W7P","","6p22.1","Olfactory receptors, family 2"
"HGNC:31258","OR2X1P","olfactory receptor family 2 subfamily X member 1 pseudogene","","","1q44","Olfactory receptors, family 2"
"HGNC:14837","OR2Y1","olfactory receptor family 2 subfamily Y member 1","","","5q35.3","Olfactory receptors, family 2"
"HGNC:15391","OR2Z1","olfactory receptor family 2 subfamily Z member 1","OR2Z2","","19p13.2","Olfactory receptors, family 2"
"HGNC:8282","OR3A1","olfactory receptor family 3 subfamily A member 1","","OLFRA03,OR40,OR17-40","17p13.3","Olfactory receptors, family 3"
"HGNC:8283","OR3A2","olfactory receptor family 3 subfamily A member 2","","OLFRA04,OR228,OR17-228","17p13.3","Olfactory receptors, family 3"
"HGNC:8284","OR3A3","olfactory receptor family 3 subfamily A member 3","OR3A6,OR3A7,OR3A8P","OR17-201,OR17-137,OR17-16","17p13.2","Olfactory receptors, family 3"
