sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:15437","OR6C3","olfactory receptor family 6 subfamily C member 3","","OST709","12q13.2","Olfactory receptors, family 6"
"HGNC:19632","OR6C4","olfactory receptor family 6 subfamily C member 4","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31292","OR6C5P","olfactory receptor family 6 subfamily C member 5 pseudogene","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31293","OR6C6","olfactory receptor family 6 subfamily C member 6","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31306","OR6C7P","olfactory receptor family 6 subfamily C member 7 pseudogene","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31294","OR6C64P","olfactory receptor family 6 subfamily C member 64 pseudogene","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31295","OR6C65","olfactory receptor family 6 subfamily C member 65","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31296","OR6C66P","olfactory receptor family 6 subfamily C member 66 pseudogene","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31297","OR6C68","olfactory receptor family 6 subfamily C member 68","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31298","OR6C69P","olfactory receptor family 6 subfamily C member 69 pseudogene","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31299","OR6C70","olfactory receptor family 6 subfamily C member 70","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31300","OR6C71P","olfactory receptor family 6 subfamily C member 71 pseudogene","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31301","OR6C72P","olfactory receptor family 6 subfamily C member 72 pseudogene","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31302","OR6C73P","olfactory receptor family 6 subfamily C member 73 pseudogene","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31303","OR6C74","olfactory receptor family 6 subfamily C member 74","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31304","OR6C75","olfactory receptor family 6 subfamily C member 75","","","12q13.2","Olfactory receptors, family 6"
"HGNC:31305","OR6C76","olfactory receptor family 6 subfamily C member 76","","","12q13.2","Olfactory receptors, family 6"
"HGNC:14849","OR6D1P","olfactory receptor family 6 subfamily D member 1 pseudogene","","","10q11.21","Olfactory receptors, family 6"
"HGNC:14739","OR6E1P","olfactory receptor family 6 subfamily E member 1 pseudogene","","","14q11.2","Olfactory receptors, family 6"
"HGNC:15027","OR6F1","olfactory receptor family 6 subfamily F member 1","","OST731","1q44","Olfactory receptors, family 6"
"HGNC:14707","OR6J1","olfactory receptor family 6 subfamily J member 1","OR6J2,OR6J1P","","14q11.2","Olfactory receptors, family 6"
"HGNC:15028","OR6K1P","olfactory receptor family 6 subfamily K member 1 pseudogene","","","1q23.1","Olfactory receptors, family 6"
"HGNC:15029","OR6K2","olfactory receptor family 6 subfamily K member 2","","","1q23.1","Olfactory receptors, family 6"
"HGNC:15030","OR6K3","olfactory receptor family 6 subfamily K member 3","","","1q23.1","Olfactory receptors, family 6"
"HGNC:15031","OR6K4P","olfactory receptor family 6 subfamily K member 4 pseudogene","","","1q23.1","Olfactory receptors, family 6"
"HGNC:15032","OR6K5P","olfactory receptor family 6 subfamily K member 5 pseudogene","","","1q23.1","Olfactory receptors, family 6"
"HGNC:15033","OR6K6","olfactory receptor family 6 subfamily K member 6","","","1q23.1","Olfactory receptors, family 6"
"HGNC:15124","OR6L1P","olfactory receptor family 6 subfamily L member 1 pseudogene","","","10q26.3","Olfactory receptors, family 6"
"HGNC:15125","OR6L2P","olfactory receptor family 6 subfamily L member 2 pseudogene","","","10q26.3","Olfactory receptors, family 6"
"HGNC:14711","OR6M1","olfactory receptor family 6 subfamily M member 1","","","11q24.1","Olfactory receptors, family 6"
"HGNC:14713","OR6M2P","olfactory receptor family 6 subfamily M member 2 pseudogene","","","11q24.1","Olfactory receptors, family 6"
"HGNC:14741","OR6M3P","olfactory receptor family 6 subfamily M member 3 pseudogene","","","11q24.1","Olfactory receptors, family 6"
"HGNC:15034","OR6N1","olfactory receptor family 6 subfamily N member 1","","","1q23.1","Olfactory receptors, family 6"
"HGNC:15035","OR6N2","olfactory receptor family 6 subfamily N member 2","","","1q23.1","Olfactory receptors, family 6"
"HGNC:15036","OR6P1","olfactory receptor family 6 subfamily P member 1","","","1q23.1","Olfactory receptors, family 6"
"HGNC:15302","OR6Q1","olfactory receptor family 6 subfamily Q member 1","","","11q12.1","Olfactory receptors, family 6"
"HGNC:15037","OR6R1P","olfactory receptor family 6 subfamily R member 1 pseudogene","","","1q44","Olfactory receptors, family 6"
"HGNC:31307","OR6R2P","olfactory receptor family 6 subfamily R member 2 pseudogene","","","8p21.3","Olfactory receptors, family 6"
"HGNC:15363","OR6S1","olfactory receptor family 6 subfamily S member 1","","OR6S1Q","14q11.2","Olfactory receptors, family 6"
"HGNC:14848","OR6T1","olfactory receptor family 6 subfamily T member 1","","","11q24.1","Olfactory receptors, family 6"
"HGNC:19631","OR6U2P","olfactory receptor family 6 subfamily U member 2 pseudogene","OR6U1P","","12q13.2","Olfactory receptors, family 6"
"HGNC:15090","OR6V1","olfactory receptor family 6 subfamily V member 1","","GPR138","7q34","Olfactory receptors, family 6"
"HGNC:15091","OR6W1P","olfactory receptor family 6 subfamily W member 1 pseudogene","OR6W1","sdolf","7q34","Olfactory receptors, family 6"
"HGNC:14737","OR6X1","olfactory receptor family 6 subfamily X member 1","","","11q24.1","Olfactory receptors, family 6"
"HGNC:14823","OR6Y1","olfactory receptor family 6 subfamily Y member 1","OR6Y2","","1q23.1","Olfactory receptors, family 6"
"HGNC:8364","OR7A1P","olfactory receptor family 7 subfamily A member 1 pseudogene","OR7A6P","OR19-3,OLF4p,hg513","19p13.12","Olfactory receptors, family 7"
"HGNC:8370","OR7A2P","olfactory receptor family 7 subfamily A member 2 pseudogene","OR7A7,OR7A2","hg1003,OR19-18,OLF4p","19p13.12","Olfactory receptors, family 7"
"HGNC:8366","OR7A3P","olfactory receptor family 7 subfamily A member 3 pseudogene","OR7A12P,OR7A14P,OR7A14,OR7A13P","OR11-7b,OR19-12,OR14-59,OR14-11","19p13.12","Olfactory receptors, family 7"
"HGNC:8368","OR7A5","olfactory receptor family 7 subfamily A member 5","","HTPCR2","19p13.1","Olfactory receptors, family 7"
"HGNC:8371","OR7A8P","olfactory receptor family 7 subfamily A member 8 pseudogene","OR7A9P","OST042,HG83,OR19-11","19p13.12","Olfactory receptors, family 7"
"HGNC:8356","OR7A10","olfactory receptor family 7 subfamily A member 10","","","19p13.12","Olfactory receptors, family 7"
"HGNC:8357","OR7A11P","olfactory receptor family 7 subfamily A member 11 pseudogene","OR7A11","OST527","19p13.12","Olfactory receptors, family 7"
"HGNC:8361","OR7A15P","olfactory receptor family 7 subfamily A member 15 pseudogene","OR7A4P,OR7A16P,OR7A20P","OR19-134,OR19-1,OR19-146","19p13.12","Olfactory receptors, family 7"
"HGNC:8363","OR7A17","olfactory receptor family 7 subfamily A member 17","","HTPCRX19","19p13.12","Olfactory receptors, family 7"
"HGNC:15399","OR7A18P","olfactory receptor family 7 subfamily A member 18 pseudogene","","","19p13.12","Olfactory receptors, family 7"
"HGNC:15337","OR7A19P","olfactory receptor family 7 subfamily A member 19 pseudogene","","","12q13.11","Olfactory receptors, family 7"
"HGNC:8373","OR7C1","olfactory receptor family 7 subfamily C member 1","OR7C4","OR19-5","19p13.1","Olfactory receptors, family 7"
"HGNC:8374","OR7C2","olfactory receptor family 7 subfamily C member 2","OR7C3","OR19-18","19p13.12","Olfactory receptors, family 7"
"HGNC:8377","OR7D1P","olfactory receptor family 7 subfamily D member 1 pseudogene","OR7D3P,OR7D3","OR19-A","19p13.2","Olfactory receptors, family 7"
"HGNC:8378","OR7D2","olfactory receptor family 7 subfamily D member 2","","OR19-4,HTPCRH03,FLJ38149","19p13.2","Olfactory receptors, family 7"
"HGNC:8380","OR7D4","olfactory receptor family 7 subfamily D member 4","OR7D4P","hg105,OR19-B","19p13.2","Olfactory receptors, family 7"
"HGNC:31308","OR7D11P","olfactory receptor family 7 subfamily D member 11 pseudogene","","","19p13.2","Olfactory receptors, family 7"
"HGNC:8391","OR7E1P","olfactory receptor family 7 subfamily E member 1 pseudogene","","","11q13.2","Olfactory receptors, family 7"
"HGNC:8402","OR7E2P","olfactory receptor family 7 subfamily E member 2 pseudogene","OR7F2P,OR7E51P","OR11-6,hg94","11q14.2","Olfactory receptors, family 7"
"HGNC:8424","OR7E4P","olfactory receptor family 7 subfamily E member 4 pseudogene","OR7F4P","OR11-11a","11q13.4","Olfactory receptors, family 7"
"HGNC:8435","OR7E5P","olfactory receptor family 7 subfamily E member 5 pseudogene","OR7F5P","OR11-12,FLJ31393","11q12.1","Olfactory receptors, family 7"
"HGNC:8457","OR7E7P","olfactory receptor family 7 subfamily E member 7 pseudogene","","","7q21.3","Olfactory receptors, family 7"
"HGNC:8458","OR7E8P","olfactory receptor family 7 subfamily E member 8 pseudogene","","OR11-11a","8p23.1","Olfactory receptors, family 7"
"HGNC:8381","OR7E10P","olfactory receptor family 7 subfamily E member 10 pseudogene","","OR11-1","8p23.1","Olfactory receptors, family 7"
"HGNC:8382","OR7E11P","olfactory receptor family 7 subfamily E member 11 pseudogene","OR7E144P","OR11-2","11q13.2","Olfactory receptors, family 7"
"HGNC:8383","OR7E12P","olfactory receptor family 7 subfamily E member 12 pseudogene","OR7E58P,OR7E79P","OR11-3","11p15.4","Olfactory receptors, family 7"
"HGNC:8384","OR7E13P","olfactory receptor family 7 subfamily E member 13 pseudogene","","OR11-4","11q14.2","Olfactory receptors, family 7"
"HGNC:8385","OR7E14P","olfactory receptor family 7 subfamily E member 14 pseudogene","OR7E151P","OR11-5","11p15.1","Olfactory receptors, family 7"
"HGNC:8386","OR7E15P","olfactory receptor family 7 subfamily E member 15 pseudogene","OR7E80P,OR7E42P","OR11-392,OST001","8p23.1","Olfactory receptors, family 7"
"HGNC:8387","OR7E16P","olfactory receptor family 7 subfamily E member 16 pseudogene","OR7E60P,OR7E17P","OR19-133,OR19-9","19p13.2","Olfactory receptors, family 7"
"HGNC:8389","OR7E18P","olfactory receptor family 7 subfamily E member 18 pseudogene","OR7E61,OR7E98P","OR19-14,TPCR26","19p13.2","Olfactory receptors, family 7"
"HGNC:8390","OR7E19P","olfactory receptor family 7 subfamily E member 19 pseudogene","OR7E65","OR19-7","19p13.2","Olfactory receptors, family 7"
"HGNC:8393","OR7E21P","olfactory receptor family 7 subfamily E member 21 pseudogene","OR7E49P,OR7E127P","OR4DG,OST035","3q22.1","Olfactory receptors, family 7"
"HGNC:8394","OR7E22P","olfactory receptor family 7 subfamily E member 22 pseudogene","","OR6DG,OR3.6","3p12.3","Olfactory receptors, family 7"
"HGNC:8395","OR7E23P","olfactory receptor family 7 subfamily E member 23 pseudogene","OR7E92P","OR21-3","21q22.11","Olfactory receptors, family 7"
"HGNC:8396","OR7E24","olfactory receptor family 7 subfamily E member 24","OR7E24P","OR19-8,HSHT2,OR7E24Q","19p13.2","Olfactory receptors, family 7"
"HGNC:8397","OR7E25P","olfactory receptor family 7 subfamily E member 25 pseudogene","","OR19-C,CIT-B-440L2","19p13.2","Olfactory receptors, family 7"
"HGNC:8398","OR7E26P","olfactory receptor family 7 subfamily E member 26 pseudogene","OR7E67P,OR7E69P,OR7E70P,OR7E68P","OR1-51,OR1-72,OR1-73,OR912-95","10p13","Olfactory receptors, family 7"
"HGNC:8400","OR7E28P","olfactory receptor family 7 subfamily E member 28 pseudogene","OR7E133P,OR7E107P,OR7E27P","OST128,hg616","2q24.1","Olfactory receptors, family 7"
"HGNC:8401","OR7E29P","olfactory receptor family 7 subfamily E member 29 pseudogene","","OST032","3q21.2","Olfactory receptors, family 7"
"HGNC:8404","OR7E31P","olfactory receptor family 7 subfamily E member 31 pseudogene","OR7E32P","OST205","9q22.2","Olfactory receptors, family 7"
"HGNC:8406","OR7E33P","olfactory receptor family 7 subfamily E member 33 pseudogene","","hg688","13q21.32","Olfactory receptors, family 7"
"HGNC:8408","OR7E35P","olfactory receptor family 7 subfamily E member 35 pseudogene","OR7E120","OST018","4p16.1","Olfactory receptors, family 7"
"HGNC:8409","OR7E36P","olfactory receptor family 7 subfamily E member 36 pseudogene","OR7E119P","OST024","13q14.11","Olfactory receptors, family 7"
"HGNC:8410","OR7E37P","olfactory receptor family 7 subfamily E member 37 pseudogene","","hg533","13q14.11","Olfactory receptors, family 7"
"HGNC:8411","OR7E38P","olfactory receptor family 7 subfamily E member 38 pseudogene","OR7E76","OST127","7q21.3","Olfactory receptors, family 7"
"HGNC:8412","OR7E39P","olfactory receptor family 7 subfamily E member 39 pseudogene","OR7E138P","hg611","7p22.1","Olfactory receptors, family 7"
"HGNC:8415","OR7E41P","olfactory receptor family 7 subfamily E member 41 pseudogene","OR7F6P,OR7E50P,OR7E95P","OR11-20,hg84,OR8-126","11p15.2","Olfactory receptors, family 7"
"HGNC:8417","OR7E43P","olfactory receptor family 7 subfamily E member 43 pseudogene","","OR4-116","4p16.3","Olfactory receptors, family 7"
"HGNC:8420","OR7E46P","olfactory receptor family 7 subfamily E member 46 pseudogene","","OST379,MCEEP","2p13.3","Olfactory receptors, family 7"
"HGNC:8421","OR7E47P","olfactory receptor family 7 subfamily E member 47 pseudogene","","OR7E141","12q13.13","Olfactory receptors, family 7"
"HGNC:8428","OR7E53P","olfactory receptor family 7 subfamily E member 53 pseudogene","OR7E78P,OR7E78,OR7E132P","OR3-143,OR3-142","3q21.2","Olfactory receptors, family 7"
"HGNC:8430","OR7E55P","olfactory receptor family 7 subfamily E member 55 pseudogene","OR7E56P","OR2DG,OR3.2,OST013","3p12.3","Olfactory receptors, family 7"
"HGNC:8434","OR7E59P","olfactory receptor family 7 subfamily E member 59 pseudogene","OR7E59,OR7E137P","OST119","7p22.1","Olfactory receptors, family 7"
"HGNC:8438","OR7E62P","olfactory receptor family 7 subfamily E member 62 pseudogene","OR7E63P,OR7E64P,OR7E82P","OR7E62,OR2-53,OR7E63,OR7E64","2p13.3","Olfactory receptors, family 7"
"HGNC:8442","OR7E66P","olfactory receptor family 7 subfamily E member 66 pseudogene","OR7E6P,OR7E20P","hg630,HG630,OR3DG,OR3.3","3p12.3","Olfactory receptors, family 7"
"HGNC:14688","OR7E83P","olfactory receptor family 7 subfamily E member 83 pseudogene","OR7E134P","","4p16.1","Olfactory receptors, family 7"
"HGNC:14690","OR7E84P","olfactory receptor family 7 subfamily E member 84 pseudogene","OR7E54P","OST185","4p16.1","Olfactory receptors, family 7"
"HGNC:55114","OR7E85BP","olfactory receptor family 7 subfamily E member 85B pseudogene","","","4p16.1","Olfactory receptors, family 7"
"HGNC:14692","OR7E85P","olfactory receptor family 7 subfamily E member 85 pseudogene","OR7E88P","","4p16.1","Olfactory receptors, family 7"
"HGNC:14694","OR7E86P","olfactory receptor family 7 subfamily E member 86 pseudogene","","","4p16.1","Olfactory receptors, family 7"
"HGNC:14709","OR7E87P","olfactory receptor family 7 subfamily E member 87 pseudogene","OR7E3P,OR7F3P","OR11-9","11q13.4","Olfactory receptors, family 7"
"HGNC:14730","OR7E89P","olfactory receptor family 7 subfamily E member 89 pseudogene","","","2q24.1","Olfactory receptors, family 7"
"HGNC:14733","OR7E90P","olfactory receptor family 7 subfamily E member 90 pseudogene","OR7E123P","OST705","2q24.1","Olfactory receptors, family 7"
"HGNC:14747","OR7E91P","olfactory receptor family 7 subfamily E member 91 pseudogene","","","2p13.3","Olfactory receptors, family 7"
"HGNC:14780","OR7E93P","olfactory receptor family 7 subfamily E member 93 pseudogene","OR7E131P","","3q21.2","Olfactory receptors, family 7"
"HGNC:14789","OR7E94P","olfactory receptor family 7 subfamily E member 94 pseudogene","","","4q21.21","Olfactory receptors, family 7"
"HGNC:14815","OR7E96P","olfactory receptor family 7 subfamily E member 96 pseudogene","","","8p23.1","Olfactory receptors, family 7"
"HGNC:14834","OR7E97P","olfactory receptor family 7 subfamily E member 97 pseudogene","","","3q21.2","Olfactory receptors, family 7"
"HGNC:15059","OR7E99P","olfactory receptor family 7 subfamily E member 99 pseudogene","","","4p16.3","Olfactory receptors, family 7"
"HGNC:15048","OR7E100P","olfactory receptor family 7 subfamily E member 100 pseudogene","","","3q13.2","Olfactory receptors, family 7"
"HGNC:15342","OR7E101P","olfactory receptor family 7 subfamily E member 101 pseudogene","","","13q14.13","Olfactory receptors, family 7"
"HGNC:15043","OR7E102P","olfactory receptor family 7 subfamily E member 102 pseudogene","OR7E102","","2q11.1","Olfactory receptors, family 7"
"HGNC:19587","OR7E103P","olfactory receptor family 7 subfamily E member 103 pseudogene","OR4D12P","","4p16.3","Olfactory receptors, family 7"
"HGNC:15343","OR7E104P","olfactory receptor family 7 subfamily E member 104 pseudogene","","","13q21.31","Olfactory receptors, family 7"
"HGNC:15364","OR7E105P","olfactory receptor family 7 subfamily E member 105 pseudogene","","","14q22.1","Olfactory receptors, family 7"
"HGNC:15365","OR7E106P","olfactory receptor family 7 subfamily E member 106 pseudogene","OR7E40P","OST215","14q22.1","Olfactory receptors, family 7"
"HGNC:15117","OR7E108P","olfactory receptor family 7 subfamily E member 108 pseudogene","","OST726","9q22.2","Olfactory receptors, family 7"
"HGNC:15118","OR7E109P","olfactory receptor family 7 subfamily E member 109 pseudogene","","OST721","9q22.2","Olfactory receptors, family 7"
"HGNC:15126","OR7E110P","olfactory receptor family 7 subfamily E member 110 pseudogene","OR7E68P,OR7E71P,OR7E72P,OR7E73P,OR7E74P,OR7E75P","hg674,OR912-109,OR912-46,OR912-108,OR912-110,hg523","10p13","Olfactory receptors, family 7"
"HGNC:55115","OR7E111FP","olfactory receptor family 7 subfamily E member 111F pseudogene","","","4p16.1","Olfactory receptors, family 7"
"HGNC:15344","OR7E111P","olfactory receptor family 7 subfamily E member 111 pseudogene","","","13q21.32","Olfactory receptors, family 7"
"HGNC:15127","OR7E115P","olfactory receptor family 7 subfamily E member 115 pseudogene","","OST704","10p13","Olfactory receptors, family 7"
"HGNC:15122","OR7E116P","olfactory receptor family 7 subfamily E member 116 pseudogene","","OST733","9q22.2","Olfactory receptors, family 7"
"HGNC:15303","OR7E117P","olfactory receptor family 7 subfamily E member 117 pseudogene","","OST716","11p15.4","Olfactory receptors, family 7"
"HGNC:15049","OR7E121P","olfactory receptor family 7 subfamily E member 121 pseudogene","","","3p12.3","Olfactory receptors, family 7"
"HGNC:15050","OR7E122P","olfactory receptor family 7 subfamily E member 122 pseudogene","","OST719","3p25.3","Olfactory receptors, family 7"
"HGNC:15098","OR7E125P","olfactory receptor family 7 subfamily E member 125 pseudogene","","PJCG6","8p23.1","Olfactory receptors, family 7"
"HGNC:15304","OR7E126P","olfactory receptor family 7 subfamily E member 126 pseudogene","","hg500,OR11-1","11q13.4","Olfactory receptors, family 7"
"HGNC:15305","OR7E128P","olfactory receptor family 7 subfamily E member 128 pseudogene","","","11q13.4","Olfactory receptors, family 7"
"HGNC:15052","OR7E129P","olfactory receptor family 7 subfamily E member 129 pseudogene","","","3q22.1","Olfactory receptors, family 7"
"HGNC:15053","OR7E130P","olfactory receptor family 7 subfamily E member 130 pseudogene","","OST702","3q21.2","Olfactory receptors, family 7"
"HGNC:19557","OR7E136P","olfactory receptor family 7 subfamily E member 136 pseudogene","OR7E147P,OR7E139P","","7p22.1","Olfactory receptors, family 7"
"HGNC:19561","OR7E140P","olfactory receptor family 7 subfamily E member 140 pseudogene","","","12p13.31","Olfactory receptors, family 7"
"HGNC:19618","OR7E145P","olfactory receptor family 7 subfamily E member 145 pseudogene","","","11q13.2","Olfactory receptors, family 7"
"HGNC:19642","OR7E148P","olfactory receptor family 7 subfamily E member 148 pseudogene","OR7E150P","","12p13.31","Olfactory receptors, family 7"
"HGNC:19589","OR7E149P","olfactory receptor family 7 subfamily E member 149 pseudogene","","","12p13.31","Olfactory receptors, family 7"
"HGNC:31309","OR7E154P","olfactory receptor family 7 subfamily E member 154 pseudogene","","","8p23.1","Olfactory receptors, family 7"
"HGNC:31310","OR7E155P","olfactory receptor family 7 subfamily E member 155 pseudogene","","","13q14.11","Olfactory receptors, family 7"
"HGNC:31311","OR7E156P","olfactory receptor family 7 subfamily E member 156 pseudogene","","","13q21.31","Olfactory receptors, family 7"
"HGNC:31231","OR7E157P","olfactory receptor family 7 subfamily E member 157 pseudogene","","","8p23.1","Olfactory receptors, family 7"
"HGNC:31232","OR7E158P","olfactory receptor family 7 subfamily E member 158 pseudogene","","","8p23.1","Olfactory receptors, family 7"
"HGNC:31312","OR7E159P","olfactory receptor family 7 subfamily E member 159 pseudogene","","","14q22.1","Olfactory receptors, family 7"
"HGNC:31233","OR7E160P","olfactory receptor family 7 subfamily E member 160 pseudogene","","","8p23.1","Olfactory receptors, family 7"
"HGNC:31234","OR7E161P","olfactory receptor family 7 subfamily E member 161 pseudogene","","","8p23.1","Olfactory receptors, family 7"
"HGNC:28374","OR7E162P","olfactory receptor family 7 subfamily E member 162 pseudogene","","","4p16.3","Olfactory receptors, family 7"
"HGNC:45040","OR7E163P","olfactory receptor family 7 subfamily E member 163 pseudogene","","","4p16.3","Olfactory receptors, family 7"
"HGNC:8465","OR7G1","olfactory receptor family 7 subfamily G member 1","OR7G1P","OR19-15","19p13.2","Olfactory receptors, family 7"
"HGNC:8466","OR7G2","olfactory receptor family 7 subfamily G member 2","","OST260","19p13.2","Olfactory receptors, family 7"
"HGNC:8467","OR7G3","olfactory receptor family 7 subfamily G member 3","","OST085","19p13.2","Olfactory receptors, family 7"
"HGNC:31313","OR7G15P","olfactory receptor family 7 subfamily G member 15 pseudogene","","","19p13.2","Olfactory receptors, family 7"
"HGNC:8468","OR7H1P","olfactory receptor family 7 subfamily H member 1 pseudogene","","OR7H1","19p13.2","Olfactory receptors, family 7"
"HGNC:31314","OR7H2P","olfactory receptor family 7 subfamily H member 2 pseudogene","","","5q21.1","Olfactory receptors, family 7"
"HGNC:15366","OR7K1P","olfactory receptor family 7 subfamily K member 1 pseudogene","","","14q12","Olfactory receptors, family 7"
"HGNC:14827","OR7L1P","olfactory receptor family 7 subfamily L member 1 pseudogene","","","Xq26.2","Olfactory receptors, family 7"
"HGNC:15128","OR7M1P","olfactory receptor family 7 subfamily M member 1 pseudogene","","","10q26.3","Olfactory receptors, family 7"
"HGNC:8469","OR8A1","olfactory receptor family 8 subfamily A member 1","","OST025","11q24.2","Olfactory receptors, family 8"
"HGNC:15306","OR8A2P","olfactory receptor family 8 subfamily A member 2 pseudogene","","","11q24.2","Olfactory receptors, family 8"
"HGNC:31315","OR8A3P","olfactory receptor family 8 subfamily A member 3 pseudogene","","","11q24.2","Olfactory receptors, family 8"
"HGNC:8470","OR8B1P","olfactory receptor family 8 subfamily B member 1 pseudogene","OR8B11P","OR11-561","11q24.2","Olfactory receptors, family 8"
"HGNC:8471","OR8B2","olfactory receptor family 8 subfamily B member 2","","","11q24.2","Olfactory receptors, family 8"
"HGNC:8472","OR8B3","olfactory receptor family 8 subfamily B member 3","","","11q24.2","Olfactory receptors, family 8"
"HGNC:8473","OR8B4","olfactory receptor family 8 subfamily B member 4","OR8B4P","","11q24.2","Olfactory receptors, family 8"
"HGNC:8474","OR8B5P","olfactory receptor family 8 subfamily B member 5 pseudogene","","","11q24.2","Olfactory receptors, family 8"
"HGNC:8475","OR8B6P","olfactory receptor family 8 subfamily B member 6 pseudogene","","","11q24.2","Olfactory receptors, family 8"
"HGNC:8476","OR8B7P","olfactory receptor family 8 subfamily B member 7 pseudogene","OR8B13P","","11q24.2","Olfactory receptors, family 8"
"HGNC:8477","OR8B8","olfactory receptor family 8 subfamily B member 8","","TPCR85","11q24.2","Olfactory receptors, family 8"
"HGNC:14746","OR8B9P","olfactory receptor family 8 subfamily B member 9 pseudogene","","","11q24.2","Olfactory receptors, family 8"
"HGNC:14751","OR8B10P","olfactory receptor family 8 subfamily B member 10 pseudogene","","","11q24.2","Olfactory receptors, family 8"
"HGNC:15307","OR8B12","olfactory receptor family 8 subfamily B member 12","","","11q24.2","Olfactory receptors, family 8"
"HGNC:8478","OR8C1P","olfactory receptor family 8 subfamily C member 1 pseudogene","OR8C3P,OR8C4P","OR11-175,OR912-45,OR912-106","11q24.2","Olfactory receptors, family 8"
"HGNC:8481","OR8D1","olfactory receptor family 8 subfamily D member 1","OR8D3","OST004","11q24.2","Olfactory receptors, family 8"
"HGNC:8482","OR8D2","olfactory receptor family 8 subfamily D member 2","","","11q24.2","Olfactory receptors, family 8"
"HGNC:14840","OR8D4","olfactory receptor family 8 subfamily D member 4","","","11q24.1","Olfactory receptors, family 8"
"HGNC:14691","OR8F1P","olfactory receptor family 8 subfamily F member 1 pseudogene","","","11q24.2","Olfactory receptors, family 8"
"HGNC:8484","OR8G1","olfactory receptor family 8 subfamily G member 1","OR8G1P","TPCR25,HSTPCR25","11q24.2","Olfactory receptors, family 8"
"HGNC:8485","OR8G2P","olfactory receptor family 8 subfamily G member 2 pseudogene","OR8G4,OR8G2","TPCR120,HSTPCR120,ORL206,ORL486","11q24.2","Olfactory receptors, family 8"
"HGNC:14698","OR8G3P","olfactory receptor family 8 subfamily G member 3 pseudogene","","","11q24.2","Olfactory receptors, family 8"
"HGNC:19622","OR8G5","olfactory receptor family 8 subfamily G member 5","OR8G5P,OR8G6","","11q24.2","Olfactory receptors, family 8"
"HGNC:19625","OR8G7P","olfactory receptor family 8 subfamily G member 7 pseudogene","","","11q24.2","Olfactory receptors, family 8"
"HGNC:14824","OR8H1","olfactory receptor family 8 subfamily H member 1","","","11q12.1","Olfactory receptors, family 8"
"HGNC:15308","OR8H2","olfactory receptor family 8 subfamily H member 2","","","11q12.1","Olfactory receptors, family 8"
"HGNC:15309","OR8H3","olfactory receptor family 8 subfamily H member 3","","","11q12.1","Olfactory receptors, family 8"
"HGNC:14828","OR8I1P","olfactory receptor family 8 subfamily I member 1 pseudogene","","","11q12.1","Olfactory receptors, family 8"
"HGNC:15310","OR8I2","olfactory receptor family 8 subfamily I member 2","","","11q12.1","Olfactory receptors, family 8"
"HGNC:31316","OR8I4P","olfactory receptor family 8 subfamily I member 4 pseudogene","","","11q12.1","Olfactory receptors, family 8"
"HGNC:14855","OR8J1","olfactory receptor family 8 subfamily J member 1","","","11q12.1","Olfactory receptors, family 8"
"HGNC:15311","OR8J2","olfactory receptor family 8 subfamily J member 2 (gene/pseudogene)","OR8J2P","","11q12.1","Olfactory receptors, family 8"
"HGNC:15312","OR8J3","olfactory receptor family 8 subfamily J member 3","","","11q12.1","Olfactory receptors, family 8"
"HGNC:14831","OR8K1","olfactory receptor family 8 subfamily K member 1","","","11q12.1","Olfactory receptors, family 8"
"HGNC:14832","OR8K2P","olfactory receptor family 8 subfamily K member 2 pseudogene","","","11q12.1","Olfactory receptors, family 8"
"HGNC:15313","OR8K3","olfactory receptor family 8 subfamily K member 3 (gene/pseudogene)","","","11q12.1","Olfactory receptors, family 8"
"HGNC:15314","OR8K4P","olfactory receptor family 8 subfamily K member 4 pseudogene","","","11q12.1","Olfactory receptors, family 8"
"HGNC:15315","OR8K5","olfactory receptor family 8 subfamily K member 5","","","11q12.1","Olfactory receptors, family 8"
"HGNC:15316","OR8L1P","olfactory receptor family 8 subfamily L member 1 pseudogene","","","11q12.1","Olfactory receptors, family 8"
"HGNC:15317","OR8Q1P","olfactory receptor family 8 subfamily Q member 1 pseudogene","","","11q24.2","Olfactory receptors, family 8"
"HGNC:15318","OR8R1P","olfactory receptor family 8 subfamily R member 1 pseudogene","","","11q13.4","Olfactory receptors, family 8"
"HGNC:19628","OR8S1","olfactory receptor family 8 subfamily S member 1","","","12q13.11","Olfactory receptors, family 8"
"HGNC:31317","OR8S21P","olfactory receptor family 8 subfamily S member 21 pseudogene","","","12q13.11","Olfactory receptors, family 8"
