Gene	sgRNA	c12|beta	c12|z	c12|p-value	c12|fdr	c12|wald-p-value	c12|wald-fdr
INSR	6	-0.0068644	-0.086274	0.87998	0.96603	0.93125	0.97159
INSRR	6	0.1292	1.5645	0.14306	0.57399	0.11769	0.42399
IRAK1	6	-0.16508	-1.9166	0.24431	0.67638	0.055283	0.39756
IRAK2	6	0.10329	1.2186	0.23123	0.66969	0.22298	0.50273
IRAK3	6	-0.016101	-0.20317	0.95506	0.98794	0.83901	0.92853
IRAK4	6	-0.040782	-0.59168	0.86945	0.96102	0.55406	0.75092
ITK	6	0.11669	1.5884	0.18231	0.61864	0.11218	0.42227
JAK1	12	-0.046876	-0.61007	0.78783	0.94733	0.54182	0.74415
JAK2	12	0.056258	1.4768	0.28413	0.71255	0.13973	0.43418
JAK3	12	-0.065174	-1.5031	0.62543	0.88741	0.13281	0.43258
KALRN	5	0.054175	0.76449	0.52617	0.85136	0.44457	0.69813
KDR	6	0.14583	1.2716	0.10182	0.50636	0.20353	0.48748
KIAA1804	6	-0.0013705	-0.011483	0.83845	0.95405	0.99084	0.99936
KIT	6	-0.02847	-0.49024	0.95791	0.98826	0.62396	0.79516
KSR1	6	-0.1353	-1.4774	0.3521	0.75868	0.13956	0.43418
KSR2	6	-0.039421	-0.29138	0.88168	0.96603	0.77076	0.8836
LATS1	6	0.060835	0.21134	0.43231	0.79853	0.83262	0.92466
LATS2	6	-0.048001	-0.48206	0.82025	0.9527	0.62976	0.79879
LCK	6	-0.19747	-1.7795	0.16382	0.59689	0.07515	0.40167
LIMK1	6	0.06823	0.7473	0.3979	0.78419	0.45488	0.70519
LIMK2	6	-0.18674	-1.8921	0.18942	0.62594	0.058472	0.39756
LMTK2	6	-0.1071	-0.87362	0.47383	0.82307	0.38233	0.64288
LMTK3	6	0.021375	0.24139	0.68117	0.91109	0.80925	0.90731
LRRK1	6	0.28195	1.7244	0.0028441	0.094828	0.084635	0.40585
LRRK2	6	-0.015603	-0.19188	0.95193	0.98702	0.84784	0.93226
LTK	6	-0.090266	-1.2399	0.562	0.86608	0.215	0.4957
LYN	6	-0.22836	-2.0356	0.10637	0.52017	0.041792	0.39756
MAK	6	0.11264	1.0957	0.19625	0.63139	0.27323	0.54737
MAP2K1	6	0.19027	1.2323	0.036974	0.33763	0.21783	0.49928
MAP2K2	6	-0.22642	-2.0613	0.11007	0.52653	0.039271	0.39756
MAP2K3	6	-0.058695	-0.67976	0.75114	0.93207	0.49666	0.7292
MAP2K4	6	0.16215	1.2229	0.076792	0.46907	0.22136	0.50153
MAP2K5	6	-0.044522	-0.41802	0.84499	0.95745	0.67593	0.83149
MAP2K6	6	-0.062039	-0.74192	0.72867	0.92937	0.45813	0.70595
MAP2K7	6	-0.081039	-1.1253	0.61206	0.88209	0.26045	0.53679
MAP3K1	17	0.048854	1.5556	0.25284	0.68596	0.11979	0.42545
MAP3K10	6	0.071597	1.0002	0.3814	0.77874	0.31723	0.58612
MAP3K11	6	-0.058456	-0.8663	0.75284	0.93207	0.38633	0.64713
MAP3K12	6	-0.20122	-2.0711	0.15444	0.58307	0.038345	0.39756
MAP3K13	6	0.083087	0.8393	0.32053	0.73229	0.4013	0.65902
MAP3K14	6	0.026202	0.28149	0.65017	0.89227	0.77834	0.8869
MAP3K2	6	0.061351	0.2984	0.42975	0.7982	0.7654	0.88119
MAP3K3	6	-0.24869	-1.4344	0.081058	0.47342	0.15145	0.43876
MAP3K4	6	0.19976	1.545	0.029295	0.30058	0.12236	0.42583
MAP3K5	6	0.060922	0.70445	0.43203	0.79853	0.48115	0.72302
MAP3K6	6	-0.26639	-1.2569	0.062856	0.43327	0.2088	0.49049
MAP3K7	6	-0.09746	-0.71217	0.52474	0.85108	0.47636	0.72047
MAP3K8	6	0.18135	1.7967	0.045791	0.3713	0.07238	0.40167
MAP3K9	6	0.17221	1.1072	0.059443	0.42137	0.26822	0.543
MAP4K1	6	0.04867	1.2246	0.50768	0.84437	0.22074	0.50153
MAP4K3	6	0.093754	0.83843	0.27389	0.70395	0.40179	0.65952
MAP4K4	6	0.13	1.0857	0.14135	0.57399	0.27763	0.55009
MAP4K5	6	0.057106	0.71764	0.45592	0.81453	0.47298	0.71773
MAPK1	6	-0.16884	-2.1493	0.23663	0.67314	0.031607	0.39756
MAPK10	6	0.12085	1.1576	0.16581	0.59979	0.24702	0.52518
MAPK11	6	-0.090966	-1.1114	0.55688	0.86318	0.26641	0.54101
MAPK12	6	-0.1461	-1.3082	0.30973	0.72745	0.1908	0.47647
MAPK13	6	0.047394	0.44545	0.51621	0.84791	0.65599	0.81753
MAPK14	6	-0.58476	-2.2965	0.0014221	0.066667	0.021645	0.39756
MAPK15	6	-0.3288	-2.019	0.025597	0.2795	0.043483	0.39756
MAPK3	6	-0.26192	-1.4202	0.068828	0.44981	0.15556	0.43876
MAPK6	6	-0.092111	-1.2606	0.55148	0.86101	0.20744	0.48978
MAPK7	6	-0.26398	-1.2926	0.065415	0.44061	0.19615	0.47925
MAPK8	6	0.053769	0.37055	0.47753	0.82515	0.71097	0.85143
MAPK9	6	0.23781	1.9152	0.010239	0.18947	0.055473	0.39756
MAPKAPK2	6	-0.18121	-1.2172	0.20165	0.63307	0.22352	0.50285
MAPKAPK3	6	0.027363	0.26084	0.64391	0.89134	0.79422	0.8979
MAPKAPK5	6	0.19803	1.45	0.030717	0.30769	0.14707	0.43766
MARK1	6	0.026062	0.33061	0.65188	0.89357	0.74094	0.86518
MARK2	6	0.067931	0.89755	0.39932	0.78472	0.36943	0.6328
MARK3	6	0.1558	1.6158	0.08504	0.47785	0.10614	0.41838
MARK4	6	0.088368	0.98817	0.29778	0.72348	0.32307	0.59131
MAST1	6	-0.21624	-1.2401	0.12998	0.56212	0.21492	0.4957
MAST2	6	-0.3927	-2.6354	0.011945	0.20455	0.0084046	0.33342
MAST3	6	-0.023452	-0.3469	0.9963	0.99914	0.72867	0.86088
MAST4	6	0.1502	1.2165	0.093572	0.48902	0.22378	0.50285
MASTL	12	-0.042359	-0.36937	0.82338	0.9527	0.71185	0.85169
MATK	6	0.015515	0.1096	0.72327	0.92881	0.91273	0.96351
MELK	6	0.081726	1.0923	0.32907	0.74072	0.27468	0.54905
MERTK	6	0.036024	0.45976	0.58675	0.87304	0.64569	0.80913
MET	6	-0.016744	-0.36036	0.95933	0.98915	0.71858	0.85413
MINK1	6	-0.058203	-0.61353	0.7537	0.93207	0.53953	0.74353
MKNK1	6	-0.12829	-1.2149	0.37713	0.77493	0.22441	0.50285
MKNK2	6	0.090824	1.3147	0.28641	0.71307	0.18861	0.47437
MLKL	6	-0.10889	-1.6748	0.46729	0.82201	0.093966	0.40772
MOK	6	0.14363	1.0855	0.10865	0.52394	0.2777	0.55009
MOS	6	0.067386	0.7716	0.40159	0.78579	0.44035	0.6944
MST1R	6	0.097558	1.3286	0.25626	0.68936	0.184	0.46889
MTOR	6	0.0073256	0.072964	0.78385	0.94481	0.94183	0.97551
MUSK	6	-0.14275	-1.6346	0.32253	0.73325	0.10213	0.41511
MYLK2	6	-0.12759	-1.4203	0.37969	0.77752	0.15552	0.43876
MYLK3	6	-0.0080668	-0.090726	0.88737	0.96774	0.92771	0.96994
MYLK4	6	0.096767	1.3013	0.25853	0.68968	0.19315	0.47791
MYO3A	6	0.27696	1.5709	0.0031286	0.094828	0.1162	0.42378
MYO3B	6	0.067723	1.2154	0.40017	0.78472	0.22421	0.50285
NEK1	6	0.16762	1.4668	0.065984	0.44129	0.14243	0.4351
NEK10	6	0.089417	1.4258	0.29266	0.71807	0.15393	0.43876
NEK11	6	0.2034	1.8431	0.026735	0.28834	0.06532	0.39906
NEK2	6	-0.15798	-1.1329	0.26763	0.70015	0.25725	0.53322
NEK3	6	-0.045038	-0.59851	0.84215	0.95609	0.5495	0.74741
NEK4	6	-0.015783	-0.1643	0.95307	0.98733	0.8695	0.94444
NEK5	6	0.20656	1.7018	0.024744	0.27273	0.088785	0.40585
NEK6	6	-0.25686	-1.5339	0.072526	0.46029	0.12505	0.42592
NEK7	6	0.01826	0.20166	0.70364	0.91834	0.84018	0.92954
NEK8	6	0.01086	0.18466	0.75768	0.93217	0.85349	0.93573
NEK9	6	0.13358	2.0449	0.13111	0.5641	0.040864	0.39756
NIM1K	6	0.2191	1.3303	0.018487	0.24254	0.18342	0.46889
NLK	6	0.1395	1.2048	0.11775	0.53696	0.22827	0.50765
NPR1	6	-0.12177	-1.5294	0.40415	0.78631	0.12617	0.42613
NPR2	6	-0.027426	-0.32978	0.96615	0.99096	0.74157	0.86529
NRBP1	6	-0.099348	-1.9696	0.51479	0.84791	0.048886	0.39756
NRBP2	6	-0.16371	-1.1813	0.25057	0.68242	0.23748	0.51734
NRK	6	0.1112	1.3803	0.20165	0.63307	0.16749	0.45545
NTRK1	6	-0.078073	-1.0523	0.6277	0.88773	0.29267	0.56243
NTRK2	6	0.12201	0.86361	0.16297	0.59563	0.3878	0.64837
NTRK3	6	0.036259	0.76791	0.58589	0.87304	0.44254	0.69588
NUAK1	6	-0.069806	-1.352	0.67634	0.91041	0.17638	0.46446
NUAK2	6	0.13702	0.99312	0.12173	0.54731	0.32065	0.59038
OBSCN	12	0.087017	1.4307	0.13367	0.56663	0.15251	0.43876
OXSR1	6	-0.044353	-0.52407	0.84585	0.95745	0.60023	0.78048
PAK1	6	0.018007	0.32526	0.70535	0.91954	0.74498	0.86738
PAK2	6	-0.12989	-0.61354	0.37088	0.77297	0.53952	0.74353
PAK3	6	0.27711	1.8046	0.0031286	0.094828	0.07114	0.40167
PAK4	6	-0.018756	-0.3406	0.97327	0.9939	0.7334	0.86349
PAK6	6	-0.099509	-0.80354	0.51394	0.84791	0.42166	0.67888
PAK7	6	0.050778	1.5133	0.49374	0.83558	0.13021	0.4298
PASK	6	0.016322	0.32511	0.71815	0.92593	0.7451	0.86738
PBK	6	-0.039231	-0.84647	0.88339	0.9667	0.39729	0.65562
PDGFRA	6	-0.13703	-1.1801	0.34243	0.75016	0.23795	0.51788
PDGFRB	6	-0.052609	-1.3864	0.78982	0.94811	0.16562	0.45317
PDIK1L	6	0.10907	1.9034	0.2099	0.64342	0.056992	0.39756
PDK1	5	0.038965	0.56734	0.61661	0.88314	0.57048	0.76155
PDK2	6	-0.20189	-1.0863	0.15358	0.58307	0.27736	0.55009
PDK3	6	-0.095713	-1.0905	0.53328	0.85409	0.2755	0.55009
PDK4	6	0.13939	1.2303	0.11775	0.53696	0.21859	0.50016
PDPK1	5	-0.18049	-1.7976	0.24374	0.67638	0.072233	0.40167
PHKG1	6	-0.28475	-2.3905	0.046075	0.3713	0.016826	0.37236
PHKG2	6	-0.2042	-1.9372	0.14818	0.57663	0.052721	0.39756
PIK3R4	6	-0.15423	-1.1304	0.28072	0.71058	0.25829	0.53421
PIM1	6	-0.053097	-0.48367	0.78441	0.94484	0.62862	0.79821
PIM2	6	0.047954	0.74357	0.51308	0.84791	0.45714	0.70531
PIM3	6	-0.12855	-1.2551	0.37628	0.77493	0.20944	0.49077
PINK1	6	0.064662	0.74117	0.41553	0.79532	0.45859	0.70627
PKMYT1	6	-0.38506	-1.9296	0.013936	0.21304	0.053663	0.39756
PKN1	6	-0.03353	-0.67939	0.92235	0.98124	0.49689	0.7292
PKN2	6	0.091041	1.4812	0.28584	0.71307	0.13856	0.43418
PKN3	6	-0.24048	-1.8776	0.087884	0.47981	0.06043	0.39756
PLK1	6	-0.36789	-1.7215	0.016496	0.23108	0.085163	0.40585
PLK2	6	0.14361	1.2965	0.10865	0.52394	0.19481	0.47835
PLK3	6	-0.17111	-1.3625	0.22895	0.66749	0.17303	0.46053
PLK4	6	-0.50277	-1.8873	0.0025597	0.091837	0.059114	0.39756
PNCK	6	-0.18529	-1.4827	0.19226	0.63001	0.13814	0.43418
POMK	4	0.11299	0.9742	0.29778	0.72348	0.32996	0.59801
PRKAA1	6	-0.31894	-2.4875	0.029579	0.30058	0.012865	0.37236
PRKAA2	6	0.25487	1.5724	0.0056883	0.13793	0.11585	0.42346
PRKACA	6	-0.19876	-1.5449	0.15899	0.58966	0.12238	0.42583
PRKACB	6	0.08575	1.0044	0.3103	0.72745	0.31518	0.58456
PRKACG	6	0.0067954	0.070329	0.7884	0.94769	0.94393	0.97583
PRKCA	6	0.042484	0.43297	0.54721	0.85861	0.66504	0.82395
PRKCB	6	0.0079056	0.071704	0.78015	0.94294	0.94284	0.97583
PRKCD	6	-0.13196	-1.0974	0.36519	0.76748	0.27248	0.54714
PRKCE	6	0.1017	0.97904	0.23862	0.6739	0.32756	0.59612
PRKCG	6	0.012962	0.11139	0.74033	0.93031	0.91131	0.96322
PRKCH	6	-0.1118	-1.2137	0.45449	0.81323	0.22486	0.50285
PRKCI	6	0.070691	0.72375	0.38623	0.78181	0.46922	0.71636
PRKCQ	6	0.014934	0.12773	0.7281	0.92937	0.89836	0.95981
PRKCZ	6	-0.11233	-0.93903	0.45193	0.81237	0.34772	0.61282
PRKD1	6	0.17535	1.7779	0.056314	0.41545	0.075424	0.40167
PRKD2	6	0.082022	0.57345	0.32622	0.73667	0.56634	0.75857
PRKD3	6	0.052751	0.49079	0.48066	0.8256	0.62358	0.79516
PRKDC	6	-0.24981	-1.5015	0.079352	0.47049	0.13323	0.43293
PRKG1	6	0.11707	1.3159	0.18032	0.6171	0.1882	0.47435
PRKG2	6	0.035426	0.40935	0.5913	0.87579	0.68228	0.83556
PRKX	6	0.0969	0.74734	0.25796	0.68968	0.45486	0.70519
PRKY	5	0.11969	1.3364	0.22241	0.66215	0.18141	0.4686
PRPF4B	6	-0.11788	-1.5495	0.42264	0.79712	0.12127	0.42583
PSKH1	6	0.092818	1.0131	0.27901	0.70944	0.31101	0.58196
PSKH2	6	0.27332	1.9716	0.0031286	0.094828	0.04865	0.39756
PTK2	6	0.20727	1.6421	0.02446	0.27215	0.10056	0.41208
PTK2B	6	0.18792	2.0954	0.039249	0.34586	0.036133	0.39756
PTK6	6	-0.019187	-0.26749	0.9781	0.99451	0.7891	0.89466
PTK7	6	0.044834	0.34289	0.53356	0.85409	0.73168	0.86271
RAF1	6	-0.095249	-1.1631	0.53641	0.85624	0.24477	0.52386
RET	6	0.18795	1.9866	0.039249	0.34586	0.046967	0.39756
