Gene	sgRNA	Ctrl_3|beta	Ctrl_3|z	Ctrl_3|p-value	Ctrl_3|fdr	Ctrl_3|wald-p-value	Ctrl_3|wald-fdr
ISL2	6	0.1257	1.66	0.097554	0.35143	0.096909	0.2361
ISX	6	0.059677	1.0848	0.31456	0.61071	0.27801	0.44351
JARID2	19	0.1179	2.695	0.0039818	0.043077	0.0070391	0.06264
JDP2	6	-0.12997	-1.7204	0.7628	0.90316	0.085361	0.22365
JUN	6	0.11147	1.5481	0.13197	0.39828	0.1216	0.26702
JUNB	6	0.38814	1.8942	0	0	0.058202	0.19771
JUND	5	0.02301	0.20335	0.5748	0.81558	0.83886	0.89977
KAT7	5	-0.38921	-2.0726	0.2244	0.5167	0.038207	0.18178
KDM5A	29	0.077601	2.8108	0.0059727	0.059322	0.0049413	0.049078
KDM5B	32	0.028497	1.1212	0.05347	0.25613	0.26221	0.42764
KDM5C	19	-0.36314	-4.5885	0.04124	0.21936	4.4649e-06	0.00015242
KDM5D	25	-0.0172	-0.26544	0.32594	0.61946	0.79067	0.86498
KIAA2018	6	-0.26634	-1.934	0.38197	0.67251	0.053111	0.19295
KLF1	6	-0.2844	-2.0325	0.34585	0.63799	0.042101	0.18638
KLF10	5	-0.037435	-0.89794	0.88481	0.95753	0.36922	0.53577
KLF11	6	-0.078612	-0.90729	0.97184	0.99457	0.36425	0.53181
KLF12	6	-0.12789	-1.8925	0.77019	0.90569	0.058424	0.19771
KLF13	6	0.033126	0.56392	0.45364	0.73333	0.57281	0.69812
KLF14	6	-0.2109	-1.0304	0.51422	0.77816	0.30284	0.47195
KLF15	6	0.11445	1.3655	0.12344	0.38718	0.1721	0.32673
KLF16	7	-1.0636	-3.6156	0.0011377	0.015564	0.00029968	0.0056649
KLF17	6	0.026175	0.31571	0.48948	0.75947	0.75222	0.84069
KLF2	6	-0.32195	-2.3336	0.27218	0.56998	0.019615	0.1236
KLF3	6	-0.35154	-1.7979	0.22838	0.52031	0.072187	0.21063
KLF4	6	-0.00090541	-0.010014	0.63908	0.84889	0.99201	0.99797
KLF5	6	-1.1137	-3.5658	0.0019909	0.024911	0.00036276	0.0066779
KLF6	6	0.25406	1.8653	0.0022753	0.027027	0.062146	0.2012
KLF7	6	0.046769	0.90823	0.38083	0.67151	0.36376	0.5318
KLF8	5	0.20207	1.792	0.022184	0.14471	0.073139	0.21113
KLF9	6	-0.15007	-1.793	0.69795	0.8758	0.072972	0.21113
L3MBTL1	24	0.014628	0.52631	0.15614	0.43331	0.59867	0.71963
L3MBTL4	24	0.068371	2.4959	0.021615	0.14232	0.012564	0.092808
LBX1	6	0.076964	1.5817	0.24516	0.54044	0.11372	0.25818
LBX2	6	-0.01204	-0.15895	0.69994	0.87611	0.87371	0.92589
LCOR	6	0.23125	2.031	0.0051195	0.052478	0.042253	0.18638
LCORL	6	0.18914	1.744	0.018771	0.12992	0.081161	0.21798
LEF1	6	0.29424	1.6097	0.0011377	0.015564	0.10746	0.25039
LEUTX	7	0.015796	0.37208	0.51195	0.77653	0.70983	0.80613
LHX1	6	-0.080328	-0.92496	0.96416	0.99386	0.35499	0.52311
LHX2	6	-0.019624	-0.46338	0.7446	0.89935	0.64309	0.75886
LHX3	6	0.0040316	0.12601	0.61604	0.83885	0.89972	0.94137
LHX4	6	0.065526	1.1594	0.29465	0.59506	0.2463	0.40965
LHX5	6	0.01756	0.45086	0.54238	0.79825	0.65209	0.76449
LHX6	6	0.10601	1.6311	0.14363	0.41292	0.10286	0.24451
LHX8	7	0.15422	2.1665	0.035836	0.2016	0.03027	0.16323
LHX9	6	0.034584	0.75008	0.44795	0.72752	0.45321	0.61859
LIN28A	5	-0.074871	-0.81767	0.95336	0.99142	0.41354	0.57883
LIN28B	2	0.009961	0.10924	0.87372	0.95256	0.91301	0.95109
LITAF	6	0.054607	1.4676	0.33589	0.62845	0.14222	0.29192
LMX1A	6	0.039827	0.89362	0.4198	0.7042	0.37152	0.53795
LMX1B	6	0.016569	0.29838	0.54721	0.80133	0.76541	0.84949
LYL1	6	-0.28042	-2.1724	0.35324	0.64587	0.029829	0.16185
MAF	6	0.048846	1.1871	0.36832	0.65937	0.23518	0.3985
MAFA	6	-0.54597	-2.0612	0.067975	0.28935	0.039283	0.18391
MAFB	6	0.0066447	0.095998	0.59869	0.82679	0.92352	0.95728
MAFF	6	-0.0065861	-0.13758	0.67235	0.86152	0.89058	0.93617
MAFG	6	-0.20602	-1.8851	0.531	0.78743	0.059414	0.19914
MAFK	6	0.14842	1.5522	0.056314	0.2619	0.12061	0.26621
MAX	6	-2.1708	-4.5228	0	0	6.1023e-06	0.00019684
MAZ	6	-0.17615	-2.1982	0.61661	0.83885	0.027935	0.15541
MBD1	37	0.095444	2.2675	0.00028441	0.0045045	0.023363	0.13946
MBD2	12	-0.29776	-3.2515	0.17491	0.46275	0.0011478	0.016539
MBD3	20	-0.37248	-3.7132	0.031001	0.18569	0.00020465	0.0040425
MBD4	12	0.090986	2.4521	0.067975	0.28935	0.014201	0.099588
MECOM	7	0.15396	1.7956	0.036121	0.20288	0.072564	0.21068
MECP2	12	0.04163	1.2684	0.20904	0.50136	0.20466	0.36287
MEF2A	5	0.015074	0.1589	0.61547	0.83885	0.87375	0.92589
MEF2B	6	-0.18924	-1.8629	0.5785	0.8172	0.062482	0.20161
MEF2C	6	0.12348	0.90838	0.10353	0.364	0.36368	0.5318
MEF2D	6	-0.17909	-1.359	0.60836	0.83392	0.17413	0.32882
MEIS1	5	0.17562	1.7585	0.047213	0.23919	0.078669	0.21677
MEIS2	6	0.20377	2.0307	0.012514	0.09713	0.042285	0.18638
MEIS3	7	-0.44032	-2.4336	0.11718	0.37972	0.014949	0.10345
MEOX1	6	0.022892	0.32374	0.50967	0.77375	0.74614	0.8368
MEOX2	6	0.11865	1.63	0.11377	0.37807	0.10311	0.24467
MESP1	6	-0.031115	-0.70253	0.80034	0.92051	0.48235	0.64263
MESP2	6	-0.0538	-0.73564	0.91439	0.97424	0.46195	0.62542
MGA	8	-0.26607	-2.7206	0.32594	0.61946	0.0065154	0.059502
MIER3	6	0.07149	0.80006	0.27019	0.56862	0.42367	0.5897
MITF	6	0.096033	1.7709	0.17691	0.46662	0.076569	0.21486
MIXL1	6	0.062706	1.2552	0.30432	0.60202	0.20942	0.36798
MLX	6	-0.33966	-2.4204	0.24829	0.54156	0.015502	0.10575
MLXIP	7	0.049335	0.73372	0.34016	0.63214	0.46312	0.62628
MLXIPL	6	-0.10496	-1.667	0.85267	0.94247	0.095507	0.23499
MNT	7	-0.30089	-2.6308	0.28185	0.58432	0.0085188	0.070476
MNX1	6	0.15993	1.2952	0.044084	0.22774	0.19527	0.35444
MSC	6	0.19271	1.1891	0.017634	0.125	0.2344	0.39798
MSGN1	6	0.13838	1.9311	0.073379	0.3014	0.053477	0.19295
MSX1	6	-0.027739	-0.41859	0.78811	0.91211	0.67552	0.78232
MSX2	6	0.049187	1.2519	0.36633	0.65647	0.21062	0.36952
MTA1	18	0.068153	1.5631	0.049772	0.24579	0.11803	0.26399
MTA2	17	-0.83384	-5.2043	0	0	1.9476e-07	1.007e-05
MTA3	18	-0.4116	-4.219	0.022753	0.14679	2.4537e-05	0.00064867
MTF1	7	-0.34023	-2.5846	0.22184	0.5135	0.0097484	0.077898
MXD1	6	0.24188	2.0287	0.0031286	0.0347	0.042486	0.18643
MXD3	6	0.02521	0.90765	0.49431	0.76161	0.36406	0.53181
MXD4	6	0.076487	1.0064	0.24687	0.54099	0.3142	0.4822
MXI1	6	0.074629	1.3804	0.25683	0.55162	0.16747	0.322
MYB	24	-0.30959	-5.1516	0.049772	0.24579	2.5831e-07	1.2929e-05
MYBL1	22	0.1834	3.697	0	0	0.00021819	0.0042859
MYBL2	25	-1.736	-9.2906	0	0	1.5346e-20	8.993e-18
MYC	6	-4.211	-8.5624	0	0	1.105e-17	4.3168e-15
MYCL	6	0.22633	1.9885	0.0054039	0.054913	0.046752	0.188
MYCN	6	0.01236	0.20743	0.56997	0.81232	0.83568	0.89772
MYF5	8	0.14048	2.1976	0.041809	0.22039	0.027979	0.15541
MYF6	6	0.18266	1.8147	0.022753	0.14679	0.069571	0.20878
MYNN	12	0.1138	1.4394	0.03157	0.18718	0.15002	0.30211
MYOD1	6	-0.024673	-0.47637	0.77389	0.90709	0.63381	0.75134
MYOG	6	-0.23089	-1.5551	0.46303	0.73966	0.11991	0.26583
MYRF	6	-0.1287	-1.1639	0.76735	0.90486	0.24446	0.40833
MYSM1	18	0.15993	3.3566	0.0011377	0.015564	0.00078918	0.012026
MYT1	8	0.0013045	0.028991	0.54778	0.80183	0.97687	0.9884
MYT1L	8	-0.0021716	-0.065565	0.56655	0.81141	0.94772	0.97138
MZF1	6	-0.588	-2.7181	0.054608	0.25911	0.0065661	0.059755
NANOG	6	-0.50758	-2.0259	0.086746	0.33044	0.042777	0.18643
NCOR1	20	0.1354	2.8038	0.0014221	0.019084	0.0050497	0.049873
NCOR2	18	0.42116	2.3505	0	0	0.018746	0.11994
NEUROD1	6	0.097469	1.2832	0.1715	0.45856	0.19941	0.35863
NEUROD2	7	0.020767	0.30335	0.48578	0.75754	0.76162	0.8477
NEUROD4	6	0.21774	1.7062	0.008248	0.074359	0.087969	0.22691
NEUROD6	6	0.16959	1.9101	0.032992	0.1911	0.056126	0.19531
NEUROG1	6	-0.0033914	-0.046907	0.65387	0.85306	0.96259	0.98043
NEUROG2	6	0.091193	1.6013	0.19084	0.48273	0.10931	0.2522
NEUROG3	6	0.17373	1.7487	0.030717	0.18493	0.080338	0.21792
NFAT5	6	-0.16692	-2.0299	0.64221	0.84951	0.042362	0.18638
NFATC1	6	0.1518	1.9887	0.051763	0.25138	0.04673	0.188
NFATC2	6	0.038079	0.97577	0.42804	0.71091	0.32918	0.49774
NFATC3	6	-0.018536	-0.29069	0.73919	0.89624	0.77129	0.85332
NFATC4	7	-0.05091	-1.1564	0.89676	0.96481	0.24752	0.41129
NFE2	6	-0.039065	-0.3804	0.83845	0.93796	0.70365	0.80229
NFE2L1	6	-0.18672	-2.0965	0.58817	0.8239	0.036034	0.17744
NFE2L2	5	-0.3079	-1.5399	0.34727	0.6396	0.12359	0.26932
NFE2L3	5	-0.25144	-2.1342	0.45023	0.72916	0.032825	0.16947
NFIA	7	0.16789	2.1686	0.024175	0.1526	0.030112	0.16278
NFIB	7	0.38079	2.0721	0	0	0.038259	0.18178
NFIC	8	0.1022	1.5696	0.10808	0.37109	0.11652	0.26211
NFIL3	6	0.11418	1.5239	0.124	0.38718	0.12754	0.27474
NFIX	8	-0.089207	-1.5385	0.97042	0.99457	0.12392	0.26945
NFKB1	7	0.059749	1.2872	0.29067	0.59178	0.19801	0.35789
NFKB2	7	-0.17076	-2.2997	0.6132	0.83767	0.021468	0.13197
NFX1	13	0.032583	0.85553	0.2244	0.5167	0.39226	0.55567
NFXL1	15	0.036359	1.1612	0.18259	0.47171	0.24556	0.409
NFYA	6	-2.8278	-5.7324	0	0	9.9022e-09	7.4077e-07
NFYB	6	-1.0686	-2.6298	0.0031286	0.0347	0.0085423	0.070504
NFYC	6	-1.9683	-4.4838	0	0	7.3327e-06	0.00023227
NHLH1	6	0.099765	0.91051	0.16581	0.44846	0.36255	0.53092
NHLH2	6	0.17005	1.8307	0.032708	0.19103	0.067148	0.20491
NKX1	12	0.029547	0.48702	0.26593	0.56258	0.62624	0.74462
NKX2	42	0	0	0.12543	0.38718	1	1
NKX3	12	0.018196	0.50637	0.32253	0.61884	0.6126	0.73187
NKX6	13	0.017754	0.41329	0.30575	0.60292	0.6794	0.78397
NOBOX	6	0.035487	0.45875	0.44425	0.72651	0.64641	0.76069
NOTO	6	-0.05071	-0.68271	0.89534	0.96447	0.49479	0.65358
NPAS1	6	-0.29243	-2.2838	0.32708	0.62043	0.022383	0.13569
NPAS2	6	0.11568	1.6285	0.11945	0.38147	0.10342	0.24486
NPAS3	6	0.10692	1.7466	0.14164	0.41104	0.080711	0.21792
NPAS4	6	-0.031984	-0.46218	0.80489	0.92182	0.64395	0.75902
NR0B1	6	0.26128	1.7596	0.0022753	0.027027	0.078478	0.21663
NR0B2	6	-0.099227	-1.391	0.87799	0.95514	0.16422	0.31865
NR1D1	6	0.026063	0.38083	0.48948	0.75947	0.70333	0.80229
NR1D2	1	0.036345	0.69772	0.88851	0.96034	0.48536	0.64475
NR1H2	5	0.0056273	0.10976	0.66183	0.85677	0.9126	0.95101
NR1H3	7	0.066303	1.8307	0.26394	0.56065	0.067153	0.20491
Nr1h4	6	0.24292	1.8222	0.0031286	0.0347	0.068418	0.20702
NR1I2	6	-0.09307	-1.0606	0.90785	0.97051	0.28887	0.45628
NR1I3	6	-0.035862	-0.56077	0.82366	0.93151	0.57495	0.69973
NR2C1	6	0.087303	1.0656	0.20819	0.50103	0.28659	0.45355
NR2C2	6	-0.11233	-1.4234	0.8285	0.93455	0.15462	0.30748
NR2E1	6	0.15642	2.1416	0.047497	0.23994	0.032226	0.16855
NR2E3	6	0.089059	1.6703	0.2008	0.49372	0.094867	0.23451
NR2F1	6	-0.12524	-0.7575	0.78242	0.90972	0.44875	0.61441
NR2F2	6	-0.9395	-3.4839	0.0076792	0.070312	0.00049413	0.008393
NR2F6	3	-0.41228	-1.532	0.29664	0.59668	0.12553	0.27178
NR3C1	6	0.18705	1.8298	0.020478	0.13767	0.067274	0.20491
NR3C2	6	0.1332	1.7428	0.082765	0.32155	0.081369	0.21822
NR4A1	6	0.14096	1.967	0.068259	0.28951	0.049189	0.18943
NR4A2	6	0.030091	0.43717	0.47241	0.74786	0.66198	0.77144
NR4A3	6	0.11833	1.2803	0.11405	0.3783	0.20043	0.35944
NR5A1	7	-0.17304	-2.0092	0.60466	0.83112	0.044519	0.188
NR5A2	6	0.13933	1.7456	0.071957	0.29835	0.080884	0.21792
NR6A1	6	-0.018686	-0.30746	0.74033	0.89697	0.75849	0.84582
NRF1	8	-2.1429	-4.7672	0	0	1.8678e-06	7.6362e-05
NRL	6	0.018543	0.43298	0.53726	0.79403	0.66503	0.77382
OLIG1	6	0.11225	1.2351	0.12969	0.39567	0.2168	0.37631
OLIG2	6	0.15348	1.6708	0.050341	0.24755	0.094758	0.23451
OLIG3	6	0.081229	1.2924	0.22696	0.51816	0.19622	0.35562
ONECUT1	6	-0.07573	-1.4999	0.98379	0.99457	0.13365	0.28291
ONECUT2	6	0.13815	1.5492	0.073379	0.3014	0.12132	0.26661
ONECUT3	6	-0.051317	-0.56604	0.89733	0.96513	0.57137	0.6972
OSR1	4	-0.062913	-1.3708	0.94625	0.98871	0.17043	0.32514
OSR2	6	0.19606	1.6798	0.016496	0.1191	0.092996	0.23339
OTP	6	-0.0025396	-0.036374	0.64989	0.853	0.97098	0.98499
OTX1	6	0.026627	0.62297	0.48606	0.75754	0.53331	0.67988
OTX2	6	0.067008	1.1502	0.2901	0.5913	0.25005	0.41432
OVOL1	5	-0.1694	-1.3602	0.64989	0.853	0.17377	0.3283
OVOL2	3	-0.072742	-1.0103	0.87856	0.95546	0.31235	0.48125
OVOL3	6	-0.23073	-1.6737	0.46303	0.73966	0.094199	0.23451
PATZ1	13	-0.056823	-1.0714	0.77759	0.90803	0.28398	0.45037
PAX1	6	-0.023171	-0.48837	0.7665	0.90486	0.62529	0.744
PAX2	6	0.054475	0.47185	0.33646	0.62845	0.63703	0.75414
PAX3	7	0.20317	1.698	0.0079636	0.072539	0.089505	0.22853
PAX4	8	0.08394	1.2457	0.16268	0.44514	0.21287	0.37199
PAX5	6	-0.14096	-1.8207	0.72383	0.89204	0.068648	0.20754
PAX6	7	0.15676	2.1008	0.033845	0.1954	0.035657	0.17677
PAX7	9	0.056813	0.92594	0.23834	0.53202	0.35448	0.5228
PAX8	6	-0.011732	-0.12868	0.69937	0.87611	0.89761	0.94027
PAX9	6	-0.0027438	-0.039295	0.65046	0.853	0.96865	0.98364
PBRM1	49	0	0	0.12543	0.38718	1	1
PBX1	7	0.026901	0.81212	0.45478	0.73361	0.41672	0.58212
PBX2	6	-0.09479	-1.1313	0.90074	0.96732	0.25793	0.42338
PBX3	6	0.084096	1.3779	0.21815	0.50997	0.16825	0.32308
PBX4	7	-0.060115	-1.6948	0.93857	0.98625	0.090109	0.22908
PDX1	6	-0.02715	-0.29302	0.78498	0.91029	0.76951	0.85242
PGR	6	0.10735	1.4314	0.1405	0.40928	0.15233	0.30499
PHOX2A	6	-0.045017	-1.181	0.86661	0.94952	0.2376	0.40095
PHOX2B	6	0.20495	1.8663	0.011661	0.093394	0.061995	0.20108
PIAS1	17	-0.28553	-3.8698	0.14192	0.41104	0.00010892	0.0023209
PIAS2	13	0.045967	1.3145	0.17065	0.45732	0.18869	0.34766
PIAS3	19	-0.032683	-0.72973	0.5091	0.77355	0.46555	0.62836
PIAS4	16	-0.043141	-1.3733	0.61832	0.83885	0.16966	0.32442
PITX1	6	0.10158	1.3617	0.16041	0.43994	0.17329	0.3281
PITX2	6	-0.078726	-0.80013	0.97042	0.99457	0.42364	0.5897
PITX3	6	0.0034167	0.03498	0.61803	0.83885	0.9721	0.98583
PKNOX1	5	-0.42437	-2.439	0.18003	0.46993	0.014727	0.10233
PKNOX2	6	0.079869	1.1097	0.23294	0.52567	0.26713	0.43342
PLAG1	6	0.11878	1.8944	0.11377	0.37807	0.05817	0.19771
PLAGL1	6	0.10795	1.9785	0.14022	0.40928	0.047871	0.1889
PLAGL2	6	-0.27773	-2.3676	0.35922	0.6507	0.017906	0.11637
PMS1	7	0.01479	0.81166	0.51706	0.77925	0.41698	0.58225
POU1F1	1	-0.34519	-0.84043	0.31797	0.61462	0.40067	0.56463
POU2F1	5	-1.9214	-4.4634	0	0	8.0655e-06	0.00025193
POU2F2	6	-0.2468	-1.5003	0.42435	0.70845	0.13354	0.28291
POU2F3	6	0.12046	1.8826	0.11092	0.37488	0.059753	0.1995
POU3F1	6	-0.11328	-1.471	0.82395	0.93151	0.14128	0.29106
POU3F2	6	0.11382	1.2374	0.12486	0.38718	0.21593	0.37576
POU3F3	6	0.042373	0.88797	0.40813	0.69555	0.37456	0.5404
POU3F4	6	0.030493	0.46502	0.469	0.74447	0.64192	0.75865
POU4F1	6	0.16718	1.7633	0.036689	0.20315	0.077846	0.21616
POU4F2	6	0.037354	0.61505	0.43259	0.71509	0.53852	0.68029
POU4F3	6	0.032035	0.6292	0.4599	0.73667	0.52922	0.67786
POU5F1	4	-0.62112	-2.417	0.092435	0.34205	0.015647	0.10621
POU5F1B	6	-0.28001	-1.7889	0.35353	0.64605	0.073633	0.21164
POU6F1	6	0.11586	1.3887	0.1186	0.38147	0.16494	0.31941
POU6F2	6	0.046197	1.0508	0.38567	0.67597	0.29335	0.46108
PPARA	6	0.040232	0.62124	0.41724	0.70225	0.53444	0.68029
PPARD	6	0.14888	1.747	0.056314	0.2619	0.08064	0.21792
PPARG	5	-0.12641	-1.5506	0.77275	0.90657	0.12099	0.2665
PRDM1	6	0.1394	1.7236	0.071672	0.29822	0.084788	0.22281
PRDM12	5	-0.018629	-0.27892	0.78697	0.9114	0.78031	0.85763
PRDM13	7	0.070481	0.76574	0.24602	0.54099	0.44383	0.60925
PRDM14	5	0.1704	1.7257	0.055461	0.2619	0.084393	0.22248
PRDM15	6	-0.36311	-2.5933	0.20876	0.50136	0.0095055	0.076304
PRDM16	7	0.0044949	0.14954	0.57167	0.81366	0.88113	0.93146
PRDM2	13	0.2376	2.8992	0	0	0.0037407	0.041219
PRDM4	6	0.097226	1.4832	0.17235	0.45944	0.13801	0.28747
PRDM5	6	0.16522	1.8522	0.03868	0.21053	0.064002	0.20346
PRDM6	6	0.13016	2.0495	0.087884	0.33226	0.040413	0.18555
PRDM8	12	-0.052176	-0.45545	0.74829	0.90164	0.64879	0.76216
PRDM9	10	-0.27166	-1.8316	0.27247	0.57024	0.067007	0.20491
PRKRIR	6	-2.089	-4.7301	0	0	2.2446e-06	8.6724e-05
PROP1	6	-0.0032188	-0.097186	0.65188	0.853	0.92258	0.95665
PROX1	6	0.085099	1.2368	0.2153	0.50767	0.21614	0.37585
PROX2	7	-0.011569	-0.32272	0.6624	0.8572	0.74691	0.83698
PRRX1	6	0.10602	1.3993	0.14363	0.41292	0.16172	0.31552
PRRX2	6	0.052215	1.0859	0.34898	0.6414	0.27753	0.44314
PTF1A	6	0.13853	1.4308	0.07281	0.30118	0.15248	0.30499
RARA	6	-0.062848	-0.63979	0.95819	0.99265	0.52231	0.67309
RARB	6	0.26925	0.9998	0.0019909	0.024911	0.31741	0.48564
RARG	6	-0.090999	-1.1062	0.91553	0.97457	0.26865	0.43506
RAX	6	-0.021527	-0.5308	0.75683	0.90316	0.59556	0.71702
RAX2	6	-0.088255	-0.73682	0.92577	0.98013	0.46123	0.62536
RBAK	6	0.11416	1.5021	0.124	0.38718	0.13308	0.28222
RCOR1	18	-0.328	-3.5377	0.069397	0.29257	0.00040359	0.00724
RCOR2	18	-0.027992	-0.76675	0.49573	0.7628	0.44323	0.60899
RCOR3	18	0.18388	3.3962	0	0	0.00068333	0.010678
REL	7	-0.11602	-1.306	0.81172	0.92542	0.19154	0.35087
RELA	7	-0.11672	-0.82968	0.80859	0.92455	0.40672	0.57078
RELB	7	0.012085	0.14391	0.53185	0.7877	0.88557	0.93363
REPIN1	6	0.14498	1.987	0.062571	0.27764	0.046925	0.188
RERE	18	0.070923	1.7543	0.045791	0.233	0.079387	0.21739
REST	6	0.17319	1.9968	0.031286	0.18644	0.045843	0.188
RFX1	7	-0.070384	-1.208	0.99061	0.99486	0.22704	0.38883
RFX2	6	-0.056627	-0.74569	0.93089	0.98288	0.45585	0.62094
RFX3	10	0.13419	2.3606	0.029579	0.179	0.018243	0.11791
RFX4	6	0.1259	2.0789	0.096985	0.3501	0.037626	0.18094
RFX5	7	-0.17809	-0.78214	0.59073	0.82483	0.43413	0.6
RFX6	5	0.15621	1.8688	0.075085	0.30485	0.061648	0.20051
RFX7	6	0.0096041	0.18664	0.58532	0.82123	0.85194	0.90936
RHOXF1	7	0.11701	1.6941	0.10154	0.36097	0.090248	0.22927
RHOXF2B	7	0.046686	1.1825	0.35239	0.64568	0.23702	0.40068
RNF138	13	0.012646	0.30576	0.33447	0.62845	0.75979	0.84646
RORA	6	0.068098	1.3008	0.28612	0.58727	0.19334	0.35251
RORB	7	0.036208	0.35631	0.40501	0.69328	0.72161	0.81529
RORC	6	-0.051568	-0.89735	0.89875	0.96577	0.36953	0.53578
RREB1	8	-0.4115	-2.694	0.11007	0.37464	0.0070603	0.06264
RUNX1	7	0.025305	0.55	0.46274	0.73966	0.58232	0.70626
RUNX2	7	-0.53831	-3.2707	0.059443	0.27097	0.0010727	0.015586
RUNX3	7	0.03651	0.73817	0.40387	0.69302	0.46041	0.62454
RXRA	7	-0.24553	-1.013	0.40273	0.69141	0.31108	0.47972
RXRB	6	-0.018543	-0.39245	0.73919	0.89624	0.69473	0.79488
RXRG	7	0.12935	1.8236	0.073663	0.30222	0.068209	0.20674
SALL1	6	0.057226	0.96926	0.32452	0.61884	0.33242	0.50078
SALL2	6	0.1038	1.3552	0.15188	0.42448	0.17536	0.33028
SALL3	6	0.091122	1.3823	0.19113	0.48311	0.16688	0.32116
SALL4	6	0.050422	1.2732	0.35978	0.65072	0.20293	0.36164
SATB1	6	0.066227	1.0068	0.29323	0.59458	0.31402	0.4822
SATB2	6	-0.91927	-2.9258	0.008248	0.074359	0.0034361	0.039225
SCRT1	6	-0.19275	-1.6584	0.56911	0.81232	0.097243	0.23629
SCRT2	6	-0.15406	-1.0421	0.68316	0.86684	0.29735	0.46569
SCX	6	-0.3293	-2.1228	0.2628	0.56	0.033774	0.17285
SEBOX	7	-0.2178	-2.183	0.47469	0.74877	0.029035	0.15809
SETDB1	33	-0.35929	-6.1116	0.0073948	0.068602	9.8644e-10	1.0809e-07
SETDB2	10	0.12664	2.3272	0.035267	0.2	0.019955	0.12529
SHOX	8	0.21012	2.3387	0.0031286	0.0347	0.019349	0.12214
SHOX2	6	0.064023	1.1171	0.30119	0.60202	0.26393	0.42982
SIM1	6	0.17771	1.7437	0.025597	0.16071	0.081216	0.21798
SIX1	6	0.01151	0.45023	0.57452	0.81558	0.65255	0.76449
SIX2	6	-0.2089	-1.1769	0.51906	0.77968	0.23922	0.40222
SIX3	6	0.034264	0.5176	0.44881	0.72752	0.60474	0.72593
SIX4	6	0.037614	1.1208	0.43117	0.71442	0.26238	0.42769
SIX5	6	-0.37314	-2.5948	0.20023	0.49372	0.0094643	0.076148
SIX6	6	0.15369	2.0655	0.050341	0.24755	0.038871	0.18302
SMAD1	6	0.12936	1.9491	0.089875	0.33581	0.051278	0.19141
SMAD2	7	0.19097	2.1053	0.011661	0.093394	0.035262	0.17636
SMAD3	6	0.15199	1.8696	0.051479	0.25104	0.061533	0.20046
SMAD4	5	-0.49354	-2.4896	0.11576	0.37931	0.01279	0.093198
SMAD5	6	0.096443	1.1702	0.17548	0.46321	0.24192	0.40469
SMAD6	6	0.043557	0.41404	0.40074	0.68967	0.67884	0.78385
SMAD7	6	-0.12323	-1.5193	0.79067	0.91327	0.12869	0.27589
SMAD9	6	0.063526	0.76918	0.3029	0.60202	0.44179	0.60796
SMARCE1	6	-1.4373	-4.3833	0	0	1.1692e-05	0.00033695
SNAI1	6	-0.22928	-2.5287	0.46587	0.74242	0.01145	0.086952
SNAI2	6	0.033394	0.67581	0.45279	0.73263	0.49916	0.65708
SNAI3	5	-0.36199	-2.2779	0.26251	0.55973	0.022735	0.13735
SNAPC4	31	-2.7812	-10.992	0	0	4.1685e-28	1.4656e-24
SOHLH1	6	0.03719	1.1091	0.43316	0.7157	0.26739	0.43365
SOHLH2	7	0.16025	2.0596	0.031001	0.18569	0.039441	0.18392
SOX1	6	0.14865	1.9019	0.056314	0.2619	0.057189	0.19638
SOX10	6	-0.23616	-1.8136	0.44852	0.72752	0.069746	0.20878
SOX11	6	0.14056	1.9744	0.069397	0.29257	0.048342	0.18923
SOX12	6	0.065554	0.83628	0.29465	0.59506	0.403	0.56677
SOX13	6	0.29943	1.9673	0.0011377	0.015564	0.049145	0.18943
SOX14	6	0.20194	1.68	0.013367	0.10217	0.092964	0.23339
SOX15	5	-0.24883	-2.1616	0.45762	0.73504	0.030647	0.16426
SOX17	6	-0.016341	-0.5069	0.72782	0.89402	0.61223	0.73167
SOX18	6	-0.023419	-0.23841	0.76792	0.90486	0.81156	0.8795
SOX2	6	0.13312	1.3724	0.083333	0.32269	0.16995	0.32458
SOX21	6	0.14047	1.2338	0.069397	0.29257	0.21726	0.37631
SOX3	6	0.24489	2.0035	0.0031286	0.0347	0.04512	0.188
SOX30	6	0.22475	1.9228	0.0059727	0.059322	0.054509	0.19355
SOX4	6	0.41895	1.8439	0	0	0.065194	0.20426
SOX5	5	0.12571	1.6887	0.13879	0.40928	0.091285	0.23067
SOX6	6	0.2099	1.6369	0.010239	0.085714	0.10166	0.24218
SOX7	6	0.14437	1.3838	0.06314	0.2782	0.16642	0.32062
SOX8	5	-0.16477	-1.1003	0.66183	0.85677	0.27119	0.43679
SOX9	6	-0.28368	-1.4413	0.34727	0.6396	0.14949	0.30155
SP1	6	-0.2991	-1.9573	0.31712	0.61365	0.050309	0.19047
SP100	12	0.15414	2.7694	0.0039818	0.043077	0.0056157	0.053655
SP110	12	0.044213	0.91912	0.19966	0.49372	0.35803	0.52627
SP140	13	-0.053769	-1.0996	0.75597	0.90316	0.2715	0.43688
SP140L	10	0.0067014	0.13722	0.43828	0.72077	0.89086	0.93617
SP2	11	-0.25916	-3.0981	0.28242	0.58481	0.0019479	0.025669
SP3	5	-0.56744	-2.3727	0.073094	0.3014	0.01766	0.1156
SP4	5	0.14085	1.8836	0.10609	0.36605	0.059613	0.19924
