Gene	sgRNA	Ctrl_3|beta	Ctrl_3|z	Ctrl_3|p-value	Ctrl_3|fdr	Ctrl_3|wald-p-value	Ctrl_3|wald-fdr
DCAF16	7	-0.093267	-1.8171	0.91183	0.97358	0.069204	0.20829
DCAF17	8	0.045137	0.85622	0.31968	0.61724	0.39187	0.55567
DCAF4	8	-0.47861	-2.344	0.062856	0.27764	0.019076	0.12085
DCAF5	17	-0.10749	-2.6504	0.91098	0.97356	0.0080393	0.068442
DCAF6	10	0.1526	2.2745	0.015074	0.11158	0.022937	0.13786
DCAF7	14	-1.0376	-5.719	0	0	1.0715e-08	7.8491e-07
DCAF8	16	-0.11153	-2.2572	0.87457	0.95319	0.023998	0.14171
DDA1	2	0.05408	0.28255	0.6789	0.86548	0.77752	0.85683
DDB1	22	-2.0607	-8.381	0	0	5.248e-17	1.8452e-14
DTL	12	-1.3635	-4.7532	0	0	2.0023e-06	8.0003e-05
PHIP	16	0.04685	1.0652	0.12258	0.38718	0.28677	0.45355
WDTC1	18	-0.08826	-2.3524	0.93714	0.98564	0.018653	0.11968
ANAPC1	10	-0.44297	-1.5219	0.06058	0.27343	0.12804	0.27523
ANAPC10	8	-0.76114	-2.4329	0.0056883	0.05698	0.014977	0.10345
ANAPC13	5	0.024693	0.26401	0.56627	0.81133	0.79177	0.86563
ANAPC15	6	-0.42286	-2.1587	0.14562	0.41592	0.030876	0.16498
ANAPC16	6	0.050966	0.78402	0.35694	0.64824	0.43303	0.59942
ANAPC2	14	-2.0439	-6.7943	0	0	1.0885e-11	1.7515e-09
ANAPC4	10	-1.4943	-4.2821	0	0	1.8511e-05	0.00050848
ANAPC5	12	-1.5559	-4.8416	0	0	1.288e-06	5.7325e-05
ANAPC7	15	-0.01736	-0.4891	0.46843	0.74424	0.62477	0.74363
CDC16	14	-2.7483	-5.7573	0	0	8.5494e-09	6.6799e-07
CDC20	7	-1.9049	-4.3222	0	0	1.5445e-05	0.00043444
CDC23	14	-2.4312	-7.4303	0	0	1.0831e-13	2.7202e-11
CDC26	3	-0.82071	-1.3349	0.07025	0.2951	0.18192	0.33837
CDC27	7	-1.8591	-4.2686	0	0	1.9666e-05	0.00053601
CDH1	16	0.49536	2.9173	0	0	0.0035312	0.040042
AKTIP	8	0.054017	0.83794	0.27958	0.58028	0.40206	0.56569
BIRC6	6	-0.57523	-2.8801	0.058589	0.26858	0.0039761	0.042783
CDC34	7	-0.15581	-2.2574	0.66126	0.85677	0.023982	0.14171
DCUN1D1	6	0.13824	1.3056	0.073379	0.3014	0.1917	0.35087
DCUN1D2	9	0.015144	0.36934	0.43658	0.71863	0.71187	0.80792
DCUN1D3	6	0.071546	0.78586	0.26991	0.56862	0.43195	0.5984
UBE2A	7	0.43482	2.0066	0	0	0.044791	0.188
UBE2B	8	0.025996	0.60087	0.42036	0.70482	0.54793	0.68182
UBE2C	8	-0.23559	-2.2391	0.40273	0.69141	0.02515	0.14487
UBE2D1	7	-0.19066	-2.1306	0.5492	0.80224	0.033122	0.17051
UBE2D2	8	-0.029297	-0.46373	0.72952	0.89402	0.64284	0.75886
UBE2D3	6	-0.31156	-1.4959	0.29039	0.59154	0.13467	0.28473
UBE2D4	8	-0.2254	-1.2697	0.43117	0.71442	0.20418	0.36284
