sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final
WHSC1L1_PWWP9581051_E1_4314.148,WHSC1L1,1109,2778
FBXO48_468.6,FBXO48,739,1672
ARNTL2__158.7,ARNTL2,4218,11674
ZNF75D_E7_405.21,ZNF75D,2352,5518
RNF180_1779.95,RNF180,918,2428
IPP_BTB28134_E1_1755.152,IPP,1234,2690
CRAMP1_SANT_E2_48.2,CRAMP1,563,1219
TYK2_PKc_E18_135.4,TYK2,472,1031
SOCS2_597.39,SOCS2,1315,3725
USP17L2_1593.179,USP17L2,2836,7555
ZFP2_E5_1059.49,ZFP2,5010,12512
NFIL3_E2_156.5,NFIL3,2166,5136
MMP26_786.44,MMP26,2502,6688
ADAMTS13_4284.886,ADAMTS13,1520,3822
RFX6_E4_62.7,RFX6,1638,4252
KDM4B_tudor9751030_E1_3291.35,KDM4B,299,926
PRKCB_PKc_E5_55.3,PRKCB,1381,3631
UBE4A_3201.25,UBE4A,1265,3123
BRWD3_BD_e32_126.5,BRWD3,1472,4278
VPS11_2825.164,VPS11,1555,3637
PRSS1_744.88,PRSS1,1562,4049
PIAS4_E9_132.3,PIAS4,871,2121
TOX4_E5_144.1,TOX4,3050,5349
TRIM38_1398.156,TRIM38,1566,3719
USP38_3129.204,USP38,774,1747
PIAS2_E9_129.8,PIAS2,3878,10501
PIAS2_1866.123,PIAS2,3878,10501
FBXO34_3,FBXO34,1330,3215
MIER3_E10_81.1,MIER3,2230,6092
MIER3_SANT_E10_87.1,MIER3,2230,6092
ARID4A_E13_95.1,ARID4A,1275,3436
ANAPC7_1800.61,ANAPC7,700,1622
KMT2C_e58_117.5,KMT2C,6871,17354
KMT2C_14736.745,KMT2C,6871,17354
CDK9_e4.2,CDK9,5159,9062
STKLD1_PKc_E3_45,STKLD1,688,1657
T_E3_265.10,T,1902,5033
RXRG_E4_180.16,RXRG,3325,9300
ASB7_957.59,ASB7,841,1994
SNAPC4_SANT4_E14_68.5,SNAPC4,940,1641
TDRD15_Tudor_E4_336.8,TDRD15,985,2319
ZNF844_E4_318.18,ZNF844,1785,4622
NCOR2_E19_95.0,NCOR2,1559,4309
NCOR2_SANT2_E19_101.0,NCOR2,1559,4309
USP2_1818.109,USP2,834,1889
STK32B_PKc_E8_117.15,STK32B,561,1345
ADNP_E6_126.3,ADNP,2910,7026
ZNF660_E3_825.44,ZNF660,3101,8243
PRMT5_e12_106.3,PRMT5,1690,2938
PSMA2_705.42,PSMA2,895,1333
GGT7_1989.233,GGT7,830,1733
FBXO40_5,FBXO40,670,2232
SH3RF2_2190.404,SH3RF2,770,1980
SETDB1_E13_186.3,SETDB1,919,2228
neg69,neg69,1834,4575
ADAM18_39.0,ADAM18,1417,3620
UBE2E2_606.51,UBE2E2,318,1082
HMGB2_E2_126.14,HMGB2,2516,7224
CREB3_E6_67.3,CREB3,1523,3400
PMS1_E9_143.2,PMS1,2696,6547
SPZ1_E1_66.1,SPZ1,4673,11207
ZNF449_E5_573.1,ZNF449,531,1128
UNCX_E2_135.0,UNCX,3396,8577
L3MBTL3_MBT345439_E1_2343.211,L3MBTL3,1635,3248
TET2_e7_86.2,TET2,1725,4389
TRIM9_2133.369,TRIM9,882,2277
ZNF417_E3_567.7,ZNF417,2970,7849
KCNG1_BTB65164_E1_1542.261,KCNG1,483,1170
MTA2_SANT_E10_57.3,MTA2,1777,4060
ZNF222_E4_483.16,ZNF222,1373,3136
CAMK2G_PKc_E3_60.2,CAMK2G,158,256
BATF3_E2_90.3,BATF3,1586,3943
ZNF222_E4_483.30,ZNF222,1412,3517
PSMA2_705.64,PSMA2,946,2056
TSNARE1_SANT_E4_234.9,TSNARE1,624,1563
SPOPL_BTB190297_E1_1179.31,SPOPL,892,2296
HM13_1281.161,HM13,1021,2275
CBLC_1425.103,CBLC,827,2536
