sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final
HIVEP2_E5_4578.36,HIVEP2,2158,5451
ZIC5_E1_118.8,ZIC5,594,1663
KMT2C_Phd5_E19_134.10,KMT2C,1254,2083
ZNF263_E6_231.13,ZNF263,2376,6826
CLPP_834.119,CLPP,2360,5438
PRDM9_E11_915.125,PRDM9,1422,3713
SFMBT1_MBT23120_E1_2601.33,SFMBT1,1028,2043
XIAP_1494.25,XIAP,1368,3733
UBE4A_3201.57,UBE4A,1515,4100
TRIM33_3384.382,TRIM33,459,1107
PRSS58_726.36,PRSS58,2431,6487
RSF1_Phd_E8_99.5,RSF1,4049,12525
HSFY2_E2_126.3,HSFY2,3741,8465
KCNB1_BTB33132_E1_2577.14,KCNB1,640,1560
TFAP2C_E5_119.7,TFAP2C,1327,2985
KLHL26_BTB56157_E1_1848.32,KLHL26,1986,5299
ELF2_E7_188.12,ELF2,2006,4610
FBXO45_861.128,FBXO45,653,1655
ZNF695_E4_1104.30,ZNF695,1658,4732
TERF2_E10_144.12,TERF2,3401,6308
PITRM1_3117.19,PITRM1,2246,4684
ZNF19_E6_648.22,ZNF19,2072,4716
USP51_2136.182,USP51,1261,2982
PSMA4_786.23,PSMA4,1503,2397
BRDT_BD1_e2_121.3,BRDT,3332,8445
KCNS3_BTB17116_E1_1476.14,KCNS3,1620,4955
ZNRF3_2811.553,ZNRF3,637,2025
MOZ_e12_162.1,MOZ,664,1626
IRAK1_PKc_E5_81.5,IRAK1,124,403
ZNF223_E5_498.39,ZNF223,1548,4126
ZNF655_E4_582.26,ZNF655,1342,3479
AHRR_E3_126.4,AHRR,519,1210
MEX3A_1563.71,MEX3A,314,785
ZFP2_E5_1059.45,ZFP2,1425,3040
ZNF664_E5_735.39,ZNF664,2050,5034
BRD2_BD2_e6_145.7,BRD2,1602,3435
PAPPA_4884.697,PAPPA,1796,5462
TSC22D2_E4_168.3,TSC22D2,690,2155
ASB8_867.58,ASB8,1649,4045
BAZ1A_BD_e25_118.1,BAZ1A,2461,6143
FBXL19_Phd_E4_63.2,FBXL19,948,1649
FBXL19_2085.469,FBXL19,948,1649
AIRE_Phd1_E8_113.6,AIRE,1008,3080
UBE2A_459.19,UBE2A,1107,2994
ZRANB1_121.0,ZRANB1,2117,5678
USP17L11_885.50,USP17L11,12636,25502
USP17L18_885.50,USP17L18,12636,25502
USP17L19_885.50,USP17L19,12636,25502
USP17L20_885.50,USP17L20,12636,25502
USP17L22_885.50,USP17L22,12636,25502
USP17L24_885.49,USP17L24,12636,25502
USP17L25_885.49,USP17L25,12636,25502
USP17L26_885.49,USP17L26,12636,25502
ZNF300_E7_1077.56,ZNF300,598,1335
ZNF610_E6_735.29,ZNF610,885,2261
STEAP1_1020.54,STEAP1,3181,8571
KMT2B_e36_130.3,KMT2B,2585,6780
TRIM26_1620.228,TRIM26,997,2150
ZNF225_E5_1635.24,ZNF225,1727,4093
DPYSL5_1695.29,DPYSL5,1442,3169
TULP4_4632.49,TULP4,1689,4107
F7_1401.21,F7,966,2476
CDC27_2493.112,CDC27,955,1233
ZNF20_E4_1233.57,ZNF20,1756,3468
LRRK2_PKc_E40_191.4,LRRK2,633,1293
KCNS3_BTB17116_E1_1476.183,KCNS3,763,1662
MID1_2004.0,MID1,1221,2848
PHOX2A_E3_42.2,PHOX2A,780,1866
BTRC_1818.138,BTRC,2091,5539
USP24_99.1,USP24,3228,7968
TRIM9_2133.287,TRIM9,2268,5981
TBX3_E2_268.13,TBX3,1142,2597
HTRA2_1377.21,HTRA2,980,1985
ZNF556_E4_492.44,ZNF556,1579,3902
FOXO4_E2_90.1,FOXO4,2748,7042
TLL1_3042.52,TLL1,1532,3476
TLX3_E2_167.13,TLX3,1019,2519
