Gene	sgRNA	Ts10|beta	Ts10|z	Ts10|p-value	Ts10|fdr	Ts10|wald-p-value	Ts10|wald-fdr
ADAM12	6	0.46654	1.1292	0.30489	0.82809	0.2588	0.66759
ADAM15	6	-0.02082	-0.057857	0.98549	0.99655	0.95386	0.98699
ADAM17	6	-0.60261	-2.0366	0.27787	0.82239	0.041686	0.38039
ADAM19	6	-0.69981	-2.1619	0.20279	0.73053	0.030624	0.31484
ADAM2	6	0.83844	1.3767	0.069113	0.50939	0.16861	0.66759
ADAM20	6	-0.35725	-1.0313	0.51166	0.90493	0.30241	0.6695
ADAM21	6	0.40739	0.94378	0.36974	0.85695	0.34528	0.6849
ADAM22	6	-0.053518	-0.13072	0.96502	0.99387	0.896	0.96067
ADAM23	6	0.033122	0.12457	0.89818	0.98867	0.90087	0.96304
ADAM28	6	0.093547	0.30234	0.80575	0.97832	0.76239	0.89683
ADAM29	6	0.24539	0.5032	0.58419	0.93029	0.61482	0.82079
ADAM30	6	0.53157	0.91659	0.24033	0.7731	0.35936	0.68556
ADAM32	6	0.34627	0.9901	0.44966	0.88621	0.32212	0.67889
ADAM33	6	-0.70389	-2.0437	0.20222	0.73053	0.040983	0.37721
ADAM7	6	0.054171	0.18729	0.8686	0.98867	0.85143	0.94257
ADAM8	6	-0.95319	-2.7573	0.086177	0.56296	0.0058287	0.11018
ADAM9	6	0.90645	1.1517	0.046928	0.43194	0.24945	0.66759
ADAMDEC1	6	0.48227	1.2692	0.29124	0.82809	0.20435	0.66759
ADAMTS1	6	0.51891	0.94987	0.25398	0.79045	0.34218	0.6849
ADAMTS10	6	-0.41034	-1.2914	0.45279	0.88839	0.19657	0.66759
ADAMTS12	6	0.1167	0.43595	0.7719	0.97036	0.66288	0.85016
ADAMTS13	6	-0.035453	-0.077319	0.99346	0.998	0.93837	0.98033
ADAMTS14	6	0.35546	0.92911	0.43487	0.87924	0.35283	0.6849
ADAMTS15	6	0.35544	0.90464	0.43487	0.87924	0.36565	0.68684
ADAMTS16	6	0.34953	0.84756	0.44568	0.88338	0.39668	0.70029
ADAMTS17	6	-0.64971	-1.6343	0.23606	0.76923	0.10219	0.60336
ADAMTS18	6	0.1486	0.40049	0.71957	0.96113	0.6888	0.86084
ADAMTS19	6	0.60387	1.192	0.18174	0.71158	0.23324	0.66759
ADAMTS2	6	-0.14743	-0.37978	0.82224	0.98327	0.70411	0.86786
ADAMTS20	6	0.6121	1.2953	0.17719	0.70661	0.19522	0.66759
ADAMTS3	6	0.037639	0.13039	0.89192	0.98867	0.89626	0.96067
ADAMTS4	6	0.41525	0.9687	0.36149	0.85695	0.33269	0.6849
ADAMTS5	6	-0.090527	-0.25971	0.90956	0.98867	0.79508	0.91267
ADAMTS6	6	0.64153	1.4273	0.15813	0.68557	0.1535	0.66759
ADAMTS7	6	0.96873	1.1548	0.033561	0.36957	0.24818	0.66759
ADAMTS8	6	0.28437	0.67586	0.52787	0.90791	0.49913	0.76736
ADAMTS9	6	0.25999	1.234	0.56001	0.91581	0.21719	0.66759
AEBP1	6	0.63605	1.2748	0.16126	0.69091	0.20237	0.66759
AFG3L2	6	-1.5952	-3.4138	0.0068259	0.17007	0.00064062	0.022984
ANPEP	6	0.34071	0.8186	0.45592	0.88871	0.41301	0.71118
ASPA	6	0.23649	0.76339	0.59585	0.93089	0.44523	0.73323
BMP1	6	0.47692	0.92932	0.29693	0.82809	0.35272	0.6849
BRCC3	6	0.36712	0.66089	0.41837	0.87403	0.50868	0.77292
C9orf3	6	0.81753	1.3139	0.076792	0.53892	0.18887	0.66759
CAD	30	-0.94141	-5.666	0	0	1.4619e-08	3.6716e-06
CNDP1	6	-0.29596	-0.96831	0.6041	0.93089	0.33289	0.6849
CNDP2	6	0.36694	0.80257	0.41866	0.87411	0.42222	0.71751
COPS5	6	-0.81721	-2.1543	0.13766	0.6585	0.031219	0.32001
COPS6	6	-1.5042	-1.9139	0.0085324	0.19355	0.055631	0.44657
CPA1	6	0.56185	1.172	0.2116	0.74251	0.24119	0.66759
CPA2	6	0.93493	1.1065	0.041809	0.41504	0.2685	0.66759
CPA3	6	0.211	0.55306	0.63254	0.9384	0.58023	0.80989
CPA4	6	0.49007	0.92493	0.28328	0.82699	0.355	0.6849
CPA5	6	-0.018774	-0.066228	0.98322	0.99655	0.9472	0.98414
CPA6	6	-0.63314	-1.9607	0.25057	0.7852	0.049919	0.4199
CPB1	6	0.61919	1.1457	0.17378	0.70661	0.25192	0.66759
CPB2	6	0.78466	1.2564	0.088737	0.56318	0.20897	0.66759
CPD	18	-0.12972	-0.59069	0.719	0.96113	0.55473	0.79864
CPE	6	0.94222	1.2122	0.040102	0.40517	0.22543	0.66759
CPM	6	0.62823	1.4241	0.16695	0.69385	0.15442	0.66759
CPN1	6	0.58436	1.1175	0.19625	0.72766	0.26376	0.66759
CPO	6	0.52355	1.3473	0.24829	0.78156	0.1779	0.66759
CPQ	6	0.032536	0.14649	0.89903	0.98867	0.88353	0.95438
CPZ	6	0.19306	0.46367	0.65557	0.94386	0.64288	0.83828
CRMP1	6	0.014958	0.037094	0.93117	0.98867	0.97041	0.99243
DNPEP	6	0.32873	0.88543	0.46729	0.88907	0.37592	0.6899
DPEP1	6	0.36411	0.7703	0.42207	0.87448	0.44112	0.73163
