DepMap_ID,Aneuploidy score,Ploidy,Genome doublings
ACH-000454,29,2.55,1
ACH-000456,18,3.2,1
ACH-000457,15,2.45,1
ACH-000458,14,1.38,0
ACH-000459,12,1.88,0
ACH-000460,28,2.9,1
ACH-000461,31,2.54,1
ACH-000462,1,1.97,0
ACH-000463,21,2.54,1
ACH-000464,13,1.87,0
ACH-000465,20,3.61,1
ACH-000466,15,2.24,1
ACH-000467,22,2.94,1
ACH-000468,11,2.25,1
ACH-000469,9,1.96,0
ACH-000470,21,3.45,1
ACH-000471,23,2.8,1
ACH-000472,25,2.65,1
ACH-000473,12,2.04,0
ACH-000475,17,2.94,1
ACH-000476,22,3.44,1
ACH-000477,7,1.95,0
ACH-000478,25,2.92,1
ACH-000479,6,1.96,0
ACH-000480,26,2.54,1
ACH-000481,24,2.91,1
ACH-000482,18,2.99,1
ACH-000483,20,3.32,1
ACH-000484,14,2.19,0
ACH-000485,29,3.72,1
ACH-000486,14,1.87,0
ACH-000487,8,1.92,0
ACH-000488,19,2.82,1
ACH-000489,24,2.76,1
ACH-000491,29,2.83,1
ACH-000492,0,1.99,0
ACH-000493,33,7.64,2
ACH-000495,19,2.44,1
ACH-000496,16,2.28,1
ACH-000498,6,2.12,0
ACH-000499,20,3.06,1
ACH-000500,25,2.95,1
ACH-000501,26,2.66,1
ACH-000502,34,3.31,1
ACH-000503,22,2.98,1
ACH-000505,33,4.63,2
ACH-000506,20,3.08,1
ACH-000507,23,2.96,1
ACH-000508,13,1.92,0
ACH-000509,11,1.88,0
ACH-000510,27,2.62,1
ACH-000511,20,2.84,1
ACH-000513,8,1.94,0
ACH-000514,21,2.86,1
ACH-000515,21,2.65,1
ACH-000516,35,7.72,2
ACH-000517,24,2.87,1
ACH-000518,10,2.13,0
ACH-000519,5,1.99,0
ACH-000520,27,2.6,1
ACH-000521,15,2.12,1
ACH-000522,24,3.61,2
ACH-000523,23,2.56,1
ACH-000524,30,2.8,1
ACH-000525,13,1.82,0
ACH-000526,2,1.99,0
ACH-000527,23,2.88,1
ACH-000528,32,2.53,1
ACH-000529,0,2,0
ACH-000530,24,3,1
ACH-000532,26,2.8,1
ACH-000534,3,2.07,0
ACH-000535,23,2.52,1
ACH-000536,25,2.62,1
ACH-000537,15,2.24,0
ACH-000538,0,1.99,0
ACH-000539,0,2,0
ACH-000540,0,2,0
ACH-000541,13,1.9,0
ACH-000542,5,2.03,0
ACH-000543,13,1.83,0
ACH-000544,25,3.22,1
ACH-000545,5,2.07,1
ACH-000546,28,3.73,2
ACH-000547,20,3.35,1
ACH-000548,21,2.85,1
ACH-000549,27,3.71,1
ACH-000550,18,1.49,0
ACH-000551,15,3.05,1
ACH-000552,18,3.12,1
ACH-000553,20,3.04,1
ACH-000554,29,3.21,1
ACH-000555,24,3.28,1
ACH-000557,8,2.23,0
ACH-000558,4,1.97,0
ACH-000559,18,3.07,1
ACH-000560,21,3.78,2
ACH-000561,28,3.89,2
ACH-000562,7,2.15,0
ACH-000563,25,3.03,1
ACH-000564,15,2.46,1
ACH-000565,18,3.33,1
ACH-000566,6,1.9,0
ACH-000567,2,2.11,0
ACH-000568,23,2.78,1
ACH-000569,19,3.31,1
ACH-000570,20,3.19,1
ACH-000571,14,2.84,1
ACH-000572,28,3.24,1
ACH-000573,20,1.67,0
ACH-000574,22,2.97,1
ACH-000575,18,3.78,1
ACH-000576,7,2.06,0
ACH-000577,22,2.82,1
ACH-000578,25,2.55,1
ACH-000579,30,8.3,2
ACH-000580,5,2.11,0
ACH-000581,22,3.62,1
ACH-000582,17,1.77,0
ACH-000583,3,2.08,0
ACH-000584,20,1.67,0
ACH-000585,26,3.19,1
ACH-000586,28,2.59,1
