,Aneuploidy score,Ploidy,Genome doublings
ACH-000268,18.0,3.24,1.0
ACH-000269,6.0,1.9,0.0
ACH-000270,16.0,2.88,1.0
ACH-000271,3.0,2.04,0.0
ACH-000272,6.0,1.88,0.0
ACH-000274,10.0,2.14,0.0
ACH-000276,24.0,1.61,0.0
ACH-000277,8.0,2.07,0.0
ACH-000278,17.0,1.82,0.0
ACH-000279,19.0,3.3,1.0
ACH-000280,22.0,3.11,1.0
ACH-000281,16.0,1.68,0.0
ACH-000282,21.0,2.82,1.0
ACH-000283,24.0,2.79,1.0
ACH-000284,0.0,2.0,0.0
ACH-000285,14.0,2.33,0.0
ACH-000287,1.0,1.98,0.0
ACH-000288,10.0,1.34,0.0
ACH-000289,7.0,2.1,0.0
ACH-000290,10.0,2.04,0.0
ACH-000291,13.0,1.93,0.0
ACH-000292,25.0,2.59,1.0
ACH-000293,22.0,2.7,1.0
ACH-000294,20.0,1.62,0.0
ACH-000295,14.0,1.93,0.0
ACH-000296,16.0,2.85,1.0
ACH-000297,22.0,2.93,1.0
ACH-000298,10.0,1.9,0.0
ACH-000300,16.0,2.46,1.0
ACH-000301,18.0,3.11,1.0
ACH-000302,31.0,3.9,2.0
ACH-000303,17.0,4.22,2.0
ACH-000304,5.0,2.03,0.0
ACH-000305,28.0,3.66,2.0
ACH-000306,0.0,2.0,0.0
ACH-000307,16.0,1.72,0.0
ACH-000308,21.0,2.88,1.0
ACH-000309,27.0,4.0,2.0
ACH-000310,8.0,2.21,0.0
ACH-000311,20.0,2.49,1.0
ACH-000312,7.0,1.96,0.0
ACH-000313,5.0,1.99,0.0
ACH-000315,1.0,2.07,0.0
ACH-000316,7.0,1.93,0.0
ACH-000317,11.0,1.89,0.0
ACH-000318,29.0,2.78,1.0
ACH-000319,12.0,2.33,1.0
ACH-000320,24.0,2.85,1.0
ACH-000321,10.0,2.28,0.0
ACH-000322,16.0,2.91,1.0
ACH-000323,13.0,1.33,0.0
ACH-000324,27.0,2.82,1.0
ACH-000325,13.0,3.27,1.0
ACH-000326,6.0,1.95,0.0
ACH-000327,19.0,2.73,1.0
ACH-000329,4.0,2.01,0.0
ACH-000330,26.0,2.93,1.0
ACH-000331,7.0,1.89,0.0
ACH-000332,27.0,3.2,1.0
ACH-000333,11.0,2.05,0.0
ACH-000334,21.0,3.13,1.0
ACH-000335,6.0,1.93,0.0
ACH-000336,4.0,2.15,0.0
ACH-000338,20.0,3.44,1.0
ACH-000340,0.0,2.0,0.0
ACH-000341,7.0,2.09,0.0
ACH-000342,13.0,1.92,0.0
ACH-000343,18.0,2.42,1.0
ACH-000344,24.0,1.5,0.0
ACH-000345,2.0,1.99,0.0
ACH-000346,3.0,2.07,0.0
ACH-000347,26.0,4.13,2.0
ACH-000348,29.0,2.53,1.0
ACH-000349,18.0,1.75,0.0
ACH-000350,17.0,2.4,1.0
ACH-000351,19.0,3.15,1.0
ACH-000352,15.0,1.92,0.0
ACH-000353,27.0,2.77,1.0
ACH-000354,24.0,2.91,1.0
ACH-000355,18.0,2.7,1.0
ACH-000356,17.0,1.85,0.0
ACH-000357,10.0,1.86,0.0
ACH-000358,16.0,1.64,0.0
ACH-000359,21.0,3.22,1.0
ACH-000360,9.0,2.31,0.0
ACH-000361,19.0,2.89,1.0
ACH-000362,8.0,2.27,0.0
ACH-000363,9.0,2.0,0.0
ACH-000364,16.0,3.09,1.0
ACH-000365,9.0,2.19,0.0
ACH-000366,7.0,2.04,0.0
ACH-000367,5.0,1.96,0.0
ACH-000368,5.0,2.0,0.0
ACH-000369,7.0,1.83,0.0
ACH-000370,26.0,3.35,1.0
ACH-000371,7.0,2.11,0.0
ACH-000372,7.0,1.97,0.0
ACH-000373,6.0,1.97,0.0
ACH-000374,29.0,3.69,2.0
ACH-000375,2.0,2.09,0.0
ACH-000376,14.0,3.13,1.0
ACH-000377,23.0,2.89,1.0
ACH-000378,16.0,3.31,2.0
ACH-000379,29.0,2.51,1.0
ACH-000380,11.0,1.87,0.0
ACH-000381,19.0,2.85,1.0
ACH-000382,12.0,1.78,0.0
ACH-000383,27.0,2.54,1.0
ACH-000384,6.0,1.95,0.0
ACH-000386,6.0,2.02,0.0
ACH-000387,10.0,2.45,0.0
ACH-000388,5.0,2.18,0.0
ACH-000389,16.0,3.18,1.0
ACH-000390,23.0,1.82,0.0
ACH-000391,10.0,2.24,0.0
ACH-000392,24.0,2.99,1.0
ACH-000393,18.0,2.7,1.0
ACH-000394,23.0,3.09,1.0
ACH-000395,23.0,2.6,1.0
ACH-000396,8.0,1.95,0.0
ACH-000397,29.0,3.4,1.0
ACH-000398,8.0,2.16,0.0
ACH-000399,11.0,1.79,0.0
ACH-000400,31.0,3.68,1.0
ACH-000401,27.0,2.81,1.0
ACH-000402,2.0,2.05,0.0
ACH-000403,25.0,3.1,1.0
ACH-000404,12.0,1.93,0.0
ACH-000405,5.0,2.0,0.0
ACH-000406,22.0,2.6,1.0
ACH-000407,29.0,5.09,2.0
ACH-000408,24.0,2.98,1.0
ACH-000409,31.0,2.89,1.0
ACH-000411,5.0,1.99,0.0
ACH-000412,12.0,2.09,0.0
ACH-000413,0.0,2.0,0.0
ACH-000414,7.0,2.19,0.0
ACH-000415,23.0,2.97,1.0
ACH-000416,9.0,2.36,1.0
ACH-000417,28.0,2.52,1.0
ACH-000418,2.0,2.06,0.0
ACH-000419,12.0,1.88,0.0
ACH-000420,17.0,2.49,1.0
ACH-000421,13.0,1.89,0.0
ACH-000422,22.0,3.04,1.0
ACH-000423,20.0,4.05,2.0
ACH-000424,3.0,2.05,0.0
ACH-000425,9.0,1.81,0.0
ACH-000426,6.0,1.86,0.0
ACH-000427,15.0,1.86,0.0
ACH-000429,12.0,1.99,0.0
ACH-000430,17.0,2.5,1.0
ACH-000431,17.0,2.47,1.0
ACH-000432,3.0,2.14,0.0
ACH-000433,23.0,3.28,1.0
ACH-000434,9.0,2.08,0.0
ACH-000435,13.0,1.9,0.0
ACH-000437,27.0,3.78,2.0
ACH-000438,11.0,2.35,1.0
ACH-000439,10.0,2.08,0.0
ACH-000440,0.0,2.07,0.0
ACH-000441,13.0,2.39,1.0
ACH-000442,22.0,2.78,1.0
ACH-000443,17.0,2.02,0.0
ACH-000444,24.0,2.71,1.0
ACH-000445,11.0,1.2,0.0
ACH-000446,12.0,2.31,1.0
ACH-000447,24.0,3.92,1.0
