STUDY_ID	SAMPLE_ID	UBE2H
ov_tcga_pan_can_atlas_2018	TCGA-13-0908-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0910-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0911-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0912-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0913-01	1952.9606
ov_tcga_pan_can_atlas_2018	TCGA-13-0916-01	1585.6428
ov_tcga_pan_can_atlas_2018	TCGA-13-0919-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0920-01	1822.7803
ov_tcga_pan_can_atlas_2018	TCGA-13-0921-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0923-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-0924-01	1292.8464
ov_tcga_pan_can_atlas_2018	TCGA-13-1403-01	2110.3513
ov_tcga_pan_can_atlas_2018	TCGA-13-1404-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1405-01	2495.9398
ov_tcga_pan_can_atlas_2018	TCGA-13-1407-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1408-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1409-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1410-01	4387.0952
ov_tcga_pan_can_atlas_2018	TCGA-13-1411-01	3305.9252
ov_tcga_pan_can_atlas_2018	TCGA-13-1412-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1477-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1481-01	1918.9225
ov_tcga_pan_can_atlas_2018	TCGA-13-1482-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1483-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1484-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1485-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1487-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1488-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1489-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1491-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1492-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1494-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1495-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1496-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1497-01	1918.6949
ov_tcga_pan_can_atlas_2018	TCGA-13-1498-01	2949.04
ov_tcga_pan_can_atlas_2018	TCGA-13-1499-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1500-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1501-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1504-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1505-01	1518.914
ov_tcga_pan_can_atlas_2018	TCGA-13-1506-01	2797.9763
ov_tcga_pan_can_atlas_2018	TCGA-13-1507-01	1060.6248
ov_tcga_pan_can_atlas_2018	TCGA-13-1509-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1510-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1511-01	3723.4216
ov_tcga_pan_can_atlas_2018	TCGA-13-1512-01	1792.0286
ov_tcga_pan_can_atlas_2018	TCGA-13-1817-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-1819-01	NA
