MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2446634	Ago3	argonaute RISC catalytic subunit 3	4		miRNA processing			ISO	Q9H9G7 	J:164563 	
MGI:2446634	Ago3	argonaute RISC catalytic subunit 3	4		pre-miRNA processing			IBA	MGI:2446632 PTN000527278 Q9H9G7 Q9HCK5 Q9UKV8 Q9UL18 	J:161428 	
MGI:2446634	Ago3	argonaute RISC catalytic subunit 3	4		pre-miRNA processing			IEA	ENSP00000362287 Q9H9G7 	J:342605 	
MGI:2446634	Ago3	argonaute RISC catalytic subunit 3	4		pre-miRNA processing			ISO	Q9H9G7 	J:164563 	
MGI:1924100	Ago4	argonaute RISC catalytic subunit 4	4		miRNA processing			IEA	ENSP00000362306 Q9HCK5 	J:342605 	
MGI:1924100	Ago4	argonaute RISC catalytic subunit 4	4		miRNA processing			ISO	Q9HCK5 	J:164563 	
MGI:1924100	Ago4	argonaute RISC catalytic subunit 4	4		pre-miRNA processing			IBA	MGI:2446632 PTN000527278 Q9H9G7 Q9HCK5 Q9UKV8 Q9UL18 	J:161428 	
MGI:1924100	Ago4	argonaute RISC catalytic subunit 4	4		pre-miRNA processing			IEA	ENSP00000362306 Q9HCK5 	J:342605 	
MGI:1924100	Ago4	argonaute RISC catalytic subunit 4	4		pre-miRNA processing			ISO	Q9HCK5 	J:164563 	
MGI:2385184	Ahcyl1	S-adenosylhomocysteine hydrolase-like 1	3		regulation of mRNA 3'-end processing			IDA		J:149256 	
MGI:2385184	Ahcyl1	S-adenosylhomocysteine hydrolase-like 1	3		regulation of mRNA 3'-end processing			IEA	ENSP00000358814 O43865 	J:342605 	
MGI:2385184	Ahcyl1	S-adenosylhomocysteine hydrolase-like 1	3		regulation of mRNA 3'-end processing			ISO	O43865 	J:164563 	
MGI:1316648	Ahnak	AHNAK nucleoprotein	19		regulation of RNA splicing			IBA	MGI:108176 PTN001156025 	J:161428 	
MGI:2144831	Ahnak2	AHNAK nucleoprotein 2	12		regulation of RNA splicing			IBA	MGI:108176 PTN001156025 	J:161428 	
MGI:1342279	Aicda	activation-induced cytidine deaminase	6		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:5510732	Ak6	adenylate kinase 6	13		rRNA processing			IEA	KW-0698 	J:60000 	
MGI:1860606	Akap8l	A kinase anchor protein 8-like	17		mRNA processing			ISO	Q9ULX6 	J:164563 	
MGI:6723883	Akap17a	A-kinase anchoring protein 17A	XY		regulation of RNA splicing			ISO	Q02040 	J:164563 	
MGI:2443758	Akap17b	A kinase anchor protein 17B	X		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:2443758	Akap17b	A kinase anchor protein 17B	X		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1933427	Akr1c6	aldo-keto reductase family 1, member C6	13		negative regulation of mRNA splicing, via spliceosome			IMP		J:204486 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		regulation of tRNA methylation			IEA	ENSP00000497822 P31749 	J:342605 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		regulation of tRNA methylation			ISO	P31749 	J:164563 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		tRNA (guanine-N7)-methylation			ISO	P31749 	J:164563 	
MGI:104874	Akt2	thymoma viral proto-oncogene 2	7		negative regulation of RNA splicing			ISO	RGD:2082 	J:155856 	
MGI:2384034	Alkbh1	alkB homolog 1, histone H2A dioxygenase	12		regulation of translational initiation by tRNA modification			IEA	ARBA00089417 	J:342609 	
MGI:2384034	Alkbh1	alkB homolog 1, histone H2A dioxygenase	12		regulation of translational initiation by tRNA modification			IEA	ENSP00000216489 Q13686 	J:342605 	
MGI:2384034	Alkbh1	alkB homolog 1, histone H2A dioxygenase	12		regulation of translational initiation by tRNA modification			IMP		J:276420 	
MGI:2384034	Alkbh1	alkB homolog 1, histone H2A dioxygenase	12		regulation of translational initiation by tRNA modification			ISO	Q13686 	J:164563 	
MGI:2384034	Alkbh1	alkB homolog 1, histone H2A dioxygenase	12		tRNA wobble cytosine modification			IEA	ENSP00000216489 Q13686 	J:342605 	
MGI:2384034	Alkbh1	alkB homolog 1, histone H2A dioxygenase	12		tRNA wobble cytosine modification			ISO	Q13686 	J:164563 	
MGI:2384034	Alkbh1	alkB homolog 1, histone H2A dioxygenase	12		tRNA wobble cytosine modification			ISS	Q13686 	J:342587 	
MGI:2144489	Alkbh5	alkB homolog 5, RNA demethylase	11		mRNA processing			IEA	IPR032860 	J:72247 	
MGI:2144489	Alkbh5	alkB homolog 5, RNA demethylase	11		regulation of mRNA processing			IEA	ENSP00000382091 Q6P6C2 	J:342605 	
MGI:2144489	Alkbh5	alkB homolog 5, RNA demethylase	11		regulation of mRNA processing			ISO	Q6P6C2 	J:164563 	
MGI:2144489	Alkbh5	alkB homolog 5, RNA demethylase	11		regulation of mRNA processing			ISS	Q6P6C2 	J:342587 	
MGI:1914917	Alkbh8	alkB homolog 8, tRNA methyltransferase	9		tRNA methylation			IBA	MGI:1914917 PTN000317053 Q96BT7 S000004476 	J:161428 	
MGI:1914917	Alkbh8	alkB homolog 8, tRNA methyltransferase	9		tRNA methylation			IEA	ARBA00028068 	J:342609 	
MGI:1914917	Alkbh8	alkB homolog 8, tRNA methyltransferase	9		tRNA methylation			IEA	ENSP00000415885 Q96BT7 	J:342605 	
MGI:1914917	Alkbh8	alkB homolog 8, tRNA methyltransferase	9		tRNA methylation			IMP		J:161726 	
MGI:1914917	Alkbh8	alkB homolog 8, tRNA methyltransferase	9		tRNA methylation			ISO	Q96BT7 	J:164563 	
MGI:1914917	Alkbh8	alkB homolog 8, tRNA methyltransferase	9		tRNA methylation			ISS	Q96BT7 	J:342587 	
MGI:1914917	Alkbh8	alkB homolog 8, tRNA methyltransferase	9		tRNA wobble uridine modification			IBA	MGI:1914917 PTN000317053 Q96BT7 S000004476 	J:161428 	
MGI:1914917	Alkbh8	alkB homolog 8, tRNA methyltransferase	9		tRNA wobble uridine modification			IDA		J:215967 	
MGI:1914917	Alkbh8	alkB homolog 8, tRNA methyltransferase	9		tRNA wobble uridine modification			IEA	ARBA00033915 	J:342609 	
MGI:1914917	Alkbh8	alkB homolog 8, tRNA methyltransferase	9		tRNA wobble uridine modification			IEA	ENSP00000415885 Q96BT7 	J:342605 	
MGI:1914917	Alkbh8	alkB homolog 8, tRNA methyltransferase	9		tRNA wobble uridine modification			ISO	Q96BT7 	J:164563 	
MGI:1341044	Alyref	Aly/REF export factor	11		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1341044	Alyref	Aly/REF export factor	11		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1913144	Alyref2	Aly/REF export factor 2	1		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1913144	Alyref2	Aly/REF export factor 2	1		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1196310	Angel2	angel homolog 2	1		mitochondrial mRNA 3'-end processing			IMP		J:332461 	
MGI:2444796	Ankrd16	ankyrin repeat domain 16	2		tRNA modification			IDA		J:262421 	
MGI:1098746	Ankzf1	ankyrin repeat and zinc finger domain containing 1	1		tRNA 3'-end processing			ISO	Q9H8Y5 	J:164563 	
